Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
0.000000000000000000e+00,7.899999998510759625e+00,8.942792364801295129e-14,7.899999998510717880e+00,7.899999998510801369e+00,1.468744430214069325e+02,5.825480474636199446e+00,1.441480342349593116e+02,1.496008518078545535e+02,2.288619999999999877e+01,8.643207506475822921e-01,2.248168543692926136e+01,2.329071456307073618e+01
1.000000000000000000e+00,7.800361454584470167e+00,5.503759626035877430e-04,7.800103870705024534e+00,7.800619038463915800e+00,1.704961622246570414e+02,7.557234228559252642e+00,1.669592677330016670e+02,1.740330567163124158e+02,2.611560000000000059e+01,1.108707283280849110e+00,2.559670901892188510e+01,2.663449098107811608e+01
2.000000000000000000e+00,7.702093629661051821e+00,1.209958212823220546e-03,7.701527351786284115e+00,7.702659907535819528e+00,2.128200940283981595e+02,7.918646153005870936e+00,2.091140535494498067e+02,2.165261345073465122e+02,3.200599999999999312e+01,1.148790320293480827e+00,3.146834958014690287e+01,3.254365041985308693e+01
3.000000000000000000e+00,7.604305128034937411e+00,1.812378840617666093e-03,7.603456908627637567e+00,7.605153347442237255e+00,2.442109767045838851e+02,9.279911679520347789e+00,2.398678443482639864e+02,2.485541090609037838e+02,3.618799999999998818e+01,1.330671409477184763e+00,3.556522661015358011e+01,3.681077338984639624e+01
4.000000000000000000e+00,7.506114358624832228e+00,2.257896134139282703e-03,7.505057630705855409e+00,7.507171086543809047e+00,2.709393028918050845e+02,7.509064780554213669e+00,2.674249523957653309e+02,2.744536533878448381e+02,3.961800000000000210e+01,1.060447829928468533e+00,3.912169513833674728e+01,4.011430486166325693e+01
5.000000000000000000e+00,7.407500986178145119e+00,2.726046869124120094e-03,7.406225156970819512e+00,7.408776815385470726e+00,3.021138842891572267e+02,9.870506494469241332e+00,2.974943450510843377e+02,3.067334235272301157e+02,4.359960000000000235e+01,1.381647654071037179e+00,4.295296899329848372e+01,4.424623100670152098e+01
6.000000000000000000e+00,7.308243244500594926e+00,3.030125865186009040e-03,7.306825101942422407e+00,7.309661387058767446e+00,3.290881290213158650e+02,1.137733709600671439e+01,3.237633713536890809e+02,3.344128866889426490e+02,4.691660000000000252e+01,1.566388598017746991e+00,4.618350757007581109e+01,4.764969242992419396e+01
7.000000000000000000e+00,7.208125424707755080e+00,3.345411773320001742e-03,7.206559723802434370e+00,7.209691125613075791e+00,3.512779332534288415e+02,8.707495760578250810e+00,3.472026997936379189e+02,3.553531667132197640e+02,4.950659999999999172e+01,1.195927940973033676e+00,4.894688849458451330e+01,5.006631150541547015e+01
8.000000000000000000e+00,7.107112428921803726e+00,3.509523233172456673e-03,7.105469921489013352e+00,7.108754936354594101e+00,3.711477722950337466e+02,1.130173589391716860e+01,3.658583970791275419e+02,3.764371475109399512e+02,5.173580000000000467e+01,1.529495851579859345e+00,5.101997390690114287e+01,5.245162609309886648e+01
9.000000000000000000e+00,7.005108803505128989e+00,3.645832387207189815e-03,7.003402501424523585e+00,7.006815105585734393e+00,3.911840868460951128e+02,1.158984664643830520e+01,3.857598716473644913e+02,3.966083020448257344e+02,5.394700000000000273e+01,1.559506524513444514e+00,5.321712847962186999e+01,5.467687152037813547e+01
1.000000000000000000e+01,6.902089485775067423e+00,3.758725114958482490e-03,6.900330348271494607e+00,6.903848623278640240e+00,4.137365501491686928e+02,1.075777629495385668e+01,4.087017558620876798e+02,4.187713444362497057e+02,5.645299999999999585e+01,1.437376986040893145e+00,5.578028686307642658e+01,5.712571313692356512e+01
1.100000000000000000e+01,6.798074531062704651e+00,3.856617253440535169e-03,6.796269578628046482e+00,6.799879483497362820e+00,4.393939794544322694e+02,7.137649316268722011e+00,4.360534567464453062e+02,4.427345021624192327e+02,5.932259999999998712e+01,9.574217670389577606e-01,5.887451282000574793e+01,5.977068717999422631e+01
1.200000000000000000e+01,6.693081727659897062e+00,3.952366317049928537e-03,6.691231963284068662e+00,6.694931492035725462e+00,4.663376552262399741e+02,1.240371521769482577e+01,4.605325378112289059e+02,4.721427726412510424e+02,6.231180000000000518e+01,1.620207628669857014e+00,6.155351948839107479e+01,6.307008051160893558e+01
1.300000000000000000e+01,6.587096636968257535e+00,4.053673343880131660e-03,6.585199459444400993e+00,6.588993814492114076e+00,4.874523095951377627e+02,1.385693793922335004e+01,4.809670630107146394e+02,4.939375561795608860e+02,6.450940000000001362e+01,1.797488147387905189e+00,6.366814965165344375e+01,6.535065034834659059e+01
1.400000000000000000e+01,6.480086837368436825e+00,4.127421023876285539e-03,6.478155144867902671e+00,6.482018529868970980e+00,5.244560633779863110e+02,2.261521893088353607e+01,5.138718151139925112e+02,5.350403116419801108e+02,6.870019999999999527e+01,2.912164960986930229e+00,6.733726484438683713e+01,7.006313515561315342e+01
1.500000000000000000e+01,6.372043122570623552e+00,4.199743164273662087e-03,6.370077582266479688e+00,6.374008662874767417e+00,5.687828559508152466e+02,3.276812382115591760e+01,5.534469019311628699e+02,5.841188099704676233e+02,7.376060000000001082e+01,4.184916204656913941e+00,7.180199892656044369e+01,7.571920107343957795e+01
1.600000000000000000e+01,6.262968317400160245e+00,4.277717817670451637e-03,6.260966283834891399e+00,6.264970350965429091e+00,6.254828292051399785e+02,3.792343073704363121e+01,6.077341172793359192e+02,6.432315411309440378e+02,8.030219999999999914e+01,4.810251631671673245e+00,7.805093293787278697e+01,8.255346706212721131e+01
1.700000000000000000e+01,6.152886034308350460e+00,4.345572967019981254e-03,6.150852243555636534e+00,6.154919825061064387e+00,6.916432577046052756e+02,6.257257542678584628e+01,6.623583909580730733e+02,7.209281244511374780e+02,8.794440000000001589e+01,7.856207217226388373e+00,8.426758184251799833e+01,9.162121815748203346e+01
1.800000000000000000e+01,6.041831398318880275e+00,4.423297595327739008e-03,6.039761231320384560e+00,6.043901565317375990e+00,7.956807738231650546e+02,8.918388616064345342e+01,7.539414302794707510e+02,8.374201173668593583e+02,1.001451999999999884e+02,1.109948165276198928e+01,9.495048268271391123e+01,1.053399173172860657e+02
1.900000000000000000e+01,5.929688844161494110e+00,4.499402602746447807e-03,5.927583058923125314e+00,5.931794629399862906e+00,9.282239200412441278e+02,1.352663398940629520e+02,8.649173242671305388e+02,9.915305158153577167e+02,1.156226000000000056e+02,1.661258459241065566e+01,1.078476710828823997e+02,1.233975289171176115e+02
2.000000000000000000e+01,5.816454519358281949e+00,4.625627428022208165e-03,5.814289659083236472e+00,5.818619379633327426e+00,1.113165724537167762e+03,1.620830066386243402e+02,1.037308542394437836e+03,1.189022906679897687e+03,1.370774000000000115e+02,1.957021366362667081e+01,1.279182580687069759e+02,1.462365419312930612e+02
2.100000000000000000e+01,5.702101518012831605e+00,4.741014894432157671e-03,5.699882654741186272e+00,5.704320381284476937e+00,1.260612498629823676e+03,1.320961507677212694e+02,1.198789597037913836e+03,1.322435400221733516e+03,1.536544000000000096e+02,1.578157307241581719e+01,1.462683964461408834e+02,1.610404035538591359e+02
2.200000000000000000e+01,5.586600932408227749e+00,4.909207178393330123e-03,5.584303352724639957e+00,5.588898512091815540e+00,1.366120407937345135e+03,7.317549587638688990e+01,1.331873221670275370e+03,1.400367594204414900e+03,1.649414000000000158e+02,8.621775805482302601e+00,1.609062847141116777e+02,1.689765152858883539e+02
2.300000000000000000e+01,5.470088724285639969e+00,5.057300992369113783e-03,5.467721834563609384e+00,5.472455614007670555e+00,1.439305520385819818e+03,5.840414334715653411e+01,1.411971539904737028e+03,1.466639500866902608e+03,1.722571999999999548e+02,6.746244003888385521e+00,1.690998606169562493e+02,1.754145393830436603e+02
2.400000000000000000e+01,5.352611704460560560e+00,5.155275345871822464e-03,5.350198961329630798e+00,5.355024447591490322e+00,1.467339175083261125e+03,5.391410707209985276e+01,1.442106596264252858e+03,1.492571753902269393e+03,1.742819999999999823e+02,6.194761464334195722e+00,1.713827623903566746e+02,1.771812376096432899e+02
2.500000000000000000e+01,5.234375136391389738e+00,5.297114440240295076e-03,5.231896010520902252e+00,5.236854262261877224e+00,1.480210978600725412e+03,4.892242388732434222e+01,1.457314579424476051e+03,1.503107377776974772e+03,1.744891999999999541e+02,5.608356208373358243e+00,1.718644084981466733e+02,1.771139915018532349e+02
2.600000000000000000e+01,5.115510764898361096e+00,5.464712607637101267e-03,5.112953200671042531e+00,5.118068329125679661e+00,1.514693656137999142e+03,5.067129432635417174e+01,1.490978760401322006e+03,1.538408551874676277e+03,1.771928000000000054e+02,5.767783990407409078e+00,1.744933939993712215e+02,1.798922060006287893e+02
2.700000000000000000e+01,4.996141029861176364e+00,5.894722507473326191e-03,4.993382214805831332e+00,4.998899844916521396e+00,1.549911715148233270e+03,5.884955291998658566e+01,1.522369276570308784e+03,1.577454153726157756e+03,1.799141999999999939e+02,6.640001864457572012e+00,1.768065834687787969e+02,1.830218165312211909e+02
2.800000000000000000e+01,4.876386116030535511e+00,6.497510025150542851e-03,4.873345187732907036e+00,4.879427044328163987e+00,1.606246538970830443e+03,5.591511701118373168e+01,1.580077458672941475e+03,1.632415619268719411e+03,1.850039999999999623e+02,6.258090954915885185e+00,1.820751232764131942e+02,1.879328767235867303e+02
2.900000000000000000e+01,4.756043705546153078e+00,7.316959715323109389e-03,4.752619262988187820e+00,4.759468148104118335e+00,1.650463716203641525e+03,5.560017306064628428e+01,1.624442034211818964e+03,1.676485398195464086e+03,1.886698000000000377e+02,6.153943447903956532e+00,1.857896658100875698e+02,1.915499341899125056e+02
3.000000000000000000e+01,4.635422005477211727e+00,8.257725119699150379e-03,4.631557271156936828e+00,4.639286739797486625e+00,1.691933249775306194e+03,4.694492205484194614e+01,1.669962349945380538e+03,1.713904149605231851e+03,1.919706000000000188e+02,5.101153324494369201e+00,1.895831867547798311e+02,1.943580132452202065e+02
3.100000000000000000e+01,4.514534936124951159e+00,9.362181617078354362e-03,4.510153300252638608e+00,4.518916571997263709e+00,1.726765263893246811e+03,4.021169618613566854e+01,1.707945610771554811e+03,1.745584917014938810e+03,1.945542000000000087e+02,4.327244753882085071e+00,1.925289871150782233e+02,1.965794128849217941e+02
3.200000000000000000e+01,4.393476763791541728e+00,1.075472220606223453e-02,4.388443398862060363e+00,4.398510128721023094e+00,1.756999465624788627e+03,3.013624960783349138e+01,1.742895266652856208e+03,1.771103664596721046e+03,1.966107999999999834e+02,3.182751287801173667e+00,1.951212265452575139e+02,1.981003734547424529e+02
3.300000000000000000e+01,4.272342014140284583e+00,1.230391844838215655e-02,4.266583603051025797e+00,4.278100425229543369e+00,1.773742911384325680e+03,3.018710307156035455e+01,1.759614912258752838e+03,1.787870910509898522e+03,1.972200000000000273e+02,3.210257310559393229e+00,1.957175533303434065e+02,1.987224466696566481e+02
3.400000000000000000e+01,4.151249543116709795e+00,1.440881058311379442e-02,4.144506012184437260e+00,4.157993074048982329e+00,1.794495727873003943e+03,2.121164169900174201e+01,1.784568373974053884e+03,1.804423081771954003e+03,1.982794000000000096e+02,2.211130489138988686e+00,1.972445590766086525e+02,1.993142409233913668e+02
3.500000000000000000e+01,4.030390814755019591e+00,1.716377844966027535e-02,4.022357919171978935e+00,4.038423710338060246e+00,1.805571363441297535e+03,3.009282166857336449e+01,1.791487489370580079e+03,1.819655237512014992e+03,1.983257999999999583e+02,3.159004520414620654e+00,1.968473403745003054e+02,1.998042596254996113e+02
3.600000000000000000e+01,3.910265174110802100e+00,2.072569336499295242e-02,3.900565251032944047e+00,3.919965097188660152e+00,1.818990938444351968e+03,2.815156100108339032e+01,1.805815602332635990e+03,1.832166274556067947e+03,1.986946000000000083e+02,2.882311371104793185e+00,1.973456367545350361e+02,2.000435632454649806e+02
3.700000000000000000e+01,3.791037163402088961e+00,2.550376866269541201e-02,3.779101032249946979e+00,3.802973294554230943e+00,1.830393872539118775e+03,2.606636362621580361e+01,1.818194438839069790e+03,1.842593306239167759e+03,1.988711999999999591e+02,2.626863559456412478e+00,1.976417900104748639e+02,2.001006099895250543e+02
3.800000000000000000e+01,3.673061526255284370e+00,3.150732682867225104e-02,3.658315643391685246e+00,3.687807409118883495e+00,1.840898255698533148e+03,1.984128733249039911e+01,1.831612247385010733e+03,1.850184264012055564e+03,1.990213999999999430e+02,1.941777855471631620e+00,1.981126199895720674e+02,1.999301800104278186e+02
