ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
0,-132.77168954876458,0.1000000014875404,8.367273391015738,0.3162277678350464,14.144,0.1000000014875404,0.0,20.0,20.10000000148754,-9.387138684160389,84.3904803478738,250,0,2.598834833704341
28,-64.77729911162102,0.04401832270370676,0.622562446666999,0.05817729363608938,5.696,0.04401832270370676,0.0,21.768964374533546,21.812982697237253,-11.372419085607623,8.542398848452953,250,0,5.252684527946019
58,-72.54489913646813,0.024263856935874628,0.49839743177508444,0.00982599706592951,5.54,0.024263856935874628,0.0,22.753901089478823,22.778164946414698,-13.094747136546593,7.979711125475271,250,0,6.149909952446987
88,-76.04125532032141,0.00020250902256790937,0.5073696877031579,0.01199633409565858,5.524,-0.00020250902256790937,0.0,23.106247390459092,23.106044881436524,-13.765614648863396,8.510341858229056,250,0,6.476129149991786
118,-75.76179721302891,0.0023187547096306105,0.530659966456864,0.020637523105749508,5.52,0.0023187547096306105,0.0,23.0879476288875,23.09026638359713,-13.724963263229876,8.880483060477049,250,0,6.4598258725690965
148,-76.9678899997447,0.0003780982744956418,0.499743934430424,0.019912664507816452,5.516,0.0003780982744956418,0.0,23.20708406254519,23.207462160819684,-13.953569615617239,8.49454882940372,250,0,6.570467928668191
178,-76.84576130271559,0.004513844394026023,0.49959983987187184,0.009150994592741345,5.52,0.004513844394026023,0.0,23.192226348272516,23.196740192666542,-13.921333569332534,8.424285835978763,250,0,6.552357405034322
208,-76.73459679355518,0.005313022134274092,0.4976906669810074,0.003362182870882332,5.548,0.005313022134274092,0.0,23.134144840965007,23.13945786309928,-13.831037634022204,8.348459447055891,250,0,6.4902873571111765
238,-78.13527543173768,0.0158027983364164,0.49897494927100305,0.008256746692145397,5.532,-0.0158027983364164,0.0,23.293774724147916,23.2779719258115,-14.124236339793507,8.55898007136509,250,0,6.638878087543073
268,-78.05768322615663,0.005402188445877698,0.5425863986500215,0.015968083757215843,5.56,0.005402188445877698,0.0,23.244748738050895,23.250150926496772,-14.039151659380689,9.256211529304501,250,0,6.578790859295413
298,-75.81825117668463,0.012160757131045585,0.49728864857344174,0.01547329170494839,5.552,-0.012160757131045585,0.0,23.039959893604497,23.02779913647345,-13.656025067846652,8.18276877441366,250,0,6.404913158906945
328,-77.23915984926315,0.016314399448781103,0.499743934430424,0.0055587644795135355,5.484,0.016314399448781103,0.0,23.290501662897693,23.306816062346474,-14.08445657353449,8.59370838805268,250,0,6.655532778183295
358,-74.0954971055963,0.00959789927404131,0.4921950832749145,0.0007219529100597616,5.588,0.00959789927404131,0.0,22.817144108071066,22.826742007345107,-13.259752524265625,7.937612130030736,250,0,6.195145493960336
388,-76.05920106736528,0.013080002437444449,0.4998559792580259,0.007412640711507888,5.512,-0.013080002437444449,0.0,23.126687432804005,23.11360743036656,-13.798839090596024,8.354392934721318,250,0,6.500936687177376
418,-76.74179619053281,0.0228290860929512,0.5228996079554852,0.017162062210035016,5.524,0.0228290860929512,0.0,23.172674540933972,23.195503627026923,-13.892432329929909,8.815233192590735,250,0,6.535670184072624
448,-76.93783817245401,0.017573508643835112,0.5222106854517627,0.020445566709532226,5.536,-0.017573508643835112,0.0,23.172294212792995,23.15472070414916,-13.89773088375253,8.81400869395201,250,0,6.52946642455846
478,-75.46229414762038,0.03110283540437564,0.4994236678412428,0.012808210054829329,5.524,0.03110283540437564,0.0,23.05170686557392,23.082809700978295,-13.660806326506227,8.271951938934725,250,0,6.427233649582323
508,-75.74624742311079,0.018921311970114374,0.4998559792580259,0.004104105038812001,5.512,-0.018921311970114374,0.0,23.098899534586835,23.07997822261672,-13.742062304628227,8.392472747217193,250,0,6.47342918974341
538,-75.21507029866044,0.017336151487263862,0.5219195340279955,0.028266339092156555,5.46,0.017336151487263862,0.0,23.135048946931438,23.1523850984187,-13.775653900853559,8.758839340174204,250,0,6.5268935919024225
568,-75.43079449315773,0.014179947823770078,0.4994236678412428,0.002615124930894118,5.476,0.014179947823770078,0.0,23.128908245740533,23.143088193564303,-13.77479811781551,8.36859723623651,250,0,6.515434344647128
598,-76.19841634232107,0.012421612656229541,0.49985597925802594,0.005501975687179097,5.512,-0.012421612656229541,0.0,23.140768928176545,23.128347315520315,-13.824095853106146,8.462790731390045,250,0,6.512336333432127
628,-76.61730919506115,0.005720736395179671,0.49959983987187184,0.01381048050182833,5.52,0.005720736395179671,0.0,23.17330918756974,23.17902992396492,-13.879947317945861,8.42053214725598,250,0,6.533063506487592
658,-75.47466952360415,0.01513596636522152,0.4863578929142612,0.005492625191774763,5.616,0.01513596636522152,0.0,22.908425051752385,22.923561018117606,-13.439221781268547,7.94468195830004,250,0,6.259554816107974
688,-76.15860622773937,0.0025645384418417905,0.49985597925802594,0.009763499575251106,5.512,-0.0025645384418417905,0.0,23.13869621544327,23.13613167700143,-13.81687340851585,8.449391583336425,250,0,6.508883854781116
718,-75.59875288289925,0.029001239378473542,0.4987023160162784,0.04350954225683791,5.464,-0.029001239378473542,0.0,23.152861638167824,23.12386039878935,-13.83578932703134,8.450522771272414,250,0,6.553019540893311
748,-78.44532249125466,0.007934341893449215,0.49728864857344174,0.0009734838660487935,5.552,0.007934341893449215,0.0,23.296895284518097,23.304829626411546,-14.129200736897452,8.570085317442897,250,0,6.626582666218619
778,-76.10823258776051,0.02310099028109036,0.5079370039680118,0.07103065455083496,5.5,0.02310099028109036,0.0,23.153864137049407,23.176965127330497,-13.83786047050191,8.5521116749278,250,0,6.52747397521717
