ITERATIONS,ReturnsStd,NormDeltaOmega,ConfortViolation,DeltaOmega,Traj,ReturnsMean,NormDeltaVar,RewardMean,RewardStd,TimestepsStd,TimestepsMean,OmegaBefore,Wins,Omega
0,157.39657373944652,0.10000000148546917,0,-0.10000000148546917,250,-225.1241531882728,0.3162277691783094,-17.42986630444973,5.05569364946595,8.339121296635515,12.916,24.0,0.0,23.89999999851453
28,11.556653679910974,0.056903547565106294,0,0.056903547565106294,250,-88.25275320600156,0.03046887065158136,-16.246824964286,7.720870740563846,0.5842739083683268,5.432,24.415468874883814,0.0,24.47237242244892
58,11.950931174343305,0.007844339004311252,0,-0.007844339004311252,250,-95.8487877236844,0.020575541990348785,-17.829015573602007,8.52680144150071,0.546465003454018,5.376,25.20878503076263,0.0,25.20094069175832
88,10.264408663904984,0.020017110047753306,0,0.020017110047753306,250,-92.8563229917016,0.030473163473256806,-17.401859631128485,8.360978794621737,0.4807327740023557,5.336,25.023697165502607,0.0,25.04371427555036
118,10.75270921232079,0.003476319872412148,0,-0.003476319872412148,250,-94.82341655421628,0.025465319397369235,-17.585945206642485,8.394927304439516,0.49632247581587524,5.392,25.095508106048587,0.0,25.092031786176175
148,10.534537249884085,0.012043576818697943,0,0.012043576818697943,250,-95.00159733514766,0.0030901796918923084,-17.645170381713907,8.4312619813411,0.4863578929142612,5.384,25.12369775605249,0.0,25.135741332871188
178,11.54864328687888,0.01666108972028013,0,0.01666108972028013,250,-94.71101740804414,0.005645716800945316,-17.333641546128135,8.207713547530112,0.5447054249775745,5.464,24.945509647579573,0.0,24.962170737299854
208,10.869728682211838,0.017517250121255046,0,-0.017517250121255046,250,-94.16133952298314,0.01577289731151704,-17.567414090108795,8.416832657347692,0.5043808085167396,5.36,25.090471645302607,0.0,25.072954395181352
238,10.460004326385874,0.007825385844835608,0,-0.007825385844835608,250,-93.98247230302601,0.018652065747478814,-17.442923590019678,8.330524808950875,0.4872945721019269,5.388,25.019307649126304,0.0,25.01148226328147
268,10.209403277957854,0.008445495507139356,0,0.008445495507139356,250,-93.1457662598793,0.019397438249539527,-17.443027389490503,8.376863024094018,0.4737087712930804,5.34,25.04104174968939,0.0,25.04948724519653
298,10.649906704860815,0.0019376174511265276,0,0.0019376174511265276,250,-95.70217771710045,0.0029404838459696912,-17.735763105467097,8.462762667825094,0.48906441293555597,5.396,25.163322611006592,0.0,25.16526022845772
328,10.583656633831428,0.016224281584690914,0,-0.016224281584690914,250,-93.29465187386263,0.009240200548995726,-17.149752182695337,8.142603507373508,0.5043808085167397,5.44,24.86077609722807,0.0,24.844551815643378
358,10.11830744726764,0.007853016981737682,0,0.007853016981737682,250,-92.51800145224968,0.0037261607087244273,-17.299551505656257,8.300101051026873,0.47633601585435464,5.348,24.964327510373966,0.0,24.972180527355704
388,10.585031155185574,0.006785556327802311,0,0.006785556327802311,250,-95.45005679484015,0.0058004287482951505,-17.68903943566348,8.440644589746698,0.48906441293555597,5.396,25.137950815695778,0.0,25.14473637202358
418,10.175219124922194,0.012745274188258549,0,0.012745274188258549,250,-93.82626332244674,0.004453945137724359,-17.610034407366125,8.468387130068788,0.4694848240358787,5.328,25.123203087442846,0.0,25.135948361631105
448,10.35616230763083,0.0062688016913412525,0,0.0062688016913412525,250,-93.72849479196849,0.007055899383216652,-17.447597690239853,8.34835143966923,0.48333839077813795,5.372,25.026529369290635,0.0,25.032798170981977
478,9.988898187797881,0.012334997003080161,0,-0.012334997003080161,250,-93.50297296289185,0.007720943055701201,-17.575746797536063,8.460059841546064,0.46647615158762407,5.32,25.113898763313014,0.0,25.101563766309933
508,10.23608968901982,0.0014775877920101266,0,-0.0014775877920101266,250,-93.53850963033254,0.01484453660211123,-17.464247503796216,8.371646897255584,0.4788152044369518,5.356,25.042050156196325,0.0,25.040572568404315
538,10.137999887946314,0.01961308081835611,0,0.01961308081835611,250,-91.8729372962031,0.014389370357036965,-17.08946006253778,8.173213407287431,0.4843800161030593,5.376,24.855994751233784,0.0,24.87560783205214
568,10.392181498573791,0.002089339368797738,0,-0.002089339368797738,250,-93.40150997370209,0.012583367155197249,-17.296575921055947,8.249404827739689,0.4898979485566356,5.4,24.94022179205021,0.0,24.938132452681412
598,10.350337618293253,0.01565797538909308,0,-0.01565797538909308,250,-94.56878024139014,0.026983455816089942,-17.617134918291754,8.433148209542125,0.4822613399392492,5.368,25.115730803784256,0.0,25.100072828395163
628,10.542403508127352,0.00987194532148905,0,-0.00987194532148905,250,-94.78960601807549,0.026383659868981252,-17.60579606576439,8.412381390379194,0.4863578929142612,5.384,25.102900713102635,0.0,25.093028767781146
658,10.621018071417453,0.00043615633899918294,0,0.00043615633899918294,250,-94.77110045275104,0.037880515123553476,-17.511289810190508,8.340439169492486,0.4921950832749145,5.412,25.045542491908805,0.0,25.045978648247804
