ITERATIONS,Traj,DeltaOmega,OmegaBefore,NormDeltaOmega,RewardStd,TimestepsMean,ReturnsMean,ReturnsStd,TimestepsStd,RewardMean,ConfortViolation,Wins,NormDeltaVar,Omega
0,250,-0.10000000148820831,25.0,0.10000000148820831,5.833951301975466,12.332,-241.94873800878878,148.00148264394338,6.936121106209146,-19.619586280310475,0,0.0,0.3162277689189294,24.89999999851179
28,250,-0.026634508179927963,23.73306882102254,0.026634508179927963,7.02086298483307,5.556,-83.21538420460222,12.285782412723337,0.6744360607203622,-14.977570951152307,0,0.0,0.04754765990652909,23.70643431284261
58,250,-0.008069230835566543,23.170036644242774,0.008069230835566543,6.4931791590510795,5.604,-78.02546420911804,9.417160139488065,0.557838686360134,-13.923173484853328,0,0.0,0.012833645023240579,23.161967413407208
88,250,0.006645618703696954,23.155145543764444,0.006645618703696954,6.474773788843977,5.608,-77.89290744345155,9.233502878928357,0.5498508888780667,-13.889605464238862,0,0.0,0.024650267096978415,23.16179116246814
118,250,-0.0037669801965840577,23.302686946398158,0.0037669801965840577,6.651763570518978,5.524,-78.10560588653081,9.353165511939329,0.545365932195989,-14.13932039944439,0,0.0,0.0013860747075690725,23.298919966201574
148,250,-0.001886315328299304,23.01143222659509,0.001886315328299304,6.375678184988999,5.552,-75.47040911365899,8.941470837291641,0.5434114463277343,-13.593373399434256,0,0.0,0.003556106943897009,23.00954591126679
178,250,0.012273898792248161,23.163459096299114,0.012273898792248161,6.517852287230451,5.532,-76.7147619821684,8.47408325923134,0.498974949271003,-13.8674551666971,0,0.0,0.009143096370908262,23.175732995091362
208,250,-0.006430016241044001,23.17060818414386,0.006430016241044001,6.530022904210431,5.536,-76.9409984994148,8.386207857513575,0.4987023160162784,-13.898301752061922,0,0.0,0.004663433443445803,23.164178167902815
238,250,0.02428915403462284,23.297414155263947,0.02428915403462284,6.623853775699797,5.56,-78.5928589114119,8.517148059512326,0.4963869458396343,-14.135406279030917,0,0.0,0.004366616398382334,23.32170330929857
268,250,0.01017731662325616,23.076315797883158,0.01017731662325616,6.436780795171083,5.552,-76.19940298747187,8.316814073033367,0.49728864857344174,-13.724676330596518,0,0.0,0.009688442248409727,23.086493114506414
298,250,-0.007706109698890629,23.096207877998495,0.007706109698890629,6.4512917664334095,5.548,-76.28204707658733,8.507628606561243,0.5056639200101191,-13.74946774992562,0,0.0,0.0008971092777100203,23.088501768299604
328,250,0.007427258266126557,23.12156047494095,0.007427258266126557,6.494518241928548,5.5,-75.72431570808394,8.376443028362942,0.5,-13.768057401469806,0,0.0,0.0042475229091018,23.128987733207076
358,250,-0.004062332296008719,23.292711091380223,0.004062332296008719,6.647555985169242,5.508,-77.69067929346659,8.61087853616823,0.49993599590347565,-14.105061600121022,0,0.0,0.0024441680025801557,23.288648759084214
388,250,0.01090858993177335,23.165468309193248,0.01090858993177335,6.52359184464498,5.528,-76.68832902443386,8.448405943644248,0.4992153843783262,-13.872707855360684,0,0.0,0.003725489374654719,23.17637689912502
418,250,-0.00965863660431765,23.10757348083477,0.00965863660431765,6.448750347103331,5.588,-77.13433342022145,8.21701811158768,0.4921950832749145,-13.803567183289447,0,0.0,0.007809474715370117,23.097914844230452
448,250,-0.009344083497424549,23.229616118578242,0.009344083497424549,6.572970953406458,5.552,-77.80869010324825,8.491079181411287,0.49728864857344174,-14.01453352003751,0,0.0,0.012200380987441996,23.220272035080818
478,250,-0.0024726656757252385,23.166136421974294,0.0024726656757252385,6.5396272118181775,5.492,-76.07136244979245,8.416622578077964,0.49993599590347565,-13.851304160559444,0,0.0,0.006156536308183004,23.16366375629857
508,250,0.009633436438026166,23.08636678855473,0.009633436438026166,6.441337784650423,5.548,-76.16575539349624,8.277675335310594,0.4976906669810074,-13.728506739995716,0,0.0,0.03195272620085761,23.096000224992757
538,250,0.013746849223156943,23.311135280910847,0.013746849223156943,6.652801728020655,5.524,-78.11662247731589,8.62133498852309,0.4994236678412428,-14.14131471348948,0,0.0,0.013122910424541424,23.324882130134004
568,250,0.021180401624988576,22.8315782953021,0.021180401624988576,6.225347602228916,5.536,-73.34813441692452,8.08465637901593,0.4987023160162784,-13.249301737161222,0,0.0,0.0047826191278987525,22.85275869692709
598,250,0.005338190354351013,23.053692586727184,0.005338190354351013,6.418270983607324,5.544,-75.80211237598162,8.286313989134067,0.4980602373207482,-13.672819692637379,0,0.0,0.01070773961675836,23.059030777081535
628,250,-0.0006452559830059101,23.48103410098412,0.0006452559830059101,6.8393580286251705,5.468,-79.00240576250565,8.81870844662691,0.49897494927100305,-14.4481356551766,0,0.0,0.02836106759569762,23.480388845001116
658,250,0.01355950168607123,23.172345758957597,0.01355950168607123,6.519339824983181,5.56,-77.35322929350028,8.422717400736962,0.49638694583963433,-13.912451311780629,0,0.0,0.003958712969710632,23.18590526064367
