Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
0.000000000000000000e+00,7.966034685197255882e+00,4.979745021824891552e-04,7.965801625956205001e+00,7.966267744438306764e+00,1.471704529401689001e+02,1.755873773290936413e+00,1.463486787184138507e+02,1.479922271619239496e+02,2.292895762953340011e+01,2.609950646903673177e-01,2.280680817925381376e+01,2.305110707981298646e+01
8.000000000000000000e+00,7.707840154514462583e+00,3.433699269436152335e-03,7.706233133789052836e+00,7.709447175239872330e+00,1.715842096760516711e+02,4.074348892054003635e+00,1.696773556977894089e+02,1.734910636543139333e+02,2.581524046012076568e+01,5.962474390135130697e-01,2.553618806887146420e+01,2.609429285137006715e+01
1.800000000000000000e+01,7.419433490646805573e+00,1.022282242539026588e-02,7.414649062477450592e+00,7.424217918816160555e+00,2.081067029429666491e+02,1.120513546905004176e+01,2.028625381175645259e+02,2.133508677683687722e+02,3.017436246930514088e+01,1.595447694470057742e+00,2.942766996360372289e+01,3.092105497500655886e+01
2.800000000000000000e+01,7.170555111035065821e+00,2.398440407025349830e-02,7.159330064400791116e+00,7.181780157669340525e+00,2.554531899695862762e+02,1.633274289909214616e+01,2.478092309964586661e+02,2.630971489427138863e+02,3.591215651250647767e+01,2.296269086793146563e+00,3.483746949887059685e+01,3.698684352614235848e+01
3.800000000000000000e+01,6.958913192836466699e+00,4.084739277200289537e-02,6.939796024554476972e+00,6.978030361118456426e+00,3.125321237494810021e+02,2.428735342780906947e+01,3.011652924514543770e+02,3.238989550475076271e+02,4.284209155746818709e+01,3.351208261635821639e+00,4.127367781210919873e+01,4.441050530282717546e+01
4.800000000000000000e+01,6.780515607269096634e+00,5.801898498502106732e-02,6.753361886450246487e+00,6.807669328087946781e+00,3.734356454698162224e+02,3.679044741367470550e+01,3.562171860615823675e+02,3.906541048780500773e+02,5.017417442123146998e+01,4.984312899474533154e+00,4.784144417817280015e+01,5.250690466429013981e+01
5.800000000000000000e+01,6.624984388408558189e+00,8.177744762335473205e-02,6.586711364800578394e+00,6.663257412016537984e+00,4.288424654366436926e+02,5.168779719528991734e+01,4.046518317131374260e+02,4.530330991601499591e+02,5.669720849379039151e+01,6.995777522777632207e+00,5.342308382902187702e+01,5.997133315855890601e+01
6.800000000000000000e+01,6.487255988689376807e+00,1.032612755878979938e-01,6.438928224088943608e+00,6.535583753289810005e+00,5.027583273950773446e+02,7.139746358050834374e+01,4.693432858575586124e+02,5.361733689325960768e+02,6.552110605493490425e+01,9.485485825781609037e+00,6.108176203657725978e+01,6.996045007329254872e+01
7.800000000000000000e+01,6.364988100564056950e+00,1.256944667608874411e-01,6.306161279312693324e+00,6.423814921815420576e+00,5.757712062836524183e+02,9.320529001871672392e+01,5.321497878003472124e+02,6.193926247669576242e+02,7.413128408017176696e+01,1.223169373863407650e+01,6.840667519557482024e+01,7.985589296476871368e+01
8.800000000000000000e+01,6.257613572916968181e+00,1.485753065518249094e-01,6.188078189012459873e+00,6.327148956821476489e+00,6.546089313309856834e+02,1.311812249779986246e+02,5.932142281894711004e+02,7.160036344725002664e+02,8.344201991746103886e+01,1.714640180190216157e+01,7.541725685590652972e+01,9.146678297901554799e+01
9.800000000000000000e+01,6.161559562752391805e+00,1.703491029407801782e-01,6.081833728455398713e+00,6.241285397049384898e+00,7.493279527619467899e+02,1.469114972851407401e+02,6.805712555637815058e+02,8.180846499601120740e+02,9.460279918265189281e+01,1.904416453079882743e+01,8.568985582400698320e+01,1.035157425412968024e+02
1.080000000000000000e+02,6.073744458123671919e+00,1.927784606896088548e-01,5.983521361273480998e+00,6.163967554973862839e+00,8.109836516982201147e+02,1.500015985291097707e+02,7.407807426005812204e+02,8.811865607958590090e+02,1.016266286006129320e+02,1.953841973173202362e+01,9.248236668748332079e+01,1.107708905137425432e+02
1.180000000000000000e+02,5.991525107237473335e+00,2.142014498859189653e-01,5.891275742814831240e+00,6.091774471660115431e+00,8.789178169252005546e+02,1.627506675712004949e+02,8.027481598474211069e+02,9.550874740029800023e+02,1.093014699697070853e+02,2.088163241739242793e+01,9.952856516880243021e+01,1.190743747706117404e+02
1.280000000000000000e+02,5.910483662186357456e+00,2.361066856237428735e-01,5.799982331862389096e+00,6.020984992510325817e+00,9.530477709550289092e+02,1.913079828865456591e+02,8.635128789009920638e+02,1.042582663009065755e+03,1.177127536184689234e+02,2.437407789543350844e+01,1.063053340202049810e+02,1.291201732167328657e+02
1.380000000000000000e+02,5.831038675264255566e+00,2.578343265255536032e-01,5.710368495980721271e+00,5.951708854547789862e+00,1.015659151943641859e+03,1.861258525587770691e+02,9.285495715389462248e+02,1.102768732348337380e+03,1.246031313390951709e+02,2.358502836858877316e+01,1.135649982867733740e+02,1.356412643914169678e+02
