Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
0.000000000000000000e+00,7.966179129273760040e+00,3.223702273823233024e-04,7.965948519505328562e+00,7.966409739042191518e+00,1.470938918175546917e+02,9.034215167112418232e-01,1.464476229965891605e+02,1.477401606385202228e+02,2.292027212513243484e+01,1.360732839889103873e-01,2.282293116171532077e+01,2.301761308854954891e+01
8.000000000000000000e+00,7.708103106451476449e+00,2.865380367119125301e-03,7.706053336817676680e+00,7.710152876085276219e+00,1.696994212170694141e+02,2.891503927724911716e+00,1.676309639137824092e+02,1.717678785203564189e+02,2.554509934897270895e+01,4.215949869157921137e-01,2.524350846356751177e+01,2.584669023437790614e+01
1.800000000000000000e+01,7.419879379887102111e+00,5.953997583381566948e-03,7.415620146597805551e+00,7.424138613176398671e+00,2.048655757071670394e+02,7.131620825303133238e+00,1.997639214991512517e+02,2.099672299151828270e+02,2.972010318522519157e+01,1.008495163723212240e+00,2.899866920523602332e+01,3.044153716521435982e+01
2.800000000000000000e+01,7.171422472233418333e+00,1.342008516113429861e-02,7.161822321634929267e+00,7.181022622831907398e+00,2.511122782700559526e+02,1.225607751645818411e+01,2.423448085787675268e+02,2.598797479613443784e+02,3.532513320822835823e+01,1.702507339610574100e+00,3.410723282540299550e+01,3.654303359105372095e+01
3.800000000000000000e+01,6.962953800429626305e+00,2.352500278594735206e-02,6.946125027224145043e+00,6.979782573635107568e+00,3.128261824951974290e+02,2.753615625221362961e+01,2.931280029567873271e+02,3.325243620336075310e+02,4.289680283306687159e+01,3.720700193798783584e+00,4.023517425445383822e+01,4.555843141167990495e+01
4.800000000000000000e+01,6.796259703717074885e+00,3.668558494924413493e-02,6.770016417174723244e+00,6.822502990259426525e+00,3.861437539647791937e+02,4.491161251305177160e+01,3.540159217961016793e+02,4.182715861334567080e+02,5.190107767397209670e+01,5.981667796834978290e+00,4.762205030639209014e+01,5.618010504155210327e+01
5.800000000000000000e+01,6.661275717935285279e+00,5.738150913835492889e-02,6.620227459099182532e+00,6.702323976771388025e+00,4.640602528457084190e+02,7.160059367765049387e+01,4.128402736880970565e+02,5.152802320033197248e+02,6.142873895662116723e+01,9.441415447128232330e+00,5.467475721455069504e+01,6.818272069869163943e+01
6.800000000000000000e+01,6.550666773042745028e+00,8.379649241247620617e-02,6.490722373500878106e+00,6.610611172584611950e+00,5.456282699932067999e+02,1.029207846184989563e+02,4.720031759503062858e+02,6.192533640361073140e+02,7.137568076538147466e+01,1.358970686591450061e+01,6.165419010897845453e+01,8.109717142178449478e+01
7.800000000000000000e+01,6.458726485450482002e+00,1.190286902138168040e-01,6.373578489899538901e+00,6.543874481001425103e+00,6.476706483759692219e+02,1.729644634581017897e+02,5.239393249568347528e+02,7.714019717951036910e+02,8.387162901636334311e+01,2.256183484842522802e+01,6.773186464658095929e+01,1.000113933861457269e+02
8.800000000000000000e+01,6.377172861852947960e+00,1.511492371413921398e-01,6.269047211234390460e+00,6.485298512471505461e+00,7.360897091172516866e+02,2.020775733629970716e+02,5.915321214738942217e+02,8.806472967606091515e+02,9.453371096099257898e+01,2.611151247828317778e+01,7.585466018478594208e+01,1.132127617371992159e+02
9.800000000000000000e+01,6.304673290195166757e+00,1.871823688437182498e-01,6.170771089970251033e+00,6.438575490420082481e+00,7.807644851268888715e+02,1.873887424262330228e+02,6.467146541345152855e+02,9.148143161192624575e+02,9.962020307567175337e+01,2.419150009660272005e+01,8.231464641621468559e+01,1.169257597351288211e+02
1.080000000000000000e+02,6.241393917877777753e+00,2.257770514552815133e-01,6.079882744913632564e+00,6.402905090841922942e+00,8.284540592655364435e+02,2.033499360385113164e+02,6.829862781953735293e+02,9.739218403356993576e+02,1.052001367059091308e+02,2.657539380443327204e+01,8.618924521949858786e+01,1.242110281923196737e+02
1.180000000000000000e+02,6.180874875860956408e+00,2.642620704132118137e-01,5.991833178809540250e+00,6.369916572912372565e+00,8.649227665752416669e+02,2.319958654984975794e+02,6.989629220384473456e+02,1.030882611112036102e+03,1.093484119216240771e+02,3.033150590271674218e+01,8.765055970617444814e+01,1.310462641370737060e+02
1.280000000000000000e+02,6.120612978950823013e+00,2.981041863386186264e-01,5.907362090560119405e+00,6.333863867341526621e+00,9.148053685301634914e+02,2.230247682923236141e+02,7.552630603337775028e+02,1.074347676726549480e+03,1.150751113694540493e+02,2.939726214715551933e+01,9.404557687638821051e+01,1.361046458625198738e+02
1.380000000000000000e+02,6.063164638134399986e+00,3.309764230193712464e-01,5.826398368220012891e+00,6.299930908048787082e+00,9.472784106559314523e+02,2.168690015320999009e+02,7.921396727229048338e+02,1.102417148588958071e+03,1.186149211111047634e+02,2.865499095954675823e+01,9.811637543818446261e+01,1.391134667840250643e+02
1.480000000000000000e+02,6.008165677236715574e+00,3.598324323640441635e-01,5.750757061759384392e+00,6.265574292714046756e+00,9.965259008841621835e+02,2.208732022667784918e+02,8.385227303027628523e+02,1.154529071465561401e+03,1.241793688206053048e+02,2.904688716001280469e+01,1.034004774942650471e+02,1.449582601469455767e+02
1.580000000000000000e+02,5.953194219400890219e+00,3.852968675682367228e-01,5.677569444344058525e+00,6.228818994457721914e+00,1.050043810264163540e+03,2.374858454543772268e+02,8.801566706523894936e+02,1.219930949875937586e+03,1.302030285346287144e+02,3.088366275034641006e+01,1.081101871050582020e+02,1.522958699641992268e+02
1.680000000000000000e+02,5.898071395777398251e+00,4.076770842378861781e-01,5.606436778169217483e+00,6.189706013385579020e+00,1.058865840788569585e+03,2.615783573680560607e+02,8.717439563976007548e+02,1.245987725179538302e+03,1.308334835951679338e+02,3.373773804105985619e+01,1.066989596962769582e+02,1.549680074940588952e+02
1.780000000000000000e+02,5.842451185725038521e+00,4.277280214723153118e-01,5.536472991695387869e+00,6.148429379754689172e+00,1.106262875207666639e+03,2.544117923748631256e+02,9.242676425765363319e+02,1.288258107838796832e+03,1.360455503385006182e+02,3.290892366183104656e+01,1.125039245295437667e+02,1.595871761474574555e+02
1.880000000000000000e+02,5.789088366072516756e+00,4.499204170650871748e-01,5.467234688595945080e+00,6.110942043549088432e+00,1.138914120883169062e+03,2.293246657829376716e+02,9.748651375100790801e+02,1.302963104256259157e+03,1.394531918524709795e+02,2.981400605906374679e+01,1.181255367240079011e+02,1.607808469809340579e+02
1.980000000000000000e+02,5.740278188566348305e+00,4.705005437718305927e-01,5.403702375324728635e+00,6.076854001807967975e+00,1.159654952287507740e+03,2.319975533062787747e+02,9.936939003657612375e+02,1.325616004209254243e+03,1.414555069742560534e+02,2.993905747322956401e+01,1.200383954530703221e+02,1.628726184954417988e+02
2.080000000000000000e+02,5.693546480102211760e+00,4.914874635258446034e-01,5.341957528879885508e+00,6.045135431324538011e+00,1.190170075308524474e+03,2.214509876130734938e+02,1.031753581989494705e+03,1.348586568627554243e+03,1.445376354829667491e+02,2.803816035939490448e+01,1.244803438396679525e+02,1.645949271262655316e+02
2.180000000000000000e+02,5.643113410839825761e+00,5.125620528069148030e-01,5.276448606635172567e+00,6.009778215044478955e+00,1.229634463434541885e+03,2.338728960721162480e+02,1.062331872114225462e+03,1.396937054754858309e+03,1.488012723439225908e+02,2.956382940165448403e+01,1.276525828150453492e+02,1.699499618727998325e+02
2.280000000000000000e+02,5.593527215901628935e+00,5.323914473577581186e-01,5.212677317364171614e+00,5.974377114439086256e+00,1.253769199475376126e+03,2.210168962881159018e+02,1.095663236383468984e+03,1.411875162567283269e+03,1.511481504020019315e+02,2.773854443734841624e+01,1.313051910776724469e+02,1.709911097263314161e+02
2.380000000000000000e+02,5.540591092305149346e+00,5.446680785066302377e-01,5.150959020893513873e+00,5.930223163716784818e+00,1.276873800761032271e+03,2.218465573710368801e+02,1.118174333883857571e+03,1.435573267638206971e+03,1.533966220934242699e+02,2.806965119734624281e+01,1.333168032617227539e+02,1.734764409251257860e+02
2.480000000000000000e+02,5.486566355105319204e+00,5.548390784103490736e-01,5.089658388672114953e+00,5.883474321538523455e+00,1.312007535560092947e+03,2.445242042425856255e+02,1.137085457382602044e+03,1.486929613737583850e+03,1.570140152031543721e+02,3.037879279828080925e+01,1.352823359804019390e+02,1.787456944259068052e+02
2.580000000000000000e+02,5.430700420851261256e+00,5.637634246863770793e-01,5.027408361678388893e+00,5.833992480024133620e+00,1.309931607660465943e+03,2.443465844008827901e+02,1.135136591063371270e+03,1.484726624257560616e+03,1.562093019675532446e+02,3.044585362639932669e+01,1.344296503182873153e+02,1.779889536168191739e+02
2.680000000000000000e+02,5.377980935525907391e+00,5.744169602562340105e-01,4.967067796110326228e+00,5.788894074941488554e+00,1.341889962790475920e+03,2.730013387706929961e+02,1.146596569766562880e+03,1.537183355814388960e+03,1.593490738682724555e+02,3.308550439648174546e+01,1.356811298113250359e+02,1.830170179252198750e+02
2.780000000000000000e+02,5.325233106238274949e+00,5.877627686678378316e-01,4.904772950609933346e+00,5.745693261866616552e+00,1.344954834288434995e+03,2.945975652554851649e+02,1.134212431506110079e+03,1.555697237070759911e+03,1.592640484320208145e+02,3.570833829690773342e+01,1.337198420312371638e+02,1.848082548328044652e+02
2.880000000000000000e+02,5.271107015580332344e+00,5.972098670035115298e-01,4.843888812916353537e+00,5.698325218244311152e+00,1.365461488537455125e+03,2.931193878491608871e+02,1.155776510170967413e+03,1.575146466903942837e+03,1.610881120407072729e+02,3.534390093054700088e+01,1.358046084267369338e+02,1.863716156546776119e+02
2.980000000000000000e+02,5.212800268650200408e+00,6.014431997797031748e-01,4.782553722149577524e+00,5.643046815150823292e+00,1.387357365577480550e+03,3.094842740058737149e+02,1.165965652883660596e+03,1.608749078271300505e+03,1.630086359160921745e+02,3.696315506789799343e+01,1.365667876724755274e+02,1.894504841597088216e+02
3.080000000000000000e+02,5.152375229849973870e+00,5.991099874882893639e-01,4.723797762875067363e+00,5.580952696824880377e+00,1.385410774292317456e+03,3.016479888423355078e+02,1.169624802307248274e+03,1.601196746277386637e+03,1.622408484599874043e+02,3.640423485564927830e+01,1.361988276500793518e+02,1.882828692698954569e+02
3.180000000000000000e+02,5.094847246545904262e+00,5.972472998042231973e-01,4.667602266069426520e+00,5.522092227022382005e+00,1.393557727085509669e+03,3.162922058006687962e+02,1.167295913367029016e+03,1.619819540803990321e+03,1.625818835821841617e+02,3.782741661985860304e+01,1.355217798688232165e+02,1.896419872955451069e+02
3.280000000000000000e+02,5.038245051757600734e+00,5.954929635668551047e-01,4.612255047823887288e+00,5.464235055691314180e+00,1.410331185154660943e+03,3.247206190987562309e+02,1.178040047777170912e+03,1.642622322532150974e+03,1.638873671971754789e+02,3.842027460404261063e+01,1.364031584305793672e+02,1.913715759637715905e+02
3.380000000000000000e+02,4.976723554515732673e+00,5.997865183202713002e-01,4.547662126538077665e+00,5.405784982493387680e+00,1.436115044367440760e+03,3.219850614767804018e+02,1.205780807026462298e+03,1.666449281708419221e+03,1.661757282495671859e+02,3.776608575565759907e+01,1.391594979934604623e+02,1.931919585056739095e+02
3.480000000000000000e+02,4.917996368559061970e+00,6.016881644538198959e-01,4.487574584887094709e+00,5.348418152231029232e+00,1.454148485275614348e+03,3.018309867566430853e+02,1.238231604468770456e+03,1.670065366082458240e+03,1.676300935651734960e+02,3.525117891818940308e+01,1.424129192830769739e+02,1.928472678472700181e+02
3.580000000000000000e+02,4.861985719411102913e+00,6.024395750041994235e-01,4.431026409012716272e+00,5.292945029809489554e+00,1.464330716230678945e+03,2.971521476399214521e+02,1.251760875297822849e+03,1.676900557163535041e+03,1.681541194572600375e+02,3.433622952757050228e+01,1.435914605403398525e+02,1.927167783741802225e+02
3.680000000000000000e+02,4.805424507634212361e+00,6.132809095942310940e-01,4.366709773667103889e+00,5.244139241601320833e+00,1.486402035641038992e+03,2.896515430403891287e+02,1.279197804007277909e+03,1.693606267274800075e+03,1.700483095790068830e+02,3.307353951729273689e+01,1.463889246810162206e+02,1.937076944769975455e+02
3.780000000000000000e+02,4.744831788825530694e+00,6.235150446246875422e-01,4.298795995687934024e+00,5.190867581963127364e+00,1.519827862676623681e+03,2.739694011675642855e+02,1.323841959531715929e+03,1.715813765821531433e+03,1.731450010260860495e+02,3.097092034142139383e+01,1.509897392761432684e+02,1.953002627760288306e+02
3.880000000000000000e+02,4.682405078958256972e+00,6.321498072122475609e-01,4.230192348772388478e+00,5.134617809144125467e+00,1.540111936688098012e+03,2.680548368807935162e+02,1.348357057951432125e+03,1.731866815424763900e+03,1.747783419480011275e+02,2.979283818933398820e+01,1.534658294013335365e+02,1.960908544946687186e+02
3.980000000000000000e+02,4.625471318886284600e+00,6.478652450718476175e-01,4.162016441697482527e+00,5.088926196075086672e+00,1.565963432619213108e+03,2.431880038812212774e+02,1.391997214597960465e+03,1.739929650640465752e+03,1.771250734548136165e+02,2.681059296900530242e+01,1.579459306217521828e+02,1.963042162878750503e+02
4.080000000000000000e+02,4.569014992393869434e+00,6.615042344390077433e-01,4.095803369971055652e+00,5.042226614816683217e+00,1.579276827878782115e+03,2.459393298037094553e+02,1.403342429858351352e+03,1.755211225899212877e+03,1.780247190908936830e+02,2.653789587793546190e+01,1.590406520051622579e+02,1.970087861766251081e+02
4.180000000000000000e+02,4.509611183584822491e+00,6.776571103972397481e-01,4.024844489794292102e+00,4.994377877375352881e+00,1.601616869762314309e+03,2.152176858113280957e+02,1.447659411934049785e+03,1.755574327590578832e+03,1.799378902482534670e+02,2.255394257118491197e+01,1.638037716734986304e+02,1.960720088230083036e+02
4.280000000000000000e+02,4.447944317782602575e+00,6.988928912201080035e-01,3.947986461527138502e+00,4.947902174038066647e+00,1.621451650322072737e+03,2.074771590056410560e+02,1.473031431799967550e+03,1.769871868844177925e+03,1.815209325324752001e+02,2.118325520522818550e+01,1.663673446308594350e+02,1.966745204340909652e+02
4.380000000000000000e+02,4.383825616873929576e+00,7.165006066046248900e-01,3.871271959820103969e+00,4.896379273927754738e+00,1.630845454569993763e+03,2.267047566502720031e+02,1.468670641287924354e+03,1.793020267852063171e+03,1.819305561696086215e+02,2.307108183246360511e+01,1.654264984529588673e+02,1.984346138862583757e+02
4.480000000000000000e+02,4.319102138502090682e+00,7.409765500002709615e-01,3.789039446310485282e+00,4.849164830693696082e+00,1.657894526132140072e+03,2.090580601301787169e+02,1.508343399072968623e+03,1.807445653191311521e+03,1.842900540020184224e+02,2.020655825661469507e+01,1.698351530076161282e+02,1.987449549964207165e+02
4.580000000000000000e+02,4.252004231195548378e+00,7.625924290968365549e-01,3.706478470613979059e+00,4.797529991777118141e+00,1.665675071815091314e+03,2.235044795451902644e+02,1.505789598861103968e+03,1.825560544769078660e+03,1.845136293333281969e+02,2.169409240616613133e+01,1.689946105122039910e+02,2.000326481544524029e+02
4.680000000000000000e+02,4.186252375808207304e+00,7.835218426653778323e-01,3.625754614692844768e+00,4.746750136923569841e+00,1.681893008830930285e+03,2.044390840115867718e+02,1.535646098236623629e+03,1.828139919425236940e+03,1.857811278997028523e+02,1.934346807591221662e+01,1.719436444265259354e+02,1.996186113728797693e+02
4.780000000000000000e+02,4.122727081833799545e+00,8.023236053434106285e-01,3.548779349942624783e+00,4.696674813724974307e+00,1.685208167494129611e+03,2.124904565225805868e+02,1.533201651971686715e+03,1.837214683016572508e+03,1.856542645367792659e+02,2.045690144537525157e+01,1.710202788134389209e+02,2.002882502601196109e+02
4.880000000000000000e+02,4.056624169488514120e+00,8.249366469409465941e-01,3.466500042125949310e+00,4.646748296851079374e+00,1.708668055219183316e+03,2.013665687540316185e+02,1.564619089633013346e+03,1.852717020805353286e+03,1.875975764781195210e+02,1.860579670067137670e+01,1.742877913175446736e+02,2.009073616386943684e+02
4.980000000000000000e+02,3.985541286490464241e+00,8.471633451759760236e-01,3.379517137048947184e+00,4.591565435931981298e+00,1.723595409077767499e+03,2.117716942080415663e+02,1.572103065140768649e+03,1.875087753014766349e+03,1.885756229204227452e+02,1.942246335693023696e+01,1.746816296274319313e+02,2.024696162134135591e+02
5.080000000000000000e+02,3.919536104901415907e+00,8.727072038222231098e-01,3.295238979772629584e+00,4.543833230030202230e+00,1.737887835568477840e+03,1.877428672088095425e+02,1.603584678967319178e+03,1.872190992169636502e+03,1.896999577021419441e+02,1.662049916912240732e+01,1.778103688411312362e+02,2.015895465631526520e+02
5.180000000000000000e+02,3.852767959006210052e+00,8.954546941565871832e-01,3.212198259573646908e+00,4.493337658438773197e+00,1.737931685572745891e+03,2.069265879721449153e+02,1.589905321841669547e+03,1.885958049303822236e+03,1.890978993293540498e+02,1.843718895881358222e+01,1.759087288813142322e+02,2.022870697773938673e+02
5.280000000000000000e+02,3.792586721342676270e+00,9.176998668876537035e-01,3.136103783972837178e+00,4.449069658712515363e+00,1.752473013075264362e+03,1.763623978808307697e+02,1.626310953800856851e+03,1.878635072349671873e+03,1.903119065776975845e+02,1.479333477637387340e+01,1.797293923833501879e+02,2.008944207720449810e+02
5.380000000000000000e+02,3.737282166054323174e+00,9.430394418734809880e-01,3.062672388724469119e+00,4.411891943384176784e+00,1.752105905671016899e+03,1.742535790177629451e+02,1.627452404533707977e+03,1.876759406808325821e+03,1.899131006154606496e+02,1.444268661082693761e+01,1.795814250078968541e+02,2.002447762230244450e+02
5.480000000000000000e+02,3.686259849041773062e+00,9.718780031488988280e-01,2.991020207745812343e+00,4.381499490337733782e+00,1.749468357381257647e+03,1.957178366254065054e+02,1.609460251333175847e+03,1.889476463429339447e+03,1.892900455275694753e+02,1.696762266596479307e+01,1.771521394758741792e+02,2.014279515792647715e+02
5.580000000000000000e+02,3.638987179688383922e+00,1.004942254791040490e+00,2.920094797640063522e+00,4.357879561736703877e+00,1.757238505001680551e+03,1.831047608075251389e+02,1.626253249845223536e+03,1.888223760158137566e+03,1.898004859893073331e+02,1.498749171734579555e+01,1.790790802863970441e+02,2.005218916922176220e+02
5.680000000000000000e+02,3.596897024714857061e+00,1.041822939091284983e+00,2.851621790456100314e+00,4.342172258973613808e+00,1.755139468564631443e+03,1.921668067444678911e+02,1.617671616265123021e+03,1.892607320864139865e+03,1.892467364968310335e+02,1.502370626582792212e+01,1.784994244665680867e+02,1.999940485270939803e+02
5.780000000000000000e+02,3.560080214304366386e+00,1.081901756931373804e+00,2.786134320921286989e+00,4.334026107687446228e+00,1.763228223781058205e+03,1.910102715482678093e+02,1.626587706921128756e+03,1.899868740640987653e+03,1.898722908386657764e+02,1.428521117337036550e+01,1.796532663728044383e+02,2.000913153045271144e+02
5.880000000000000000e+02,3.522223166183303000e+00,1.118638806289256049e+00,2.721997170837742175e+00,4.322449161528863826e+00,1.783720834063459506e+03,1.783301427236005736e+02,1.656151134926624081e+03,1.911290533200294931e+03,1.918769612538530112e+02,1.232659150582694174e+01,1.830590488933033839e+02,2.006948736144026384e+02
