Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
0.000000000000000000e+00,7.999797588561858852e+00,4.164944829024148335e-04,7.999499646357223881e+00,8.000095530766493823e+00,1.476426361534589091e+02,1.022370656671783617e+00,1.469112762437654851e+02,1.483739960631523331e+02,2.299987782930478630e+01,1.526317066092289232e-01,2.289069168391454667e+01,2.310906397469502593e+01
1.000000000000000000e+00,7.999487272284342865e+00,7.204655917768107085e-04,7.998971882247763787e+00,8.000002662320921942e+00,1.478723363656817469e+02,1.651702353098905673e+00,1.466907796808143303e+02,1.490538930505491635e+02,2.303549313040284829e+01,2.459949106944826214e-01,2.285951897220836315e+01,2.321146728859733344e+01
2.000000000000000000e+00,7.999280756333723374e+00,8.935134422558382557e-04,7.998641575322244179e+00,7.999919937345202570e+00,1.489795669712312360e+02,1.679373925150105418e+00,1.477782152361984345e+02,1.501809187062640376e+02,2.319946607209698541e+01,2.494600806719965147e-01,2.302101308062878715e+01,2.337791906356518368e+01
3.000000000000000000e+00,7.999086263532222851e+00,8.913210980297296649e-04,7.998448650829326212e+00,7.999723876235119491e+00,1.507300621590989635e+02,1.687072134600206441e+00,1.495232034567725634e+02,1.519369208614253637e+02,2.346021124293561400e+01,2.511617887035438312e-01,2.328054092287513299e+01,2.363988156299609500e+01
4.000000000000000000e+00,7.998661824594255343e+00,9.541452825302872446e-04,7.997979270177115296e+00,7.999344379011395390e+00,1.512888343405789158e+02,2.014745407607168914e+00,1.498475722995108868e+02,1.527300963816469448e+02,2.354440669805120123e+01,3.009592881727371494e-01,2.332911339284626351e+01,2.375970000325613896e+01
5.000000000000000000e+00,7.998297476520439986e+00,1.004156223555212725e-03,7.997579146431264441e+00,7.999015806609615531e+00,1.514057270830531365e+02,1.621799057924318443e+00,1.502455619268995974e+02,1.525658922392066756e+02,2.356005026867397234e+01,2.432171130414695903e-01,2.338606322721390995e+01,2.373403731013403473e+01
6.000000000000000000e+00,7.997929886076311057e+00,1.119460071331043359e-03,7.997129072583346598e+00,7.998730699569275515e+00,1.523824768820439317e+02,2.882300092179469697e+00,1.503206036060756219e+02,1.544443501580122415e+02,2.370498388393340505e+01,4.315120644953548412e-01,2.339629874859480196e+01,2.401366901927200814e+01
7.000000000000000000e+00,7.997647362803133930e+00,1.139174972967682076e-03,7.996832446119133131e+00,7.998462279487134730e+00,1.524356574796834707e+02,2.304676985603393291e+00,1.507869908820421188e+02,1.540843240773248226e+02,2.371253124487287778e+01,3.448271729711056555e-01,2.346585674532789412e+01,2.395920574441786144e+01
8.000000000000000000e+00,7.997414417071124326e+00,1.030490615191533791e-03,7.996677248493027967e+00,7.998151585649220685e+00,1.533843560824050485e+02,2.862585031355796339e+00,1.513365861113482254e+02,1.554321260534618716e+02,2.385284189554113965e+01,4.281870619775587916e-01,2.354653532371595048e+01,2.415914846736632882e+01
9.000000000000000000e+00,7.997256677712084816e+00,1.087571664563332600e-03,7.996478675811121484e+00,7.998034679613048148e+00,1.543505448271585578e+02,2.890473374209652224e+00,1.522828247374456510e+02,1.564182649168714647e+02,2.399845064819113460e+01,4.331659616913417499e-01,2.368858238607164424e+01,2.430831891031062497e+01
1.000000000000000000e+01,7.996960869432143681e+00,1.075575651655200993e-03,7.996191448961857517e+00,7.997730289902429845e+00,1.552646639112619482e+02,2.950780420172067320e+00,1.531538027597422342e+02,1.573755250627816622e+02,2.413094996678346860e+01,4.423242864405029229e-01,2.381453023380771228e+01,2.444736969975922491e+01
1.100000000000000000e+01,7.996598188543647900e+00,1.215383608854074364e-03,7.995728755485672856e+00,7.997467621601622945e+00,1.565961929826664800e+02,3.594298396179764321e+00,1.540249868029050333e+02,1.591673991624279267e+02,2.432974634149929472e+01,5.364582741477852412e-01,2.394598721033227662e+01,2.471350547266631281e+01
1.200000000000000000e+01,7.996198074747018936e+00,1.155645821554331576e-03,7.995371375527734692e+00,7.997024773966303179e+00,1.568531789291010625e+02,3.059604790519802275e+00,1.546644695127171474e+02,1.590418883454849777e+02,2.437043093722617471e+01,4.584096506944276839e-01,2.404250442784660891e+01,2.469835744660574051e+01
1.300000000000000000e+01,7.995849235852250381e+00,1.261018305056304254e-03,7.994947157699195728e+00,7.996751314005305034e+00,1.580551611920580797e+02,3.353272341835028314e+00,1.556563746647866253e+02,1.604539477193295340e+02,2.454607620399402990e+01,5.021865961914770971e-01,2.418683355433164195e+01,2.490531885365641784e+01
1.400000000000000000e+01,7.995616643487494457e+00,1.354143885500392122e-03,7.994647947307348623e+00,7.996585339667640291e+00,1.579823349220013426e+02,3.389975580541326305e+00,1.555572924794505241e+02,1.604073773645521612e+02,2.453577593383878153e+01,5.075957921768382564e-01,2.417266377847261438e+01,2.489888808920494867e+01
