Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
0.000000000000000000e+00,7.999797588561858852e+00,4.164944829024148335e-04,7.999499646357223881e+00,8.000095530766493823e+00,1.476426361534589091e+02,1.022370656671783617e+00,1.469112762437654851e+02,1.483739960631523331e+02,2.299987782930478630e+01,1.526317066092289232e-01,2.289069168391454667e+01,2.310906397469502593e+01
8.000000000000000000e+00,7.997414417071124326e+00,1.030490615191533791e-03,7.996677248493027967e+00,7.998151585649220685e+00,1.533843560824050485e+02,2.862585031355796339e+00,1.513365861113482254e+02,1.554321260534618716e+02,2.385284189554113965e+01,4.281870619775587916e-01,2.354653532371595048e+01,2.415914846736632882e+01
1.800000000000000000e+01,7.994873617517176179e+00,1.588673387631818435e-03,7.993737149038031120e+00,7.996010085996321237e+00,1.625283364040970753e+02,2.829230283416287683e+00,1.605044269823250715e+02,1.645522458258690790e+02,2.521323664807654197e+01,4.215817743919857419e-01,2.491165521434149710e+01,2.551481808181158684e+01
2.800000000000000000e+01,7.991852192697689539e+00,1.357011029349038589e-03,7.990881445486390788e+00,7.992822939908988289e+00,1.725895637599290637e+02,5.571652262869580596e+00,1.686038438361190401e+02,1.765752836837390873e+02,2.670574313883624384e+01,8.301861267863512861e-01,2.611186375981360897e+01,2.729962251785887872e+01
3.800000000000000000e+01,7.988667467861032989e+00,1.489993583282312860e-03,7.987601590661406625e+00,7.989733345060659353e+00,1.857807667512977901e+02,5.695969498354150673e+00,1.817061156345549477e+02,1.898554178680406324e+02,2.866559147951152653e+01,8.485744887397398406e-01,2.805855785877638198e+01,2.927262510024667108e+01
4.800000000000000000e+01,7.985910017785758264e+00,1.453644121799383326e-03,7.984870143424431355e+00,7.986949892147085173e+00,1.988608080239236813e+02,8.444282899940002807e+00,1.928201319356343788e+02,2.049014841122129837e+02,3.060775616057349069e+01,1.257804844273288536e+00,2.970797677888199573e+01,3.150753554226498565e+01
5.800000000000000000e+01,7.983112503076016608e+00,2.279698133138941853e-03,7.981481705272988059e+00,7.984743300879045158e+00,2.133977407714073138e+02,1.189309104935462891e+01,2.048899359561287667e+02,2.219055455866858608e+02,3.276627835461746230e+01,1.773129086379695130e+00,3.149785821753037141e+01,3.403469849170455319e+01
6.800000000000000000e+01,7.979581388803405062e+00,2.179157664519977815e-03,7.978022513318931530e+00,7.981140264287878594e+00,2.310161444403494784e+02,1.330635914838510026e+01,2.214973485304670078e+02,2.405349403502319490e+02,3.537677886318362397e+01,1.981142003150948794e+00,3.395955524955687821e+01,3.679400247681036973e+01
7.800000000000000000e+01,7.976107468557510849e+00,2.268573778506640954e-03,7.974484628638393247e+00,7.977730308476628451e+00,2.555162014882408528e+02,1.254587047058966220e+01,2.465414264059180880e+02,2.644909765705635891e+02,3.900699131947357756e+01,1.864636836114808682e+00,3.767311048166529730e+01,4.034087215728185782e+01
8.800000000000000000e+01,7.972647932944518345e+00,3.004911020062473685e-03,7.970498349094543578e+00,7.974797516794493113e+00,2.833794244591067581e+02,1.309707730622619870e+01,2.740103397603031112e+02,2.927485091579104051e+02,4.313590186128388382e+01,1.939436629191391148e+00,4.174851247493444362e+01,4.452329124763332402e+01
9.800000000000000000e+01,7.968739728258993793e+00,3.883079359677503711e-03,7.965961940622686477e+00,7.971517515895301109e+00,3.108833935710931655e+02,1.477741409102970138e+01,3.003122683489542055e+02,3.214545187932321255e+02,4.720089591787500183e+01,2.189770083134107814e+00,4.563442876645667923e+01,4.876736306929332443e+01
1.080000000000000000e+02,7.964777017176901452e+00,4.063594256712977498e-03,7.961870096962372578e+00,7.967683937391430327e+00,3.474662036817235276e+02,1.353321177605973702e+01,3.377851271780004936e+02,3.571472801854465615e+02,5.260513843954269220e+01,2.000801773408257045e+00,5.117385107349294060e+01,5.403642580559244379e+01
1.180000000000000000e+02,7.959367904881686329e+00,4.175027455992100407e-03,7.956381270158500385e+00,7.962354539604872272e+00,3.755965743568239645e+02,2.804274516041922993e+01,3.555360029444499901e+02,3.956571457691979390e+02,5.674149416966456272e+01,4.146132981650593408e+00,5.377552930824307964e+01,5.970745903108604580e+01
1.280000000000000000e+02,7.954595048331682960e+00,4.347578998808245693e-03,7.951484977670711274e+00,7.957705118992654647e+00,4.118519508159803308e+02,3.100516396249220819e+01,3.896721926552197033e+02,4.340317089767409584e+02,6.207854613661057641e+01,4.590215547107784566e+00,5.879490374517615692e+01,6.536218852804499591e+01
1.380000000000000000e+02,7.949405433171283342e+00,4.573527727082916418e-03,7.946133728527149387e+00,7.952677137815417296e+00,4.590090512245454306e+02,3.219756981299597953e+01,4.359762973039286749e+02,4.820418051451621864e+02,6.900685628959726614e+01,4.762903032970739581e+00,6.559968071257920030e+01,7.241403186661533198e+01
1.480000000000000000e+02,7.944781389911956815e+00,4.711854523173963916e-03,7.941410732238960435e+00,7.948152047584953195e+00,4.981382641902132491e+02,4.281295762345567368e+01,4.675117192900194141e+02,5.287648090904070841e+02,7.474519992185584272e+01,6.313350708815991474e+00,7.022890089260376101e+01,7.926149895110792443e+01
1.580000000000000000e+02,7.939414389122079641e+00,4.802105163942055333e-03,7.935979170029943575e+00,7.942849608214215706e+00,5.526605771785704064e+02,4.173516148663575365e+01,5.228050411880597039e+02,5.825161131690811089e+02,8.272726645903702547e+01,6.140440541677857134e+00,7.833465991195662070e+01,8.711987300611743024e+01
1.680000000000000000e+02,7.933578682142527150e+00,5.276616745650487134e-03,7.929804017913460790e+00,7.937353346371593510e+00,6.140232564336562291e+02,4.194564143845011017e+01,5.840171521560505425e+02,6.440293607112619156e+02,9.170416173816080629e+01,6.150309941287001259e+00,8.730449504791239690e+01,9.610382842840921569e+01
