Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[7.95606514],0.5607682827717468,12.994018043048946,1e-07,1.369378240936153,1.7144625826211335,1.0,0.0,13.633088571560004,0.5607682827717753,118.88040192693737,24.836,207.8520286367503,0,[8.],[-0.04393486],8.368981665193683,0.0001,8.78452017974808,9.780550392096394
[7.90991116],0.4253972668334711,14.229615430331357,1e-07,0.47639593538953356,1.1045224679090235,1.0,0.14534341634480794,35.9221645227567,0.4253972668337269,313.7466892905356,61.564,528.9684846686819,1,[7.95606514],[-0.04615399],8.59217212443444,0.0001,8.809098079757963,9.746861268425173
[7.86702851],0.44387141321861634,14.065133512202483,1e-07,0.34429134833244857,1.03934814037104,1.0,0.10684867901954409,37.49538099553064,0.44387141321851686,328.0246172748455,69.898,602.742699436915,2,[7.90991116],[-0.04288265],8.623175190090059,0.0001,8.821334197576245,9.756362518385444
[7.82392374],0.46152280976603777,13.90441989987442,1e-07,0.2981729646442569,0.9143473757976113,1.0,0.09230748484074158,42.8397558816574,0.4615228097657962,375.64732485196123,89.646,776.803512593288,3,[7.86702851],[-0.04310477],8.665233391264396,0.0001,8.833553816830804,9.770588357011574
[7.7818881],0.5030321448985831,13.546043726047966,1e-07,0.20754693297227478,0.8501985645640912,1.0,0.09655599351081952,45.860723762278326,0.5030321448990236,403.02650801946123,102.504,891.0212630436788,4,[7.82392374],[-0.04203564],8.692551149649562,0.0001,8.84368784175603,9.78525099900627
[7.7403309],0.49569706832977545,13.608380516231252,1e-07,0.24534638973717476,0.841647993797997,1.0,0.08682180863266292,45.51449878884749,0.49569706833004545,400.69152557242836,104.28,907.9890389737793,5,[7.7818881],[-0.04155721],8.707221317355,0.0001,8.857118486755486,9.79600571063375
[7.69911383],0.5265484896138588,13.327447226582457,1e-07,0.1839440551624098,0.8250604868479506,1.0,0.08699749296369998,43.776101425321094,0.5265484896136456,385.79997129509286,109.788,957.7502676228856,6,[7.7403309],[-0.04121707],8.723633435556577,0.0001,8.867559318910814,9.808548933795803
[7.65936544],0.558270130049408,13.025084894636175,1e-07,0.2660495050354515,0.7997718581300417,1.0,0.08538587737895999,43.44478845615432,0.5582701300494932,383.670423128156,115.566,1010.1877497409556,7,[7.69911383],[-0.03974838],8.741219301013755,0.0001,8.877357908474147,9.822253945168676
[7.62053565],0.5744282706717456,12.848356044404486,1e-07,0.2936940999544518,0.7764257878507973,1.0,0.08098983004112698,41.61018505125878,0.5744282706723709,368.1511990409617,121.75,1066.2672550663572,8,[7.65936544],[-0.0388298],8.757841930729832,0.0001,8.88791534231672,9.835258974434847
[7.58096071],0.5543053944542748,13.071249107758423,1e-07,0.18166575364544454,0.7735190603189827,1.0,0.07515708981147398,36.68790536402971,0.5543053944546443,325.01677762538054,124.56,1092.4117817297872,9,[7.62053565],[-0.03957494],8.770165235467141,0.0001,8.901539678212835,9.846211306289764
[7.54133567],0.547275417336877,13.134471176229084,1e-07,0.3231018874243413,0.7394843589443502,1.0,0.0810981886867054,37.508798754425605,0.5472754173364933,333.1011107378454,132.504,1164.4944168992572,10,[7.58096071],[-0.03962503],8.7883717993363,0.0001,8.914167043691585,9.859503623833948
[7.5018495],0.517942666638632,13.409464120155288,1e-07,0.2051212528427641,0.7154098120164936,1.0,0.07745388268040604,36.87997917569911,0.5179426666385325,328.3036747474936,138.056,1215.4751909877743,11,[7.54133567],[-0.03948618],8.804218512688868,0.0001,8.92821026066528,9.86922954067937
[7.46355743],0.5415372644225869,13.179633444264143,1e-07,0.7141721845085132,0.7113735868991904,1.0,0.0781609119115571,35.06404996574127,0.541537264422729,312.63943949670767,140.02,1234.5445529156607,12,[7.5018495],[-0.03829207],8.816915818566352,0.0001,8.937873392621988,9.880952121575293
[7.42186037],0.5033398039416426,13.54880020476624,1e-07,0.145332571579816,0.681736040157557,1.0,0.07385989518231181,36.50505630731173,0.5033398039416994,326.1908758128084,146.192,1291.343095330796,13,[7.46355743],[-0.04169706],8.833199459141376,0.0001,8.95317278745767,9.89246741322686
[7.38218915],0.516942932591391,13.415830643948087,1e-07,0.3652387333390241,0.673853178104297,1.0,0.09021350232982192,35.851710363663265,0.5169429325907373,320.87896215054406,148.692,1315.4931640582936,14,[7.42186037],[-0.03967123],8.847101149075227,0.0001,8.96388170362584,9.905963482050367
[7.34234662],0.46843634442620896,13.84816302369539,1e-07,0.1987372438050747,0.6578110932561716,1.0,0.07812127654852913,32.54149812162925,0.46843634442591053,292.1544255527477,152.47,1351.0430173559655,15,[7.38218915],[-0.03984252],8.861041630195878,0.0001,8.979147600008268,9.91595177617095
[7.30260545],0.4575169661791705,13.936902969059062,1e-07,0.774944478135429,0.6317613634296666,1.0,0.08023046388354328,34.310714594715165,0.45751696617924154,308.57494807855437,156.692,1390.9165849152519,16,[7.34234662],[-0.03974117],8.876755577280603,0.0001,8.99161157014158,9.927191551494687
[7.26169768],0.4325631962988581,14.156168766617975,1e-07,0.8433034101508652,0.5964837953440187,1.0,0.07912022203763076,31.96634298758618,0.4325631962992418,288.4704236343699,162.946,1449.1300282613765,17,[7.30260545],[-0.04090776],8.89331452297925,0.0001,9.005290867765227,9.938267985959966
[7.21953693],0.4213369223809309,14.249333104650338,1e-07,0.25133216200341046,0.5635933880726673,1.0,0.08432952252854137,29.12957095461586,0.42133692238101617,263.66347829523767,170.064,1515.200412086881,18,[7.26169768],[-0.04216075],8.909589402147905,0.0001,9.018273489260382,9.950677257637217
[7.17977961],0.4337349422686714,14.152446633776407,1e-07,0.21517386853443757,0.5736638586019986,1.0,0.08680062772565927,28.41480255078328,0.4337349422690693,257.42386769687783,170.386,1519.9116154623703,19,[7.21953693],[-0.03975732],8.92040200170419,0.0001,9.02883707267088,9.96152381110328
[7.13929545],0.4221196560649929,14.245061809764433,1e-07,0.44549578981255317,0.5601466700797317,1.0,0.07906797825059128,27.72781448293392,0.42211965606585977,251.84363043155673,171.548,1532.5679078840628,20,[7.17977961],[-0.04048416],8.93375561291337,0.0001,9.041270648610906,9.973559920162792
[7.09807942],0.3669808368016447,14.694767699862576,1e-07,0.43491245510676013,0.52507944529422,1.0,0.0824105229910208,27.618805984328866,0.3669808368019858,251.45985735563727,174.834,1564.7115826143176,21,[7.13929545],[-0.04121603],8.949698471775042,0.0001,9.056803972272347,9.984874920885465
[7.05753765],0.39975551994916714,14.4295292364118,1e-07,0.3585435881700329,0.5102020811210068,1.0,0.08288990954584395,26.359277304205442,0.3997555199491387,240.44897180512066,177.65,1592.2801710437293,22,[7.09807942],[-0.04054177],8.963018131402922,0.0001,9.06604442236167,9.997126859839177
[7.01603027],0.3245444532998363,15.007163911054633,1e-07,0.3433085226221876,0.465231211574396,1.0,0.08227870335531401,24.563354494042546,0.3245444533005184,224.70841746373424,182.204,1636.1167030416395,23,[7.05753765],[-0.04150739],8.97958718272727,0.0001,9.08285294210529,10.007260886285378
[6.97342484],0.29781061560484545,15.199658739037597,1e-07,0.4391513241592331,0.4449314886864183,1.0,0.08703100596168335,22.31139619118445,0.29781061560549915,204.7068194475589,185.04,1664.1433873160752,24,[7.01603027],[-0.04260542],8.993425136814068,0.0001,9.096523526760736,10.019304372903028
[6.93118489],0.28211666321794837,15.314621207611765,1e-07,0.7850387469044561,0.40697454390816096,1.0,0.09162238897044615,21.382716291435006,0.2821166632185168,196.57196601133197,187.462,1688.8345907647345,25,[6.97342484],[-0.04223995],9.008943629987595,0.0001,9.109314410709366,10.03045013436735
[6.88868922],0.2956465039849263,15.214287186877671,1e-07,0.29946971318125576,0.4229503952260998,1.0,0.09077595069898034,21.48337580549202,0.29564650398458525,197.77120181844174,186.742,1684.2838227106952,26,[6.93118489],[-0.04249567],9.019309114771692,0.0001,9.120170381256434,10.042029610854508
[6.84715373],0.28480851241218375,15.285432380998875,1e-07,0.7348350813684034,0.40692524748607023,1.0,0.09096084401365455,18.91836145124625,0.2848085124114448,174.65216194104678,189.46,1711.3000268320575,27,[6.88868922],[-0.0415355],9.03251360092926,0.0001,9.132290120838366,10.05357170114239
[6.80516209],0.28271026431480095,15.309723743103671,1e-07,0.3661859693214388,0.40983189680968146,1.0,0.08767439277660782,20.93193493206015,0.282710264315142,193.13161025770927,188.21,1702.1192521769665,28,[6.84715373],[-0.04199164],9.043723777572746,0.0001,9.143914375280008,10.065177907282399
[6.76280857],0.2472890128104268,15.555523562872485,1e-07,0.18719302706805366,0.3604429609857741,1.0,0.08930768362530273,17.379557646844756,0.2472890128105405,160.94861404506054,192.176,1740.9991166476277,29,[6.80516209],[-0.04235352],9.059399283196797,0.0001,9.157660892131448,10.076975397633724
[6.72097542],0.268846587886145,15.404571701558348,1e-07,0.53543568911013,0.3696301257269075,1.0,0.0886760459084398,17.619109058065337,0.2688465878854913,163.39281901013618,191.614,1737.9448642068019,30,[6.76280857],[-0.04183315],9.070030708647604,0.0001,9.167566878808751,10.088207990887781
[6.67973428],0.27399449823658983,15.367511370971277,1e-07,0.3495218381415681,0.3789186841814679,1.0,0.08761630532299389,18.252798579943843,0.27399449823585087,169.44712577892847,190.812,1732.6915735927837,31,[6.72097542],[-0.04124114],9.08062162543647,0.0001,9.178277950640682,10.100175325786495
[6.63921996],0.2520020498330098,15.521896976050574,1e-07,0.4270244709536422,0.33539669615453166,1.0,0.08306579997236935,15.136779578232616,0.25200204983269714,140.92386626713207,194.148,1765.7762467075,32,[6.67973428],[-0.04051432],9.095000961676146,0.0001,9.19049926834717,10.110603714006494
[6.59881608],0.2485108591022538,15.544706080877289,1e-07,0.3841597375295878,0.322181006809046,1.0,0.08277919299600951,16.991538011610366,0.2485108591016001,158.09685407854016,193.306,1760.4242204411646,33,[6.63921996],[-0.04040387],9.106930051013238,0.0001,9.201401574584866,10.121181271065993
[6.55784753],0.24530452890752485,15.562530862934047,1e-07,0.33633812250365097,0.32184257914595255,1.0,0.08216190921259944,15.844440160510564,0.24530452890741117,147.66203869454168,194.154,1770.2280229153744,34,[6.59881608],[-0.04096855],9.117648994691711,0.0001,9.212394479005017,10.131352471252542
[6.51665247],0.2457305415908877,15.559191589995876,1e-07,0.16525071346256534,0.3071771544955171,1.0,0.08507959288497471,15.67921873053629,0.24573054159057506,146.42154644623542,194.19,1772.8596137536658,35,[6.55784753],[-0.04119506],9.129510344269354,0.0001,9.223131384907273,10.142973317994146
[6.47628758],0.2410628263929766,15.594943064319336,1e-07,0.5299408534840973,0.2749800837826549,1.0,0.08642045761243647,12.32823685690699,0.24106282639300503,115.58989196875059,196.476,1796.2524281039023,36,[6.51665247],[-0.04036489],9.142350353752633,0.0001,9.233925722163976,10.154182606010972
[6.43666164],0.25335872687139727,15.520101601339585,1e-07,0.4321028980888739,0.26901330742756296,1.0,0.0810566777645174,12.845742485352883,0.25335872687227834,120.40743999324376,196.47,1798.3039383744053,37,[6.47628758],[-0.03962595],9.153071402119433,0.0001,9.243390320583575,10.164560936524804
[6.39687],0.2620244241238652,15.453354835346323,1e-07,0.46819889232653317,0.2731717474246676,1.0,0.0797648828126585,14.76854441033374,0.26202442412329674,138.35808694843556,195.436,1790.8157283529652,38,[6.43666164],[-0.03979164],9.163182465630511,0.0001,9.253035902996688,10.175025470939033
[6.3580974],0.2722256095715636,15.382876314737356,1e-07,0.4769326168583435,0.2652956685975019,1.0,0.07867327632205705,14.719601081551088,0.2722256095717057,137.93875420461637,195.688,1795.193907608226,39,[6.39687],[-0.0387726],9.173755711174042,0.0001,9.262274123200417,10.185050320157101
[6.3188697],0.2770181414211379,15.348995187374332,1e-07,0.4182323653142306,0.2542560828232266,1.0,0.0770046251357751,15.882395159421012,0.2770181414208537,148.84445219337582,195.218,1792.966784962732,40,[6.3580974],[-0.0392277],9.184433735427735,0.0001,9.271908020508139,10.194421526744506
[6.28043033],0.27939853350423505,15.331628687307843,1e-07,0.45703898079782906,0.2578279843130783,1.0,0.07656853076251688,15.64565933414121,0.27939853350372346,146.78436096360952,195.312,1795.705041275103,41,[6.3188697],[-0.03843937],9.1940333480539,0.0001,9.281425533422256,10.204370874268147
[6.24274665],0.28795366891310437,15.266878578446434,1e-07,0.4657600195452201,0.2629943469219864,1.0,0.07188803806814666,15.287649394200535,0.2879536689129054,143.63955449191315,195.424,1798.5527252781437,42,[6.28043033],[-0.03768368],9.20333595299525,0.0001,9.29032537777353,10.213916377772957
[6.20434109],0.2797430903702889,15.325461143312578,1e-07,0.04714055980483225,0.2633364077393722,1.0,0.07018529106680235,15.302953440431034,0.2797430903705447,144.0061740305048,195.296,1799.2298983727642,43,[6.24274665],[-0.03840556],9.212835380001456,0.0001,9.300392341116185,10.223821385288261
[6.16765676],0.3212095177318872,15.027797365752281,1e-07,0.05693997598263155,0.27333316308096967,1.0,0.07389395100223277,14.554731326960315,0.32120951773208617,137.35020746902327,195.286,1800.906013703098,44,[6.20434109],[-0.03668433],9.221890016197257,0.0001,9.306752062076276,10.233588772140852
[6.13118275],0.3448946787592604,14.85003559063544,1e-07,0.42688543169559506,0.2674857701639571,1.0,0.06637519170763286,16.071383138983403,0.3448946787588909,151.51220312419804,194.762,1797.8958016805514,45,[6.16765676],[-0.03647402],9.231245323423211,0.0001,9.314162513398955,10.242821689858179
[6.0964043],0.3899444643139134,14.506484835482643,1e-07,0.35493029777476054,0.33582189938036483,1.0,0.06500797499444708,18.782428383997633,0.389944464313146,177.05397823130738,191.872,1772.0747755072025,46,[6.13118275],[-0.03477844],9.235713264609753,0.0001,9.319572893260979,10.250844288004204
[6.0635062],0.4685100371173121,13.852255396330039,1e-07,0.34832446989604937,0.36340356955341835,1.0,0.06053439242029748,20.59902871496615,0.46851003711725525,194.20321757643575,190.004,1756.0478997812775,47,[6.0964043],[-0.0328981],9.242162795421555,0.0001,9.322042107876545,10.260331178088206
[6.03246715],0.5330830634235468,13.269682253460877,1e-07,0.36254419798387616,0.42335720301735325,1.0,0.0536678071685838,22.470988496281155,0.5330830634224526,211.98558244105305,186.026,1719.8266993048246,48,[6.0635062],[-0.03103905],9.245087779691143,0.0001,9.324804249764087,10.267135827170241
[6.00372675],0.641443065337711,12.148044912111368,1e-07,0.2518138005093413,0.4755391883577187,1.0,0.05075999019183669,24.299768229347375,0.6414430653371994,229.1598435038482,181.708,1680.350854215697,49,[6.03246715],[-0.02874041],9.24753370361072,0.0001,9.323223448236794,10.27566951681034
[5.97266568],0.598414052254455,12.620895609301723,1e-07,0.15841293452678173,0.4630419177029494,1.0,0.041622334560047665,24.66692189958042,0.5984140522547676,232.7386882670289,182.342,1687.7160689006396,50,[6.00372675],[-0.03106107],9.255772498385669,0.0001,9.334131378097547,10.283281266878141
[5.9421549],0.5680077426417967,12.92834472141269,1e-07,0.28234308682976067,0.4691114606776977,1.0,0.0500334320381223,24.59617401141893,0.5680077426411145,232.2917084785557,181.832,1684.2291675011634,51,[5.97266568],[-0.03051078],9.26255646696491,0.0001,9.34375422108802,10.290074398348088
[5.91015471],0.48729519943175603,13.68631394678001,1e-07,0.3901200840738443,0.4330579018072919,1.0,0.04683939852226497,23.11852071392112,0.4872951994310881,218.65610324330154,185.3,1718.3711551047763,52,[5.9421549],[-0.03200019],9.273454695654488,0.0001,9.357391284455186,10.29762094631046
