theta,omega,J
0,0,2
0,0.052632,1.9529
0,0.10526,1.9169
0,0.15789,1.892
0,0.21053,1.8781
0,0.26316,1.8753
0,0.31579,1.8837
0,0.36842,1.903
0,0.42105,1.9335
0,0.47368,1.9751
0,0.52632,2.0277
0,0.57895,2.0914
0,0.63158,2.1662
0,0.68421,2.2521
0,0.73684,2.349
0,0.78947,2.4571
0,0.84211,2.5762
0,0.89474,2.7064
0,0.94737,2.8476
0,1,3
0.052632,0,1.9224
0.052632,0.052632,1.9026
0.052632,0.10526,1.8904
0.052632,0.15789,1.8858
0.052632,0.21053,1.8889
0.052632,0.26316,1.8995
0.052632,0.31579,1.9177
0.052632,0.36842,1.9436
0.052632,0.42105,1.9771
0.052632,0.47368,2.0182
0.052632,0.52632,2.0669
0.052632,0.57895,2.1232
0.052632,0.63158,2.1871
0.052632,0.68421,2.2586
0.052632,0.73684,2.3378
0.052632,0.78947,2.4245
0.052632,0.84211,2.5189
0.052632,0.89474,2.6209
0.052632,0.94737,2.7304
0.052632,1,2.8476
0.10526,0,1.9003
0.10526,0.052632,1.8996
0.10526,0.10526,1.9037
0.10526,0.15789,1.9126
0.10526,0.21053,1.9263
0.10526,0.26316,1.9448
0.10526,0.31579,1.9681
0.10526,0.36842,1.9962
0.10526,0.42105,2.029
0.10526,0.47368,2.0666
0.10526,0.52632,2.1091
0.10526,0.57895,2.1563
0.10526,0.63158,2.2083
0.10526,0.68421,2.2651
0.10526,0.73684,2.3267
0.10526,0.78947,2.393
0.10526,0.84211,2.4642
0.10526,0.89474,2.5401
0.10526,0.94737,2.6209
0.10526,1,2.7064
0.15789,0,1.9335
0.15789,0.052632,1.9439
0.15789,0.10526,1.9568
0.15789,0.15789,1.9724
0.15789,0.21053,1.9905
0.15789,0.26316,2.0113
0.15789,0.31579,2.0347
0.15789,0.36842,2.0607
0.15789,0.42105,2.0893
0.15789,0.47368,2.1205
0.15789,0.52632,2.1544
0.15789,0.57895,2.1908
0.15789,0.63158,2.2298
0.15789,0.68421,2.2715
0.15789,0.73684,2.3157
0.15789,0.78947,2.3626
0.15789,0.84211,2.4121
0.15789,0.89474,2.4642
0.15789,0.94737,2.5189
0.15789,1,2.5762
0.21053,0,2.0222
0.21053,0.052632,2.0354
0.21053,0.10526,2.0497
0.21053,0.15789,2.065
0.21053,0.21053,2.0815
0.21053,0.26316,2.099
0.21053,0.31579,2.1176
0.21053,0.36842,2.1373
0.21053,0.42105,2.158
0.21053,0.47368,2.1798
0.21053,0.52632,2.2027
0.21053,0.57895,2.2267
0.21053,0.63158,2.2517
0.21053,0.68421,2.2778
0.21053,0.73684,2.305
0.21053,0.78947,2.3333
0.21053,0.84211,2.3626
0.21053,0.89474,2.393
0.21053,0.94737,2.4245
0.21053,1,2.4571
0.26316,0,2.1662
0.26316,0.052632,2.1742
0.26316,0.10526,2.1823
0.26316,0.15789,2.1907
0.26316,0.21053,2.1992
0.26316,0.26316,2.2079
0.26316,0.31579,2.2168
0.26316,0.36842,2.2258
0.26316,0.42105,2.2351
0.26316,0.47368,2.2445
0.26316,0.52632,2.2541
0.26316,0.57895,2.2639
0.26316,0.63158,2.2739
0.26316,0.68421,2.2841
0.26316,0.73684,2.2945
0.26316,0.78947,2.305
0.26316,0.84211,2.3157
0.26316,0.89474,2.3267
0.26316,0.94737,2.3378
0.26316,1,2.349
0.31579,0,2.3657
0.31579,0.052632,2.3602
0.31579,0.10526,2.3547
0.31579,0.15789,2.3492
0.31579,0.21053,2.3436
0.31579,0.26316,2.3379
0.31579,0.31579,2.3322
0.31579,0.36842,2.3264
0.31579,0.42105,2.3205
0.31579,0.47368,2.3146
0.31579,0.52632,2.3086
0.31579,0.57895,2.3026
0.31579,0.63158,2.2965
0.31579,0.68421,2.2903
0.31579,0.73684,2.2841
0.31579,0.78947,2.2778
0.31579,0.84211,2.2715
0.31579,0.89474,2.2651
0.31579,0.94737,2.2586
0.31579,1,2.2521
0.36842,0,2.6205
0.36842,0.052632,2.5935
0.36842,0.10526,2.5669
0.36842,0.15789,2.5407
0.36842,0.21053,2.5147
0.36842,0.26316,2.4891
0.36842,0.31579,2.4639
0.36842,0.36842,2.4389
0.36842,0.42105,2.4144
0.36842,0.47368,2.3901
0.36842,0.52632,2.3662
0.36842,0.57895,2.3426
0.36842,0.63158,2.3194
0.36842,0.68421,2.2965
0.36842,0.73684,2.2739
0.36842,0.78947,2.2517
0.36842,0.84211,2.2298
0.36842,0.89474,2.2083
0.36842,0.94737,2.1871
0.36842,1,2.1662
0.42105,0,2.9307
0.42105,0.052632,2.8741
0.42105,0.10526,2.8189
0.42105,0.15789,2.7651
0.42105,0.21053,2.7126
0.42105,0.26316,2.6615
0.42105,0.31579,2.6118
0.42105,0.36842,2.5635
0.42105,0.42105,2.5166
0.42105,0.47368,2.471
0.42105,0.52632,2.4268
0.42105,0.57895,2.384
0.42105,0.63158,2.3426
0.42105,0.68421,2.3026
0.42105,0.73684,2.2639
0.42105,0.78947,2.2267
0.42105,0.84211,2.1908
0.42105,0.89474,2.1563
0.42105,0.94737,2.1232
