Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.999928464309404796e-01,2.000071535690595426e-01,8.000000000000000444e-01,1.000000000000000082e-05,7.999928464309404852e-01,8.000071535690596036e-01,1.174139999999999645e+03,1.622098640650438739e+01,1.162536205352743991e+03,1.185743794647255299e+03
1.000000000000000000e+00,2.665290840146170015e-01,3.123960174742253515e-01,4.305443552234947124e-02,4.900037325068845595e-01,7.334709159853736171e-01,3.123960174742457241e-01,5.099962674930915707e-01,9.569455644776556635e-01,1.677319999999999709e+03,8.433526247068896282e+02,1.074021875762698301e+03,2.280618124237301345e+03
2.000000000000000000e+00,2.540543107163457659e-01,3.729877681800833344e-01,-1.276506508711394705e-02,5.208736865198054788e-01,7.459456892836543451e-01,3.729877681800835010e-01,4.791263134801945767e-01,1.012765065087114058e+00,2.066300000000000182e+03,1.461938010313707082e+03,1.020492548247527111e+03,3.112107451752473025e+03
3.000000000000000000e+00,2.369315384362666865e-01,3.815442951645083847e-01,-3.600880803647099615e-02,5.098718849090043692e-01,7.630684615637326473e-01,3.815442951645081626e-01,4.901281150909951312e-01,1.036008808036470219e+00,2.104579999999999927e+03,1.442834223187127009e+03,1.072438574298373851e+03,3.136721425701625776e+03
4.000000000000000000e+00,2.302441978683923973e-01,3.848840724408777447e-01,-4.508528134333955606e-02,5.055736770801243507e-01,7.697558021316069921e-01,3.848840724408775227e-01,4.944263229198751497e-01,1.045085281343338890e+00,2.111520000000000437e+03,1.439515949755333622e+03,1.081752324113646637e+03,3.141287675886354009e+03
5.000000000000000000e+00,2.288228423686448632e-01,3.856097921481871360e-01,-4.702578544749674849e-02,5.046714701847865303e-01,7.711771576313546372e-01,3.856097921481867474e-01,4.953285298152133032e-01,1.047025785447496027e+00,2.119800000000000182e+03,1.435152803014368828e+03,1.093153531266479831e+03,3.146446468733520305e+03
6.000000000000000000e+00,2.273349351132587515e-01,3.863344259814694981e-01,-4.903206451980829383e-02,5.037019347463258523e-01,7.726650648867406934e-01,3.863344259814693871e-01,4.962980652536737591e-01,1.049032064519807683e+00,2.127800000000000182e+03,1.431244862348857168e+03,1.103949103609606482e+03,3.151650896390393882e+03
7.000000000000000000e+00,2.266901661342642371e-01,3.866674933486223265e-01,-4.991509554004303073e-02,5.032954278085715050e-01,7.733098338657357074e-01,3.866674933486221599e-01,4.967045721914286061e-01,1.049915095540042920e+00,2.121719999999999800e+03,1.434349383379098526e+03,1.095648263050948117e+03,3.147791736949051483e+03
8.000000000000000000e+00,3.191209514131388980e-01,4.360120533130790732e-01,7.216717997066746104e-03,6.310251848292109944e-01,6.808790485868575493e-01,4.360120533130842913e-01,3.689748151707816226e-01,9.927832820029334204e-01,2.385280000000000200e+03,1.548008186541660052e+03,1.277901653286306100e+03,3.492658346713694300e+03
9.000000000000000000e+00,3.260807794315732089e-01,4.412088875563280332e-01,1.045895475050206969e-02,6.417026041126443481e-01,6.739192205684264581e-01,4.412088875563279777e-01,3.582973958873553189e-01,9.895410452494975972e-01,2.481019999999999982e+03,1.642566519688015205e+03,1.305998696654696687e+03,3.656041303345303277e+03
1.000000000000000000e+01,4.153536076402041255e-01,4.676802714184076781e-01,8.079529570327281807e-02,7.499119195771354329e-01,5.846463923597937651e-01,4.676802714184101206e-01,2.500880804228606813e-01,9.192047042967268489e-01,2.754580000000000837e+03,1.679102682863677273e+03,1.553422300009977562e+03,3.955737699990024339e+03
1.100000000000000000e+01,5.123837661932930665e-01,4.777191681262907830e-01,1.706440601682330249e-01,8.541234722183530526e-01,4.876162338067062119e-01,4.777191681262912826e-01,1.458765277816457817e-01,8.293559398317666975e-01,3.112400000000000546e+03,1.723710196059650798e+03,1.879332007387866952e+03,4.345467992612134367e+03
1.200000000000000000e+01,5.171202705496956709e-01,4.828876489229139146e-01,1.716832560934880569e-01,8.625572850059033403e-01,4.828797294503041071e-01,4.828876489229139146e-01,1.374427149940964932e-01,8.283167439065117765e-01,3.193380000000000109e+03,1.796732746849124396e+03,1.908074821390344141e+03,4.478685178609655850e+03
