ITERATIONS,ReturnsMean,OmegaBefore,Theta,Traj,RewardStd,RewardMean,TimestepsMean,TimestepsStd,DeltaOmega,Wins,Omega,ReturnsStd,ConfortViolation,NormDeltaOmega,NormDeltaVar
0,1167.3,0.8,0.18914208,20,2.4142168171065337,2.3346,500.0,0.0,0.01085792,0.0,0.81085792,63.88513129046539,0,0.01085791793443669,0.9899998876884268
1,1181.6,0.81085792,0.17921369,20,2.45651903310355,2.3632,500.0,0.0,0.00169228,0.0,0.8125502,44.871371719616505,0,0.0016922796782113947,0.9441361103003416
2,1157.1,0.8125502,0.17213398,20,2.3904975130712858,2.3142,500.0,0.0,0.00662993,0.0,0.81918012,58.86076791887786,0,0.006629925892913668,0.6984903031745517
3,1198.2,0.81918012,0.16504588,20,2.4681302720885703,2.3964,500.0,0.0,0.0065572,0.0,0.82573732,63.513463139715505,0,0.006557196550056377,0.7225012365557504
4,1200.0,0.82573732,0.1586849,20,2.4893372612002573,2.4,500.0,0.0,0.00691093,0.0,0.83264825,54.37278731130123,0,0.006910926408359441,0.6698924295943698
5,1181.7,0.83264825,0.15319387,20,2.4407253921734005,2.3634,500.0,0.0,0.00748345,0.0,0.84013169,61.11391003691385,0,0.007483447987816527,0.5960253206162989
6,1204.7,0.84013169,0.14683902,20,2.5102971218562953,2.4094,500.0,0.0,0.00434624,0.0,0.84447794,45.08336722118258,0,0.004346242277064927,0.7120546600551805
7,1221.7,0.84447794,0.14063651,20,2.5256675236459762,2.4434,500.0,0.0,0.0045921,0.0,0.84907004,54.15265459790499,0,0.004592099163849839,0.7200286209886144
8,1215.7,0.84907004,0.13711137,20,2.5080458608247183,2.4314,500.0,0.0,0.00349901,0.0,0.85256905,68.70014556025338,0,0.003499010511227363,0.4211253856765609
9,1234.3,0.85256905,0.13220179,20,2.551864816168756,2.4686,500.0,0.0,-0.00079294,0.0,0.85177611,76.79915364116977,0,0.0007929410263386449,0.6019662593447812
10,1219.4,0.85177611,0.12795544,20,2.5292399174455555,2.4388,500.0,0.0,0.00261756,0.0,0.85439366,55.37905741343022,0,0.0026175552814260428,0.536124263390473
11,1226.7,0.85439366,0.12507379,20,2.5420520136299336,2.4534,500.0,0.0,0.00419484,0.0,0.8585885,83.05967734105401,0,0.004194842594551607,0.372531718508057
12,1204.0,0.8585885,0.12252199,20,2.5072566681534623,2.408,500.0,0.0,0.00285358,0.0,0.86144209,36.408790147435546,0,0.0028535832409035677,0.33608067103242334
13,1227.9,0.86144209,0.11982234,20,2.535004213014251,2.4558,500.0,0.0,0.00372908,0.0,0.86517117,60.552374024475704,0,0.003729081812325785,0.3621757776715917
14,1209.3,0.86517117,0.1170707,20,2.513398901885652,2.4186,500.0,0.0,0.00400581,0.0,0.86917698,54.259653518982226,0,0.0040058109584694135,0.3764777273306059
15,1239.4,0.86917698,0.11387511,20,2.569114742474536,2.4788,500.0,0.0,0.0035902,0.0,0.87276718,52.59695808694644,0,0.0035902017029616484,0.44697882820725
16,1258.1,0.87276718,0.11113571,20,2.607132056494262,2.5162,500.0,0.0,0.00436145,0.0,0.87712863,63.98273204545114,0,0.004361449137094242,0.3919551454540624
17,1254.6,0.87712863,0.10772286,20,2.596442828178583,2.5092,500.0,0.0,0.00359697,0.0,0.8807256,61.715800245966186,0,0.0035969719085048313,0.5003207172415962
18,1239.4,0.8807256,0.10474055,20,2.569114742474536,2.4788,500.0,0.0,0.00450331,0.0,0.88522891,57.996896468690466,0,0.004503310687897333,0.44874745943993233
19,1278.0,0.88522891,0.10203382,20,2.633261096055611,2.556,500.0,0.0,0.00484626,0.0,0.89007517,65.1091391434413,0,0.0048462619140935415,0.41715426085034224
