Omega,TimestepsMean,TimestepsStd,Theta,NormDeltaOmega,RewardStd,Wins,DeltaOmega,ReturnsStd,ConfortViolation,ITERATIONS,ReturnsMean,RewardMean,Traj,OmegaBefore,NormDeltaVar
0.78868121,500.0,0.0,0.18914208,0.011318787348978065,2.3982121340698783,0.0,-0.01131879,71.59161962129366,0,0,1159.2,2.3184,20,0.8,0.9899997156427425
0.78630463,500.0,0.0,0.1788688,0.0023765854347390647,2.3716449987297845,0.0,-0.00237659,56.67627369543626,0,1,1155.0,2.31,20,0.78868121,0.9776565557766439
0.78042594,500.0,0.0,0.17095842,0.005878689002113746,2.441549147570042,0.0,-0.00587869,55.82615874301223,0,2,1171.2,2.3424,20,0.78630463,0.7831379489501664
0.77821219,500.0,0.0,0.16320648,0.0022137489010017886,2.4611294886697856,0.0,-0.00221375,48.47050649621892,0,3,1192.9,2.3858,20,0.78042594,0.7958749778382241
0.7817396,500.0,0.0,0.15795317,0.0035274068298852823,2.4192914995923913,0.0,0.00352741,66.38403422510567,0,4,1165.4,2.3308,20,0.77821219,0.5567978005480541
0.78721843,500.0,0.0,0.15317796,0.005478837608536957,2.4275370151657834,0.0,0.00547884,52.621193449027736,0,5,1169.9,2.3398,20,0.7817396,0.5193306549272556
0.79282946,500.0,0.0,0.14723238,0.005611022660509168,2.473977073458847,0.0,0.00561102,45.635950740616764,0,6,1195.6,2.3912,20,0.78721843,0.665496219541204
0.79926423,500.0,0.0,0.14212853,0.006434775882232957,2.487395424937499,0.0,0.00643478,62.654608769028314,0,7,1196.0,2.392,20,0.79282946,0.5892508526765177
0.80691889,500.0,0.0,0.13920328,0.007654659970722455,2.482579303869264,0.0,0.00765466,59.879879759398314,0,8,1200.0,2.4,20,0.79926423,0.3457228652445892
0.81340733,500.0,0.0,0.13525733,0.006488439565180748,2.457411963835124,0.0,0.00648844,62.99992063487065,0,9,1188.1,2.3762,20,0.80691889,0.4761399674017852
0.82068808,500.0,0.0,0.13202664,0.0072807504859125904,2.528357371891877,0.0,0.00728075,47.02286677777101,0,10,1223.5,2.447,20,0.81340733,0.3986345421606856
0.82675048,500.0,0.0,0.12801178,0.006062395753815619,2.4693639990896443,0.0,0.0060624,74.35348007995321,0,11,1199.4,2.3988,20,0.82068808,0.5070904748402825
0.83305111,500.0,0.0,0.12344741,0.006300632427106878,2.515713815202357,0.0,0.00630063,57.58819323437748,0,12,1214.0,2.428,20,0.82675048,0.5932550900961147
0.84010988,500.0,0.0,0.12130348,0.007058770103825274,2.48060737723647,0.0,0.00705877,48.85529653988398,0,13,1202.6,2.4052,20,0.83305111,0.2851799094336407
0.84521485,500.0,0.0,0.11872157,0.005104968500904805,2.5271982193725924,0.0,0.00510497,50.52237128243289,0,14,1222.3,2.4446,20,0.84010988,0.34926406531192455
0.84530118,500.0,0.0,0.11525048,8.633201538832402e-05,2.532977496939126,0.0,8.63320154e-05,75.18477239441508,0,15,1222.5,2.445,20,0.84521485,0.4800592222734217
0.84579671,500.0,0.0,0.11222929,0.0004955303446233517,2.577498252181755,0.0,0.00049553,30.30033003120593,0,16,1241.3,2.4826,20,0.84530118,0.42818301804669545
0.84888896,500.0,0.0,0.10995397,0.0030922487772419016,2.552690063442877,0.0,0.00309225,59.975328260877404,0,17,1234.4,2.4688,20,0.84579671,0.3291682084088272
0.85046817,500.0,0.0,0.10723123,0.001579206843148051,2.555461844755268,0.0,0.00157921,70.14064442247448,0,18,1228.7,2.4574,20,0.84888896,0.4018402380366801
0.8520383,500.0,0.0,0.10456722,0.001570130949581583,2.5656066650989198,0.0,0.00157013,60.677755396850344,0,19,1241.9,2.4838,20,0.85046817,0.4019561969894454
