DeltaOmega,ConfortViolation,Omega,ReturnsStd,ITERATIONS,OmegaBefore,Theta,TimestepsMean,RewardMean,Wins,Traj,NormDeltaOmega,TimestepsStd,ReturnsMean,RewardStd,NormDeltaVar
0.0007561,0,0.80562472,53.210055440677756,0,0.80486862,0.19828523,500.0,2.3526,0.0,20,0.0007561006419208871,0.0,1176.3,2.439851069225333,0.03660263753571513
0.00034652,0,0.81104098,54.15939438361548,0,0.81069446,0.19308922,500.0,2.3668,0.0,20,0.00034651979161848256,0.0,1183.4,2.432582528918598,0.06236291326361254
0.00014259,0,0.8147898,52.707779311976324,0,0.81464721,0.18737914,500.0,2.4234,0.0,20,0.0001425898949521942,0.0,1211.7,2.4902073086391825,0.04913234281353951
-0.00025442,0,0.8141278,60.89162503990183,0,0.81438222,0.18304104,500.0,2.3358,0.0,20,0.0002544150821561786,0.0,1167.9,2.4214950671021405,0.03322226515924598
0.00036471,0,0.81680278,42.240265150682944,0,0.81643807,0.17780284,500.0,2.3672,0.0,20,0.0003647072690561304,0.0,1183.6,2.453969062559673,0.0365500882346943
0.00011007,0,0.81866219,56.193504962762375,0,0.81855211,0.17203346,500.0,2.3846,0.0,20,0.00011007461735257351,0.0,1192.3,2.4569254852355615,0.061703771078924774
0.00039387,0,0.82136654,59.34846249061554,0,0.82097267,0.1659451,500.0,2.3912,0.0,20,0.0003938663520168806,0.0,1195.6,2.475270199392382,0.07277245440216973
7.59641362e-05,0,0.82535956,45.93952546555091,0,0.82528359,0.16017042,500.0,2.3412,0.0,20,7.596413616262065e-05,0.0,1170.6,2.4297289066889745,0.042880150226832114
0.00013577,0,0.82656305,76.63523993568494,0,0.82642728,0.15381228,500.0,2.4536,0.0,20,0.00013576952329996672,0.0,1226.8,2.5353199088083542,0.06832538204820082
-0.00018321,0,0.82596805,60.568225993502566,0,0.82615126,0.14732566,500.0,2.3666,0.0,20,0.00018321246680363945,0.0,1183.3,2.4474485571713247,0.06501745959662841
0.00040485,0,0.82833115,64.29269009770861,0,0.8279263,0.14323446,500.0,2.393,0.0,20,0.0004048463392086754,0.0,1196.5,2.492940231934974,0.044918061510159646
0.0003373,0,0.83194144,52.66450417501336,0,0.83160414,0.14054691,500.0,2.427,0.0,20,0.00033730123401609635,0.0,1213.5,2.4903957516828528,0.059267272032979434
0.00035177,0,0.83733901,57.77058074833592,0,0.83698724,0.13563044,500.0,2.4328,0.0,20,0.00035177340520009537,0.0,1216.4,2.503734043384001,0.04993492447058756
0.00027428,0,0.84033054,52.18083939531827,0,0.84005626,0.1321528,500.0,2.4148,0.0,20,0.0002742778867251827,0.0,1207.4,2.4941413271905826,0.04033183256181161
