ConfortViolation,TimestepsStd,Wins,Theta,RewardMean,ITERATIONS,DeltaOmega,NormDeltaVar,Omega,ReturnsStd,RewardStd,TimestepsMean,OmegaBefore,Traj,ReturnsMean,NormDeltaOmega
0,0.0,0.0,0.015457401195956781,1.8686,0,[[-0.01174326]],0.9899998394021026,0.21038336944272754,16.867424225411536,0.9503336466736302,500.0,0.22212662926094354,40,934.3,0.011743259818216
0,0.0,0.0,0.01604679395693843,1.8758,1,[[-0.00918592]],0.5431424464055681,0.20119744515077523,18.772053696918725,0.9700383291396273,500.0,0.21038336944272754,40,937.9,0.009185924291952308
0,0.0,0.0,0.016905560141250723,1.8849,2,[[-0.00786685]],0.7572378078983135,0.19333059120580537,22.474374296073297,0.9592455316549563,500.0,0.20119744515077523,40,942.45,0.00786685394496986
0,0.0,0.0,0.017338776910907655,1.8829,3,[[-0.00168314]],0.36776609294916085,0.1916474463873735,16.161605737054717,0.9124075788812803,500.0,0.19333059120580537,40,941.45,0.0016831448184318754
0,0.0,0.0,0.017988792391244325,1.8788,4,[[0.00077015]],0.5352169939367428,0.1924175987522504,17.79438113562818,0.8942653744834359,500.0,0.1916474463873735,40,939.4,0.0007701523648769026
0,0.0,0.0,0.01865164441819142,1.8728,5,[[-0.00212699]],0.5265802570030758,0.1902906092843028,17.04816705690087,0.9032276346525276,500.0,0.1924175987522504,40,936.4,0.002126989467947593
0,0.0,0.0,0.0189420047280035,1.8822,6,[[-0.00422214]],0.2249076623922548,0.1860684660585517,21.56362678215332,0.9016225152468187,500.0,0.1902906092843028,40,941.1,0.004222143225751096
0,0.0,0.0,0.018958756681415865,1.8891,7,[[-0.00414115]],0.01287237050427592,0.18192731418158392,21.559162785228928,0.9160246666984464,500.0,0.1860684660585517,40,944.55,0.004141151876967786
0,0.0,0.0,0.018770301701381477,1.8727,8,[[-0.00293464]],0.1454581883960131,0.17899267230623359,14.218913460598877,0.895764874283425,500.0,0.18192731418158392,40,936.35,0.0029346418753503356
0,0.0,0.0,0.018992072039414165,1.8863,9,[[-0.00320097]],0.17102493070805735,0.1757917048823495,18.203777080595113,0.920039298073729,500.0,0.17899267230623359,40,943.15,0.0032009674238840935
