ITERATIONS,Theta,Epsilon,OmegaBefore,WeightMedian,LossReg,ReturnsStd,NormDeltaVar,TimestepsMean,WeightMean,DualReg,Omega,ConfortViolation,NormDeltaOmega,ThetaBefore,DualBefore,TimestepsStd,Eta,ReturnsMean,DeltaOmega,Primal,DualAfter,Wins,Traj,RewardMean,WeightMin,WeightMax,RewardStd
0,0.3887060002767741,0.01,0.771320643266746,0.642655269100957,0.0,58.7217486738348,48.59128639595755,500.0,0.5754036213296437,0.0,2.3839183933797761e-07,0,0.7713204048749066,0.020751949359401504,6.085577499270025,0.0,18.093537041411736,1170.421052631579,[[-0.7713204]],2.6831758912237698,2.683175891820323,0.0,20,2.333,0.5754036213296437,1.0,2.389793087277641
1,0.4081630117345117,0.01,2.3839183933797761e-07,0.7154591299443723,0.0,72.9134120102024,1.1598591533436267,500.0,0.6580077936746256,0.0,2.383918187996712e-07,0,2.0538306424719148e-14,0.3887060002767741,8.100248504864584,0.0,23.89266440881243,1349.0526315789473,[[-2.05383064e-14]],3.171726794341026,3.171726793257446,0.0,20,2.7098,0.6580077936746256,1.0,3.1477903297392604
2,0.42843630195678856,0.01,2.383918187996712e-07,0.7222584417291701,0.0,76.65427656917447,1.1904392129856234,500.0,0.6658337165224373,0.0,2.3839180201581602e-07,0,1.6783855173568886e-14,0.4081630117345117,8.178111794870812,0.0,24.587222667341113,1402.7368421052631,[[-1.67838552e-14]],3.2669583728926144,3.2669585111248063,0.0,20,2.7906,0.6658337165224373,1.0,3.2535752089048136
3,0.45252042608774207,0.01,2.3839180201581602e-07,0.731715210784246,0.0,113.70730759522019,1.3963087256759117,500.0,0.6767489708007706,0.0,2.3839177758024596e-07,0,2.4435570051284665e-14,0.42843630195678856,8.301313942432303,0.0,25.6111544134982,1481.2631578947369,[[-2.44355701e-14]],3.454239590438885,3.4542381698438884,0.0,20,2.9564,0.6767489708007706,1.0,3.41240370413584
4,0.4788384227427924,0.01,2.3839177758024596e-07,0.7400852922948369,0.0,74.43958676377997,1.511362087491955,500.0,0.6864394220096004,0.0,2.3839175398558055e-07,0,2.359466541387353e-14,0.45252042608774207,8.4154280802916,0.0,26.578970278477446,1569.8947368421052,[[-2.35946654e-14]],3.6440719591751294,3.644071639787973,0.0,20,3.1258,0.6864394220096004,1.0,3.5644037874516967
5,0.5117719462858638,0.01,2.3839175398558055e-07,0.7487460546322723,0.0,110.3816597235433,1.8827627546539065,500.0,0.6964952897353358,0.0,2.3839173675820744e-07,0,1.7227373112635585e-14,0.4788384227427924,8.541128086512519,0.0,27.647661084275178,1660.3157894736842,[[-1.72273731e-14]],3.87562550174739,3.875624811547522,0.0,20,3.3346,0.6964952897353358,1.0,3.7349220661213263
6,0.5429089396778614,0.01,2.3839173675820744e-07,0.7561183557586499,0.0,81.95303026108961,1.7851784430136548,500.0,0.7050781016844018,0.0,2.3839171505488666e-07,0,2.1703320781389074e-14,0.5117719462858638,8.662830345885057,0.0,28.616667452994623,1792.7368421052631,[[-2.17033208e-14]],4.135165326802326,4.135165517781234,0.0,20,3.5732,0.7050781016844018,1.0,3.893923697249344
7,0.5671747082190177,0.01,2.3839171505488666e-07,0.761346077126132,0.0,110.90551492598206,1.4039177243479424,500.0,0.711176902015846,0.0,2.38391691329429e-07,0,2.3725457650613417e-14,0.5429089396778614,8.764743843050327,0.0,29.339789646413227,1904.421052631579,[[-2.37254577e-14]],4.384529625875029,4.3845296195726755,0.0,20,3.8066,0.711176902015846,1.0,4.017336983624849
8,0.5933790964690725,0.01,2.38391691329429e-07,0.7656407057474359,0.0,130.55424149486362,1.5374135694003659,500.0,0.7161949734611356,0.0,2.3839166824173134e-07,0,2.308769766609611e-14,0.5671747082190177,8.853732791579052,0.0,29.957803853198758,2008.1052631578948,[[-2.30876977e-14]],4.6153478955919045,4.615347873139527,0.0,20,4.0236,0.7161949734611356,1.0,4.125268844572435
9,0.6211795382467207,0.01,2.3839166824173134e-07,0.7693953194776704,0.0,96.21881802344205,1.6657943486545799,500.0,0.7205878332323362,0.0,2.3839164526749882e-07,0,2.2974232520613712e-14,0.5933790964690725,8.945062178086182,0.0,30.516836341906306,2137.7894736842104,[[-2.29742325e-14]],4.874790703129214,4.8747906504537415,0.0,20,4.2702,0.7205878332323362,1.0,4.227740763102677
10,0.656346919338593,0.01,2.3839164526749882e-07,0.7728976822405599,0.0,99.25059919437874,2.1785579006996727,500.0,0.7246903965535939,0.0,2.3839161528677287e-07,0,2.998072595351938e-14,0.6211795382467207,9.067461182328897,0.0,31.054863410755456,2318.9473684210525,[[-2.9980726e-14]],5.268873211276134,5.268873343355264,0.0,20,4.651,0.7246903965535939,1.0,4.3393777203649835
11,0.6974768309678743,0.01,2.3839161528677287e-07,0.7749414449272776,0.0,116.8687499254667,2.6893514565826955,500.0,0.7270865488154572,0.0,2.3839157850676723e-07,0,3.678000564019217e-14,0.656346919338593,9.193154423311695,0.0,31.376510160575386,2552.1052631578946,[[-3.67800056e-14]],5.718681718228055,5.718681417311795,0.0,20,5.0914,0.7270865488154572,1.0,4.426787327170801
12,0.7283992815381052,0.01,2.3839157850676723e-07,0.7754169693845644,0.0,153.36650650829716,2.1600698715382833,500.0,0.7276442908788858,0.0,2.383915484009906e-07,0,3.010577663036586e-14,0.6974768309678743,9.27250865611747,0.0,31.452182331351846,2701.3684210526317,[[-3.01057766e-14]],6.024103730918491,6.024103718405499,0.0,20,5.3932,0.7276442908788858,1.0,4.467190813027803
13,0.7630536286070608,0.01,2.383915484009906e-07,1.0,0.0,147.42029162320725,2.6139737187945062,500.0,0.725542067886332,0.0,2.3839150560247724e-07,0,4.2798513358324416e-14,0.7283992815381052,9.373988802498278,0.0,31.1685503775064,2917.684210526316,[[-4.27985134e-14]],6.462611437284166,6.46261141091393,0.0,20,5.8344,0.725542067886332,1.0,4.469068878413041
14,0.794554853861778,0.01,2.3839150560247724e-07,1.0,0.0,100.47477322891383,2.6158353601511593,500.0,0.7210591405343904,0.0,2.3839145606343392e-07,0,4.953904331623168e-14,0.7630536286070608,9.462663128417109,0.0,30.577849246233797,3123.3684210526317,[[-4.95390433e-14]],6.880489565196535,6.880489528673105,0.0,20,6.2612,0.7210591405343904,1.0,4.426259657995676
15,0.8329048634503132,0.01,2.3839145606343392e-07,1.0,0.0,164.4663998386913,3.6250448557757977,500.0,0.7110301106769342,0.0,2.3839137522158476e-07,0,8.084184915758859e-14,0.794554853861778,9.567103971038728,0.0,29.32203064048196,3394.5263157894738,[[-8.08418492e-14]],7.4169659418157385,7.416964963882961,0.0,20,6.819,0.7110301106769342,1.0,4.302004067873484
16,0.8576118794152066,0.01,2.3839137522158476e-07,1.0,0.0,109.17794060469102,2.7034139080033768,500.0,0.702596856638867,0.0,2.3839130665044973e-07,0,6.85711350283058e-14,0.8329048634503132,9.625754972859985,0.0,28.330858056808317,3577.5789473684213,[[-6.8571135e-14]],7.734701661010179,7.734701268243972,0.0,20,7.1542,0.702596856638867,1.0,4.194975847367896
17,0.8857144316676251,0.01,2.3839130665044973e-07,1.0,0.0,155.87295060818582,3.601417367593694,500.0,0.6856699093491522,0.0,2.3839119231525734e-07,0,1.143351923942376e-13,0.8576118794152066,9.700145281221376,0.0,26.499967822799615,3795.7894736842104,[[-1.14335192e-13]],8.16768436598868,8.16768293541662,0.0,20,7.6206,0.6856699093491522,1.0,3.980911408207924
18,0.9119487277650323,0.01,2.3839119231525734e-07,1.0,0.0,92.17663400209231,4.142431426436495,500.0,0.6628582964192635,0.0,2.3839102302564994e-07,0,1.692896073981109e-13,0.8857144316676251,9.765687672660995,0.0,24.319418487797144,4025.684210526316,[[-1.69289607e-13]],8.566966585105682,8.566964993723683,0.0,20,8.0604,0.6628582964192635,1.0,3.7157437801872186
19,0.9363896987647392,0.01,2.3839102302564994e-07,1.0,0.0,108.17201854254115,5.022740331878914,500.0,0.6300876293121231,0.0,2.3839074269719165e-07,0,2.803284582903775e-13,0.9119487277650323,9.825635745667714,0.0,21.64987763183142,4245.1578947368425,[[-2.80328458e-13]],8.945886256983636,8.945885744722505,0.0,20,8.4896,0.6300876293121231,1.0,3.38140382681513
20,0.9550325715283564,0.01,2.3839074269719165e-07,1.0,0.0,75.54390039193497,5.23643888478253,500.0,0.5884200998563383,0.0,2.383903264168055e-07,0,4.1628038614347927e-13,0.9363896987647392,9.872833196264908,0.0,18.856748146221438,4430.526315789473,[[-4.16280386e-13]],9.251912317468982,9.25191252936255,0.0,20,8.8488,0.5884200998563383,1.0,3.023299283894996
21,0.9708676667233808,0.01,2.383903264168055e-07,1.0,0.0,77.83610880430119,6.436206809577811,500.0,0.5310149361330331,0.0,2.3838954575473674e-07,0,7.80662068768491e-13,0.9550325715283564,9.912847553500958,0.0,15.798658612939459,4578.526315789473,[[-7.80662069e-13]],9.511361191994034,9.511361186076039,0.0,20,9.1668,0.5310149361330331,1.0,2.6259051315689224
22,0.985082203249879,0.01,2.3838954575473674e-07,1.0,0.0,59.286991561564776,9.768981040957755,500.0,0.4320877021474757,0.0,2.383873398663574e-07,0,2.2058883793300775e-12,0.9708676667233808,9.950579907568882,0.0,11.917151527191846,4738.0,[[-2.20588838e-12]],9.749620959712896,9.749620888120502,0.0,20,9.4796,0.4320877021474757,1.0,2.116691720586633
23,0.9934791655570964,0.01,2.383873398663574e-07,1.0,0.0,43.070772140076414,11.943436591872327,500.0,0.304542049610401,0.0,2.3838138359382463e-07,0,5.956272532777382e-12,0.985082203249879,9.97500096471506,0.0,8.410810160103663,4850.526315789473,[[-5.95627253e-12]],9.892059440918462,9.892059351235476,0.0,20,9.689,0.304542049610401,1.0,1.658094991247486
24,0.998803606104961,0.01,2.3838138359382463e-07,1.0,0.0,35.14213324608898,24.30050689460859,500.0,0.10422759384172156,0.0,2.383330566510449e-07,0,4.832694277974458e-11,0.9934791655570964,9.993466911602066,0.0,4.422472874740523,4924.631578947368,[[-4.83269428e-11]],9.980699354027514,9.980699341642925,0.0,20,9.8504,0.10422759384172156,1.0,1.1655126940535654
25,0.9999999897391637,0.01,2.383330566510449e-07,1.0,0.0,14.36755347293978,166.68121788506375,500.0,6.810479349274908e-106,0.0,5.323315896228526e-09,0,2.3300974075481637e-07,0.998803606104961,10.004988123597034,0.0,0.041295769171711925,4977.684210526316,[[-2.33009741e-07]],10.000000000000199,10.000205960921608,0.0,20,9.953,6.810479349274908e-106,1.0,0.6661764030645335
26,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
27,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
28,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
29,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
30,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
31,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
32,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
33,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
34,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
35,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
