RewardMean,TimestepsMean,ConfortViolation,DualBefore,Eta,DualAfter,WeightMax,DeltaOmega,WeightMin,WeightMedian,ITERATIONS,Wins,NormDeltaOmega,DualReg,Omega,WeightMean,Traj,NormDeltaVar,OmegaBefore,ReturnsMean,Primal,Epsilon,TimestepsStd,ReturnsStd,LossReg,RewardStd
2.31,500.0,0,6.405479999186259,44.797956275799486,2.4423990838313907,1.0,[[-0.3033427]],0.799935268505196,0.8364574929858517,0,0.0,0.30334269714914175,0.0,[[0.4966573]],0.799935268505196,20,19.99521927018658,[[0.8]],1154.1052631578948,2.4423990934835405,0.0015001,0.0,55.88512158351659,0.0,2.380063024375615
2.6044,500.0,0,7.7406489866912835,54.91438854809341,2.7667328684539205,1.0,[[-0.01882127]],0.8335166207324934,0.864433146459749,1,0.0,0.01882127382138793,0.0,[[0.47783603]],0.8335166207324934,20,1.076329045535354,[[0.4966573]],1304.842105263158,2.766732858003289,0.0015001,0.0,71.40194834279254,0.0,2.9186813186780087
2.6016,500.0,0,7.76397017859248,55.27222177713655,2.7649981559151087,1.0,[[0.00085644]],0.8344998569865478,0.865248815180675,2,0.0,0.0008564398455329081,0.0,[[0.47869247]],0.8344998569865478,20,0.049032093065370486,[[0.47783603]],1299.8947368421052,2.7649981466636926,0.0015001,0.0,46.726409456753906,0.0,2.9379716540497802
2.649,500.0,0,7.822949834285984,56.36293414229541,2.8157006052929408,1.0,[[-0.00647158]],0.8374266800766614,0.8676756994896142,3,0.0,0.006471578644782372,0.0,[[0.47222089]],0.8374266800766614,20,0.37070291839195413,[[0.47869247]],1327.0526315789473,2.8157006015407373,0.0015001,0.0,56.072766336731945,0.0,2.998799593170574
2.5974,500.0,0,7.779840994217949,55.4129319089832,2.761206010309884,1.0,[[0.00789943]],0.8348833287140649,0.8655668818271984,4,0.0,0.007899425139707317,0.0,[[0.48012032]],0.8348833287140649,20,0.45243293481681635,[[0.47222089]],1302.0,2.7612060015288122,0.0015001,0.0,82.31134730240322,0.0,2.9451508008928844
2.6866,500.0,0,7.872987862316229,57.21848230896761,2.8558863044058374,1.0,[[-0.01304009]],0.8396512062470168,0.8695191135239733,5,0.0,0.013040092930721392,0.0,[[0.46708022]],0.8396512062470168,20,0.747273981079746,[[0.48012032]],1337.2631578947369,2.8558863035367197,0.0015001,0.0,66.85478537000778,0.0,3.046338858367532
2.7314,500.0,0,7.902164777354718,57.84338010591921,2.9025986026518016,1.0,[[-0.00700976]],0.8412380273480462,0.8708334790192004,6,0.0,0.007009758824735202,0.0,[[0.46007046]],0.8412380273480462,20,0.40269992398230015,[[0.46708022]],1361.4736842105262,2.9025990334859206,0.0015001,0.0,70.61188838406345,0.0,3.0819237563573827
2.6998,500.0,0,7.893908281327073,57.454809843380474,2.869793102260859,1.0,[[0.00589637]],0.8402550250389068,0.870019315732655,7,0.0,0.005896366962565847,0.0,[[0.46596683]],0.8402550250389068,20,0.3387954988891817,[[0.46007046]],1354.2105263157894,2.8697931017664686,0.0015001,0.0,66.19236634900498,0.0,3.0591959662630313
2.6502,500.0,0,7.8281117099577475,56.48099509796661,2.81725673643583,1.0,[[0.00600737]],0.8377373059937132,0.867933166867119,8,0.0,0.006007366524554636,0.0,[[0.4719742]],0.8377373059937132,20,0.3446169538095336,[[0.46596683]],1321.7894736842106,2.8172567332076754,0.0015001,0.0,76.44990031136554,0.0,3.005335249186021
2.679,500.0,0,7.856413067422013,57.02398896819179,2.847706130833954,1.0,[[-0.00443343]],0.8391508488878863,0.8691045640380757,9,0.0,0.004433425113086864,0.0,[[0.46754077]],0.8391508488878863,20,0.25425226263963285,[[0.4719742]],1338.5263157894738,2.847706129545392,0.0015001,0.0,91.76363711706783,0.0,3.0358127412605667
2.6774,500.0,0,7.860426098106771,56.96991916533852,2.845933777710635,1.0,[[0.00108683]],0.839011194210433,0.8689888503612605,10,0.0,0.0010868272173093496,0.0,[[0.4686276]],0.839011194210433,20,0.062404866059912134,[[0.46754077]],1334.6315789473683,2.845933776236958,0.0015001,0.0,68.16405174385179,0.0,3.0324790584602557
2.6582,500.0,0,7.852764872715043,56.713904563440146,2.82594433931392,1.0,[[0.00324127]],0.838346647840576,0.8684381743802692,11,0.0,0.00324126895561333,0.0,[[0.47186887]],0.838346647840576,20,0.185994673652929,[[0.4686276]],1326.9473684210527,2.825944336920714,0.0015001,0.0,67.4415721270607,0.0,3.01767671562081
2.5828,500.0,0,7.750631786671212,55.100118448292456,2.745674102784718,1.0,[[-0.16111498]],0.8340284094431681,0.8648577378421929,12,0.0,0.16111498022705179,0.0,[[0.31075389]],0.8340284094431681,20,12.683338127299201,[[0.47186887]],1283.578947368421,2.745674092790009,0.0015001,0.0,67.52334160903074,0.0,2.928266408645224
2.3172,500.0,0,7.390284749744387,47.81202877522185,2.4580064077143504,1.0,[[-0.31075362]],0.8112715980559851,0.8459272546288532,13,0.0,0.31075362315712934,0.0,[[2.64777247e-07]],0.8112715980559851,20,0.541145631307435,[[0.31075389]],1163.2631578947369,2.458006506685993,0.0015001,0.0,64.45630270538912,0.0,2.5217819414057194
2.4042,500.0,0,7.753748171647885,51.744457879224974,2.5566484250570882,1.0,[[-6.93479156e-15]],0.8242697701385628,0.8567527320606716,14,0.0,6.934791564524998e-15,0.0,[[2.6477724e-07]],0.8242697701385628,20,0.48863042633292864,[[2.64777247e-07]],1200.3157894736842,2.556648421673644,0.0015001,0.0,79.18868382180223,0.0,2.731340762336329
2.4218,500.0,0,7.770642901047729,52.05239832160218,2.575181593719834,1.0,[[-1.06863485e-14]],0.8252127009027156,0.8575367143578867,15,0.0,1.0686348451154933e-14,0.0,[[2.64777229e-07]],0.8252127009027156,20,0.025380645581693173,[[2.6477724e-07]],1208.421052631579,2.5751815892897714,0.0015001,0.0,76.23116905658782,0.0,2.748542297291421
2.437,500.0,0,7.79996969697961,52.741982399232306,2.5924677726896865,1.0,[[-1.41560441e-14]],0.8272880993412705,0.8592616351750215,16,0.0,1.4156044113157684e-14,0.0,[[2.64777215e-07]],0.8272880993412705,20,0.5407325117214921,[[2.64777229e-07]],1220.5263157894738,2.5924677653567767,0.0015001,0.0,68.80894098960398,0.0,2.786939360660723
2.4894,500.0,0,7.862992354650193,54.08161586501086,2.6489269302556204,1.0,[[-1.3925545e-14]],0.8311826459064877,0.8624961669342373,17,0.0,1.3925544954748753e-14,0.0,[[2.64777201e-07]],0.8311826459064877,20,0.6449904413638397,[[2.64777215e-07]],1250.0,2.6489269175398324,0.0015001,0.0,60.11217583992885,0.0,2.8617630300218777
2.5548,500.0,0,7.93577776435067,55.65839395026649,2.719109656896321,1.0,[[-1.44559926e-14]],0.8355480524140284,0.8661181607955328,18,0.0,1.445599256170318e-14,0.0,[[2.64777187e-07]],0.8355480524140284,20,0.7639791391072972,[[2.64777201e-07]],1277.0526315789473,2.71910964690629,0.0015001,0.0,79.92461822453674,0.0,2.9500164338525305
2.5812,500.0,0,7.962243895878807,56.22706492878753,2.747236419906754,1.0,[[-8.43666166e-15]],0.8370677285923506,0.8673781528840818,19,0.0,8.436661659895099e-15,0.0,[[2.64777178e-07]],0.8370677285923506,20,0.24616286245632502,[[2.64777187e-07]],1292.2105263157894,2.747236413180068,0.0015001,0.0,84.78553684218629,0.0,2.981913238174444
