DeltaOmega,WeightMax,Epsilon,LossReg,Primal,DualReg,ITERATIONS,RewardStd,DualBefore,ConfortViolation,TimestepsMean,Traj,DualAfter,Eta,WeightMedian,Omega,Wins,OmegaBefore,WeightMean,ReturnsStd,RewardMean,NormDeltaOmega,TimestepsStd,ReturnsMean,WeightMin,NormDeltaVar
[[0.08954416]],1.0,1.001,0.0,6.66740413830279,0.0,0,2.436817194620885,7.533704714696157,0,500.0,20,6.667404768470969,2.3247277899138044,0.032024209453814574,[[0.88954416]],0.0,[[0.8]],0.013547152572590059,57.8376752290432,2.3486,0.08954416246838826,0.0,1176.5263157894738,0.013547152572590059,9.997128752462903
[[0.03854535]],1.0,1.001,0.0,6.830318141056054,0.0,1,2.5858153917091604,7.3816641311723785,0,500.0,20,6.830318224115422,2.1793268374773955,0.02545461298790519,[[0.92808951]],0.0,[[0.88954416]],0.010167358172343311,61.38421752099492,2.5126,0.03854534886976091,0.0,1263.3684210526317,0.010167358172343311,6.737323971004528
[[0.02204478]],1.0,1.001,0.0,6.99405769065782,0.0,2,2.7163787364798746,7.388276763970136,0,500.0,20,6.994057769158898,2.0973732122631046,0.02205325816759858,[[0.95013429]],0.0,[[0.92808951]],0.008498474037284296,61.14367078001037,2.6284,0.02204477509323155,0.0,1313.3684210526317,0.008498474037284296,5.565194474576806
[[0.0074719]],1.0,1.001,0.0,7.10193555662669,0.0,3,2.7819048438075664,7.439009121446105,0,500.0,20,7.101938951624609,2.0568193005641566,0.020455558035347515,[[0.95760619]],0.0,[[0.95013429]],0.007735959094208278,72.71955008104025,2.7112,0.0074719048777847075,0.0,1352.842105263158,0.007735959094208278,2.4309232078703786
[[0.00829361]],1.0,1.001,0.0,7.213432311426964,0.0,4,2.8561627334590023,7.489601222441752,0,500.0,20,7.213431115280982,2.0061816180955336,0.018542778619578208,[[0.9658998]],0.0,[[0.95760619]],0.006842558462327329,58.15844248372685,2.7962,0.008293605432481366,0.0,1400.7368421052631,0.006842558462327329,3.2331780612874326
[[4.40154009e-05]],1.0,1.001,0.0,7.237578630627577,0.0,5,2.862910379316824,7.511389883880452,0,500.0,20,7.237578690422142,2.0007457288025137,0.018342966071915736,[[0.96594381]],0.0,[[0.9658998]],0.006750515727961319,72.0619923948987,2.8196,4.401540091913958e-05,0.0,1407.2631578947369,0.006750515727961319,0.019102408132077642
[[5.06552446e-05]],1.0,1.001,0.0,7.217187934102386,0.0,6,2.8576071388488655,7.493847858645985,0,500.0,20,7.2171879375981565,2.0062474864059823,0.018545206431284992,[[0.96599447]],0.0,[[0.96594381]],0.006843678353509439,79.76433432600635,2.7988,5.065524464786808e-05,0.0,1399.578947368421,0.006843678353509439,0.02201355967260099
[[0.00223626]],1.0,1.001,0.0,7.270335043439218,0.0,7,2.8852147233784873,7.5287425225960085,0,500.0,20,7.270333506228669,1.9857796896778426,0.017798443203936656,[[0.96823073]],0.0,[[0.96599447]],0.006500960411028477,64.47142853196995,2.844,0.002236260948066948,0.0,1430.5263157894738,0.006500960411028477,1.0048002893793395
[[-0.00304252]],1.0,1.001,0.0,7.190347699143157,0.0,8,2.8458993376435506,7.476375577927923,0,500.0,20,7.1903485763726165,2.01684914314934,0.018938029501568063,[[0.96518821]],0.0,[[0.96823073]],0.007025358419244942,80.18151153628726,2.7736,0.003042516109509563,0.0,1377.3684210526317,0.007025358419244942,1.3514832785511075
[[-0.00213466]],1.0,1.001,0.0,7.188195597220073,0.0,9,2.834477899014208,7.489099349830271,0,500.0,20,7.188194606850746,2.0266314932788183,0.01930411622382442,[[0.96305355]],0.0,[[0.96518821]],0.007195523643711648,71.85904947666474,2.7752,0.002134657317360955,0.0,1392.5263157894738,0.007195523643711648,0.881821052160646
[[0.00429486]],1.0,1.001,0.0,7.246415400045553,0.0,10,2.873122837610672,7.5108275381249,0,500.0,20,7.246414947045201,1.9932222775787525,0.018068204578271213,[[0.96734841]],0.0,[[0.96305355]],0.006624357299505249,69.81241188489047,2.8246,0.004294858016562264,0.0,1417.2631578947369,0.006624357299505249,1.8289383076191612
[[0.00142313]],1.0,1.001,0.0,7.279482027951836,0.0,11,2.8902782634203232,7.532045200891721,0,500.0,20,7.2794820428647435,1.9795447568536348,0.017574026624852766,[[0.96877154]],0.0,[[0.96734841]],0.006398660972076452,68.96496360461703,2.8534,0.0014231278525761448,0.0,1421.7894736842106,0.006398660972076452,0.6576244604346257
[[0.00130546]],1.0,1.001,0.0,7.284875933470999,0.0,12,2.899842064664902,7.529748991166261,0,500.0,20,7.284875661808296,1.9736999059760443,0.017364956461956123,[[0.970077]],0.0,[[0.96877154]],0.006303650461734487,119.90319271507619,2.854,0.0013054639429113113,0.0,1425.4736842105262,0.006303650461734487,0.6292744929935665
[[-0.00309053]],1.0,1.001,0.0,7.235918384590378,0.0,13,2.866817880507934,7.496292579325413,0,500.0,20,7.235918470133834,1.9898486386730652,0.017945672158245964,[[0.96698648]],0.0,[[0.970077]],0.006568249810067415,80.12856705081983,2.8218,0.0030905262422389335,0.0,1402.2105263157894,0.006568249810067415,1.4497272169033621
[[-0.00297415]],1.0,1.001,0.0,7.170640671423549,0.0,14,2.83327569431568,7.460308021062614,0,500.0,20,7.170642134971782,2.0202395495151686,0.019064516694375748,[[0.96401233]],0.0,[[0.96698648]],0.007084060310265131,65.00219472109812,2.7622,0.0029741458192898973,0.0,1380.6315789473683,0.007084060310265131,1.2762787132692992
[[0.00248522]],1.0,1.001,0.0,7.230731029843292,0.0,15,2.8637703190025556,7.49951933399589,0,500.0,20,7.230730995312728,1.9979236752624885,0.018239659448812538,[[0.96649755]],0.0,[[0.96401233]],0.006703026042925883,63.73421264513939,2.8134,0.0024852203061918043,0.0,1410.9473684210527,0.006703026042925883,1.0590357567763817
[[-0.0011072]],1.0,1.001,0.0,7.197686745229216,0.0,16,2.848012471882804,7.474007953137569,0,500.0,20,7.197689119869925,2.0072331648850152,0.01858155605143878,[[0.96539035]],0.0,[[0.96649755]],0.0068604499400674555,68.4993883548324,2.7864,0.0011071997061916639,0.0,1392.2105263157894,0.0068604499400674555,0.4808600695230325
[[0.00208573]],1.0,1.001,0.0,7.26043255704038,0.0,17,2.8773487727420184,7.520722453857182,0,500.0,20,7.26043146483326,1.9874007518637176,0.01785702584074778,[[0.96747609]],0.0,[[0.96539035]],0.006527718366788541,59.38129759575084,2.8398,0.002085733162023873,0.0,1420.421052631579,0.006527718366788541,0.9187858082414024
[[-0.00160556]],1.0,1.001,0.0,7.217671280686943,0.0,18,2.8564583385724354,7.491875095694086,0,500.0,20,7.21767119814187,2.003524092874582,0.018444958246042528,[[0.96587053]],0.0,[[0.96747609]],0.006797466807289202,81.25088535635248,2.8024,0.0016055598445302577,0.0,1405.3684210526317,0.006797466807289202,0.712094657168123
[[0.00410799]],1.0,1.001,0.0,7.296008133598475,0.0,19,2.90115494243241,7.535847264955766,0,500.0,20,7.296008120275657,1.9663454618662766,0.017103689313098257,[[0.96997851]],0.0,[[0.96587053]],0.0061853210799568525,81.23997487693813,2.87,0.004107987233074928,0.0,1433.4736842105262,0.0061853210799568525,1.892744690861086
