DeltaOmega,Epsilon,ConfortViolation,Primal,Omega,LossReg,NormDeltaVar,OmegaBefore,NormDeltaOmega,Eta,RewardStd,ReturnsMean,DualBefore,Wins,RewardMean,DualAfter,WeightMin,TimestepsMean,WeightMax,TimestepsStd,WeightMean,DualReg,Traj,ITERATIONS,ReturnsStd,WeightMedian
[[0.10598414]],1.1,0,6.849397209470835,[[0.90598414]],0.0,12.560913310832287,[[0.8]],0.10598413863277933,2.1819632053434233,2.4179488083911127,1175.578947368421,7.569083240891238,0.0,2.3434,6.849399646191136,0.010223884243289539,500.0,1.0,0.0,0.010223884243289539,0.0,20,0,64.18912499257969,0.025567763410773343
[[0.05313518]],1.1,0,7.2123171714893575,[[0.95911932]],0.0,12.711424323115722,[[0.90598414]],0.053135184774048216,1.9554368649306755,2.715907951312047,1319.7894736842106,7.524095399997462,0.0,2.638,7.212308304225564,0.0060123069638151555,500.0,1.0,0.0,0.0060123069638151555,0.0,20,1,77.14891884317213,0.016719870778721304
[[0.01268215]],1.1,0,7.362109192988757,[[0.97180148]],0.0,5.493199594982016,[[0.95911932]],0.012682154305642679,1.8553253608475575,2.826533679261579,1380.3157894736842,7.5670505449961425,0.0,2.7644,7.362108570669925,0.0045624742193248816,500.0,1.0,0.0,0.0045624742193248816,0.0,20,2,71.00559846836315,0.01340788692710779
[[0.00174861]],1.1,0,7.3997735398568505,[[0.97355008]],0.0,0.9402048626451531,[[0.97180148]],0.0017486067814613815,1.8357213345207049,2.8474826496398533,1398.842105263158,7.5899088315365315,0.0,2.7984,7.399773486387243,0.004307274679064218,500.0,1.0,0.0,0.004307274679064218,0.0,20,3,87.45841908731302,0.01280448319296616
[[0.00537085]],1.1,0,7.498801427187664,[[0.97892093]],0.0,3.321059872792368,[[0.97355008]],0.005370850262312432,1.7863465706424122,2.9137130950043795,1437.4736842105262,7.65491941836858,0.0,2.874,7.498801009957154,0.0037052006828033543,500.0,1.0,0.0,0.0037052006828033543,0.0,20,4,80.301647371876,0.011351398973859308
[[0.00217283]],1.1,0,7.52491990710742,[[0.98109377]],0.0,1.585797865324416,[[0.97892093]],0.002172831634962402,1.759132576483731,2.9367863797014584,1442.5263157894738,7.66247285561187,0.0,2.8976,7.524918546383235,0.0033978246158524665,500.0,1.0,0.0,0.0033978246158524665,0.0,20,5,71.65367616165429,0.01059158038492914
[[-0.00145742]],1.1,0,7.496638049989648,[[0.97963635]],0.0,1.0820902331690476,[[0.98109377]],0.0014574153897044528,1.7685619131732566,2.9160819672979015,1441.4736842105262,7.639038161683238,0.0,2.8814,7.496636584564874,0.0035023835769578456,500.0,1.0,0.0,0.0035023835769578456,0.0,20,6,87.57274775627683,0.010851529770827114
[[0.00070473]],1.1,0,7.5130394689891995,[[0.98034108]],0.0,0.5134200524861967,[[0.97963635]],0.0007047302310756454,1.7633517060820252,2.926632734047783,1448.6315789473683,7.653038642854991,0.0,2.8922,7.513038103663572,0.003444355700541976,500.0,1.0,0.0,0.003444355700541976,0.0,20,7,63.33553964179552,0.010707458404180444
[[0.00097271]],1.1,0,7.52884757370351,[[0.98131379]],0.0,0.739103070181919,[[0.98034108]],0.0009727123290210749,1.7509484507818756,2.9386882515843697,1447.8947368421052,7.66130290318969,0.0,2.9056,7.528846047684322,0.0033087314535623297,500.0,1.0,0.0,0.0033087314535623297,0.0,20,8,71.4849227657517,0.010368817150922206
[[-0.00167456]],1.1,0,7.492241263885604,[[0.97963923]],0.0,1.2504607621235238,[[0.98131379]],0.0016745628215826258,1.7750008429110729,2.916224401516454,1436.1052631578948,7.638329029313261,0.0,2.8718,7.492239942049624,0.003574964111866339,500.0,1.0,0.0,0.003574964111866339,0.0,20,9,61.12445865595359,0.011031062598616453
