Wins,ConfortViolation,Primal,WeightMean,ITERATIONS,NormDeltaOmega,RewardStd,Traj,DeltaOmega,TimestepsStd,Omega,Eta,LossReg,OmegaBefore,DualAfter,ReturnsMean,DualReg,NormDeltaVar,DualBefore,ReturnsStd,RewardMean,TimestepsMean,Epsilon,WeightMedian,WeightMin,WeightMax
0.0,0,2.7063690509100353,0.5806373161793121,0,0.33145231755577115,2.4293041426713122,100,[[-0.33145232]],0.0,[[0.46854768]],18.394899422246464,0.0,[[0.8]],2.7063687260113403,1172.7474747474748,0.0,21.603856694170645,6.528270538575759,57.2187620981732,2.34768,500.0,0.0101,0.6473273472335029,0.5806373161793121,1.0
0.0,0,3.1286169087261393,0.6462613216832742,1,0.032266389866262346,3.037762169755888,100,[[-0.03226639]],0.0,[[0.43628129]],22.906813506330295,0.0,[[0.46854768]],3.128616863088655,1339.8181818181818,0.0,1.8613224601755138,7.872448282360315,82.85320640045038,2.681,500.0,0.0101,0.7052231034671012,0.6462613216832742,1.0
0.0,0,3.2445555813935063,0.6566842550002097,2,0.017234953768626493,3.166692488764894,100,[[-0.01723495]],0.0,[[0.41904634]],23.778274513673008,0.0,[[0.43628129]],3.244555578961611,1390.5858585858587,0.0,1.0060187095703514,8.005664395761475,71.84171857140622,2.77896,500.0,0.0101,0.7143076196295356,0.6566842550002097,1.0
0.0,0,3.3803383712466912,0.665988843217031,3,0.02180326034801916,3.292495960453103,100,[[-0.02180326]],0.0,[[0.39724308]],24.601313541605197,0.0,[[0.41904634]],3.3803385346075228,1447.8989898989898,0.0,1.2896590024127974,8.117244582177879,82.17368830401097,2.89748,500.0,0.0101,0.7223930566659794,0.665988843217031,1.0
0.0,0,3.4996729836467724,0.6729991750847018,4,0.015672766466691745,3.3920598482927744,100,[[-0.01567277]],0.0,[[0.38157031]],25.251812649771907,0.0,[[0.39724308]],3.4996729878682498,1500.6060606060605,0.0,0.9417535491580669,8.212121264527775,89.52149092260711,3.00316,500.0,0.0101,0.7284699232552243,0.6729991750847018,1.0
0.0,0,3.6135621265535733,0.6792873078301854,5,0.017070515581253165,3.4864569924208153,100,[[-0.01707052]],0.0,[[0.3644998]],25.859096920516006,0.0,[[0.38157031]],3.6135619263926317,1551.858585858586,0.0,1.0428293340530352,8.29287895689681,97.41393612587245,3.1042,500.0,0.0101,0.7339099911713236,0.6792873078301854,1.0
0.0,0,3.715924754630702,0.684749988299826,6,0.01619663480725486,3.571900138357734,100,[[-0.01619663]],0.0,[[0.34830316]],26.40602247108449,0.0,[[0.3644998]],3.7159242178165393,1597.5151515151515,0.0,1.008854443236748,8.363191815511742,89.08064257481925,3.19496,500.0,0.0101,0.738627761706099,0.684749988299826,1.0
0.0,0,3.8462764607131787,0.6905895994094304,7,0.016453486459705458,3.667414108060337,100,[[-0.01645349]],0.0,[[0.33184968]],27.011728579489954,0.0,[[0.34830316]],3.846276468021018,1656.5252525252524,0.0,1.047498273637169,8.44630556512804,111.93525757134118,3.3124,500.0,0.0101,0.7436627473505939,0.6905895994094304,1.0
0.0,0,3.9885835425977048,0.6957557569634937,8,0.01712805945019752,3.7577060046789184,100,[[-0.01712806]],0.0,[[0.31472162]],27.56669316534271,0.0,[[0.33184968]],3.9885835109563255,1720.3838383838383,0.0,1.1186509259371924,8.520400602372934,95.08345160492016,3.44268,500.0,0.0101,0.7481099773210927,0.6957557569634937,1.0
0.0,0,4.176558493099629,0.7021687095121819,9,0.021684112525375554,3.8745357638819127,100,[[-0.02168411]],0.0,[[0.2930375]],28.28201652349379,0.0,[[0.31472162]],4.176558572876231,1807.6969696969697,0.0,1.46486220578897,8.618212745802177,102.856323695486,3.61512,500.0,0.0101,0.7536213228169185,0.7021687095121819,1.0
