Primal,ReturnsStd,OmegaBefore,ReturnsMean,DeltaOmega,LossReg,ITERATIONS,TimestepsStd,NormDeltaVar,Omega,WeightMedian,WeightMean,WeightMin,DualReg,TimestepsMean,RewardStd,ConfortViolation,Eta,WeightMax,NormDeltaOmega,Wins,RewardMean,Epsilon,DualAfter,DualBefore,Traj
3.1816079092628917,57.31433117381947,[[0.8]],1174.3434343434344,[[-0.38295469]],0.0,0,0.0,24.58869947870507,[[0.41704531]],0.4060946438689128,0.3241784017759102,0.3241784017759102,0.0,500.0,2.4279958602930116,0,8.877357856287187,1.0,0.38295469260447257,0.0,2.34968,0.0501,3.181607930893625,6.5681927324840546,100
3.9794103953940545,83.42141901021945,[[0.41704531]],1437.090909090909,[[-0.07310918]],0.0,1,0.0,4.441251496709107,[[0.34393612]],0.5030665114638267,0.42367394802081343,0.42367394802081343,0.0,500.0,3.2720030034216054,0,11.644275170627562,1.0,0.0731091845331504,0.0,2.87384,0.0501,3.9794103789081428,8.142156134858457,100
4.579338244610725,104.03182076980264,[[0.34393612]],1676.080808080808,[[-0.06555508]],0.0,2,0.0,4.3814885786104725,[[0.27838104]],0.5328286972855296,0.45523380952922143,0.45523380952922143,0.0,500.0,3.6972654976347044,0,12.707382498135939,1.0,0.06555508024042161,0.0,3.3528,0.0501,4.579338244413462,8.510949765448354,100
5.337889109284832,105.6970778117014,[[0.27838104]],2003.1919191919192,[[-0.0638038]],0.0,3,0.0,4.9292278742165685,[[0.21457724]],0.553190259825961,0.47708213702738905,0.47708213702738905,0.0,500.0,4.085534892764961,0,13.512297262658807,1.0,0.06380380346533282,0.0,4.0092,0.0501,5.337889107765897,8.844687358343927,100
6.1939495585342135,128.82090921252575,[[0.21457724]],2401.59595959596,[[-0.05658063]],0.0,4,0.0,5.366544338328183,[[0.15799661]],0.5610025428841848,0.48551878454122455,0.48551878454122455,0.0,500.0,4.358330428225927,0,13.840115919138675,1.0,0.05658062905445624,0.0,4.80528,0.0501,6.1939495578356425,9.131441604620067,100
7.122685133168997,119.78493464667983,[[0.15799661]],2866.6464646464647,[[-0.04850632]],0.0,5,0.0,6.03925269004684,[[0.10949029]],1.0,0.4771876434119323,0.4771876434119323,0.0,500.0,4.4565560270684355,0,13.51633581514789,1.0,0.048506321435332234,0.0,5.73424,0.0501,7.122687663356642,9.380874400097388,100
8.09670715445337,120.03461732428751,[[0.10949029]],3397.3535353535353,[[-0.04242601]],0.0,6,0.0,7.6675218892196995,[[0.06706428]],1.0,0.4434229518587668,0.4434229518587668,0.0,500.0,4.3041872821707,0,12.296625801322032,1.0,0.04242600510481874,0.0,6.7928,0.0501,8.09670727454521,9.598119122348866,100
8.98440655525916,116.31710278881414,[[0.06706428]],3931.7373737373737,[[-0.03303576]],0.0,7,0.0,10.189291616674183,[[0.03402853]],1.0,0.36961965617130943,0.36961965617130943,0.0,500.0,3.8383142966672232,0,10.047416184964568,1.0,0.03303575642269166,0.0,7.8656,0.0501,8.98440654872486,9.775615231066535,100
9.655361563529983,89.07712850657708,[[0.03402853]],4409.49494949495,[[-0.022541]],0.0,8,0.0,15.842916848843913,[[0.01148753]],1.0,0.22831804264959923,0.22831804264959923,0.0,500.0,3.0525196684706226,0,6.770408745601645,1.0,0.022540998471041344,0.0,8.82144,0.0501,9.65536178163995,9.909165301232663,100
9.9999999999977,60.369477629022946,[[0.01148753]],4788.969696969697,[[-0.01148753]],0.0,9,0.0,223.69107446898664,[[1.84034186e-09]],1.0,3.286497058026675e-76,3.286497058026675e-76,0.0,500.0,1.9172218730235684,0,0.057535199599834115,1.0,0.01148752682794056,0.0,9.57836,0.0501,10.000127235024625,10.002234719573714,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,10,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,11,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,12,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,13,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,14,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,15,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,16,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,17,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,18,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
9.999999999997792,0.0,[[1.84034186e-09]],4990.0,[[0.]],0.0,19,0.0,0.0,[[1.84034186e-09]],1.0,0.0,0.0,0.0,500.0,0.4467661580737735,0,0.013040045547497655,1.0,0.0,0.0,9.98,0.0501,10.000627200075918,10.048098088311146,100
