Epsilon,DeltaOmega,LossReg,WeightMedian,Primal,WeightMin,RewardStd,WeightMean,RewardMean,ReturnsMean,NormDeltaVar,TimestepsStd,NormDeltaOmega,Eta,DualAfter,Omega,WeightMax,ITERATIONS,ConfortViolation,Wins,Traj,DualBefore,ReturnsStd,OmegaBefore,TimestepsMean,DualReg
0.0701,[[-0.3995047]],0.0,0.3513160741419386,3.3384503645120054,0.27047213316208935,2.4224634060393977,0.27047213316208935,2.34408,1172.8080808080808,25.567087706117412,0.0,0.39950469881700496,7.647679331682268,3.338449520575212,[[0.4004953]],1.0,0,0,0.0,100,6.580801083135827,60.328340119459845,[[0.8]],500.0,0.0
0.0701,[[-0.09193461]],0.0,0.45783301661061365,4.352653093163526,0.3766030958087957,3.38844415034393,0.3766030958087957,2.9932,1497.2323232323233,5.763643599878874,0.0,0.09193461092861688,10.239990118475445,4.352653092065779,[[0.30856069]],1.0,1,0,0.0,100,8.261709498485748,95.17732820211702,[[0.4004953]],500.0,0.0
0.0701,[[-0.07701009]],0.0,0.48960035303343685,5.190303772174231,0.4095454948197475,3.904099219845725,0.4095454948197475,3.66604,1832.6868686868686,5.6102780109118555,0.0,0.07701008970263395,11.20188015261178,5.19030414366667,[[0.2315506]],1.0,2,0,0.0,100,8.70487534188975,105.0110765167417,[[0.30856069]],500.0,0.0
0.0701,[[-0.06733955]],0.0,0.503051911851613,6.166792233805994,0.4236585786492535,4.28735337941719,0.4236585786492535,4.539,2269.1111111111113,6.109247282997632,0.0,0.0673395454050936,11.643783313689033,6.166792683738702,[[0.16421106]],1.0,3,0,0.0,100,9.065610133132616,126.07043797452542,[[0.2315506]],500.0,0.0
0.0701,[[-0.05876601]],0.0,0.8383918031734918,7.263547295985081,0.4142238664603991,4.4556743850510445,0.4142238664603991,5.62412,2811.3333333333335,7.298754591281121,0.0,0.05876601027232288,11.346246808433438,7.263547995787716,[[0.10544504]],1.0,4,0,0.0,100,9.374369417921773,112.81915447370457,[[0.16421106]],500.0,0.0
0.0701,[[-0.04862497]],0.0,1.0,8.400473932784232,0.36675973457568545,4.275063407997593,0.36675973457568545,6.88976,3444.10101010101,9.589014405173383,0.0,0.0486249731924668,9.969609445111328,8.400474538136137,[[0.05682007]],1.0,5,0,0.0,100,9.635768451345209,122.32870893327832,[[0.10544504]],500.0,0.0
0.0701,[[-0.03533014]],0.0,1.0,9.367777475193279,0.2550239832858577,3.644710002181243,0.2550239832858577,8.157,4079.939393939394,14.415414770485285,0.0,0.03533013831360654,7.318513564095226,9.367776233544733,[[0.02148993]],1.0,6,0,0.0,100,9.838436272215485,107.39390519186816,[[0.05682007]],500.0,0.0
0.0701,[[-0.02010237]],0.0,1.0,9.9636952732111,0.030623798882591688,2.501691100355917,0.030623798882591688,9.25128,4625.414141414141,39.433892696255434,0.0,0.02010237199204812,2.8686355693195984,9.96369574244574,[[0.00138756]],1.0,7,0,0.0,100,9.983093348545864,67.90858533084435,[[0.02148993]],500.0,0.0
0.0701,[[-0.00138756]],0.0,1.0,10.000000000002501,0.0,0.7983605240741803,0.0,9.93144,4965.838383838384,193.68844343892778,0.0,0.0013875595789596894,0.009758325262433412,10.000611578485548,[[1.79724663e-09]],1.0,8,0,0.0,100,10.062673617487123,21.76026731801928,[[0.00138756]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,9,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,10,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,11,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,12,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,13,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,14,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,15,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,16,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
0.0701,[[0.]],0.0,1.0,9.999999999997792,0.0,0.4467661580737735,0.0,9.98,4990.0,0.0,0.0,0.0,0.009725010213375863,10.00066225371954,[[1.79724663e-09]],1.0,17,0,0.0,100,10.068098088311146,0.0,[[1.79724663e-09]],500.0,0.0
