WeightMedian,WeightMax,ReturnsMean,Epsilon,DeltaOmega,DualReg,Omega,LossReg,Wins,TimestepsMean,DualBefore,Primal,Eta,Traj,WeightMin,ConfortViolation,ReturnsStd,DualAfter,WeightMean,RewardStd,RewardMean,NormDeltaVar,NormDeltaOmega,ITERATIONS,OmegaBefore,TimestepsStd
0.2679470413529044,1.0,1178.4040404040404,0.1201,[[-0.43701275]],0.0,[[0.36298725]],0.0,0.0,500.0,6.630596315937159,3.6934106919155734,6.074568710399041,100,0.19277965887869664,0,67.35881893802502,3.693410691305713,0.19277965887869664,2.43555138036544,2.35644,27.838804443058642,0.43701274734209533,0,[[0.8]],0.0
0.3814845896511859,1.0,1618.7474747474748,0.1201,[[-0.11539918]],0.0,[[0.24758807]],0.0,0.0,500.0,8.498712987740369,5.131594046130101,8.301469326519733,100,0.29981009274137604,0,97.33648224818576,5.131594117454325,0.29981009274137604,3.6037983905873534,3.2346,7.844223331439002,0.1153991802290526,1,[[0.36298725]],0.0
0.40391822849709913,1.0,2163.4545454545455,0.1201,[[-0.09200857]],0.0,[[0.15557951]],0.0,0.0,500.0,9.041267782852769,6.441270821078274,8.824734771083548,100,0.3220081147165579,0,109.84426742165222,6.4412708216644905,0.3220081147165579,4.217650680841172,4.32812,8.285373011023864,0.09200856659381221,2,[[0.24758807]],0.0
1.0,1.0,2904.181818181818,0.1201,[[-0.0756738]],0.0,[[0.07990571]],0.0,0.0,500.0,9.466685212362066,7.913528458330881,8.264434326284128,100,0.29819603585943744,0,142.3576633549671,7.913528457560528,0.29819603585943744,4.454653216761098,5.80572,10.74478806304856,0.07567379722498344,3,[[0.15557951]],0.0
1.0,1.0,3768.7272727272725,0.1201,[[-0.0543512]],0.0,[[0.02555451]],0.0,0.0,500.0,9.794448793585696,9.281257725239891,6.067582071807911,100,0.19241457989962846,0,124.21924395732594,9.281258472318328,0.19241457989962846,4.021223175303753,7.53412,17.106083179313302,0.05435119655644764,4,[[0.07990571]],0.0
1.0,1.0,4549.777777777777,0.1201,[[-0.02555451]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.01469766528504,10.000000000001101,0.023814216495618212,100,4.2880611684101195e-183,0,84.26264321469138,10.000348363100091,4.2880611684101195e-183,2.714681020230554,9.10172,234.02152867000837,0.025554510038437638,5,[[0.02555451]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,6,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,7,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,8,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,9,[[2.01517119e-09]],0.0
