ITERATIONS,ReturnsMean,RewardStd,Wins,WeightMean,Traj,LossReg,DualReg,DualAfter,RewardMean,Primal,NormDeltaOmega,ReturnsStd,ConfortViolation,DualBefore,WeightMedian,Omega,DeltaOmega,Epsilon,NormDeltaVar,TimestepsMean,OmegaBefore,Eta,TimestepsStd,WeightMax,WeightMin
0,1179.0707070707072,2.4342804032403498,0.0,0.18145069133420116,100,0.0,0.0,3.75574448972168,2.36072,3.755744301547902,0.44346406227333474,61.49209566109274,0,6.620081892141352,0.2552741870318661,[[0.35653594]],[[-0.44346406]],0.1301,28.238935677893316,500.0,[[0.8]],5.859015670882429,0.0,1.0,0.18145069133420116
1,1625.6969696969697,3.6145094359262644,0.0,0.2869281082760473,100,0.0,0.0,5.231723763910845,3.24876,5.231723765371378,0.11500596463781385,94.37529364946805,0,8.519207548630762,0.36831421105626405,[[0.24152997]],[[-0.11500596]],0.1301,7.912550969225494,500.0,[[0.35653594]],8.009460207885148,0.0,1.0,0.2869281082760473
2,2230.1414141414143,4.259098078232057,0.0,0.3065459775273953,100,0.0,0.0,6.665863569926593,4.4566,6.665863482496233,0.0981487656427745,126.80192221251255,0,9.094218591708323,0.38832602510952063,[[0.14338121]],[[-0.09814877]],0.1301,9.188234708741106,500.0,[[0.24152997]],8.457464050446173,0.0,1.0,0.3065459775273953
3,3000.3636363636365,4.4448081490206075,0.0,0.27378862973918344,100,0.0,0.0,8.16634355536674,6.00072,8.166343899876505,0.0740582347710627,127.33519390560836,0,9.52002495414403,1.0,[[0.06932297]],[[-0.07405823]],0.1301,11.566426093982379,500.0,[[0.14338121]],7.719629869727049,0.0,1.0,0.27378862973918344
4,3891.252525252525,3.8898529162938797,0.0,0.14794879888426019,100,0.0,0.0,9.493097975280838,7.77836,9.49309804477681,0.05113734823099608,115.09138603773849,0,9.84225757478415,1.0,[[0.01818562]],[[-0.05113735]],0.1301,19.880498384671007,500.0,[[0.06932297]],5.2331662921710675,0.0,1.0,0.14794879888426019
5,4680.707070707071,2.3306327762219423,0.0,0.0,100,0.0,0.0,10.000731492193317,9.35932,9.999999999998204,0.018185621551848333,69.42320115851768,0,10.056254373025228,1.0,[[2.89216985e-09]],[[-0.01818562]],0.1301,223.89268506465223,500.0,[[0.01818562]],0.013012027746034922,0.0,1.0,0.0
6,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,6.340790869248984e-10,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[-6.34079087e-10]],0.1301,3.5355339059327093,500.0,[[2.89216985e-09]],0.007082991159659848,0.0,1.0,0.0
7,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
8,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
9,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
