OmegaBefore,LossReg,Primal,ReturnsMean,DualBefore,Eta,TimestepsStd,Omega,ConfortViolation,WeightMedian,DualReg,DeltaOmega,ITERATIONS,RewardMean,WeightMax,WeightMin,NormDeltaOmega,WeightMean,Wins,NormDeltaVar,RewardStd,TimestepsMean,Epsilon,Traj,DualAfter,ReturnsStd
[[0.8]],0.0,4.96783777623338,1179.919191919192,6.930622157866227,3.623706303084337,0.0,[[0.24964048]],0,0.10995496189427696,0.0,[[-0.55035952]],0,2.36044,1.0,0.0633167391687606,0.5503595154605679,0.0633167391687606,0.0,35.52607122464917,2.4455843895478235,500.0,0.4001,100,4.967836226360216,60.94801175363101
[[0.24964048]],0.0,8.1767263886095,2181.8585858585857,9.333195028908603,4.46281169985632,0.0,[[0.07923534]],0,0.16652798982892186,0.0,[[-0.17040515]],1,4.36436,1.0,0.10637977063498533,0.17040514747006638,0.10637977063498533,0.0,19.31787830207456,4.228905507386043,500.0,0.4001,100,8.176724348681862,125.70198925653766
[[0.07923534]],0.0,10.00000000000083,3778.3030303030305,10.077937439779157,0.009826002600586142,0.0,[[2.90781433e-09]],0,1.0,0.0,[[-0.07923533]],2,7.55684,1.0,0.0,0.07923533416155142,0.0,0.0,245.75831454926424,4.008771534323203,500.0,0.4001,100,10.00076011090328,113.75442755689583
[[2.90781433e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[-6.37508982e-10]],3,9.98,1.0,0.0,6.375089824408427e-10,0.0,0.0,3.535533905932766,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],4,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],5,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],6,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],7,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],8,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],9,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],10,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],11,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],12,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],13,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],14,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],15,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],16,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],17,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],18,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
[[2.27030535e-09]],0.0,9.999999999997792,4990.0,10.398098088311146,0.004597673196119566,0.0,[[2.27030535e-09]],0,1.0,0.0,[[0.]],19,9.98,1.0,0.0,0.0,0.0,0.0,0.0,0.4467661580737735,500.0,0.4001,100,10.00183032449175,0.0
