ITERATIONS,WeightMax,RewardStd,WeightMedian,WeightMean,WeightMin,TimestepsMean,NormDeltaOmega,NormDeltaVar,Wins,Eta,ConfortViolation,DualBefore,DualAfter,TimestepsStd,ReturnsMean,Epsilon,OmegaBefore,Omega,Traj,DeltaOmega,RewardMean,LossReg,Primal,ReturnsStd,DualReg
0,1.0,2.4341225987201223,0.033755596657248116,0.014468790759006771,0.014468790759006771,500.0,0.08191000001818571,8.919265763209133,0.0,2.36085068694207,0,7.4532196356142695,6.562864538685526,0.0,1179.4545454545455,0.9601,[[0.8]],[[0.88191]],100,[[0.08191]],2.35912,0.0,6.562863176074851,65.49011379278072,0.0
1,1.0,2.58353639153777,0.028440030911411597,0.011679186138465872,0.011679186138465872,500.0,0.04038907626357979,6.619420551294997,0.0,2.2472177839646226,0,7.3387234492639175,6.726840205234637,0.0,1247.2525252525252,0.9601,[[0.88191]],[[0.92229908]],100,[[0.04038908]],2.49556,0.0,6.726840190377366,57.69273249302714,0.0
2,1.0,2.709631555470227,0.025330368958797755,0.01010536244135077,0.01010536244135077,500.0,0.02068956395300603,4.740018441563251,0.0,2.1764258400748293,0,7.372577852086146,6.909911173120922,0.0,1313.959595959596,0.9601,[[0.92229908]],[[0.94298864]],100,[[0.02068956]],2.62844,0.0,6.909911277113529,71.80668762528695,0.0
3,1.0,2.781092264273158,0.023305061644692517,0.009105689144928882,0.009105689144928882,500.0,0.00990544816393224,2.8757366234045065,0.0,2.1281776362782643,0,7.401291354235562,7.0174312368824285,0.0,1356.909090909091,0.9601,[[0.94298864]],[[0.95289409]],100,[[0.00990545]],2.71224,0.0,7.017430889728989,70.18548166499458,0.0
4,1.0,2.8173687116882657,0.022513407317682168,0.00872070380212434,0.00872070380212434,500.0,0.004665874761170308,1.5598700617602503,0.0,2.1087902391758133,0,7.422397628423626,7.0679645776421,0.0,1372.909090909091,0.9601,[[0.95289409]],[[0.95755996]],100,[[0.00466587]],2.74632,0.0,7.067964583503093,82.21099866315794,0.0
5,1.0,2.8206177774381267,0.022127275416386996,0.008534143219593865,0.008534143219593865,500.0,0.0005084335047100819,0.17976014066665158,0.0,2.0992172742056323,0,7.417284595794956,7.07477291996058,0.0,1379.2121212121212,0.9601,[[0.95755996]],[[0.9580684]],100,[[0.00050843]],2.75744,0.0,7.074775538489104,63.02529117603259,0.0
6,1.0,2.8337465247265854,0.022050525220482578,0.008497157592332038,0.008497157592332038,500.0,0.0016198598706812506,0.5869471354597025,0.0,2.097305067464281,0,7.429133087304102,7.09062996419701,0.0,1381.3131313131314,0.9601,[[0.9580684]],[[0.95968826]],100,[[0.00161986]],2.76344,0.0,7.090630540865762,80.2542231450727,0.0
7,1.0,2.8360107915168453,0.022174009396513445,0.008556679869018414,0.008556679869018414,500.0,5.148820695211054e-05,0.01902452458835313,0.0,2.1003800926249756,0,7.437235070896712,7.094770409541685,0.0,1381.8383838383838,0.9601,[[0.95968826]],[[0.95973974]],100,[[5.1488207e-05]],2.76352,0.0,7.09477028716838,85.80535961583148,0.0
8,1.0,2.833395355399596,0.02197416697814637,0.008460392769430334,0.008460392769430334,500.0,0.0005073828562995875,0.18646613849253413,0.0,2.095399481798781,0,7.4357638419942855,7.097645393741997,0.0,1386.828282828283,0.9601,[[0.95973974]],[[0.95923236]],100,[[-0.00050738]],2.7726,0.0,7.097645449982332,71.04132250396192,0.0
9,1.0,2.82640174327713,0.02217335824006713,0.008556365778504623,0.008556365778504623,500.0,0.0007642077625268362,0.2766989229869168,0.0,2.1003638987811994,0,7.4303627369622065,7.085999661034016,0.0,1381.878787878788,0.9601,[[0.95923236]],[[0.95846815]],100,[[-0.00076421]],2.76316,0.0,7.085998833244788,73.82579450222191,0.0
10,1.0,2.8458653323022856,0.021562384781266382,0.00826268106807314,0.00826268106807314,500.0,0.002015629868551305,0.7407163702842823,0.0,2.0850682145137065,0,7.447469124654426,7.1212353853132715,0.0,1397.050505050505,0.9601,[[0.95846815]],[[0.96048378]],100,[[0.00201563]],2.79348,0.0,7.121236129608955,73.64141535372931,0.0
11,1.0,2.843666916922585,0.021820961440259107,0.008386724025860196,0.008386724025860196,500.0,0.00015758108751195987,0.059198646234676744,0.0,2.0915665687806104,0,7.446837315557181,7.113684588031143,0.0,1392.6666666666667,0.9601,[[0.96048378]],[[0.9603262]],100,[[-0.00015758]],2.78284,0.0,7.113686078050912,71.77687087021272,0.0
12,1.0,2.848077614391855,0.021525899274567138,0.008245208260820388,0.008245208260820388,500.0,0.0003961081449088688,0.14923839950118634,0.0,2.084148294260765,0,7.449275730230675,7.124285760711873,0.0,1396.3030303030303,0.9601,[[0.9603262]],[[0.96072231]],100,[[0.00039611]],2.79532,0.0,7.124288352231614,74.69499659327785,0.0
13,1.0,2.8375645983131377,0.021924479244480478,0.008436486353736915,0.008436486353736915,500.0,0.0008310095061768719,0.3114563117361797,0.0,2.0941577880675415,0,7.435874737620528,7.100387230237507,0.0,1386.969696969697,0.9601,[[0.96072231]],[[0.9598913]],100,[[-0.00083101]],2.77252,0.0,7.100388630217786,70.71945634667152,0.0
