Eta,WeightMin,DualAfter,NormDeltaOmega,ITERATIONS,Traj,Epsilon,OmegaBefore,Omega,WeightMax,NormDeltaVar,RewardMean,ReturnsMean,TimestepsStd,ConfortViolation,TimestepsMean,Wins,WeightMean,DeltaOmega,DualReg,DualBefore,LossReg,ReturnsStd,RewardStd,WeightMedian,Primal
2.1104260488903805,0.00875281667723337,6.998781796740627,0.11574614341840284,0,100,1.1701,[[0.8]],[[0.91574614]],1.0,14.280149792930832,2.33588,1168.949494949495,0.0,0,500.0,0.0,0.00875281667723337,[[0.11574614]],0.0,7.653709715868423,0.0,55.32445597597733,2.414900541554455,0.02257970512305934,6.998781804962265
1.872354661271027,0.004791707384678849,7.293764471671544,0.04703403671847872,1,100,1.1701,[[0.91574614]],[[0.96278018]],1.0,12.38684088582037,2.59904,1298.7878787878788,0.0,0,500.0,0.0,0.004791707384678849,[[0.04703404]],0.0,7.563628766786788,0.0,81.24874795955571,2.6837941572333746,0.013944155951959053,7.2937667561431985
1.7131027118040518,0.002916527426984586,7.526565863364603,0.016675055929371574,2,100,1.1701,[[0.96278018]],[[0.97945524]],1.0,8.734381640629643,2.79816,1398.9292929292928,0.0,0,500.0,0.0,0.002916527426984586,[[0.01667506]],0.0,7.660516076708317,0.0,76.55106601204753,2.851508480506414,0.009373307224098746,7.526566130206521
1.616150335263772,0.0020548689807445954,7.644297869434454,0.006457962185772992,3,100,1.1701,[[0.97945524]],[[0.9859132]],1.0,5.484851146409632,2.90524,1452.969696969697,0.0,0,500.0,0.0,0.0020548689807445954,[[0.00645796]],0.0,7.728984623100605,0.0,86.33426401106581,2.9360893280688862,0.007083164190762535,7.644298767189194
1.6065578094388768,0.001980337249684564,7.6555545040798885,0.0006366656896120704,4,100,1.1701,[[0.9859132]],[[0.98654986]],1.0,0.6699234988302436,2.91388,1457.030303030303,0.0,0,500.0,0.0,0.001980337249684564,[[0.00063667]],0.0,7.736246806806142,0.0,80.55783474183012,2.9455497526947325,0.006876878086445385,7.655555298208867
1.6346756220924912,0.0022041317215132803,7.6198694492731445,0.001549097247588782,5,100,1.1701,[[0.98654986]],[[0.98500077]],1.0,1.5797330851401696,2.88048,1440.5858585858587,0.0,0,500.0,0.0,0.0022041317215132803,[[-0.0015491]],0.0,7.711864085480254,0.0,74.59588231669538,2.9219368524319616,0.007491866603280633,7.619870528045856
1.601848407346132,0.0019444269151188739,7.663640557100113,0.001759235797399561,6,100,1.1701,[[0.98500077]],[[0.98676]],1.0,1.8077308040118183,2.922,1462.2222222222222,0.0,0,500.0,0.0,0.0019444269151188739,[[0.00175924]],0.0,7.742894583915285,0.0,75.07081580055407,2.94949419392546,0.00677693467287554,7.663641310454933
1.5848221050571594,0.001818294215615616,7.67496063828707,0.000531718303177886,7,100,1.1701,[[0.98676]],[[0.98729172]],1.0,0.5932483273485616,2.93948,1468.9292929292928,0.0,0,500.0,0.0,0.001818294215615616,[[0.00053172]],0.0,7.747504995160332,0.0,63.18375518835575,2.955458903385395,0.006422902444797178,7.6749620510517085
1.5942982912195272,0.0018877833807255434,7.666878010571693,0.0003968980376672926,8,100,1.1701,[[0.98729172]],[[0.98689482]],1.0,0.4450823171885645,2.92992,1464.6868686868686,0.0,0,500.0,0.0,0.0018877833807255434,[[-0.0003969]],0.0,7.74304013208904,0.0,74.59854122448468,2.9501811458959604,0.006618532819298178,7.666878687978937
1.5817128786898722,0.0017958803002905783,7.678685378067744,0.000616487045103864,9,100,1.1701,[[0.98689482]],[[0.98751131]],1.0,0.6972627060043806,2.94188,1470.080808080808,0.0,0,500.0,0.0,0.0017958803002905783,[[0.00061649]],0.0,7.750061162906879,0.0,73.17278248308385,2.958915690857041,0.006359484442507608,7.678686511697683
1.6026291644861603,0.0019503495330040839,7.6576445959379384,0.0008249985469328536,10,100,1.1701,[[0.98751131]],[[0.98668631]],1.0,0.9257866494221503,2.9174,1458.2828282828282,0.0,0,500.0,0.0,0.0019503495330040839,[[-0.000825]],0.0,7.7366506090344975,0.0,71.13794259640422,2.9468453030317017,0.006793443386466913,7.657645345984166
1.6208519843885534,0.0020920835080687214,7.637269837655866,0.0010083977962866975,11,100,1.1701,[[0.98668631]],[[0.98567791]],1.0,1.0576093039266397,2.89844,1447.8989898989898,0.0,0,500.0,0.0,0.0020920835080687214,[[-0.0010084]],0.0,7.72367249178224,0.0,80.56686725937529,2.932099174038968,0.007185602895953867,7.637270783148594
1.600504982784862,0.0019342646832517963,7.66071070422028,0.0009562604903560201,12,100,1.1701,[[0.98567791]],[[0.98663417]],1.0,1.0010198462795614,2.92312,1462.5858585858587,0.0,0,500.0,0.0,0.0019342646832517963,[[0.00095626]],0.0,7.73924028620939,0.0,81.17533213664822,2.946267039085222,0.006748584993256717,7.660711444678405
