OmegaBefore,WeightMin,Epsilon,NormDeltaOmega,Eta,WeightMedian,RewardStd,DualReg,ReturnsMean,WeightMax,DualAfter,DeltaOmega,TimestepsStd,Traj,ReturnsStd,Omega,WeightMean,RewardMean,NormDeltaVar,ITERATIONS,ConfortViolation,Primal,Wins,TimestepsMean,LossReg,DualBefore
[[0.8]],0.008140032949834937,1.2001,0.12155839968442095,2.0785867717107256,0.021305951314257096,2.432253301282578,0.0,1177.2929292929293,1.0,7.099405567666018,[[0.1215584]],0.0,100,62.6617103980182,[[0.9215584]],0.008140032949834937,2.35528,15.391676938164093,0,0,7.099405575945715,0.0,500.0,0.0,7.716434082999758
[[0.9215584]],0.003970910472731743,1.2001,0.04666752971323895,1.8087238785677326,0.011998088927889188,2.7094653733901084,0.0,1315.2727272727273,1.0,7.385624795182851,[[0.04666753]],0.0,100,68.40193425433013,[[0.96822593]],0.003970910472731743,2.62852,13.615759201124952,1,0,7.385628986100212,0.0,500.0,0.0,7.608584227406729
[[0.96822593]],0.0021181919551504736,1.2001,0.015933712230764896,1.6241168606366096,0.007257252796661016,2.885438152100994,0.0,1420.989898989899,1.0,7.624057379068848,[[0.01593371]],0.0,100,75.7259139224066,[[0.98415964]],0.0021181919551504736,2.83948,10.177317426459837,2,0,7.62405817159226,0.0,500.0,0.0,7.718910922473222
[[0.98415964]],0.0016636901802149304,1.2001,0.0032271799949677993,1.5628132601323443,0.0059821591461667765,2.9283015145302236,0.0,1447.959595959596,1.0,7.680421627016422,[[0.00322718]],0.0,100,82.8638800077438,[[0.98738682]],0.0016636901802149304,2.8968,3.3013228311924507,3,0,7.680422242811964,0.0,500.0,0.0,7.7492111687102
[[0.98738682]],0.0015081730449984431,1.2001,0.001051760181582484,1.5392059778825475,0.0055304559768327936,2.9458600200281064,0.0,1462.3636363636363,1.0,7.709661933313033,[[0.00105176]],0.0,100,81.40303205152065,[[0.98843858]],0.0015081730449984431,2.92632,1.259046601480506,4,0,7.7096623607536,0.0,500.0,0.0,7.771067541887421
[[0.98843858]],0.00160233754970724,1.2001,0.0005470658374697734,1.5536896698512839,0.005805013153888121,2.9366561988765385,0.0,1453.3131313131314,1.0,7.692790091025981,[[-0.00054707]],0.0,100,72.29130834278801,[[0.98789152]],0.00160233754970724,2.90764,0.6683778222490275,5,0,7.692790627337485,0.0,500.0,0.0,7.758632519688195
[[0.98789152]],0.0015435204790265277,1.2001,0.0004831753514581427,1.5447141978485301,0.005633910152905661,2.9435535270145845,0.0,1456.1616161616162,1.0,7.699700699469257,[[0.00048318]],0.0,100,85.57337297924272,[[0.98837469]],0.0015435204790265277,2.91344,0.5887262899932679,6,0,7.6997011574171665,0.0,500.0,0.0,7.762190076311198
[[0.98837469]],0.0016067617449618957,1.2001,0.0005581720854215266,1.5543555499692072,0.0058178321399027875,2.935032633821982,0.0,1453.7373737373737,1.0,7.690424447337339,[[-0.00055817]],0.0,100,77.9207815615536,[[0.98781652]],0.0016067617449618957,2.90628,0.6780198742247094,7,0,7.690424989703038,0.0,500.0,0.0,7.75637094490788
[[0.98781652]],0.0014118410042208071,1.2001,0.0015218802762062555,1.523725762545008,0.005246004186005219,2.9596952164707773,0.0,1467.979797979798,1.0,7.722633287055552,[[0.00152188]],0.0,100,74.14345633385932,[[0.9893384]],0.0014118410042208071,2.93516,1.9281702368883344,8,0,7.722633597667855,0.0,500.0,0.0,7.778672699199075
[[0.9893384]],0.001226661200842968,1.2001,0.0011107665064992167,1.491767100427241,0.004687914724444464,2.977453828760406,0.0,1484.3232323232323,1.0,7.751118865974633,[[0.00111077]],0.0,100,82.49430078665652,[[0.99044917]],0.001226661200842968,2.96824,1.5877453617721358,9,0,7.7511190152333445,0.0,500.0,0.0,7.798218077168977
