Omega,ConfortViolation,NormDeltaVar,WeightMax,Primal,DualReg,RewardStd,TimestepsMean,LossReg,ReturnsMean,ITERATIONS,ReturnsStd,RewardMean,NormDeltaOmega,Wins,OmegaBefore,DualBefore,WeightMedian,Traj,DualAfter,WeightMin,DeltaOmega,WeightMean,TimestepsStd,Epsilon,Eta
[[0.93304911]],0,17.831486407261433,1.0,7.273180912958905,0.0,2.417893954332985,500.0,0.0,1170.1010101010102,0,65.31562761775245,2.34016,0.1330491061932353,0.0,[[0.8]],7.79394238913623,0.017352129368749608,100,7.273180963436657,0.006297830547582653,[[0.13304911]],0.006297830547582653,0.0,1.3001,1.9733401499407477
[[0.97925959]],0,17.431633684832974,1.0,7.599400180843915,0.0,2.741520031223555,500.0,0.0,1332.7070707070707,1,69.16781708064865,2.66428,0.04621048325896904,0.0,[[0.93304911]],7.725353655668544,0.007420719586765597,100,7.5994001759523115,0.0021779982478555616,[[0.04621048]],0.0021779982478555616,0.0,1.3001,1.6314946177531042
[[0.99187401]],0,13.568799454025417,1.0,7.802472266818396,0.0,2.9083649286841564,500.0,0.0,1433.5353535353536,2,73.20309552588594,2.86804,0.012614422184976104,0.0,[[0.97925959]],7.833564625687293,0.0032014035821214494,100,7.802473160798402,0.0007615098639393601,[[0.01261442]],0.0007615098639393601,0.0,1.3001,1.392717424131857
[[0.99528796]],0,7.834021456653346,1.0,7.879469308921019,0.0,2.970435382229346,500.0,0.0,1478.3434343434344,3,72.7758647993701,2.9558,0.003413943974390321,0.0,[[0.99187401]],7.891006327645876,0.0018190047478715997,100,7.879470722602475,0.0003756576962197341,[[0.00341394]],0.0003756576962197341,0.0,1.3001,1.2679361918297902
[[0.99539369]],0,0.3257282811265725,1.0,7.879965278926579,0.0,2.972583193116721,500.0,0.0,1477.3737373737374,4,76.25138990070681,2.9554,0.00010573432607263733,0.0,[[0.99528796]],7.891013606038129,0.0017840473764136491,100,7.87996650032591,0.0003666553099775579,[[0.00010573]],0.0003666553099775579,0.0,1.3001,1.2640485788470912
[[0.99628183]],0,3.0726939697593707,1.0,7.901779032618261,0.0,2.990735234018552,500.0,0.0,1492.6060606060605,5,84.99766107082876,2.9826,0.0008881445862176651,0.0,[[0.99539369]],7.908703676135342,0.007264763719069566,100,7.901778443688496,0.0014070039770596133,[[0.00088814]],0.0014070039770596133,0.0,1.3001,1.2183435001909908
[[0.99618802]],0,0.3573131941703167,1.0,7.900151066253016,0.0,2.9893263388261913,500.0,0.0,1489.4545454545455,6,88.06784261909263,2.9798,9.38122848720413e-05,0.0,[[0.99628183]],7.907530941323021,0.0014493355633379249,100,7.900150560863773,0.0002827881365776748,[[-9.38122849e-05]],0.0002827881365776748,0.0,1.3001,1.2238684841429208
[[0.99634932]],0,0.619966380872782,1.0,7.90450973762393,0.0,2.990819991641088,500.0,0.0,1493.6565656565656,7,69.27797347214558,2.98924,0.00016130156048010935,0.0,[[0.99618802]],7.910961134847587,0.007074530005684994,100,7.904509088993128,0.0013580949174368572,[[0.0001613]],0.0013580949174368572,0.0,1.3001,1.2118141536048894
[[0.99674699]],0,1.6532858727627797,1.0,7.91518624746193,0.0,3.000399717104373,500.0,0.0,1499.6767676767677,8,83.00064844371602,3.00124,0.000397663860041364,0.0,[[0.99634932]],7.920149719116495,0.001199600391929573,100,7.915186453387472,0.00022325220075173274,[[0.00039766]],0.00022325220075173274,0.0,1.3001,1.1894554563783133
[[0.99611701]],0,2.5379418645688645,1.0,7.899630517377587,0.0,2.986107459553323,500.0,0.0,1491.6363636363637,9,90.47277111954506,2.9832,0.0006299763547416015,0.0,[[0.99674699]],7.907066781453653,0.0014528153938765218,100,7.899630020550054,0.00028363710314796233,[[-0.00062998]],0.00028363710314796233,0.0,1.3001,1.2243176504537696
[[0.99609418]],0,0.08406253512937667,1.0,7.8973470291015415,0.0,2.986209678103666,500.0,0.0,1489.7171717171718,10,82.12137363781997,2.97828,2.2826822237642652e-05,0.0,[[0.99611701]],7.905012387175491,0.007540894735276765,100,7.897346663379766,0.0014787582182398495,[[-2.28268222e-05]],0.0014787582182398495,0.0,1.3001,1.2276429746392172
[[0.99658118]],0,1.9094196712520386,1.0,7.910091538234285,0.0,2.996367164684595,500.0,0.0,1498.0,11,80.7079784022483,2.99512,0.00048699365336735134,0.0,[[0.99609418]],7.915666600347376,0.006718798927422877,100,7.910091903670313,0.0012678139486253556,[[0.00048699]],0.0012678139486253556,0.0,1.3001,1.1993173793797953
[[0.99566309]],0,3.4112432768993983,1.0,7.8853718812566616,0.0,2.978410253809908,500.0,0.0,1480.7272727272727,12,68.74720463471395,2.9606,0.0009180849477489206,0.0,[[0.99658118]],7.8952095429194635,0.008304503182912924,100,7.885371124390382,0.0016817116826469461,[[-0.00091808]],0.0016817116826469461,0.0,1.3001,1.2523592990326666
[[0.99592828]],0,0.9051605793004995,1.0,7.896102768873679,0.0,2.9847295062702077,500.0,0.0,1487.919191919192,13,77.59772942211787,2.97412,0.0002651830440602021,0.0,[[0.99566309]],7.904736582822837,0.0015601000337334236,100,7.896102517805135,0.00031005629832132404,[[0.00026518]],0.00031005629832132404,0.0,1.3001,1.2378142341842253
[[0.99524776]],0,2.217609383967755,1.0,7.877274398163929,0.0,2.9686680046108225,500.0,0.0,1477.3535353535353,14,70.82647925930635,2.95472,0.0006805137681259454,0.0,[[0.99592828]],7.888818105740657,0.0018249323545800429,100,7.877274382721991,0.00037718851780400923,[[-0.00068051]],0.00037718851780400923,0.0,1.3001,1.2685903272932222
