RewardMean,DualReg,WeightMin,RewardStd,OmegaBefore,DeltaOmega,ITERATIONS,Omega,DualBefore,TimestepsMean,ReturnsStd,LossReg,Epsilon,WeightMedian,Wins,Traj,WeightMean,WeightMax,Eta,Primal,NormDeltaOmega,DualAfter,ReturnsMean,NormDeltaVar,TimestepsStd,ConfortViolation
2.34324,0.0,0.0058640713026274875,2.41730972413549,[[0.8]],[[0.1359631]],0,[[0.9359631]],7.83422292289827,500.0,64.53291163438881,0.0,1.3301,0.016389261846362503,0.0,100,0.0058640713026274875,1.0,1.945937514428428,7.338089324998099,0.13596309750400404,7.338089258865143,1172.6262626262626,18.511745287840395,0.0,0
2.67328,0.0,0.0017656362912573263,2.7535820382912144,[[0.9359631]],[[0.04627698]],1,[[0.98224008]],7.764410894532098,500.0,75.57076495758032,0.0,1.3301,0.006273660274183801,0.0,100,0.0017656362912573263,1.0,1.5774751319849494,7.6618053375983335,0.046276980824347946,7.66180532093915,1336.2222222222222,19.01106998544482,0.0,0
2.86672,0.0,0.0005238822887265786,2.9089373388919877,[[0.98224008]],[[0.01131022]],2,[[0.9935503]],7.861427555484429,500.0,85.42087356285225,0.0,1.3301,0.0023734876317290697,0.0,100,0.0005238822887265786,1.0,1.3237592816213686,7.841767523791901,0.011310222572099238,7.841763490522839,1432.4040404040404,14.633711170987333,0.0,0
2.9496,0.0,0.00022534564965961617,2.96588938431628,[[0.9935503]],[[0.00295289]],3,[[0.99650319]],7.915701600218199,500.0,72.9530558113158,0.0,1.3301,0.0012085909632983491,0.0,100,0.00022534564965961617,1.0,1.1907774126732464,7.910411143938309,0.0029528901308401023,7.91041131756555,1474.7474747474748,8.787861432446192,0.0,0
2.95696,0.0,0.0011004476334205231,2.9719333031546986,[[0.99650319]],[[0.00028435]],4,[[0.99678754]],7.920741023246825,500.0,74.37397264746986,0.0,1.3301,0.0060419487287489484,0.0,100,0.0011004476334205231,1.0,1.1743915279437915,7.916478869926699,0.00028435181545105603,7.916478923867615,1476.8686868686868,1.215714652797061,0.0,0
2.97248,0.0,0.0001593233900223026,2.983722951213802,[[0.99678754]],[[0.00048393]],5,[[0.99727147]],7.93229959178793,500.0,78.18797772828408,0.0,1.3301,0.000915848484006874,0.0,100,0.0001593233900223026,1.0,1.1435662164080576,7.929572366290814,0.00048393097816812336,7.929570966371035,1485.5353535353536,2.3394269227862736,0.0,0
2.95228,0.0,0.00113917322158008,2.9709733761176658,[[0.99727147]],[[-0.00056201]],6,[[0.99670947]],7.918689959625968,500.0,76.57416865879199,0.0,1.3301,0.006200722924885729,0.0,100,0.00113917322158008,1.0,1.1803845134679367,7.914081180833774,0.0005620078420148777,7.914081272413027,1475.1515151515152,2.6835995766227114,0.0,0
2.9642,0.0,0.00018535790466579885,2.975499682406302,[[0.99670947]],[[0.00023876]],7,[[0.99694823]],7.925422683038334,500.0,72.47135669398799,0.0,1.3301,0.001033734210619227,0.0,100,0.00018535790466579885,1.0,1.1637078642798884,7.921731979033842,0.00023876362663810546,7.9217245372244145,1481.6767676767677,1.0795358845232954,0.0,0
2.97732,0.0,0.0001511753296286948,2.9859346304967898,[[0.99694823]],[[0.00041387]],8,[[0.9973621]],7.935479145271217,500.0,81.72610356850092,0.0,1.3301,0.0008781824210237822,0.0,100,0.0001511753296286948,1.0,1.136742084754399,7.933024087639991,0.00041386723221292776,7.933023456395686,1489.5555555555557,2.087894039453502,0.0,0
2.95248,0.0,0.0011402728090045657,2.97068036813118,[[0.9973621]],[[-0.00065813]],9,[[0.99670397]],7.918609531629509,500.0,90.1929820033288,0.0,1.3301,0.006205211321265581,0.0,100,0.0011402728090045657,1.0,1.1805525676504949,7.913989643863933,0.000658126412949156,7.913989736541924,1477.3535353535353,3.191347505830336,0.0,0
2.97836,0.0,0.0008436317000429033,2.98712097351279,[[0.99670397]],[[0.00074441]],10,[[0.99744838]],7.935492543304626,500.0,80.01405345392482,0.0,1.3301,0.004950107924435042,0.0,100,0.0008436317000429033,1.0,1.1302955974125646,7.933315992913108,0.0007444055521343973,7.9333156107235885,1487.3535353535353,3.6676449379546483,0.0,0
2.97124,0.0,0.0009313869642521673,2.98153867363816,[[0.99744838]],[[-0.00023165]],11,[[0.99721673]],7.930331726389497,500.0,72.23611930998248,0.0,1.3301,0.005331477938152039,0.0,100,0.0009313869642521673,1.0,1.1463230139092115,7.9274958716560295,0.00023165089450738474,7.927493880621597,1484.6060606060605,1.2447214946807463,0.0,0
2.972,0.0,0.0009395925136875036,2.979908723434327,[[0.99721673]],[[-3.71749555e-05]],12,[[0.99717955]],7.929772331998645,500.0,72.28851375915823,0.0,1.3301,0.005366667155499597,0.0,100,0.0009395925136875036,1.0,1.1477655997033798,7.92686886944437,3.7174955454077896e-05,7.926866612702061,1484.6868686868686,0.19007741169644987,0.0,0
2.97596,0.0,0.0008848606341281644,2.983726207010288,[[0.99717955]],[[0.00014997]],13,[[0.99732952]],7.9330006428294855,500.0,82.15726717297564,0.0,1.3301,0.005130458227501924,0.0,100,0.0008848606341281644,1.0,1.1379670706120208,7.930519785261827,0.00014996701673819501,7.9305189039108095,1488.040404040404,0.7826782930708447,0.0,0
3.00172,0.0,0.0006207962043628535,2.998692555364754,[[0.99732952]],[[0.00067407]],14,[[0.99800359]],7.9490131090277325,500.0,77.3408427583748,0.0,1.3301,0.003932889909466271,0.0,100,0.0006207962043628535,1.0,1.0833491305739198,7.948204571508585,0.0006740742267262734,7.9482045095927925,1500.989898989899,4.165501018565777,0.0,0
2.96408,0.0,0.0009785242137285986,2.9812731766143137,[[0.99800359]],[[-0.0008666]],15,[[0.997137]],7.9278061832872035,500.0,82.42677258940915,0.0,1.3301,0.005532592486387171,0.0,100,0.0009785242137285986,1.0,1.1544902774401964,7.9246016224591855,0.0008665952096111873,7.924597551042813,1482.2222222222222,5.162717035432749,0.0,0
3.00208,0.0,0.0005928947590998024,3.002291736923646,[[0.997137]],[[0.00096249]],16,[[0.99809949]],7.9509058637234205,500.0,81.6432698255363,0.0,1.3301,0.0037995591389622927,0.0,100,0.0005928947590998024,1.0,1.0766444842500427,7.950227387567652,0.0009624940264492121,7.950233643737465,1501.1515151515152,5.867342673127538,0.0,0
2.96084,0.0,0.0010170394403694026,2.9790579877538472,[[0.99809949]],[[-0.00105915]],17,[[0.99704034]],7.925614386745913,500.0,80.04293817596682,0.0,1.3301,0.0056951261222991725,0.0,100,0.0010170394403694026,1.0,1.1609582429426057,7.922092529662777,0.0010591476136274647,7.922085817529075,1481.6565656565656,6.343044045472453,0.0,0
