TimestepsStd,DualReg,ConfortViolation,DualAfter,RewardStd,OmegaBefore,ITERATIONS,Primal,RewardMean,WeightMax,Eta,Wins,ReturnsMean,NormDeltaOmega,Epsilon,ReturnsStd,WeightMedian,DeltaOmega,Omega,LossReg,WeightMean,WeightMin,DualBefore,Traj,NormDeltaVar,TimestepsMean
0.0,0.0,0,7.730355234811947,2.446279624245765,[[0.8]],0,7.730355649077562,2.366,1.0,1.7507494782837536,0.0,1182.2222222222222,0.15848495224257642,1.5201,54.87682360340385,0.010363434426593038,[[0.15848495]],[[0.95848495]],0.0,0.0033065845315483943,0.0033065845315483943,8.04583065358386,100,25.042907769789043,500.0
0.0,0.0,0,7.986930240964854,2.8232894732209095,[[0.95848495]],1,7.986929175780287,2.75752,1.0,1.0855141248095825,0.0,1378.6868686868686,0.03877187496135126,1.5201,64.61207418585877,0.0006300069317575661,[[0.03877187]],[[0.99725683]],0.0,9.981174763390186e-05,9.981174763390186e-05,7.988349913025759,100,39.37993180753722,500.0
0.0,0.0,0,8.001004671997343,2.9925357357264755,[[0.99725683]],2,7.999999999999639,2.99052,1.0,0.00791692081621018,0.0,1496.20202020202,0.0027431657393572895,1.5201,77.39991645102633,0.0,[[0.00274317]],[[0.99999999]],0.0,0.0,0.0,8.132238032349257,100,183.90561508968585,500.0
0.0,0.0,0,8.000998925913489,2.995894550881256,[[0.99999999]],3,8.0000000000002,2.9828,1.0,0.007927016256015764,0.0,1492.5656565656566,0.0,1.5201,77.73201329719684,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.1313309480753,100,0.0,500.0
0.0,0.0,0,8.001028535147038,2.9980733813567673,[[0.99999999]],4,7.9999999999996785,2.994,1.0,0.007860939509736561,0.0,1497.171717171717,0.0,1.5201,76.93156350099669,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.136136537248726,100,0.0,500.0
0.0,0.0,0,8.00108351959266,3.006780910142939,[[0.99999999]],5,7.999999999999696,3.00828,1.0,0.007742370879817525,0.0,1504.5050505050506,0.0,1.5201,82.98245813622769,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.14517435221618,100,0.0,500.0
0.0,0.0,0,8.000991732576189,2.9919788424385625,[[0.99999999]],6,8.000000000000378,2.98508,1.0,0.007946240427268481,0.0,1492.888888888889,0.0,1.5201,75.49712535685892,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.130147789562258,100,0.0,500.0
0.0,0.0,0,8.001069644295992,3.0045528947915026,[[0.99999999]],7,8.000000000000497,3.00468,1.0,0.007771415466033144,0.0,1501.7777777777778,0.0,1.5201,75.55686273379037,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.142883132552676,100,0.0,500.0
0.0,0.0,0,8.000989557387456,2.9941729008191893,[[0.99999999]],8,7.9999999999998135,2.9808,1.0,0.007949381531988814,0.0,1490.7070707070707,0.0,1.5201,79.82572590125109,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.129811007617452,100,0.0,500.0
0.0,0.0,0,8.001043663819374,2.9996531722184145,[[0.99999999]],9,8.000000000000185,2.99908,1.0,0.007827937148531828,0.0,1500.909090909091,0.0,1.5201,76.95743161639254,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.138607391458116,100,0.0,500.0
0.0,0.0,0,8.001010930235097,2.995231516928199,[[0.99999999]],10,7.999999999999756,2.9896,1.0,0.007901070210665152,0.0,1493.858585858586,0.0,1.5201,84.89815765820704,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.133265906154659,100,0.0,500.0
0.0,0.0,0,8.000989858063273,2.9903278148055947,[[0.99999999]],11,7.9999999999998135,2.9866,1.0,0.007951796941972315,0.0,1493.4141414141413,0.0,1.5201,75.53673400312454,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.129835968978458,100,0.0,500.0
0.0,0.0,0,8.001067309454857,3.003300063330336,[[0.99999999]],12,7.999999999999514,3.00536,1.0,0.0077769710796946525,0.0,1503.8181818181818,0.0,1.5201,93.66654412117117,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.142493090844635,100,0.0,500.0
0.0,0.0,0,8.001036906141342,2.9981054281662614,[[0.99999999]],13,7.999999999999832,2.99804,1.0,0.007843206992932368,0.0,1499.1313131313132,0.0,1.5201,69.12156564828103,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.137497634149682,100,0.0,500.0
0.0,0.0,0,8.001075733371602,3.0074287837952207,[[0.99999999]],14,8.000000000000622,3.00348,1.0,0.007757295193263983,0.0,1502.8686868686868,0.0,1.5201,77.7679332612757,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.143898939915234,100,0.0,500.0
0.0,0.0,0,8.000954950568703,2.9851319651901487,[[0.99999999]],15,7.999999999999744,2.97748,1.0,0.008037369391671654,0.0,1487.111111111111,0.0,1.5201,77.50671380354103,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.124208728999003,100,0.0,500.0
0.0,0.0,0,8.001069877517825,3.001425059934031,[[0.99999999]],16,8.000000000000497,3.00936,1.0,0.007773109920690974,0.0,1504.9292929292928,0.0,1.5201,83.93037669296668,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.142903012263956,100,0.0,500.0
0.0,0.0,0,8.000913279447436,2.9807901223668867,[[0.99999999]],17,7.999999999999555,2.96408,1.0,0.008144648047360566,0.0,1482.4848484848485,0.0,1.5201,85.05403673178,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.11756445587381,100,0.0,500.0
0.0,0.0,0,8.00106092817745,3.0040503899901547,[[0.99999999]],18,7.999999999999662,3.00112,1.0,0.007789329308333774,0.0,1501.4949494949494,0.0,1.5201,80.02542193772288,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.141452712598266,100,0.0,500.0
0.0,0.0,0,8.000905076700487,2.9797938817307483,[[0.99999999]],19,8.000000000000343,2.96168,1.0,0.008166825539320516,0.0,1481.1919191919192,0.0,1.5201,77.8866927298721,0.0,[[0.]],[[0.99999999]],0.0,0.0,0.0,8.116263785425662,100,0.0,500.0
