Epsilon,Traj,Omega,DeltaOmega,LossReg,Wins,WeightMedian,WeightMin,Primal,TimestepsStd,RewardMean,TimestepsMean,NormDeltaOmega,ReturnsMean,DualReg,OmegaBefore,ReturnsStd,WeightMax,ConfortViolation,ITERATIONS,WeightMean,DualBefore,DualAfter,NormDeltaVar,Eta,RewardStd
1.7001,100,[[0.9702191]],[[0.1702191]],0.0,0.0,0.006800530998079985,0.0019528933685599276,8.008486655818103,0.0,2.34576,500.0,0.1702191000016121,1172.909090909091,0.0,[[0.8]],55.41926349059702,1.0,0,0,0.0019528933685599276,8.219452941010427,8.008483688031866,29.962290182767493,1.6029640145040016,2.4262172248996996
1.7001,100,[[0.99999153]],[[0.02977243]],0.0,0.0,3.3934919560286693e-07,8.19046445844725e-09,8.150602736719309,0.0,2.84296,500.0,0.02977242747745179,1421.959595959596,0.0,[[0.9702191]],74.70668829900323,1.0,0,1,8.19046445844725e-09,8.222553207548629,8.150613042271308,117.07170451334902,0.5370484128388527,2.893022370877903
1.7001,100,[[0.99999999]],[[8.46126817e-06]],0.0,0.0,0.0,0.0,7.999999999999813,0.0,3.00508,500.0,8.461268166559677e-06,1502.5656565656566,0.0,[[0.99999153]],84.89139367166977,1.0,0,2,0.0,8.321626909579024,8.00154948438859,94.62825083433606,0.0048978151227095845,3.001728534294865
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000425,0.0,2.9868,500.0,0.0,1493.5757575757575,0.0,[[0.99999999]],78.43070555542026,1.0,0,3,0.0,8.311666015794188,8.001511866514935,0.0,0.004935291682345698,2.993884727239845
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.00000000000041,0.0,2.99404,500.0,0.0,1496.1616161616162,0.0,[[0.99999999]],76.71259586967965,1.0,0,4,0.0,8.316373988263646,8.001529693582611,0.0,0.004917333411375758,2.9985270514704383
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000496,0.0,2.99928,500.0,0.0,1499.7777777777778,0.0,[[0.99999999]],80.86096754200635,1.0,0,5,0.0,8.320185149449857,8.001544068322444,0.0,0.004902971383286799,3.0027186817282763
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000293,0.0,2.96964,500.0,0.0,1485.1919191919192,0.0,[[0.99999999]],79.05140595324912,1.0,0,6,0.0,8.3006461767825,8.001469827554708,0.0,0.004978512954732607,2.9832395596733434
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000457,0.0,3.00616,500.0,0.0,1503.959595959596,0.0,[[0.99999999]],83.35925889954395,1.0,0,7,0.0,8.325243756008783,8.001563069607055,0.0,0.004884191855103271,3.0083553736884214
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999744,0.0,2.97428,500.0,0.0,1488.2626262626263,0.0,[[0.99999999]],76.46886021774965,1.0,0,8,0.0,8.304194879574961,8.001483413901743,0.0,0.004964341664241437,2.9872493169469467
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999947,0.0,3.01912,500.0,0.0,1508.2222222222222,0.0,[[0.99999999]],76.1640382220773,1.0,0,9,0.0,8.330458506044229,8.001582546441558,0.0,0.004865484438724168,3.010215013184274
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000556,0.0,3.01156,500.0,0.0,1505.2525252525252,0.0,[[0.99999999]],74.35627359487584,1.0,0,10,0.0,8.328006316183153,8.001573404179934,0.0,0.004874162635037524,3.01033326500572
1.7001,100,[[0.99999999]],[[2.46705634e-09]],0.0,0.0,0.0,0.0,8.000000000000291,0.0,3.026,500.0,2.4670563369966203e-09,1513.7373737373737,0.0,[[0.99999999]],72.19650315527906,1.0,0,11,0.0,8.337248482273015,8.00160779405429,3.5355339059327093,0.004841047746610138,3.0194509434663783
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999745,0.0,3.01184,500.0,0.0,1505.4343434343434,0.0,[[0.99999999]],80.58374922222428,1.0,0,12,0.0,8.32667773866145,8.001568429729977,0.0,0.004879138286164304,3.0074340914473923
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000437,0.0,2.99972,500.0,0.0,1499.959595959596,0.0,[[0.99999999]],82.94331996676694,1.0,0,13,0.0,8.320029445217125,8.001543480676963,0.0,0.004903594117149358,3.002105914454052
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999918,0.0,2.98556,500.0,0.0,1492.828282828283,0.0,[[0.99999999]],76.95466859303237,1.0,0,14,0.0,8.311819591531533,8.001512451281737,0.0,0.00493460412789044,2.9950277939277967
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999559,0.0,2.99468,500.0,0.0,1497.1313131313132,0.0,[[0.99999999]],85.44366050502465,1.0,0,15,0.0,8.316534879561772,8.001530300710431,0.0,0.004916749531627902,2.9984215343410274
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999881,0.0,2.98556,500.0,0.0,1493.4343434343434,0.0,[[0.99999999]],78.34502319172773,1.0,0,16,0.0,8.310865797592754,8.001508828561148,0.0,0.004938373127348655,2.9931039885710624
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,7.999999999999929,0.0,3.013,500.0,0.0,1504.8080808080808,0.0,[[0.99999999]],78.02041648982652,1.0,0,17,0.0,8.329184247790835,8.001577804952307,0.0,0.004869865088226494,3.0117621087994317
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000329,0.0,3.00464,500.0,0.0,1501.858585858586,0.0,[[0.99999999]],76.20665817049948,1.0,0,18,0.0,8.323746868719375,8.001557455020697,0.0,0.004889745526416262,3.006336386767123
1.7001,100,[[0.99999999]],[[0.]],0.0,0.0,0.0,0.0,8.000000000000277,0.0,3.00064,500.0,0.0,1500.3636363636363,0.0,[[0.99999999]],81.14452184319468,1.0,0,19,0.0,8.31963931143972,8.001542008332033,0.0,0.004905145188149677,3.00069318498243
