Omega,Wins,RewardMean,WeightMean,Traj,TimestepsMean,ReturnsStd,Eta,RewardStd,WeightMax,DualAfter,TimestepsStd,ConfortViolation,Primal,Epsilon,LossReg,ITERATIONS,DualReg,NormDeltaVar,WeightMin,DualBefore,DeltaOmega,WeightMedian,ReturnsMean,OmegaBefore,NormDeltaOmega
[[0.97173151]],0.0,2.34416,0.0018161753920824327,100,500.0,54.3355557354472,1.584529309428771,2.426840310856897,1.0,8.03840245315186,0.0,0,8.038402159801851,1.7201,0.0,0,0.0,30.729106552161358,0.0018161753920824327,8.236808623702816,[[0.17173151]],0.006416914158279162,1173.030303030303,[[0.8]],0.1717315109480061
[[0.99999211]],0.0,2.82516,6.7772048694196944e-09,100,500.0,80.33618272529479,0.5316405591380863,2.8749384296711464,1.0,8.151625944529519,0.0,0,8.151617619914482,1.7201,0.0,1,0.0,117.31625078874505,6.7772048694196944e-09,8.226493714861048,[[0.0282606]],2.9163556917410784e-07,1412.5656565656566,[[0.97173151]],0.02826059560208971
[[0.99999999]],0.0,3.00932,0.0,100,500.0,84.67766836445637,0.0048124072991488675,3.0076823531749493,1.0,8.001639787025523,0.0,0,7.999999999999641,1.7201,0.0,2,0.0,94.62821755333897,0.0,8.345962359505116,[[7.88296621e-06]],0.0,1505.5555555555557,[[0.99999211]],7.882966208794251e-06
[[0.99999999]],0.0,3.02304,0.0,100,500.0,87.44007524295729,0.00478643281253502,3.0139590505512848,1.0,8.001667681028902,0.0,0,7.999999999999849,1.7201,0.0,3,0.0,0.0,0.0,8.353589241353117,[[0.]],0.0,1511.6363636363637,[[0.99999999]],0.0
[[0.99999999]],0.0,3.01052,0.0,100,500.0,73.72856180915426,0.004815768479628692,3.0049641145278265,1.0,8.001636338946268,0.0,0,8.000000000000444,1.7201,0.0,4,0.0,0.0,0.0,8.345027052721576,[[0.]],0.0,1504.4242424242425,[[0.99999999]],0.0
[[0.99999999]],0.0,2.99956,0.0,100,500.0,83.37482162825117,0.004837899578205746,2.999493258268803,1.0,8.001612982612574,0.0,0,8.000000000000066,1.7201,0.0,5,0.0,0.0,0.0,8.338688343388068,[[0.]],0.0,1499.8181818181818,[[0.99999999]],0.0
[[0.99999999]],0.0,3.0056,0.0,100,500.0,86.51578776441144,0.0048175543113458405,3.007132960146591,1.0,8.001634263263279,0.0,0,8.000000000000309,1.7201,0.0,6,0.0,0.0,0.0,8.344457217788237,[[0.]],0.0,1503.3737373737374,[[0.99999999]],0.0
[[0.99999999]],0.0,2.98392,0.0,100,500.0,71.26963505969916,0.004872830813405323,2.990341357370426,1.0,8.001576817224734,0.0,0,8.000000000000275,1.7201,0.0,7,0.0,0.0,0.0,8.32894841200637,[[0.]],0.0,1492.8484848484848,[[0.99999999]],0.0
[[0.99999999]],0.0,2.98332,0.0,100,500.0,78.9839724971947,0.004876681447823225,2.988652167382481,1.0,8.001572936765477,0.0,0,8.000000000000204,1.7201,0.0,8,0.0,0.0,0.0,8.327909534362583,[[0.]],0.0,1492.3434343434344,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00116,0.0,100,500.0,70.11794398560538,0.004834258053900681,3.0005063996598973,1.0,8.001616795533714,0.0,0,7.99999999999988,1.7201,0.0,9,0.0,0.0,0.0,8.339720350332236,[[0.]],0.0,1501.171717171717,[[0.99999999]],0.0
[[0.99999999]],0.0,2.98452,0.0,100,500.0,83.89376289515752,0.00486104766355279,2.996357850724776,1.0,8.001588693941583,0.0,0,7.999999999999628,1.7201,0.0,10,0.0,0.0,0.0,8.332132855295017,[[0.]],0.0,1490.4242424242425,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00984,0.0,100,500.0,83.69193488807427,0.0048127001734076065,3.007175281622273,1.0,8.001639504449933,0.0,0,7.999999999999702,1.7201,0.0,11,0.0,0.0,0.0,8.345886229423126,[[0.]],0.0,1504.7676767676767,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00112,0.0,100,500.0,79.09115419805408,0.004834824377879338,3.000213116696879,1.0,8.001616211799238,0.0,0,7.999999999999499,1.7201,0.0,12,0.0,0.0,0.0,8.339562527961082,[[0.]],0.0,1500.7676767676767,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00156,0.0,100,500.0,68.85574012134647,0.004828334677214346,3.0035974374739367,1.0,8.001622914104153,0.0,0,8.000000000000377,1.7201,0.0,13,0.0,0.0,0.0,8.341375898068007,[[0.]],0.0,1500.2424242424242,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00192,0.0,100,500.0,93.45398646917594,0.004836557570921739,2.9987191121543875,1.0,8.001614470189942,0.0,0,8.0,1.7201,0.0,14,0.0,0.0,0.0,8.33909283420979,[[0.]],0.0,1501.7777777777778,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00348,0.0,100,500.0,80.63548233961038,0.004829809282507725,3.001517597749512,1.0,8.001621481916112,0.0,0,7.999999999999816,1.7201,0.0,15,0.0,0.0,0.0,8.340990545235988,[[0.]],0.0,1502.141414141414,[[0.99999999]],0.0
[[0.99999999]],0.0,2.98576,0.0,100,500.0,74.07310314637628,0.004869046452621465,2.9912066498990004,1.0,8.001580705728575,0.0,0,8.000000000000423,1.7201,0.0,16,0.0,0.0,0.0,8.329991547187648,[[0.]],0.0,1492.060606060606,[[0.99999999]],0.0
[[0.99999999]],0.0,2.9734,0.0,100,500.0,77.35108458648423,0.004900824878800047,2.982202615517598,1.0,8.001548501290552,0.0,0,8.000000000000343,1.7201,0.0,17,0.0,0.0,0.0,8.321385272877368,[[0.]],0.0,1486.040404040404,[[0.99999999]],0.0
[[0.99999999]],0.0,2.95212,0.0,100,500.0,86.10662211706472,0.004953508110463134,2.9689775185406844,1.0,8.00149649716325,0.0,0,7.999999999999516,1.7201,0.0,18,0.0,0.0,0.0,8.307631746142944,[[0.]],0.0,1475.4747474747476,[[0.99999999]],0.0
[[0.99999999]],0.0,3.00164,0.0,100,500.0,85.31878319479375,0.00483229063024521,3.001305934155997,1.0,8.00161884113337,0.0,0,7.999999999999475,1.7201,0.0,19,0.0,0.0,0.0,8.340273980605229,[[0.]],0.0,1500.2424242424242,[[0.99999999]],0.0
