OmegaBefore,NormDeltaVar,Omega,Epsilon,ConfortViolation,WeightMedian,RewardMean,TimestepsStd,Traj,WeightMax,TimestepsMean,Eta,LossReg,WeightMean,DualReg,ReturnsMean,DeltaOmega,ReturnsStd,Wins,Primal,DualBefore,DualAfter,ITERATIONS,WeightMin,NormDeltaOmega,RewardStd
[[0.8]],32.64347142139687,[[0.97518883]],1.7601,0,0.005476021024694428,2.3566,0.0,100,1.0,500.0,1.5362822240003908,0.0,0.0014896401992891678,0.0,1178.6868686868686,[[0.17518883]],66.57215216387578,0.0,8.10275661853382,8.268798247371276,8.102756331173547,0,0.0014896401992891678,0.17518883463518842,2.4325699249970185
[[0.97518883]],135.1590157677975,[[0.99999802]],1.7601,0,3.8882854656727585e-08,2.8854,0.0,100,1.0,500.0,0.4688586313084167,0.0,5.460063297726466e-10,0.0,1443.4343434343434,[[0.02480919]],75.78280522653714,0.0,8.18031642039982,8.306212976787828,8.180316476469951,1,5.460063297726466e-10,0.02480918547713573,2.9166807915848456
[[0.99999802]],74.82572961823925,[[0.99999999]],1.7601,0,0.0,3.00228,0.0,100,1.0,500.0,0.004695519371908845,0.0,0.0,0.0,1499.8181818181818,[[1.96937064e-06]],74.04780924011102,0.0,8.000000000000247,8.382244166935857,8.001770213290786,2,0.0,1.969370641119461e-06,3.0048751723823734
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.99432,0.0,100,1.0,500.0,0.004713146683114117,0.0,0.0,0.0,1496.969696969697,[[0.]],80.92563671473923,0.0,8.000000000000153,8.376691470760614,8.001750475659358,3,0.0,0.0,2.9989811165794293
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.97708,0.0,100,1.0,500.0,0.004744948791811047,0.0,0.0,0.0,1486.4646464646464,[[0.]],72.25254714063273,0.0,7.99999999999984,8.366845231455837,8.001715252075677,4,0.0,0.0,2.990698024475223
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.02496,0.0,100,1.0,500.0,0.004658992713152336,0.0,0.0,0.0,1513.919191919192,[[0.]],71.69121169076752,0.0,7.999999999999752,8.394063602650613,8.001811841622482,5,0.0,0.0,3.013625225272712
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.0034,0.0,100,1.0,500.0,0.004687786236946018,0.0,0.0,0.0,1501.050505050505,[[0.]],81.96542431155473,0.0,7.999999999999729,8.384683203465437,8.001778872220575,6,0.0,0.0,3.0090776726432304
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.9954,0.0,100,1.0,500.0,0.004714708682249606,0.0,0.0,0.0,1496.8686868686868,[[0.]],80.63393356217982,0.0,7.9999999999995905,8.37622162358249,8.001748786739634,7,0.0,0.0,2.9973019267334413
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.99124,0.0,100,1.0,500.0,0.004717459926524156,0.0,0.0,0.0,1496.080808080808,[[0.]],87.7489159929219,0.0,8.000000000000492,8.3753333842451,8.001745642041795,8,0.0,0.0,2.9983067325408856
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.9922,0.0,100,1.0,500.0,0.004717736834625079,0.0,0.0,0.0,1496.5454545454545,[[0.]],76.91990754225164,0.0,7.999999999999712,8.375258323990039,8.001745365649858,9,0.0,0.0,2.99750882567508
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.0066,0.0,100,1.0,500.0,0.004690583100791585,0.0,0.0,0.0,1503.4141414141413,[[0.]],88.25914667465112,0.0,8.000000000000517,8.383833686538155,8.001775827348371,10,0.0,0.0,3.005188253670642
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.98432,0.0,100,1.0,500.0,0.004735567667892475,0.0,0.0,0.0,1492.3232323232323,[[0.]],75.2652988955396,0.0,8.000000000000291,8.369746550025756,8.001725648240006,11,0.0,0.0,2.99168082147812
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.01976,0.0,100,1.0,500.0,0.0046668972722888665,0.0,0.0,0.0,1510.6060606060605,[[0.]],80.42335182535362,0.0,8.00000000000031,8.391474400423377,8.001802763689833,12,0.0,0.0,3.0118581544289236
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.01308,0.0,100,1.0,500.0,0.004672646387713868,0.0,0.0,0.0,1506.888888888889,[[0.]],76.97420385013015,0.0,7.999999999999602,8.389574895719477,8.001796115892871,13,0.0,0.0,3.01250542133952
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.00856,0.0,100,1.0,500.0,0.004684889710752297,0.0,0.0,0.0,1506.141414141414,[[0.]],80.43279522368444,0.0,7.999999999999658,8.385645773874442,8.001782243036542,14,0.0,0.0,3.0075516165811687
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,3.04356,0.0,100,1.0,500.0,0.004619262080311202,0.0,0.0,0.0,1521.6565656565656,[[0.]],72.3811686007021,0.0,8.000000000000124,8.407262776502444,8.001857861265472,15,0.0,0.0,3.0281120399351145
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.995,0.0,100,1.0,500.0,0.004717792007230691,0.0,0.0,0.0,1497.79797979798,[[0.]],82.51280644992035,0.0,7.999999999999712,8.37527030891661,8.001745386061419,16,0.0,0.0,2.99564600712434
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.98552,0.0,100,1.0,500.0,0.004734803123589614,0.0,0.0,0.0,1494.20202020202,[[0.]],74.61930042501594,0.0,8.000000000000423,8.36999051447678,8.001726516589448,17,0.0,0.0,2.991365963836588
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.98712,0.0,100,1.0,500.0,0.0047324703649373094,0.0,0.0,0.0,1491.939393939394,[[0.]],73.52781624153441,0.0,7.999999999999446,8.37071345124905,8.001729103454712,18,0.0,0.0,2.991747667434538
[[0.99999999]],0.0,[[0.99999999]],1.7601,0,0.0,2.99492,0.0,100,1.0,500.0,0.004711363907472998,0.0,0.0,0.0,1498.080808080808,[[0.]],75.00137059591776,0.0,7.999999999999585,8.377247292611232,8.001752457500647,19,0.0,0.0,2.999702350834162
