epsilon,J,primal
9.999999999999999547e-08,1.334947368421052715e+03,2.667176632227584943e+00
2.020211919191918989e-02,3.186000000000000000e+03,6.967192479455127874e+00
4.040413838383838385e-02,4.990000000000000000e+03,1.000000000000000178e+01
6.060615757575757434e-02,4.990000000000000000e+03,1.000000000000000178e+01
8.080817676767676483e-02,4.990000000000000000e+03,9.999999999999626965e+00
1.010101959595959553e-01,4.990000000000000000e+03,9.999999999999626965e+00
1.212122151515151458e-01,4.990000000000000000e+03,9.999999999999626965e+00
1.414142343434343363e-01,4.990000000000000000e+03,9.999999999999570122e+00
1.616162535353535268e-01,4.990000000000000000e+03,9.999999999999570122e+00
1.818182727272727173e-01,4.990000000000000000e+03,9.999999999999765521e+00
2.020202919191919078e-01,4.990000000000000000e+03,9.999999999999765521e+00
2.222223111111110982e-01,4.990000000000000000e+03,9.999999999999765521e+00
2.424243303030302887e-01,4.990000000000000000e+03,1.000000000000030553e+01
2.626263494949495070e-01,4.990000000000000000e+03,1.000000000000030553e+01
2.828283686868686697e-01,4.990000000000000000e+03,9.999999999999834799e+00
3.030303878787878324e-01,4.990000000000000000e+03,9.999999999999834799e+00
3.232324070707070507e-01,4.990000000000000000e+03,9.999999999999834799e+00
3.434344262626262689e-01,4.990000000000000000e+03,1.000000000000025047e+01
3.636364454545454317e-01,4.990000000000000000e+03,1.000000000000025047e+01
3.838384646464645944e-01,4.990000000000000000e+03,1.000000000000013678e+01
4.040404838383838126e-01,4.990000000000000000e+03,1.000000000000013678e+01
4.242425030303030309e-01,4.990000000000000000e+03,1.000000000000013678e+01
4.444445222222221936e-01,4.990000000000000000e+03,9.999999999999877431e+00
4.646465414141413564e-01,4.990000000000000000e+03,9.999999999999877431e+00
4.848485606060605746e-01,4.990000000000000000e+03,9.999999999999797495e+00
5.050505797979797373e-01,4.990000000000000000e+03,9.999999999999568345e+00
5.252525989898989556e-01,4.990000000000000000e+03,9.999999999999568345e+00
5.454546181818180628e-01,4.990000000000000000e+03,1.000000000000022382e+01
5.656566373737372810e-01,4.990000000000000000e+03,1.000000000000022382e+01
5.858586565656564993e-01,4.990000000000000000e+03,9.999999999999886313e+00
6.060606757575756065e-01,4.990000000000000000e+03,1.000000000000017231e+01
6.262626949494948247e-01,4.990000000000000000e+03,9.999999999999667821e+00
6.464647141414140430e-01,4.990000000000000000e+03,9.999999999999667821e+00
6.666667333333332612e-01,4.990000000000000000e+03,9.999999999999667821e+00
6.868687525252524795e-01,4.990000000000000000e+03,1.000000000000056843e+01
7.070707717171715867e-01,4.990000000000000000e+03,9.999999999999641176e+00
7.272727909090908049e-01,1.278947368421052715e+03,6.323470410292122423e+00
7.474748101010100232e-01,1.278947368421052715e+03,6.323470410292122423e+00
7.676768292929291304e-01,1.278947368421052715e+03,6.323470410292122423e+00
7.878788484848483487e-01,1.358210526315789593e+03,6.642489494300602537e+00
8.080808676767675669e-01,1.357368421052631447e+03,6.674644137205642203e+00
8.282828868686867851e-01,1.373684210526315837e+03,6.821991708451906611e+00
8.484849060606060034e-01,1.373684210526315837e+03,6.821991708451906611e+00
8.686869252525251106e-01,1.373684210526315837e+03,6.821991708451906611e+00
8.888889444444443289e-01,1.392947368421052943e+03,6.982667650518554758e+00
9.090909636363635471e-01,1.385578947368421041e+03,6.964342528619440920e+00
9.292929828282826543e-01,1.430736842105263349e+03,7.163731360372318058e+00
9.494950020202018726e-01,1.430736842105263349e+03,7.163731360372318058e+00
9.696970212121210908e-01,1.430736842105263349e+03,7.163731360372318058e+00
9.898990404040403090e-01,1.424526315789473983e+03,7.267868737790547762e+00
1.010101059595959638e+00,1.433473684210526017e+03,7.296008133598474110e+00
1.030303078787878857e+00,1.446421052631578959e+03,7.421406889107268867e+00
1.050505097979798075e+00,1.461684210526315610e+03,7.461157494809141255e+00
1.070707117171717071e+00,1.461684210526315610e+03,7.461157494809141255e+00
1.090909136363636289e+00,1.458315789473684390e+03,7.528847573703509433e+00
1.111111155555555507e+00,1.454842105263157919e+03,7.528290520950181808e+00
1.131313174747474726e+00,1.480315789473684390e+03,7.654178805505718941e+00
1.151515193939393944e+00,1.498105263157894797e+03,7.690264184759677768e+00
1.171717213131313162e+00,1.498105263157894797e+03,7.690264184759677768e+00
1.191919232323232380e+00,1.494105263157894797e+03,7.754890961791138793e+00
1.212121251515151377e+00,1.500315789473684390e+03,7.762527865940182181e+00
1.232323270707070595e+00,1.515052631578947057e+03,7.874484128764252411e+00
1.252525289898989813e+00,1.507894736842105203e+03,7.870812332121751353e+00
1.272727309090909031e+00,1.507894736842105203e+03,7.870812332121751353e+00
1.292929328282828250e+00,1.500947368421052943e+03,7.905543573646636624e+00
1.313131347474747468e+00,1.501684210526315610e+03,7.921221990605838315e+00
1.333333366666666686e+00,1.527578947368421041e+03,7.993630662348878424e+00
1.353535385858585904e+00,4.990000000000000000e+03,1.000000000000011369e+01
1.373737405050505123e+00,4.990000000000000000e+03,1.000000000000011369e+01
1.393939424242424119e+00,4.990000000000000000e+03,1.000000000000011724e+01
1.414141443434343337e+00,4.990000000000000000e+03,1.000000000000057199e+01
1.434343462626262555e+00,1.530421052631578959e+03,8.000000000000131450e+00
1.454545481818181774e+00,1.535684210526315610e+03,8.000000000000127898e+00
1.474747501010100992e+00,1.535684210526315610e+03,8.000000000000127898e+00
1.494949520202020210e+00,1.525578947368421041e+03,8.000000000000115463e+00
1.515151539393939428e+00,1.525578947368421041e+03,8.000000000000115463e+00
1.535353558585858424e+00,1.525578947368421041e+03,8.000000000000115463e+00
1.555555577777777643e+00,1.529578947368421041e+03,8.067608668007865802e+00
1.575757596969696861e+00,1.529578947368421041e+03,8.067608668007865802e+00
1.595959616161616079e+00,1.529578947368421041e+03,8.067608668007865802e+00
1.616161635353535297e+00,1.529578947368421041e+03,8.067608668007865802e+00
1.636363654545454516e+00,1.529578947368421041e+03,8.067608668007865802e+00
1.656565673737373734e+00,1.521263157894736651e+03,8.144566092156024339e+00
1.676767692929292952e+00,1.521263157894736651e+03,8.144566092156024339e+00
1.696969712121212170e+00,1.521263157894736651e+03,8.144566092156024339e+00
1.717171731313131167e+00,1.521263157894736651e+03,8.144566092156024339e+00
1.737373750505050385e+00,1.521263157894736651e+03,8.144566092156024339e+00
1.757575769696969603e+00,1.551052631578947057e+03,8.196792377282871911e+00
1.777777788888888821e+00,1.551052631578947057e+03,8.196792377282871911e+00
1.797979808080808040e+00,1.551052631578947057e+03,8.196792377282871911e+00
1.818181827272727258e+00,1.551052631578947057e+03,8.196792377282871911e+00
1.838383846464646476e+00,1.551052631578947057e+03,8.196792377282871911e+00
1.858585865656565472e+00,1.528105263157894797e+03,8.283834133179855286e+00
1.878787884848484691e+00,1.528105263157894797e+03,8.283834133179855286e+00
1.898989904040403909e+00,1.528105263157894797e+03,8.283834133179855286e+00
1.919191923232323127e+00,1.528105263157894797e+03,8.283834133179855286e+00
1.939393942424242345e+00,1.528105263157894797e+03,8.283834133179855286e+00
1.959595961616161564e+00,1.549894736842105203e+03,8.415209315833035220e+00
1.979797980808080782e+00,1.549894736842105203e+03,8.415209315833035220e+00
2.000000000000000000e+00,1.549894736842105203e+03,8.415209315833035220e+00
