# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current[0];w_current[1];w_target[0];w_target[1];theta_current[0];theta_current[1];theta_target[0];theta_target[1]
0.000000000000000000000000000000e+00;2.038792219020039624410856049508e+02;1.490340568895940798199717391981e+00;nan;1.600000000000000088817841970013e+00;1.600000000000026956215037898801e+00;nan;nan;5.919340245157311212586409565617e-05;nan;1.000000000000000000000000000000e+00;nan;4.410916454228193384328599035982e-05;2.057689795854886316561760395416e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.000473547219612791003839902260e-01;7.999526452780387764107672410319e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;2.038879908417982562696124659851e+02;1.490630365354384423426381545141e+00;nan;1.599905290556077552821534482064e+00;1.599905290556095094345323559537e+00;nan;nan;5.921192230097096711885842901246e-05;nan;1.000000000000000000000000000000e+00;nan;4.413154468641589291003426986926e-05;2.057779637099926173249286875944e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.000947214558379261273302063273e-01;7.999052785441621571393966405594e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;2.038967642308329288880486274138e+02;1.490920190550431678744303098938e+00;nan;1.599810557088324092234188356088e+00;1.599810557088347184873100559344e+00;nan;nan;5.923044904167995902818585896021e-05;nan;1.000000000000000000000000000000e+00;nan;4.415393618580456050470850470901e-05;2.057869523758107277444651117548e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.001421002046769037630014054230e-01;7.998578997953231795037254414638e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;2.039055420713666251231188653037e+02;1.491210044468688211694029632781e+00;nan;1.599715799590646359007450882928e+00;1.599715799590668119378733535996e+00;nan;nan;5.924898267695305351327253462479e-05;nan;1.000000000000000000000000000000e+00;nan;4.417633904621186030810264799840e-05;2.057959455852428121147568162996e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.001894909715259129878717203610e-01;7.998105090284741702788551265257e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;2.039143243656575918976159300655e+02;1.491499927093655530896398886398e+00;nan;1.599621018056948340557710253051e+00;1.599621018056972321375042156433e+00;nan;nan;5.926752321004058704327632778330e-05;nan;1.000000000000000000000000000000e+00;nan;4.419875327339854470965613275624e-05;2.058049433405898298587999306619e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.002368937594333764273812903411e-01;7.997631062405666790837699409167e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;2.039231111159663498710870044306e+02;1.491789838409983026679128670366e+00;nan;1.599526212481133136122934956802e+00;1.599526212481152898092773284588e+00;nan;nan;5.928607064420207792450334682854e-05;nan;1.000000000000000000000000000000e+00;nan;4.422117887313852560267693481144e-05;2.058139456441540282582991494564e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.002843085714485771298143390595e-01;7.997156914285514783813368921983e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;2.039319023245537607635924359784e+02;1.492079778402106482459998915147e+00;nan;1.599431382857102956762673784397e+00;1.599431382857120276241857936839e+00;nan;nan;5.930462498269041727748038250745e-05;nan;1.000000000000000000000000000000e+00;nan;4.424361585119636363673534251717e-05;2.058229524982387204090628074482e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.003317354106215197884210965640e-01;7.996682645893785634783057503228e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;2.039406979936790378360456088558e+02;1.492369747054578255074375192635e+00;nan;1.599336529178756904912006575614e+00;1.599336529178777333015659678495e+00;nan;nan;5.932318622876599077025153161635e-05;nan;1.000000000000000000000000000000e+00;nan;4.426606421334756312708016978696e-05;2.058319639051484628566868195776e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.003791742800029584969934148830e-01;7.996208257199970415030065851170e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;2.039494981256096366450947243720e+02;1.492659744351800821249298678595e+00;nan;1.599241651439994083006013170234e+00;1.599241651439997413675087045704e+00;nan;nan;5.934175438568681237860857891064e-05;nan;1.000000000000000000000000000000e+00;nan;4.428852396536333223785175672305e-05;2.058409798671888779608707409352e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.004266251826445077721672305415e-01;7.995733748173554644722571538296e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;2.039583027226087779126828536391e+02;1.492949770278404475476463630912e+00;nan;1.599146749634710928944514307659e+00;1.599146749634704711695576406782e+00;nan;nan;5.936032945672069455547714689203e-05;nan;1.000000000000000000000000000000e+00;nan;4.431099511303077624754451213640e-05;2.058500003866667871221807217808e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.004740881215984760199688707871e-01;7.995259118784014962244555135840e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
