DeltaOmega,RewardMean,TimestepsMean,NormDeltaVar,ITERATIONS,ConfortViolation,ReturnsStd,ReturnsMean,OmegaBefore,NormDeltaOmega,RewardStd,Traj,Wins,Omega,TimestepsStd
-0.10000000148916932,6.415122939072395,22.464,0.3162277658925105,0,0,78.95296815521394,144.10932170332225,8.0,0.10000000148916932,1.39099605943023,250,0.0,7.899999998510831,11.699602728298087
-0.09926515875733166,6.547421060876125,27.868,0.29678128008619836,1,0,99.7723648271385,182.46353012449586,7.899999998510831,0.09926515875733166,1.2700794524797756,250,0.0,7.800734839753499,14.644404255550993
-0.09832452738301711,6.646649846676963,31.724,0.29946712782424706,2,0,115.6044231247532,210.85831973597996,7.800734839753499,0.09832452738301711,1.2068154208707047,250,0.0,7.702410312370482,16.735107528785107
-0.0984690302065685,6.737689516750532,34.608,0.2697316475999986,3,0,117.99902920664748,233.1779587957024,7.702410312370482,0.0984690302065685,1.1701943901228535,250,0.0,7.603941282163913,16.92141648917135
-0.09886866921171933,6.833664902866181,39.056,0.2600667093397219,4,0,144.8446781985613,266.89561644634165,7.603941282163913,0.09886866921171933,1.1160402397812372,250,0.0,7.505072612952194,20.518013159173087
-0.09724423432973506,6.934318790770287,44.544,0.26492207160041753,5,0,164.60966955650048,308.88229621607167,7.505072612952194,0.09724423432973506,1.0594773894988057,250,0.0,7.407828378622459,23.011998261776398
-0.09836674939176504,7.015420998095786,47.18,0.241972208891307,6,0,172.97263634567295,330.98756269015917,7.407828378622459,0.09836674939176504,1.0385663703930148,250,0.4,7.309461629230694,23.873240249283295
-0.09957270005206009,7.098062483967619,50.028,0.22300526868128734,7,0,164.79349658740324,355.1018699479321,7.309461629230694,0.09957270005206009,1.0218576402714246,250,0.0,7.209888929178634,22.553829297926328
-0.1007224986986257,7.179376846793526,53.184,0.2023151994222193,8,0,175.68559256382383,381.8279782198669,7.209888929178634,0.1007224986986257,0.9999640949011401,250,0.4,7.109166430480008,23.764135667008805
-0.1018197010044899,7.252112770203275,55.248,0.2076882275169665,9,0,175.55099705784792,400.6647263281905,7.109166430480008,0.1018197010044899,0.993092853780392,250,0.0,7.007346729475518,23.53895698623879
-0.10288222011137993,7.3266848650631635,56.64,0.20609160014749273,10,0,188.9061839879243,414.98343075717764,7.007346729475518,0.10288222011137993,0.9906151399692869,250,0.0,6.904464509364138,25.10056573067627
-0.10389374051610734,7.401528848695514,59.084,0.21806582878974093,11,0,181.63502473320236,437.3119304963257,6.904464509364138,0.10389374051610734,0.9793722409800663,250,0.0,6.800570768848031,23.87929948721277
-0.1049107171263497,7.484284417055093,63.636,0.23327145027517351,12,0,207.48327856558782,476.26992316371786,6.800570768848031,0.1049107171263497,0.9522304006453667,250,0.4,6.695660051721681,27.029160253326406
-0.10596617515717455,7.54939071190796,64.528,0.24483203750798313,13,0,201.76490734827823,487.14708385799685,6.695660051721681,0.10596617515717455,0.9558279984956631,250,0.0,6.589693876564507,26.047518423066716
-0.10701139933232184,7.63659031763496,70.928,0.25492486033595185,14,0,219.00110172144662,541.6480780492125,6.589693876564507,0.10701139933232184,0.9216080589446813,250,0.0,6.482682477232185,28.015189023099595
-0.10803629692244865,7.719236770000693,79.948,0.2603011371226299,15,0,272.4057238397775,617.1375412880154,6.482682477232185,0.10803629692244865,0.8722606467809112,250,1.2,6.374646180309736,34.458573621088846
-0.10884663992358767,7.796829895946037,89.704,0.2688532981640782,16,0,278.74950071670867,699.4068289859434,6.374646180309736,0.10884663992358767,0.8306403637089308,250,1.6,6.265799540386149,34.988803694896454
-0.10977205799586098,7.873012259600217,98.248,0.2716413673736416,17,0,310.24997001877875,773.5077084812023,6.265799540386149,0.10977205799586098,0.7937788912679133,250,3.5999999999999996,6.156027482390288,38.49647381254548
-0.11101145979410632,7.947912009102993,111.5,0.2757241896420329,18,0,348.7438691324017,886.1921890149836,6.156027482390288,0.11101145979410632,0.7492123429031988,250,4.3999999999999995,6.045016022596181,42.996395197737215
-0.11204727018760963,8.047196239112608,140.452,0.28012846865132635,19,0,384.9144802935821,1130.2448061758441,6.045016022596181,0.11204727018760963,0.6153658499505997,250,21.2,5.932968752408572,46.705713740397975
-0.11329132119335306,8.147674441727554,160.672,0.29093055542340146,20,0,357.37369154034985,1309.1031479012497,5.932968752408572,0.11329132119335306,0.5294199655197684,250,34.8,5.819677431215219,42.86234263313194
-0.11448870587671678,8.218092872319117,170.192,0.27689631258335157,21,0,310.430889430343,1398.653662125735,5.819677431215219,0.11448870587671678,0.48445826900483097,250,43.6,5.705188725338502,36.993339076109365
-0.115411275871379,8.282940702565979,171.004,0.26381696833403795,22,0,306.1118993666132,1416.4159919015929,5.705188725338502,0.115411275871379,0.47590439470291657,250,46.400000000000006,5.589777449467123,36.189445754252716
-0.11635794671003108,8.345060815790339,167.612,0.24366276168817827,23,0,335.16771191020706,1398.7323334562504,5.589777449467123,0.11635794671003108,0.49225936440588935,250,44.4,5.473419502757092,39.4345718374119
-0.1176544226932359,8.413526014629186,171.152,0.23933166605830636,24,0,324.01695438156133,1439.9918044558149,5.473419502757092,0.1176544226932359,0.48060029467041615,250,46.800000000000004,5.355765080063856,37.798636165872445
-0.11858781838021937,8.478587322704298,170.664,0.22972760808052636,25,0,325.7157385676914,1446.9896268420066,5.355765080063856,0.11858781838021937,0.47771848194133937,250,48.4,5.2371772616836365,37.655372843725765
-0.119678540220999,8.55309085306739,178.484,0.23188213564586435,26,0,323.2727124332528,1526.5898678188803,5.2371772616836365,0.119678540220999,0.414939183975817,250,60.4,5.1174987214626375,37.07238519437345
-0.12094680823050918,8.62540349475432,186.028,0.23056069079809574,27,0,273.1506097196999,1604.5665613221568,5.1174987214626375,0.12094680823050918,0.3401277385358753,250,73.2,4.996551913232128,31.021463795249893
-0.12164940646567679,8.691025359346959,191.736,0.2288946051114787,28,0,218.45914290971388,1666.3824382997486,4.996551913232128,0.12164940646567679,0.2866820651489947,250,81.2,4.8749025067664515,24.585896444913292
-0.12285075948825064,8.759406155372213,192.676,0.22358227349201973,29,0,209.76982694056647,1687.7273403924964,4.8749025067664515,0.12285075948825064,0.2694388113084831,250,83.6,4.752051747278201,23.393568004902544
-0.12332248840136373,8.825025835669225,195.78,0.2106435772575507,30,0,172.18635701756426,1727.763558107321,4.752051747278201,0.12332248840136373,0.21076378048141914,250,90.4,4.628729258876837,19.05433284059035
-0.12356632078500773,8.887449026132703,198.116,0.19183506730531005,31,0,124.15635698902334,1760.7458512613066,4.628729258876837,0.12356632078500773,0.1801749906644132,250,93.2,4.505162938091829,13.622868420417193
-0.12426613339210402,8.950335792748046,199.508,0.1887554727536969,32,0,82.94598265292761,1785.663593339577,4.505162938091829,0.12426613339210402,0.16972593682995607,250,94.0,4.380896804699725,8.980085522978053
-0.12425939195057456,9.00857731491947,199.824,0.17646602166116743,33,0,79.57866843776367,1800.129953376468,4.380896804699725,0.12425939195057456,0.1243730813259624,250,97.2,4.256637412749151,8.595872497891065
-0.12403330395115564,9.062701144037344,200.424,0.16549763589424235,34,0,46.40540474300998,1816.3828140925407,4.256637412749151,0.12403330395115564,0.10979444941398878,250,98.0,4.132604108797995,4.9343919584889075
