ITERATIONS,RewardStd,Traj,ConfortViolation,OmegaBefore,DeltaOmega,NormDeltaVar,Wins,ReturnsMean,RewardMean,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Omega
0,1.3934965430990618,250,0,8.0,-0.10000000148930965,0.31622776637643385,0.0,143.31321622915559,6.409356718656332,78.0956456079499,22.36,11.599586199515914,0.10000000148930965,7.89999999851069
1,1.341807927271458,250,0,7.89999999851069,-0.10006043158604516,0.2972867053836248,0.0,161.6707388655083,6.514778323078187,95.97075558173997,24.816,14.066916648647632,0.10006043158604516,7.799939566924645
2,1.1815133668168396,250,0,7.799939566924645,-0.09893161375950577,0.29602237596226744,0.0,220.71948593524752,6.656196801424835,117.10246854599008,33.16,16.961792358120647,0.09893161375950577,7.701007953165139
3,1.1268151256276795,250,0,7.701007953165139,-0.09860293267791498,0.2871555201878949,0.0,253.61278878140286,6.762286390289113,133.88942742398123,37.504,19.155625387859306,0.09860293267791498,7.602405020487224
4,1.1125209999058527,250,0,7.602405020487224,-0.09935546396002959,0.2764495090146769,0.0,268.81377076511893,6.837957131794845,121.41860669385912,39.312,17.195076504627714,0.09935546396002959,7.503049556527195
5,1.0855059782343714,250,0,7.503049556527195,-0.0991875281882244,0.27657941259406965,0.0,293.40258224196486,6.927714918822367,133.03217089282523,42.352,18.59387253909201,0.0991875281882244,7.4038620283389704
6,1.0876246368388616,250,0,7.4038620283389704,-0.10016257064439316,0.250849808614788,0.0,300.89886589827853,6.995045236616109,128.85276230900973,43.016,17.809203912584078,0.10016257064439316,7.303699457694577
7,1.0175141902187839,250,0,7.303699457694577,-0.09982681559085194,0.23232504305641133,0.0,358.2250729592964,7.096376247212686,173.77710943302938,50.48,23.738778401594303,0.09982681559085194,7.203872642103725
8,1.0121575075614395,250,0,7.203872642103725,-0.10092985978814362,0.22032325338560502,0.0,374.1789279850402,7.178079496336713,137.1527918218919,52.128,18.59246126794406,0.10092985978814362,7.102942782315582
9,1.0064183051203939,250,0,7.102942782315582,-0.10196847924444352,0.21076683387669046,0.0,390.3737413830527,7.254938696533095,142.87593464681052,53.808,19.136434777669532,0.10196847924444352,7.000974303071138
