ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
0,-132.77168954876458,0.1000000014875404,8.367273391015738,0.3162277678350464,14.144,0.1000000014875404,0.0,20.0,20.10000000148754,-9.387138684160389,84.3904803478738,250,0,2.598834833704341
1,-96.17255880639962,0.09720190448119581,5.5305421072440994,0.2972282356986997,10.348,0.09720190448119581,0.0,20.10000000148754,20.197201905968736,-9.293830576575147,56.70937850824008,250,0,3.0477534588514468
2,-84.4191590408619,0.0926205789942216,3.8891767766456695,0.2759052684941968,9.048,0.0926205789942216,0.0,20.197201905968736,20.289822484962958,-9.330145782588625,40.66553193634734,250,0,3.295869035712875
3,-74.90726943508216,0.08858670962825954,2.8127822525037374,0.25877685722631794,8.016,0.08858670962825954,0.0,20.289822484962958,20.378409194591217,-9.344719240903462,29.97939991482779,250,0,3.5345054347360736
4,-68.50211751766442,0.08453228769645094,2.376582420199224,0.23666357614944766,7.316,0.08453228769645094,0.0,20.378409194591217,20.46294148228767,-9.363329349051998,25.672904920888985,250,0,3.731466161049823
5,-64.46340806643329,0.07942126409260553,1.8142943531852818,0.21406578232066883,6.844,0.07942126409260553,0.0,20.46294148228767,20.542362746380274,-9.418966695855243,19.89587870806565,250,0,3.9021745561945522
6,-63.67550587343729,0.0766234483652255,1.7196325188830317,0.19988105318587698,6.692,0.0766234483652255,0.0,20.542362746380274,20.6189861947455,-9.515168241697143,19.10893609681188,250,0,3.994061753462041
7,-61.692594333764,0.07333658368906981,1.4247469950836886,0.18466489749023615,6.436,0.07333658368906981,0.0,20.6189861947455,20.69232277843457,-9.58554915067806,16.088312325117794,250,0,4.117089421132457
8,-61.74085642303445,0.07050023472925915,1.4059075360776754,0.17411615052541324,6.368,0.07050023472925915,0.0,20.69232277843457,20.76282301316383,-9.695486247335811,16.162210127761583,250,0,4.190387266276602
9,-60.48744513264817,0.06754454317564651,1.142215391246327,0.1600495586178857,6.188,0.06754454317564651,0.0,20.76282301316383,20.830367556339475,-9.774958812645147,13.231852809252862,250,0,4.296940509082471
10,-59.93682983891878,0.06390872705250317,1.127042146505622,0.15135490241504224,6.076,0.06390872705250317,0.0,20.830367556339475,20.894276283391978,-9.86452103998005,13.197634771715688,250,0,4.383719540579691
11,-60.164163053391135,0.06125207576632263,1.0705437870540373,0.14116788812945918,6.044,0.06125207576632263,0.0,20.894276283391978,20.9555283591583,-9.95436185529304,12.72809204851614,250,0,4.43726077052137
12,-60.43062813185726,0.05933902914349076,1.0138323332780426,0.13600447034018093,6.012,0.05933902914349076,0.0,20.9555283591583,21.01486738830179,-10.051668019271,12.133273657366264,250,0,4.495051181684469
