ITERATIONS,ReturnsStd,NormDeltaOmega,ConfortViolation,DeltaOmega,Traj,ReturnsMean,NormDeltaVar,RewardMean,RewardStd,TimestepsStd,TimestepsMean,OmegaBefore,Wins,Omega
0,157.39657373944652,0.10000000148546917,0,-0.10000000148546917,250,-225.1241531882728,0.3162277691783094,-17.42986630444973,5.05569364946595,8.339121296635515,12.916,24.0,0.0,23.89999999851453
1,98.87608917001077,0.09816237535423511,0,-0.09816237535423511,250,-166.60533727667755,0.2988474656932393,-16.781359516184285,5.621926865906028,5.300076980573018,9.928,23.89999999851453,0.0,23.801837623160296
2,72.37549542731045,0.07850099387179199,0,-0.07850099387179199,250,-135.0426317694175,0.279499440414894,-16.207709045777428,5.990613875430065,3.939260844371695,8.332,23.801837623160296,0.0,23.723336629288504
3,41.74044746277895,0.053076620880162295,0,-0.053076620880162295,250,-106.87249101944566,0.23879354119696233,-15.570001605397096,6.434344962164721,2.2990224009347973,6.864,23.723336629288504,0.0,23.67026000840834
4,29.885748091717332,0.037903954287159536,0,-0.037903954287159536,250,-99.1374128138029,0.2172384127404287,-15.308433108987472,6.546254504622725,1.652096849461314,6.476,23.67026000840834,0.0,23.632356054121182
5,31.277386626507592,0.024355840232928472,0,-0.024355840232928472,250,-97.55757314618488,0.19877759500102074,-15.205357410564975,6.53788097969334,1.7421090666201127,6.416,23.632356054121182,0.0,23.608000213888253
6,26.088628450692177,0.012388225907066897,0,-0.012388225907066897,250,-92.30394252551325,0.18045258514172877,-15.033215395034732,6.634998078911028,1.4561593319413917,6.14,23.608000213888253,0.0,23.595611987981187
7,27.96387261478317,0.0023465582055486323,0,-0.0023465582055486323,250,-90.22714251311521,0.16254611676308967,-14.958080655357293,6.67241372434262,1.5591587475302187,6.032,23.595611987981187,0.0,23.593265429775638
8,24.269633347439722,0.0051276386755390035,0,0.0051276386755390035,250,-91.3834411285408,0.15425658029343248,-14.990721969904987,6.645227019759622,1.3560176989995376,6.096,23.593265429775638,0.0,23.598393068451177
9,24.409124083584246,0.009154564717757552,0,0.009154564717757552,250,-89.2314922299379,0.15086704992049277,-14.941643039172455,6.705346663429504,1.3723031735006666,5.972,23.598393068451177,0.0,23.607547633168934
10,15.469673805843987,0.016301018496708508,0,0.016301018496708508,250,-85.3407113131008,0.1366174737978139,-14.836702244975797,6.8101482850691255,0.864,5.752,23.607547633168934,0.0,23.623848651665643
11,19.144866500701067,0.022757211842019842,0,0.022757211842019842,250,-87.02015007860629,0.12570428203874778,-14.910923591262216,6.7845215905666265,1.0663507865613455,5.836,23.623848651665643,0.0,23.646605863507663
12,17.572621280058137,0.02621134502340894,0,0.02621134502340894,250,-86.4177378040986,0.11499760467254418,-14.940826038053013,6.834875361861341,0.9763933633531109,5.784,23.646605863507663,0.0,23.67281720853107
13,15.736042618878718,0.03191551643408275,0,0.03191551643408275,250,-85.24219461255122,0.1029819657183825,-14.944283767978826,6.894697513824257,0.872,5.704,23.67281720853107,0.0,23.704732724965154
14,14.658726658974842,0.036574618381617796,0,0.036574618381617796,250,-84.36372088230229,0.09380759576254137,-14.968722654773297,6.956091027547368,0.8096320151772655,5.636,23.704732724965154,0.0,23.741307343346772
15,14.717756599115091,0.040221493794039276,0,0.040221493794039276,250,-84.92428430310122,0.08437997991850027,-15.046825709266693,6.986244616547303,0.8082474868504077,5.644,23.741307343346772,0.0,23.78152883714081
16,13.536175768838698,0.045604843730593814,0,0.045604843730593814,250,-84.41083509085138,0.07788883445772793,-15.084137793218618,7.040010657884891,0.7434944518959102,5.596,23.78152883714081,0.0,23.827133680871405
17,13.132063073527714,0.04623118397610426,0,0.04623118397610426,250,-84.7174209291848,0.07408578463285079,-15.182333499853906,7.098515950868574,0.7124605252222751,5.58,23.827133680871405,0.0,23.87336486484751
18,18.330973539699993,0.05083083360168317,0,0.05083083360168317,250,-86.54856330969307,0.07082186997862454,-15.302079793085761,7.095743759915068,0.9928061240745849,5.656,23.87336486484751,0.0,23.924195698449193
19,15.988158160412695,0.04980473435104926,0,0.04980473435104926,250,-85.42215417895352,0.06372779438675803,-15.363696794775814,7.198625034442762,0.8522910301065005,5.56,23.924195698449193,0.0,23.974000432800242
20,13.531074577870362,0.05109932348755919,0,0.05109932348755919,250,-84.57461513082171,0.058203614685315784,-15.410826372234274,7.278366381208095,0.7223960132780357,5.488,23.974000432800242,0.0,24.0250997562878
21,14.00425270309855,0.052353742746859666,0,0.052353742746859666,250,-86.82612372238708,0.05459576658988929,-15.560237226234245,7.274794814124579,0.74,5.58,24.0250997562878,0.0,24.07745349903466
22,13.695031622124233,0.055498455336472574,0,0.055498455336472574,250,-87.92464584968744,0.050927150344070915,-15.678431856221012,7.307874004278882,0.7199555541837288,5.608,24.07745349903466,0.0,24.132951954371133
23,12.75535830151162,0.054258154516027446,0,0.054258154516027446,250,-87.21718237014298,0.04618274705178198,-15.754548838537385,7.401150531794317,0.6638554059431918,5.536,24.132951954371133,0.0,24.18721010888716
24,11.661507612976134,0.05507496484932872,0,0.05507496484932872,250,-87.56642349247494,0.04388934469964492,-15.851995563445863,7.456697613532293,0.607802599533763,5.524,24.18721010888716,0.0,24.24228507373649
25,13.85128401110538,0.055120952777929944,0,0.055120952777929944,250,-88.08729284429226,0.04224309771263315,-15.957842906574687,7.509667873494628,0.7110555533852472,5.52,24.24228507373649,0.0,24.29740602651442
26,12.58456879161858,0.0596286530239567,0,0.0596286530239567,250,-88.63270717460271,0.03608853159974363,-16.05664985047151,7.556512569830709,0.6462197768561405,5.52,24.29740602651442,0.0,24.357034679538376
27,14.013576295038288,0.0584341953454377,0,0.0584341953454377,250,-89.98009349599903,0.03355291522604816,-16.206789174351407,7.6003391978911035,0.7094335768766517,5.552,24.357034679538376,0.0,24.415468874883814
28,11.556653679910974,0.056903547565106294,0,0.056903547565106294,250,-88.25275320600156,0.03046887065158136,-16.246824964286,7.720870740563846,0.5842739083683268,5.432,24.415468874883814,0.0,24.47237242244892
29,14.425302243621061,0.05453829646865316,0,0.05453829646865316,250,-90.9373615570094,0.03952403706390727,-16.426546524026268,7.716533801812807,0.7215982261618996,5.536,24.47237242244892,0.0,24.526910718917573
30,15.03380038454676,0.05118001878363998,0,0.05118001878363998,250,-91.59103288691226,0.03911179753642446,-16.54462299257808,7.772184784246482,0.7488017093997582,5.536,24.526910718917573,0.0,24.578090737701213
31,14.12654901636009,0.050797708145115195,0,0.050797708145115195,250,-91.95535472403103,0.04014465759278638,-16.634470825620664,7.821467946951141,0.6994397758206206,5.528,24.578090737701213,0.0,24.62888844584633
32,12.64697570928544,0.04484916664117833,0,0.04484916664117833,250,-91.58789637314207,0.038253135684550424,-16.713119776120816,7.900021369152634,0.6209669878504009,5.48,24.62888844584633,0.0,24.673737612487507
33,14.54460276447347,0.042253555204371906,0,0.042253555204371906,250,-91.3348768707488,0.03490195097879293,-16.777163275302865,7.962350387408436,0.7091290432636361,5.444,24.673737612487507,0.0,24.71599116769188
34,12.52861670049242,0.04180934518223012,0,0.04180934518223012,250,-92.04415476433614,0.03427109581186695,-16.87026297000296,7.996089019916285,0.6066827836686978,5.456,24.71599116769188,0.0,24.75780051287411
35,12.01005031864783,0.03831968664562524,0,0.03831968664562524,250,-92.2617151477269,0.03228606673186081,-16.947412775115154,8.043053344771968,0.5786743471072483,5.444,24.75780051287411,0.0,24.796120199519734
