ITERATIONS,Traj,DeltaOmega,OmegaBefore,NormDeltaOmega,RewardStd,TimestepsMean,ReturnsMean,ReturnsStd,TimestepsStd,RewardMean,ConfortViolation,Wins,NormDeltaVar,Omega
0,250,-0.10000000148820831,25.0,0.10000000148820831,5.833951301975466,12.332,-241.94873800878878,148.00148264394338,6.936121106209146,-19.619586280310475,0,0.0,0.3162277689189294,24.89999999851179
1,250,-0.08704317667073269,24.89999999851179,0.08704317667073269,6.583906506616162,9.156,-172.025013517061,94.45415414900556,4.47969463244985,-18.788227776000546,0,0.0,0.2971829810625942,24.81295682184106
2,250,-0.07692818905238497,24.81295682184106,0.07692818905238497,6.982135053176203,7.8,-141.91751359024894,65.48726551273644,3.1432467291003423,-18.19455302439089,0,0.0,0.27359405701457257,24.736028632788674
3,250,-0.07012371690747088,24.736028632788674,0.07012371690747088,7.321670537679603,6.812,-120.16507801829822,45.07144050644184,2.1818927563012807,-17.64020522875781,0,0.0,0.24797631720704766,24.665904915881203
4,250,-0.06498697883453985,24.665904915881203,0.06498697883453985,7.458588736813458,6.388,-110.52925738433778,41.63157523637634,2.0311218574964918,-17.30263891426703,0,0.0,0.22100142743423556,24.600917937046663
5,250,-0.061437867993170414,24.600917937046663,0.061437867993170414,7.477532142878734,6.232,-106.52808603074986,33.64560610161351,1.6595710289107843,-17.093723689144717,0,0.0,0.2016914737114772,24.539480069053493
6,250,-0.05579259171243933,24.539480069053493,0.05579259171243933,7.492276615151595,6.076,-102.50950358230783,30.167809553900145,1.498740804809157,-16.87121520446146,0,0.0,0.1858252975037338,24.483687477341054
7,250,-0.04997603729966826,24.483687477341054,0.04997603729966826,7.488190586835268,5.984,-99.97913486173738,32.462917360659304,1.6247289004630896,-16.707743125290335,0,0.0,0.17499941837396776,24.433711440041385
8,250,-0.04551848713867912,24.433711440041385,0.04551848713867912,7.521292603408538,5.828,-96.26448932618703,22.58738909264729,1.1377240438700416,-16.51758567710828,0,0.0,0.16555469775237552,24.388192952902706
9,250,-0.04258739883687568,24.388192952902706,0.04258739883687568,7.4012844844951315,5.988,-98.92507141820647,25.609589249961193,1.3007136502704968,-16.520553009052517,0,0.0,0.16389180629113576,24.34560555406583
10,250,-0.04241576490193211,24.34560555406583,0.04241576490193211,7.538592011576597,5.66,-92.05924896958314,16.4321476405512,0.8345058418010027,-16.26488497695815,0,0.0,0.14774869928620532,24.3031897891639
11,250,-0.04147979629482279,24.3031897891639,0.04147979629482279,7.495447950621062,5.648,-91.22116842253783,17.10808568770131,0.8741258490629367,-16.151056732035734,0,0.0,0.13567789955138415,24.261709992869076
12,250,-0.040028968277514565,24.261709992869076,0.040028968277514565,7.4710757020788705,5.624,-90.30298534857198,16.146862324649668,0.8310379052726777,-16.056718589717637,0,0.0,0.11894658261511999,24.22168102459156
13,250,-0.03563607563259197,24.22168102459156,0.03563607563259197,7.433658924476551,5.616,-89.64424322313232,17.374663491813415,0.9014122253442095,-15.962294021213017,0,0.0,0.10916810927091171,24.18604494895897
14,250,-0.03650191525611035,24.18604494895897,0.03650191525611035,7.364655722219081,5.708,-91.16412185919252,17.145914364513988,0.8892333776911435,-15.971289744077175,0,0.0,0.1041784314167313,24.14954303370286
15,250,-0.03525134933075691,24.14954303370286,0.03525134933075691,7.345033335603917,5.668,-89.8981220588618,16.77277666428982,0.8705033026933328,-15.860642565077947,0,0.0,0.10066394394854729,24.114291684372102
16,250,-0.03723586369187615,24.114291684372102,0.03723586369187615,7.323979772122493,5.66,-89.43916421345094,16.730489897329665,0.8720091742636656,-15.801972475874722,0,0.0,0.09432871298013466,24.077055820680226
17,250,-0.036503459451584064,24.077055820680226,0.036503459451584064,7.3442195185765256,5.544,-86.74433638878224,14.657620600772558,0.7694569513624527,-15.646525322651922,0,0.0,0.08783976718876657,24.04055236122864
18,250,-0.034885503595798895,24.04055236122864,0.034885503595798895,7.278597403240526,5.604,-87.47069418121195,13.185432570010882,0.6979856732054033,-15.608617805355454,0,0.0,0.07977275831864006,24.005666857632843
19,250,-0.03301867532168146,24.005666857632843,0.03301867532168146,7.269090813780655,5.56,-86.25759445116618,12.722440085075991,0.6740919818541087,-15.51395583654068,0,0.0,0.07590570548341444,23.97264818231116
20,250,-0.032300849003995324,23.97264818231116,0.032300849003995324,7.260760811412429,5.516,-85.06332627972247,11.622063100328266,0.6210829252201352,-15.421197657672675,0,0.0,0.06408469060948811,23.940347333307166
21,250,-0.030888223789233393,23.940347333307166,0.030888223789233393,7.24242301973171,5.492,-84.25458751136189,10.443258865634819,0.5602999196858769,-15.341330573809522,0,0.0,0.053814624598848324,23.909459109517933
22,250,-0.032384736986461604,23.909459109517933,0.032384736986461604,7.19500946574761,5.548,-85.080184728875,11.541476260670137,0.6194319978819306,-15.335289244570115,0,0.0,0.05119134552473396,23.87707437253147
23,250,-0.03076798286643978,23.87707437253147,0.03076798286643978,7.151023373261213,5.56,-84.85697034121631,13.249365266109633,0.7144228439796702,-15.262045025398617,0,0.0,0.048983392757885096,23.84630638966503
24,250,-0.02990091065602485,23.84630638966503,0.02990091065602485,7.1364346522057405,5.536,-84.09499382714696,12.951774957744838,0.6990736727985113,-15.190569694210073,0,0.0,0.04947596663620015,23.816405479009006
25,250,-0.028276825956638163,23.816405479009006,0.028276825956638163,7.093384843199229,5.564,-84.26941099222111,14.804810099342543,0.8036815289652985,-15.145472859852825,0,0.0,0.054417732917825874,23.788128653052368
26,250,-0.028135502550863833,23.788128653052368,0.028135502550863833,7.085279539967937,5.536,-83.48977491763748,11.808391582289445,0.6455261419958142,-15.08124546922642,0,0.0,0.05281526751923672,23.759993150501504
27,250,-0.026924329478966058,23.759993150501504,0.026924329478966058,7.044240990603409,5.564,-83.6818913462234,12.16262899146347,0.6677604360846785,-15.039879824986231,0,0.0,0.048161687633768435,23.73306882102254
28,250,-0.026634508179927963,23.73306882102254,0.026634508179927963,7.02086298483307,5.556,-83.21538420460222,12.285782412723337,0.6744360607203622,-14.977570951152307,0,0.0,0.04754765990652909,23.70643431284261
29,250,-0.026384147101186528,23.70643431284261,0.026384147101186528,6.968917160025459,5.62,-84.13221729361187,13.86698789366242,0.7613146524269712,-14.970145425909585,0,0.0,0.05190724262461454,23.680050165741424
30,250,-0.028736033391986382,23.680050165741424,0.028736033391986382,6.9684534190352,5.58,-83.16763429512767,14.07970194571343,0.7820485918406861,-14.9045939597003,0,0.0,0.05436406714062216,23.651314132349437
31,250,-0.02692163545381021,23.651314132349437,0.02692163545381021,6.9518155520967415,5.544,-82.10669592804992,12.079985530019188,0.6693758286642862,-14.810010088032088,0,0.0,0.04857070899903023,23.624392496895627
32,250,-0.025869315174251284,23.624392496895627,0.025869315174251284,6.928894926083119,5.548,-81.92812363132593,11.139168807836702,0.6194319978819306,-14.767145571616066,0,0.0,0.047102734303877625,23.598523181721376
33,250,-0.025546504540717052,23.598523181721376,0.025546504540717052,6.90386035756656,5.544,-81.54146012043519,9.830975117413278,0.5514199851293023,-14.708055577279076,0,0.0,0.040313340243058,23.57297667718066
34,250,-0.024701608633439065,23.57297667718066,0.024701608633439065,6.8865717498552605,5.536,-81.14892592662841,11.346181057499553,0.6330118482303471,-14.658404249752241,0,0.0,0.03996390170658182,23.54827506854722
