ITERATIONS,Wins,TimestepsMean,NormDeltaOmega,ReturnsMean,ReturnsStd,DeltaOmega,OmegaBefore,NormDeltaVar,RewardMean,TimestepsStd,ConfortViolation,Traj,Omega,RewardStd
0,0.0,22.944,0.1000000014892235,147.1828470265577,92.1056783855926,-0.1000000014892235,8.0,0.3162277669284469,6.41487303986043,13.683159868977633,0,250,7.8999999985107765,1.3762309816218734
1,0.0,25.04,0.09987240679121534,163.11294874399786,92.20466032964036,-0.09987240679121534,7.8999999985107765,0.28739182614099357,6.514095397124515,13.528281487313901,0,250,7.800127591719561,1.3355958599521303
2,0.0,32.268,0.09879248547455255,214.67124880816957,121.41202332916887,-0.09879248547455255,7.800127591719561,0.2864358335877446,6.65275966307703,17.591480210601947,0,250,7.701335106245009,1.197305157898131
3,0.0,34.404,0.09862335677134304,231.78698931238807,135.42309081000914,-0.09862335677134304,7.701335106245009,0.27316706766344134,6.737210478792815,19.367622053313617,0,250,7.602711749473666,1.1737592124698726
4,0.0,37.772,0.09918572862075958,257.9515704528768,131.02491976222407,-0.09918572862075958,7.602711749473666,0.2604749078883431,6.82917426805244,18.525874230383838,0,250,7.503526020852906,1.1342760985664366
5,0.0,41.832,0.09918206100976867,289.4999589332936,126.71495773693694,-0.09918206100976867,7.503526020852906,0.24063467884536346,6.920538318351827,17.741808701482494,0,250,7.404343959843137,1.0914705359376067
6,0.0,48.66,0.09873456639550149,341.8982441352231,154.49561957059936,-0.09873456639550149,7.404343959843137,0.2134198559793796,7.026268888927725,21.355851657098576,0,250,7.305609393447636,1.025847943661074
7,0.0,49.388,0.09971385274345224,350.4651336635839,157.78920440759654,-0.09971385274345224,7.305609393447636,0.20655557533997992,7.09615966760314,21.58790068533761,0,250,7.205895540704184,1.0284890737148287
8,0.0,54.46,0.10039947296533125,391.2502478852779,180.3783686316594,-0.10039947296533125,7.205895540704184,0.20695458404352124,7.184176420956257,24.444884945525924,0,250,7.105496067738852,0.9909280247167214
9,0.0,54.44,0.10157922871045066,394.86770381742696,172.89402445101976,-0.10157922871045066,7.105496067738852,0.21815827503927704,7.253264214133486,23.176505344853005,0,250,7.003916839028402,1.0004990800985198
10,0.0,58.204,0.10260520018736496,426.9369901281222,185.2281299862346,-0.10260520018736496,7.003916839028402,0.2224538822797303,7.335182979316237,24.57890119594446,0,250,6.901311638841037,0.97816533306148
11,0.0,60.6,0.10369355630182842,448.90271471119996,191.74752630374408,-0.10369355630182842,6.901311638841037,0.23075566129071268,7.407635556290429,25.19364999359958,0,250,6.797618082539208,0.9681269742770846
12,0.0,67.004,0.10461159563998557,501.98356646107743,215.74089358542113,-0.10461159563998557,6.797618082539208,0.2473444391144788,7.491844762418325,28.103878451203137,0,250,6.693006486899223,0.9306444225639551
13,0.4,68.948,0.10572281418002305,521.4424748574506,217.36034099526614,-0.10572281418002305,6.693006486899223,0.2556294616727436,7.562836845991917,28.00430852565369,0,250,6.5872836727192,0.9243427019669411
14,0.8,76.832,0.1067572519377995,587.3056609639272,256.1999301417024,-0.1067572519377995,6.5872836727192,0.2645076069545562,7.644024117085682,32.74146875141676,0,250,6.4805264207814,0.883245303623444
15,1.2,82.064,0.10787952353455221,633.2759777178117,261.79251829344526,-0.10787952353455221,6.4805264207814,0.268653779535133,7.7168548659316105,33.16751277982719,0,250,6.372646897246848,0.8610439128342284
16,1.6,96.332,0.1087531856943702,751.4179252966159,325.8115050724974,-0.1087531856943702,6.372646897246848,0.2727785533725935,7.80029403829066,40.94276219309098,0,250,6.263893711552478,0.802306616576384
17,10.8,125.22,0.10925759289798709,989.5478401849949,357.3558660138366,-0.10925759289798709,6.263893711552478,0.2624479223252035,7.902474366594753,44.27644520509748,0,250,6.154636118654491,0.6795722849131218
18,16.8,136.772,0.11056094429057595,1091.9329101386616,384.6350272602854,-0.11056094429057595,6.154636118654491,0.2787205413864901,7.983599787519825,47.17100821479227,0,250,6.044075174363915,0.6345759236840163
19,24.0,153.272,0.11185091408445835,1235.8180342307292,341.2389787900131,-0.11185091408445835,6.044075174363915,0.27558398380518295,8.062907995137595,41.52789443253776,0,250,5.932224260279456,0.5794576143619576
20,28.799999999999997,158.896,0.11312285755476381,1292.751309972535,318.0504991344747,-0.11312285755476381,5.932224260279456,0.2542033069577244,8.135832934576925,38.34471520301071,0,250,5.819101402724693,0.5563967242446097
21,27.6,154.548,0.11435605717607,1267.1854011528735,334.44706462671815,-0.11435605717607,5.819101402724693,0.2523325431160235,8.199299901343746,40.098375228929164,0,250,5.704745345548623,0.572830590472946
22,32.4,158.888,0.11522345463632355,1313.9123954937354,340.37689915811035,-0.11522345463632355,5.704745345548623,0.2442859177428671,8.269424975414978,40.45446150920811,0,250,5.589521890912299,0.5510225413016286
23,36.8,165.7,0.11642397560340889,1382.3560817104778,326.1370305490254,-0.11642397560340889,5.589521890912299,0.24623493626935522,8.342523124384297,38.39721344056102,0,250,5.47309791530889,0.5265492601825623
24,49.2,174.032,0.11701033021119223,1463.6782575974157,303.19070639437456,-0.11701033021119223,5.47309791530889,0.24694939897262783,8.410397269452833,35.33789716437581,0,250,5.356087585097698,0.4671113968072595
25,64.8,180.744,0.11813162310637537,1534.7767066464896,293.1063326280749,-0.11813162310637537,5.356087585097698,0.24743577838266922,8.491439309999171,33.839008023285785,0,250,5.2379559619913225,0.3878370997667012
26,73.2,189.148,0.11781797843824915,1618.8385724558989,237.7833045771072,-0.11781797843824915,5.2379559619913225,0.22966382423003454,8.558581494152191,27.224806629248995,0,250,5.120137983553073,0.3361725147369314
27,79.2,189.964,0.11844537964302138,1639.6154309963433,228.1541161171063,-0.11844537964302138,5.120137983553073,0.21797639597011795,8.631190283402873,25.82081919691937,0,250,5.001692603910052,0.2991015192966325
28,93.2,197.728,0.11957423719460003,1721.3730231022532,136.24756982166423,-0.11957423719460003,5.001692603910052,0.21469187527041517,8.705762578401911,15.314242260066282,0,250,4.882118366715452,0.17891132133332316
29,95.19999999999999,198.684,0.11962055139641414,1742.1968081468067,114.88939101695458,-0.11962055139641414,4.882118366715452,0.19926131681287876,8.768681968084026,12.782493653430851,0,250,4.762497815319038,0.155233448086336
30,91.60000000000001,197.032,0.119226555470485,1739.3848059388138,144.0984253794335,-0.119226555470485,4.762497815319038,0.19285504070475043,8.827930518589945,15.91650011780228,0,250,4.643271259848553,0.19532631867404027
31,81.6,195.608,0.1180444176714861,1737.3902427010996,131.36666787327923,-0.1180444176714861,4.643271259848553,0.18548581864113375,8.881999932012492,14.378259143582023,0,250,4.525226842177067,0.27992952019951284
32,64.8,188.82,0.1153623922583833,1685.5079508382944,185.0998400406798,-0.1153623922583833,4.525226842177067,0.16225751582792494,8.926532945865345,20.13980138928882,0,250,4.409864449918683,0.3911238582272633
33,70.8,191.224,0.11290971390937887,1717.4489385174202,200.8213439003073,-0.11290971390937887,4.409864449918683,0.15757590494234097,8.981346162183723,21.841928120017243,0,250,4.2969547360093046,0.35697120048091063
34,80.4,194.64,0.1109671727971362,1758.2237638166957,149.2871721543513,-0.1109671727971362,4.2969547360093046,0.16286782078332968,9.033208815334442,15.98469267768386,0,250,4.185987563212168,0.29427990678460647
35,94.39999999999999,199.76,0.1093287640180387,1815.5525981146525,65.45994367692214,-0.1093287640180387,4.185987563212168,0.1609288598106316,9.088669393845876,6.898579563939232,0,250,4.07665879919413,0.16437650348124877
