Traj,DualReg,Primal,NormDeltaOmega,NormDeltaVar,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Epsilon,Eta,RewardStd,Wins,DeltaOmega,DualAfter,LossReg,TimestepsStd,OmegaBefore,WeightMean,WeightMax,Omega,WeightMedian,DualBefore,ConfortViolation,RewardMean,WeightMin
2976,0.0001,-1.2378735299938908,0.04439838657058104,0.05693142666523729,0,-21.209828199614666,16.801344537815126,12.94236222918996,0.001,5.833726974286712,0.36629023566193397,0.0,-0.04439838657058104,-1.241267958814076,0.0,9.75549135808116,15.0,0.6880236215444406,1.0,14.955601613429419,0.7981790445720296,-1.171718976185833,0,-1.2625636793619506,0.6880236215444406
3166,0.0001,0.5595975362422877,0.04772393118540741,0.19953860098571422,28,8.633717228465528,15.795892575039494,4.964109167228501,0.001,3.71979489775425,0.22303338920966742,0.0,-0.04772393118540741,0.5582354489396059,0.0,8.017795109711852,13.654334222919358,0.6868721075207335,1.0,13.60661029173395,0.8456816596347654,0.571175404555199,0,0.5465456552287256,0.6868721075207335
2083,0.0001,2.2454271677776263,0.038009752465445246,0.05263551501901367,58,53.1531608091449,24.01200768491835,38.053268992812846,0.001,6.561327977919508,0.48958542547756495,0.0,-0.038009752465445246,2.241129105630072,0.0,16.446909023591527,12.324511726094626,0.6433744641215485,1.0,12.28650197362918,0.9156110920246101,2.286343444098804,0,2.213600248468755,0.6433744641215485
1078,0.0001,3.419143162647741,0.02843575052305347,0.08026475189583587,88,157.15619349152442,46.41782729805014,113.49689795984887,0.001,6.651044706944285,0.5256051499375258,0.0927643784786642,-0.02843575052305347,3.4147262679737316,0.0,32.687257514536356,11.35594983222367,0.5458797719073569,1.0,11.327514081700617,0.9199270227317956,3.4523088648308593,0,3.385673820008308,0.5458797719073569
609,0.0001,4.270853209285987,0.022641390864947653,0.038469876609156586,118,348.4738215587412,82.14473684210526,232.15136477859932,0.001,5.893452553984765,0.47746351954088184,6.403940886699508,-0.022641390864947653,4.267388595233988,0.0,53.922325702266164,10.609185539716607,0.4430508641971947,1.0,10.58654414885166,0.919379230643781,4.291172030356721,0,4.242209277708113,0.4430508641971947
411,0.0001,4.904876853725313,0.020267862435245476,0.048667699011335434,148,595.3073143775873,121.94634146341464,297.43132820732615,0.001,5.02643517683288,0.4153450831781197,21.41119221411192,-0.020267862435245476,4.902362499158187,0.0,60.16957377750261,10.015129521494064,0.34504424238872683,1.0,9.994861659058818,0.9190457754373235,4.916924540625303,0,4.881599612081561,0.34504424238872683
369,0.0001,5.482835835313765,0.019529559100126548,0.05511419101857582,178,739.9340206705186,135.49184782608697,347.70072701417604,0.001,4.691660003355738,0.4001615500582356,34.959349593495936,-0.019529559100126548,5.480648701926744,0.0,62.91842491998369,9.428223879177198,0.2828706843207082,1.0,9.408694320077071,0.9132185233235434,5.4920272019223395,0,5.461227333590396,0.2828706843207082
316,0.0001,5.980029211205235,0.019909894596880306,0.059964296925471935,208,943.2113453091719,158.21904761904761,327.3055226419887,0.001,4.1190836001557365,0.36359710085316505,47.46835443037975,-0.019909894596880306,5.978352431012566,0.0,54.229198651598736,8.900839958000406,0.21097997918629216,1.0,8.880930063403525,0.9035658553373731,5.986030772036353,0,5.961484353590931,0.21097997918629216
316,0.0001,6.4050106098646085,0.014885652327405907,0.05392134461084758,238,1011.915703207577,158.47619047619048,328.5162883619482,0.001,4.2959964755933,0.3911038949161401,45.88607594936709,-0.014885652327405907,6.403182097272584,0.0,50.761895827748695,8.408299163214085,0.2074226543179907,1.0,8.39341351088668,0.9240183401903277,6.411141701521264,0,6.385002431806179,0.2074226543179907
334,0.0001,6.7937423807277595,0.01782386000715963,0.06693691823563885,268,1015.8946653693952,150.04504504504504,391.2288052102391,0.001,4.755975347089585,0.442824886662165,40.41916167664671,-0.01782386000715963,6.791493774130139,0.0,57.06311568907816,7.928249733065258,0.22120610519290634,1.0,7.910425873058099,0.9261298515243688,6.801078822704814,0,6.770477769511473,0.22120610519290634
368,0.0001,7.120367681217163,0.014315089974981987,0.010783747710396597,298,964.9664855886352,136.07356948228883,424.7069297928726,0.001,5.542851543951897,0.522886527426776,29.891304347826086,-0.014315089974981987,7.117305156787559,0.0,59.14976635635038,7.489925425066168,0.2594272094508239,1.0,7.475610335091186,0.941075928495413,7.130596107055203,0,7.091496197394896,0.2594272094508239
314,0.0001,7.4733841104130025,0.0156358642873764,0.08790901234192985,328,1189.0886891488717,159.54952076677316,420.01255897393554,0.001,4.270103442295405,0.41955612792071745,52.86624203821656,-0.0156358642873764,7.47157745670972,0.0,55.68824341853405,7.0240105617002815,0.16135577425370173,1.0,7.008374697412905,0.9318587107104302,7.478340628477938,0,7.4525054778208455,0.16135577425370173
309,0.0001,7.805374666031745,0.014516314343538284,0.044257010285122834,358,1259.337436163351,161.77597402597402,422.6943390596229,0.001,4.218029982965503,0.42602644218079694,54.36893203883495,-0.014516314343538284,7.803612874003317,0.0,53.66083792346776,6.536469820513789,0.14644791049356434,1.0,6.5219535061702505,0.9350262474453414,7.809782513485414,0,7.78443457848068,0.14644791049356434
278,0.0001,8.095095119162979,0.013558159328251662,0.13661742194358623,388,1457.2231775750784,180.33935018050542,342.0624054877802,0.001,3.0783864504203686,0.33256561739761087,71.94244604316546,-0.013558159328251662,8.094179004952467,0.0,41.82696438612585,6.093071251317274,0.06593661489591272,1.0,6.079513091989022,0.9178155781711237,8.097113690867575,0,8.080569801739534,0.06593661489591272
279,0.0001,8.317194957703473,0.012602217070733168,0.06580091963189015,418,1491.6219117630753,179.68345323741008,344.7569952978067,0.001,3.23276079344358,0.3560329747208674,69.17562724014337,-0.012602217070733168,8.31617750349955,0.0,40.9909686440478,5.718578464286445,0.06997342850121985,1.0,5.705976247215712,0.9202017008670538,8.319269823414373,0,8.301470055592201,0.06997342850121985
283,0.0001,8.521520800268664,0.011259880393041044,0.07533641705673094,448,1506.3119882351916,177.09929078014184,388.0302403435891,0.001,3.2308475971973873,0.3620422942308974,69.96466431095406,-0.011259880393041044,8.520504632388691,0.0,45.076342644048594,5.346457854204366,0.06621977807954889,1.0,5.335197973811325,0.9293700415980255,8.523525313641757,0,8.505605423298917,0.06621977807954889
294,0.0001,8.684978326913285,0.011109349906327282,0.17307849911848988,478,1478.2225638552736,170.59044368600684,428.7830329396382,0.001,3.8710800687513984,0.4240236214850845,61.224489795918366,-0.011109349906327282,8.683499755941293,0.0,48.87676406712549,5.021329611602652,0.09982521358378997,1.0,5.0102202616963245,0.9450685184994847,8.687914270256908,0,8.665155001346072,0.09982521358378997
322,0.0001,8.808623785554147,0.006774719806040608,0.012256430328705038,508,1365.148181808118,155.46105919003116,480.1226878253407,0.001,5.016990018954372,0.5271895325377256,45.962732919254655,-0.006774719806040608,8.806120663078476,0.0,53.98077895023726,4.746692882362699,0.16491486886969595,1.0,4.739918162556658,0.9589270287480138,8.814254857480602,0,8.781504478506116,0.16491486886969595
