Epsilon,RewardMean,ITERATIONS,D_KL_PQ_2,TimestepsStd,DeltaOmega,DualAfter,Omega,DualBefore,ReturnsMean,Eta,DualReg,ReturnsStd,TimestepsMean,D_KL_PQ,LossReg,D_KL_P_HAT_Q,OmegaBefore,RewardStd
1.0,8.369072270593865,0,0.4655848134950986,12.002312277223918,-0.021854,8.851298110602585,7.978146,9.723437306756594,207.97144592425752,6.441795922611682,0.001,104.66763119200161,24.85,0.4655848134950986,1e-07,0.0,8.,1.7139812772381393
1.0,8.596777797143977,1,0.26795276077545793,40.88503119724871,-0.02306374,8.887641500148936,7.95508225,9.751681146011732,573.1299821799948,7.153968781079356,0.001,356.9485212353077,66.668,0.26795276077535846,1e-07,0.07203237733152622,7.978146,1.0580972604790286
1.0,8.6331271790057,2,0.3087938929393843,49.681080946372326,-0.02210642,8.888927824522193,7.93297583,9.764386412190223,729.3783828454756,7.019534108560075,0.001,434.4198225028794,84.486,0.30879389293930615,1e-07,0.03476629209262566,7.95508225,0.9338407174618014
1.0,8.63661447823949,3,0.2972652561630795,46.60488708279423,-0.02371306,8.898053970265641,7.90926278,9.765525060123315,702.5885878047826,7.0560720052617425,0.001,407.94088199622735,81.35,0.297265256163044,1e-07,0.029086469180251852,7.93297583,0.9522436118778081
1.0,8.649662614308998,4,0.30336992884126346,45.81655788031222,-0.02196432,8.904130529077761,7.88729845,9.774204068538067,739.2693643197613,7.0366374292322025,0.001,401.53963732714806,85.468,0.3033699288410503,1e-07,0.02971755613840303,7.90926278,0.9263183319919153
1.0,8.658544569160064,5,0.34268422038821456,42.78593768985319,-0.02083003,8.905078173737719,7.86646842,9.781370349494285,764.0646069609606,6.900467758695556,0.001,375.1268017009376,88.244,0.3426842203882643,1e-07,0.024715742686951814,7.88729845,0.9171600357538442
1.0,8.66686593090829,6,0.3728311724580138,41.50572182241866,-0.02060617,8.907224722764752,7.84586225,9.782201323903408,779.2899170435497,6.796443729109615,0.001,364.18983832267213,89.916,0.3728311724581914,1e-07,0.022771772215589563,7.86646842,0.9093758813525213
1.0,8.675470446505441,7,0.36736961297867765,41.9535173257261,-0.02266819,8.915119767326662,7.82319406,9.789173717815197,794.9160060724006,6.814598685606905,0.001,368.46858689008195,91.628,0.36736961297856396,1e-07,0.021865776438535173,7.84586225,0.8997895817690814
1.0,8.67836003783893,8,0.3589078902422784,40.46602896257551,-0.02044163,8.922669585674486,7.80275243,9.790751509988104,765.8652733392856,6.844703142597586,0.001,355.6076876401223,88.25,0.3589078902423779,1e-07,0.026807179840513902,7.82319406,0.9201627090759161
1.0,8.691583106985066,9,0.40078210470699105,39.44283615563161,-0.02177962,8.923254258294977,7.78097281,9.803852216954235,816.7828308958145,6.69298318677698,0.001,347.0792594518578,93.974,0.4007821047067708,1e-07,0.02278935634887195,7.80275243,0.888182741344612
1.0,8.699078532609045,10,0.4201111942557816,39.59553510182682,-0.0196446,8.926538718202258,7.76132822,9.806588706442449,831.9798708587291,6.621273578724026,0.001,348.5048809691168,95.64,0.42011119425572474,1e-07,0.02459202313789349,7.78097281,0.8847493569327333
1.0,8.70941820601509,11,0.42497216975895924,40.42491998755224,-0.0196477,8.931845010280846,7.74168052,9.81423527198189,866.0471275697283,6.6017314201087505,0.001,356.3049562550206,99.438,0.42497216975869634,1e-07,0.018477832321120092,7.76132822,0.8631776421483205
1.0,8.711494989190262,12,0.453891278899178,38.875087138166,-0.01882739,8.933299846465577,7.72285313,9.818672854312753,835.0839096637785,6.488672168062618,0.001,342.75087646241076,95.86,0.4538912788990075,1e-07,0.018071099504040306,7.74168052,0.8831508136100819
1.0,8.720040589701735,13,0.4387197868665922,36.92209154422323,-0.02003887,8.941737870581338,7.70281425,9.824178067145688,863.5804997605218,6.548221024568679,0.001,325.7286605453833,99.034,0.43871978686657087,1e-07,0.01722401698081441,7.72285313,0.8705139057607378
1.0,8.722697183393198,14,0.4427175775623624,36.23469337527227,-0.01965313,8.947156426236655,7.68316112,9.827488848271818,836.3845421268401,6.53271657970615,0.001,319.81891348952064,95.886,0.44271757756254715,1e-07,0.019570279526469458,7.70281425,0.8878217080047354
1.0,8.72532269304438,15,0.4735765816660731,34.728134070231874,-0.01881188,8.948082585329145,7.66434925,9.833294487766956,807.5460658866435,6.409495684960127,0.001,306.72097281052584,92.552,0.4735765816662294,1e-07,0.01885381934165329,7.68316112,0.9050179815261478
1.0,8.736367331970216,16,0.4829803018784844,36.87389862762005,-0.01788291,8.952045488621655,7.64646634,9.839858995214207,858.4354540393936,6.371777406360136,0.001,325.7602178486048,98.26,0.48298030187829255,1e-07,0.01776690872924754,7.66434925,0.8800921142668283
1.0,8.746919845851227,17,0.4943076722899846,39.6295293941273,-0.02088126,8.956778939463662,7.62558507,9.845626151904346,899.0084217565893,6.3242131193188,0.001,350.54864913255125,102.78,0.49430767228999883,1e-07,0.015979214110843756,7.64646634,0.8552115521618783
1.0,8.74840491035383,18,0.5118320961099201,35.20315417686319,-0.01885844,8.95975898656067,7.60672663,9.852050734207953,857.7286110307311,6.251264400668622,0.001,311.5893456129893,98.044,0.5118320961096643,1e-07,0.021269429013001412,7.62558507,0.8795746226404141
1.0,8.762589250214782,19,0.4848927930712392,40.902536791744346,-0.01819574,8.969559516797602,7.58853089,9.862034630377902,924.2603889341548,6.36313297448312,0.001,362.6298650660203,105.478,0.4848927930714595,1e-07,0.019922839838845754,7.60672663,0.8376920489589643
1.0,8.765533011957643,20,0.49462191851613113,38.17965091511445,-0.01875241,8.973748114771649,7.56977848,9.867178236089215,907.0924182094249,6.323131807406583,0.001,338.58877773910433,103.484,0.49462191851600323,1e-07,0.016905552701277072,7.58853089,0.8514175607081543
1.0,8.768715682558788,21,0.5162395792859868,36.873913760272316,-0.01815518,8.97571513673978,7.5516233,9.872279654308445,894.2160878759801,6.231566730048963,0.001,327.0287957671492,101.978,0.5162395792858732,1e-07,0.0170035297041698,7.56977848,0.8633990010928131
1.0,8.77218203947653,22,0.4931236504537395,36.107012670671054,-0.01810968,8.984930472534115,7.53351362,9.87147524262611,861.3756431843583,6.329830382880208,0.001,320.76087182081113,98.194,0.4931236504537466,1e-07,0.018659390708013663,7.5516233,0.8748933152799874
1.0,8.773288823168237,23,0.4905411029808491,32.70634060851198,-0.01932542,8.991093967194592,7.51418821,9.875113254534332,835.4101083197259,6.341406472089966,0.001,290.4480071332399,95.222,0.49054110298070697,1e-07,0.016800606976914555,7.53351362,0.8960726265004076
1.0,8.778841364168981,24,0.5170088376210629,35.5684958917298,-0.01695621,8.99201636511941,7.49723199,9.881743478336418,839.1694460009129,6.229922163187409,0.001,315.899962921392,95.59,0.5170088376210416,1e-07,0.01773413813349849,7.51418821,0.8967347340602786
1.0,8.791367293077542,25,0.5024840445136647,37.13556629432221,-0.01797463,8.999705017787141,7.47925736,9.892475513757054,893.6776508105044,6.2909103689336,0.001,330.44516236734114,101.654,0.5024840445135865,1e-07,0.01669621919659042,7.49723199,0.8607211699188783
1.0,8.796053919630744,26,0.5087868070163708,38.63621487671897,-0.01888169,9.004284919762023,7.46037567,9.897095920571315,893.0633544601094,6.263853636777882,0.001,343.8205732650957,101.53,0.5087868070166621,1e-07,0.01555026885973248,7.47925736,0.864410624165075
1.0,8.805197560013104,27,0.5423028899623006,37.22343047060548,-0.01726347,9.004023651162765,7.4431122,9.9071846563031,934.830214551471,6.11687443801165,0.001,331.4202781130115,106.168,0.5423028899622437,1e-07,0.018188602599565975,7.46037567,0.8469130809330065
1.0,8.818398417740726,28,0.5426271433803365,40.93956892787221,-0.01732692,9.009197387033481,7.42578528,9.915911333464859,1003.216277595856,6.117477067567956,0.001,365.189646778956,113.764,0.5426271433805567,1e-07,0.015219672267299053,7.4431122,0.8046016589383925
1.0,8.822402978400023,29,0.4989527201256294,40.21033120977742,-0.01862578,9.021751316100897,7.4071595,9.920659608699566,990.6852752504954,6.305854778164455,0.001,358.9203562433675,112.292,0.49895272012544467,1e-07,0.014676012993472959,7.42578528,0.811124802230337
