Iterations,Theta_mean,Theta_std,Omega_mean,Omega_std,Ret_mean,Ret_std
0.000000000000000000e+00,2.000000000000000111e-01,0.0,8.000000000000000444e-01,0.0,1.183880000000000109e+03,2.190875624037111891e+01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.508120000000000118e+03,2.085247227548809690e+01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.501039999999999964e+03,2.976465017432592219e+01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.482820000000000164e+03,2.686134024951102361e+01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.509920000000000073e+03,1.961309766457100423e+01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.505019999999999982e+03,1.248661683563642910e+01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.516540000000000191e+03,1.962509617810826867e+01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.501379999999999882e+03,1.827291985425422993e+01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.483599999999999909e+03,2.500351975222687528e+01
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.496120000000000118e+03,2.092734096821665091e+01
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.507500000000000000e+03,2.430000000000000782e+01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.497059999999999945e+03,2.142914837318550880e+01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.519220000000000027e+03,1.511355682822544466e+01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.502680000000000064e+03,1.739084816793020138e+01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500539999999999736e+03,2.038549484314767568e+01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.494139999999999873e+03,1.504341716499279435e+01
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.501980000000000018e+03,2.266864795262389265e+01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.497720000000000255e+03,2.845968376493316754e+01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.494599999999999909e+03,3.064676165600536706e+01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.513579999999999927e+03,2.687116670336440905e+01
