Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.999928464309404796e-01,2.000071535690595426e-01,8.000000000000000444e-01,1.000000000000000082e-05,7.999928464309404852e-01,8.000071535690596036e-01,1.173079999999999927e+03,1.516896832352154867e+01,1.162228773753593032e+03,1.183931226246406823e+03
1.000000000000000000e+00,4.980040956887414882e-01,4.155899520347743417e-03,4.950311442664157568e-01,5.009770471110672752e-01,5.019959043112488528e-01,4.155899520319584518e-03,4.990229528889432720e-01,5.049688557335544337e-01,1.269980000000000018e+03,2.319197274920787422e+01,1.253389462131190385e+03,1.286570537868809652e+03
2.000000000000000000e+00,5.024827030537872830e-01,5.778556837663357745e-03,4.983489725135253345e-01,5.066164335940491759e-01,4.975172969462073880e-01,5.778556837521128635e-03,4.933835664060471915e-01,5.016510274863675845e-01,1.279740000000000009e+03,1.693801641279167924e+01,1.267623272985971425e+03,1.291856727014028593e+03
3.000000000000000000e+00,5.044407515942139764e-01,4.187220985876172544e-03,5.014453941452179375e-01,5.074361090432100152e-01,4.955592484056802749e-01,4.187220985509848385e-03,4.925638909569462487e-01,4.985546058544143011e-01,1.301599999999999909e+03,2.411356464731002092e+01,1.284350195002412875e+03,1.318849804997586944e+03
4.000000000000000000e+00,5.096224989414905870e-01,6.480921873532203767e-03,5.049863267223202445e-01,5.142586711606609295e-01,4.903775010572660187e-01,6.480921873897446325e-03,4.857413288378343852e-01,4.950136732766976522e-01,1.294380000000000109e+03,1.643032562063210023e+01,1.282626453100231402e+03,1.306133546899768817e+03
5.000000000000000000e+00,5.071733045722149891e-01,3.919403039503471797e-03,5.043695325406947205e-01,5.099770766037352576e-01,4.928266954234845065e-01,3.919403039195590473e-03,4.900229233921844507e-01,4.956304674547845623e-01,1.287579999999999927e+03,2.809063189036516306e+01,1.267485172484655550e+03,1.307674827515344305e+03
6.000000000000000000e+00,5.057896349564577898e-01,7.117125240235938968e-03,5.006983502653256091e-01,5.108809196475899705e-01,4.942103650239930146e-01,7.117125233175152985e-03,4.891190803379118490e-01,4.993016497100741802e-01,1.289819999999999936e+03,2.456997354495934260e+01,1.272243699745541335e+03,1.307396300254458538e+03
7.000000000000000000e+00,5.067015434813036956e-01,6.523975961161332382e-03,5.020345722232183450e-01,5.113685147393890462e-01,4.932984563971878900e-01,6.523975822750859195e-03,4.886314852381154483e-01,4.979654275562603316e-01,1.301240000000000236e+03,2.593187999355235362e+01,1.282689450562279262e+03,1.319790549437721211e+03
8.000000000000000000e+00,5.091578725354659607e-01,6.521098964215889769e-03,5.044929593570139925e-01,5.138227857139179289e-01,4.908421270177554807e-01,6.521098456242849402e-03,4.861772142026855037e-01,4.955070398328254577e-01,1.289539999999999964e+03,2.083286826147568149e+01,1.274637063818353226e+03,1.304442936181646701e+03
9.000000000000000000e+00,5.061637079742631329e-01,4.708047473017700456e-03,5.027957737008873496e-01,5.095316422476389162e-01,4.938362909985503091e-01,4.708045645277386324e-03,4.904683580326612002e-01,4.972042239644394179e-01,1.297179999999999609e+03,2.662712151172181052e+01,1.278132104740951036e+03,1.316227895259048182e+03
