NormDeltaVar,TimestepsMean,Wins,Theta,ITERATIONS,Traj,ReturnsMean,ConfortViolation,NormDeltaOmega,TimestepsStd,RewardMean,OmegaBefore,Omega,ReturnsStd,DeltaOmega,RewardStd
0.9899999313186534,500.0,0.0,0.21131879,0,20,1197.5,0,0.010857918469746708,0.0,2.395,0.8,0.81085792,79.32181288901559,0.01085792,2.474747461863533
0.9617605205370765,500.0,0.0,0.22275707,1,20,1154.2,0,0.010404310120577076,0.0,2.3084,0.81085792,0.82126223,56.57879461423688,0.01040431,2.396683007825607
0.9063898083894202,500.0,0.0,0.23393498,2,20,1170.7,0,0.009819007715935246,0.0,2.3414,0.82126223,0.83108124,58.836298319999706,0.00981901,2.417735725839365
0.8026651401751792,500.0,0.0,0.24415422,3,20,1165.1,0,0.009322720663586193,0.0,2.3302,0.83108124,0.84040396,57.90846224862131,0.00932272,2.3980341865786654
0.5146936095615064,500.0,0.0,0.25086416,4,20,1189.9,0,0.008970604344168076,0.0,2.3798,0.84040396,0.84937456,63.48062696602799,0.0089706,2.462225001903766
0.5140699813810308,500.0,0.0,0.25768728,5,20,1163.4,0,0.008537215644725649,0.0,2.3268,0.84937456,0.85791178,52.84354265186996,0.00853722,2.4148709613559065
0.12991079126559235,500.0,0.0,0.25595163,6,20,1166.6,0,0.00511571336119343,0.0,2.3332,0.85791178,0.86302749,50.49792074927442,0.00511571,2.3980362299181386
0.27353589653712085,500.0,0.0,0.25232224,7,20,1158.3,0,0.003424390666563304,0.0,2.3166,0.86302749,0.86645188,62.300160513436886,0.00342439,2.3797824354339623
0.09861807176790371,500.0,0.0,0.25102212,8,20,1174.3,0,0.004544105840570634,0.0,2.3486,0.86645188,0.87099599,45.34875963022583,0.00454411,2.388069940349319
0.044081754934225614,500.0,0.0,0.25044242,9,20,1160.7,0,0.004342667162136937,0.0,2.3214,0.87099599,0.87533865,58.39272214925418,0.00434267,2.3875305317419504
0.12962979780490613,500.0,0.0,0.24874289,10,20,1163.2,0,0.004096622057492727,0.0,2.3264,0.87533865,0.87943528,51.19531228540363,0.00409662,2.388108674244118
0.1761414638673653,500.0,0.0,0.24644594,11,20,1169.3,0,0.003230711909826822,0.0,2.3386,0.87943528,0.88266599,46.94368967177591,0.00323071,2.4086822206343452
0.3630600293418862,500.0,0.0,0.24175673,12,20,1160.1,0,0.001548598791797362,0.0,2.3202,0.88266599,0.88421459,53.15063499150316,0.0015486,2.3925450800350663
0.42937187764925966,500.0,0.0,0.23628999,13,20,1169.8,0,0.0017852986349181643,0.0,2.3396,0.88421459,0.88599989,42.15637555578041,0.0017853,2.400473253339849
0.4965073193839409,500.0,0.0,0.2300757,14,20,1174.1,0,0.0008118495461573172,0.0,2.3482,0.88599989,0.88681173,57.83934646933694,0.00081185,2.412956021149163
0.3678940833090323,500.0,0.0,0.2255456,15,20,1174.7,0,0.001331845650132002,0.0,2.3494,0.88681173,0.88814358,39.543773213996666,0.00133185,2.4142741435056623
0.3546570648338552,500.0,0.0,0.22123869,16,20,1185.3,0,0.00027332884751363196,0.0,2.3706,0.88814358,0.88787025,65.94626600498317,-0.00027333,2.4376742276194334
0.3263511039198619,500.0,0.0,0.21732783,17,20,1191.6,0,0.001590572687513614,0.0,2.3832,0.88787025,0.88946082,70.2185160766019,0.00159057,2.459991414619165
0.33189665051474293,500.0,0.0,0.21340198,18,20,1193.2,0,0.0025771436627224364,0.0,2.3864,0.88946082,0.89203797,51.43695169817123,0.00257714,2.460466427326331
0.34677562606504964,500.0,0.0,0.2093556,19,20,1213.8,0,0.002757658830113474,0.0,2.4276,0.89203797,0.89479563,58.01689409129035,0.00275766,2.497430327356501
0.3771283498025184,500.0,0.0,0.20501941,20,20,1174.4,0,0.0027165920024261325,0.0,2.3488,0.89479563,0.89751222,46.75724542784787,0.00271659,2.4311187877189377
0.4310713546051943,500.0,0.0,0.20014505,21,20,1224.5,0,0.003725528199393424,0.0,2.449,0.89751222,0.90123775,43.881089321027574,0.00372553,2.5319555683305346
0.3637647677559137,500.0,0.0,0.19609978,22,20,1225.1,0,0.002081001880244515,0.0,2.4502,0.90123775,0.90331875,50.27315386963503,0.002081,2.5243058372550657
0.25536927973877255,500.0,0.0,0.19329705,23,20,1239.4,0,0.002935557737140826,0.0,2.4788,0.90331875,0.90625431,54.092883080863785,0.00293556,2.547852146416664
0.43137797673371736,500.0,0.0,0.18863197,24,20,1195.2,0,0.002366689046316095,0.0,2.3904,0.90625431,0.908621,57.32154917655314,0.00236669,2.475073299924671
0.420516770025678,500.0,0.0,0.184168,25,20,1230.2,0,0.0024709388667671917,0.0,2.4604,0.908621,0.91109193,40.50629580694833,0.00247094,2.541816641695463
0.47353730789120974,500.0,0.0,0.17923962,26,20,1221.0,0,0.002891841915376503,0.0,2.442,0.91109193,0.91398378,69.68357051701642,0.00289184,2.52551697677921
0.44887791209643524,500.0,0.0,0.17466362,27,20,1200.2,0,0.002404749205085488,0.0,2.4004,0.91398378,0.91638853,52.675990735818154,0.00240475,2.493928595609746
0.5131197367722535,500.0,0.0,0.16954611,28,20,1240.1,0,0.002375357094759445,0.0,2.4802,0.91638853,0.91876388,53.93505353663793,0.00237536,2.5661270350471743
0.4947881287550402,500.0,0.0,0.16472513,29,20,1225.7,0,0.001148756044265009,0.0,2.4514,0.91876388,0.91991264,77.69240632133877,0.00114876,2.554493695431641
0.45091460369879144,500.0,0.0,0.16042804,30,20,1237.5,0,0.0015109340752132994,0.0,2.475,0.91991264,0.92142357,58.74648925680581,0.00151093,2.561635219932768
