ITERATIONS,Theta,Traj,Wins,NormDeltaVar,Omega,TimestepsMean,ConfortViolation,TimestepsStd,RewardStd,DeltaOmega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,OmegaBefore
0,0.21131878743651267,20,0.0,0.9899999428444239,0.8108579184862306,500.0,0,0.0,2.3885781209749033,0.010857918486230522,2.3116,0.010857918486230522,63.20411379016401,1155.8,0.8
1,0.22282467387829358,20,0.0,0.9673377385832787,0.8212678646684051,500.0,0,0.0,2.3968523025000934,0.010409946182174501,2.3148,0.010409946182174501,48.986120483255256,1157.4,0.8108579184862306
2,0.23417384845886263,20,0.0,0.9198473899305206,0.8298982693186526,500.0,0,0.0,2.4096833899913075,0.008630404650247558,2.3314,0.008630404650247558,53.577140647854655,1165.7,0.8212678646684051
3,0.24563897345979463,20,0.0,0.8983315440181521,0.8381325504842264,500.0,0,0.0,2.4054634397554246,0.008234281165573787,2.3258,0.008234281165573787,42.77604469793812,1162.9,0.8298982693186526
4,0.2546331323664752,20,0.0,0.6850781962118511,0.8456970500652509,500.0,0,0.0,2.356633183166188,0.007564499581024453,2.2998,0.007564499581024453,50.04587895121835,1149.9,0.8381325504842264
5,0.26469129129212415,20,0.0,0.7475215689476897,0.8534455398458933,500.0,0,0.0,2.4160875398047974,0.007748489780642465,2.339,0.007748489780642465,49.29858010125646,1169.5,0.8456970500652509
6,0.2759338485412547,20,0.0,0.8143516377654656,0.8609036140589316,500.0,0,0.0,2.394619802807953,0.007458074213038235,2.314,0.007458074213038235,60.00499979168403,1157.0,0.8534455398458933
7,0.2801605459784106,20,0.0,0.3008030080435571,0.8679890253791146,500.0,0,0.0,2.3949156060287384,0.007085411320183033,2.3382,0.007085411320183033,57.82205461586435,1169.1,0.8609036140589316
8,0.27884298143958497,20,0.0,0.09346671865559308,0.872028985121814,500.0,0,0.0,2.341700954434618,0.004039959742699439,2.2892,0.004039959742699439,53.8037173436929,1144.6,0.8679890253791146
9,0.2761425152934997,20,0.0,0.19241966987533843,0.8765821206033733,500.0,0,0.0,2.404914667924831,0.004553135481559223,2.3388,0.004553135481559223,48.58024289770482,1169.4,0.872028985121814
