DeltaOmega,RewardMean,TimestepsMean,NormDeltaVar,RewardStd,Wins,Omega,ConfortViolation,ReturnsStd,ITERATIONS,NormDeltaOmega,ReturnsMean,Traj,TimestepsStd,Theta,OmegaBefore
[[-0.01580583]],2.2423,500.0,0.9899999708408842,2.2840075984987442,0.0,0.640059525852387,0,60.81921982399971,0,0.015805826276867885,1121.15,40,0.0,0.1442852795299003,0.6558653521292549
[[-0.01545368]],2.2605,500.0,0.9884143064917517,2.2992041557895635,0.0,0.6246058499628159,0,61.3713084429524,1,0.015453675889571139,1130.25,40,0.0,0.13595115852452286,0.640059525852387
[[-0.00190683]],2.1957,500.0,0.352999392981701,2.206150835731773,0.0,0.6226990222003655,0,49.417380545714884,2,0.001906827762450325,1097.85,40,0.0,0.13307454168908517,0.6246058499628159
[[-0.00720206]],2.1963,500.0,0.21289230094582834,2.209087211949768,0.0,0.6154969578046441,0,41.490691727181414,3,0.007202064395721464,1098.15,40,0.0,0.13136468998762887,0.6226990222003655
[[0.00184795]],2.2143,500.0,0.2484361329365008,2.218259567769291,0.0,0.6173449059478995,0,58.64279580647567,4,0.0018479481432553957,1107.15,40,0.0,0.13336184158126055,0.6154969578046441
[[0.00084543]],2.1969,500.0,0.06362747409405145,2.2074941426875863,0.0,0.6181903380137792,0,46.03365616589671,5,0.0008454320658797254,1098.45,40,0.0,0.13387745138700782,0.6173449059478995
[[0.0023978]],2.1899,500.0,0.006133328043866015,2.2136255306623114,0.0,0.6205881389028397,0,57.90507318016272,6,0.0023978008890604974,1094.95,40,0.0,0.13392724220714058,0.6181903380137792
[[0.00305756]],2.1901,500.0,0.16069719764304935,2.207727788926887,0.0,0.6236457030658177,0,54.93994448486456,7,0.003057564162977977,1095.05,40,0.0,0.13523738042099742,0.6205881389028397
[[0.00562554]],2.2142,500.0,0.21191631493739038,2.2258747404110593,0.0,0.6292712380954105,0,63.2122614688005,8,0.005625535029592843,1107.1,40,0.0,0.13698161305093712,0.6236457030658177
[[0.00678031]],2.1973,500.0,0.19250269929478137,2.2056456447036092,0.0,0.6360515444629672,0,55.31435166392173,9,0.0067803063675566655,1098.65,40,0.0,0.13858242476581528,0.6292712380954105
[[0.00579184]],2.2801,500.0,0.2671001926259251,2.3177023083217567,0.0,0.641843385837034,0,57.861018829605825,10,0.005791841374066853,1140.05,40,0.0,0.1408295437182759,0.6360515444629672
[[0.00633245]],2.2139,500.0,0.23420418138362464,2.2501659472136715,0.0,0.6481758354208169,0,40.41531269209729,11,0.006332449583782873,1106.95,40,0.0,0.142824901787359,0.641843385837034
[[0.00410752]],2.2195,500.0,0.26531518336923554,2.239647237847961,0.0,0.6522833560335789,0,56.251555534047235,12,0.0041075206127619834,1109.75,40,0.0,0.14511372125516572,0.6481758354208169
[[0.00703806]],2.2637,500.0,0.2510155746974121,2.3047477757880577,0.0,0.6593214121309375,0,53.57123761870729,13,0.007038056097358636,1131.85,40,0.0,0.14730713679885593,0.6522833560335789
[[0.00898684]],2.2192,500.0,0.3386880032092421,2.2574213961952254,0.0,0.6683082486729289,0,51.51931676565597,14,0.008986836541991394,1109.6,40,0.0,0.1503100339935203,0.6593214121309375
[[0.00923655]],2.2485,500.0,0.4883966762764942,2.285880082156542,0.0,0.6775447966584836,0,53.30325975022541,15,0.009236547985554622,1124.25,40,0.0,0.15472878694092704,0.6683082486729289
[[0.00939647]],2.2515,500.0,0.3582124989608104,2.303247218602467,0.0,0.6869412621767981,0,61.09367806901136,16,0.009396465518314523,1125.75,40,0.0,0.15803674012493535,0.6775447966584836
[[0.00983853]],2.273,500.0,0.32644221311689137,2.3314096594120906,0.0,0.6967797925495166,0,53.422373590098,17,0.009838530372718535,1136.5,40,0.0,0.16110112632756063,0.6869412621767981
[[0.01093915]],2.271,500.0,0.36956414627524126,2.31304107183595,0.0,0.7077189396731973,0,47.17149563030623,18,0.010939147123680715,1135.5,40,0.0,0.16462804897876235,0.6967797925495166
[[0.01134299]],2.2804,500.0,0.24311343339990898,2.325118457197396,0.0,0.7190619299743014,0,47.23939034322945,19,0.011342990301104083,1140.2,40,0.0,0.1669818293798234,0.7077189396731973
[[0.01094341]],2.3346,500.0,0.2148588305137551,2.4057520321097106,0.0,0.7300053431819896,0,70.51035384962978,20,0.010943413207688213,1167.3,40,0.0,0.16908438453129374,0.7190619299743014
[[0.01036]],2.2713,500.0,0.16456472785170817,2.331479425171923,0.0,0.7403653473997699,0,48.118369673130026,21,0.010360004217780272,1135.65,40,0.0,0.17070899440232917,0.7300053431819896
[[0.00876221]],2.3117,500.0,0.14470970688035223,2.38399729655887,0.0,0.7491275599000917,0,54.40659426944495,22,0.008762212500321831,1155.85,40,0.0,0.17214781417190922,0.7403653473997699
[[0.0087929]],2.3274,500.0,0.031068798583415713,2.403915397845773,0.0,0.7579204552988178,0,53.431357834140805,23,0.008792895398726075,1163.7,40,0.0,0.17245797461690995,0.7491275599000917
[[0.00558361]],2.3736,500.0,0.12526972238383394,2.451208485624999,0.0,0.7635040623878666,0,48.01832983351253,24,0.005583607089048814,1186.8,40,0.0,0.1737130328262264,0.7579204552988178
[[0.00466942]],2.3292,500.0,0.06998954550298464,2.4123903830018887,0.0,0.7681734818801165,0,53.004150780858666,25,0.00466941949224986,1164.6,40,0.0,0.17441738271950197,0.7635040623878666
[[0.00633516]],2.2863,500.0,0.17854192141644631,2.356911604197323,0.0,0.7745086419559924,0,54.53235278254552,26,0.0063351600758759785,1143.15,40,0.0,0.1762243640730204,0.7681734818801165
[[0.0061917]],2.33,500.0,0.09297151725812824,2.399812492675209,0.0,0.7807003433132879,0,56.60565342790417,27,0.006191701357295409,1165.0,40,0.0,0.17528159099940957,0.7745086419559924
[[0.00633087]],2.3216,500.0,0.07306448910219387,2.406942757940039,0.0,0.7870312167943915,0,59.71398496164864,28,0.006330873481103616,1160.8,40,0.0,0.1745434747366474,0.7807003433132879
[[0.00581944]],2.3536,500.0,0.05314816741462991,2.4353576821485583,0.0,0.7928506560308333,0,61.928668643851864,29,0.005819439236441792,1176.8,40,0.0,0.1740080996934143,0.7870312167943915
[[0.00589341]],2.3451,500.0,0.085403820034891,2.422788886799673,0.0,0.7987440613326618,0,63.66315653500069,30,0.00589340530182858,1172.55,40,0.0,0.17315052147822657,0.7928506560308333
[[0.00649626]],2.3578,500.0,0.20329553572498327,2.432689696611551,0.0,0.8052403203386674,0,63.39392715394748,31,0.006496259006005589,1178.9,40,0.0,0.17112258895671958,0.7987440613326618
[[0.00742293]],2.3638,500.0,0.20984561643803445,2.44214036451634,0.0,0.812663246397518,0,48.789240617168865,32,0.007422926058850532,1181.9,40,0.0,0.16904913299539592,0.8052403203386674
[[0.00625023]],2.3621,500.0,0.20902359156733752,2.443743765209438,0.0,0.8189134721752404,0,52.47473201456106,33,0.006250225777722385,1181.05,40,0.0,0.16700374362617482,0.812663246397518
[[0.00608794]],2.3722,500.0,0.2572308504883054,2.44562203948198,0.0,0.8250014170783309,0,52.986696443541376,34,0.006087944903090503,1186.1,40,0.0,0.16451384056476875,0.8189134721752404
[[0.00636529]],2.3456,500.0,0.43584510451045944,2.4284481958650055,0.0,0.8313667085860367,0,57.12582603341504,35,0.006365291507705817,1172.8,40,0.0,0.16036319177796113,0.8250014170783309
[[0.00584361]],2.4249,500.0,0.2852486239393919,2.50520657631262,0.0,0.8372103167140899,0,54.722001973612045,36,0.005843608128053179,1212.45,40,0.0,0.15769284213847176,0.8313667085860367
[[0.00634443]],2.4067,500.0,0.388075410201111,2.4882916046958807,0.0,0.8435547456238607,0,59.80700209841654,37,0.006344428909770827,1203.35,40,0.0,0.15411805332492598,0.8372103167140899
[[0.00638764]],2.4253,500.0,0.4400556377557514,2.513109609627085,0.0,0.8499423807280858,0,67.02147044044915,38,0.006387635104225131,1212.65,40,0.0,0.1501449285500808,0.8435547456238607
[[0.00597153]],2.3986,500.0,0.5426234438549109,2.484173512458419,0.0,0.8559139151469346,0,57.779840775135405,39,0.0059715344188487895,1199.3,40,0.0,0.14536229202720424,0.8499423807280858
[[0.00509894]],2.4816,500.0,0.6980350708490022,2.5650071033040045,0.0,0.8610128549945479,0,65.57408024517005,40,0.005098939847613337,1240.8,40,0.0,0.13939657055008103,0.8559139151469346
[[0.00454671]],2.4438,500.0,0.7587324547508913,2.5335038109306254,0.0,0.8655595685545715,0,65.75553208666173,41,0.004546713560023563,1221.9,40,0.0,0.13314624407082515,0.8610128549945479
[[0.00380696]],2.4573,500.0,0.7875539767172732,2.5481516261792585,0.0,0.869366528303773,0,63.757960287324124,42,0.003806959749201533,1228.65,40,0.0,0.12691105379863904,0.8655595685545715
[[0.00337508]],2.4712,500.0,0.807526120615897,2.555224170205033,0.0,0.87274160333964,0,46.74655067488937,43,0.003375075035866981,1235.6,40,0.0,0.12077858281150901,0.869366528303773
[[0.00339438]],2.487,500.0,0.8186063793366891,2.5827177546143134,0.0,0.8761359799317151,0,68.08193593017167,44,0.003394376592075088,1243.5,40,0.0,0.1148245834110126,0.87274160333964
[[0.00325987]],2.476,500.0,0.8560440950067196,2.5721244137871713,0.0,0.8793958533924696,0,64.31796016665952,45,0.0032598734607545143,1238.0,40,0.0,0.10887315210700485,0.8761359799317151
[[0.00308615]],2.5036,500.0,0.9008999171243666,2.5799199677509375,0.0,0.8824820080758563,0,66.20543784312585,46,0.003086154683386688,1251.8,40,0.0,0.10290400462382798,0.8793958533924696
