TimestepsMean,ReturnsStd,NormDeltaVar,Omega,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,ConfortViolation,TimestepsStd,OmegaBefore,Wins,NormDeltaOmega,Theta,Traj
500.0,56.70077159968813,0.9899999318714485,0.7279592117806758,0,[[-0.01350505]],1091.15,2.1823,2.28520605416667,0,0.0,0.7414642580486248,0.0,0.013505046267949017,0.7833138289637832,40
500.0,58.06504972873097,0.27842393814668753,0.7148285085726716,1,[[-0.0131307]],1110.5,2.221,2.3609233363241593,0,0.0,0.7279592117806758,0.0,0.013130703208004246,0.7799875209297723,40
500.0,46.33184649892556,0.6351609494192765,0.7011391534595593,2,[[-0.01368936]],1126.6,2.2532,2.4217121546542235,0,0.0,0.7148285085726716,0.0,0.0136893551131122,0.7722627670200027,40
500.0,59.29247422734187,0.48084201282658867,0.6869726764832175,3,[[-0.01416648]],1134.95,2.2699,2.4696870226812146,0,0.0,0.7011391534595593,0.0,0.01416647697634188,0.7662888874860804,40
500.0,57.70606553907483,0.32814325679310485,0.6733041055898696,4,[[-0.01366857]],1183.1,2.3662,2.62341334143135,0,0.0,0.6869726764832175,0.0,0.013668570893347831,0.7621500460073293,40
500.0,82.03339259106623,0.442487638851933,0.658859430686853,5,[[-0.01444467]],1191.35,2.3827,2.6469871004596905,0,0.0,0.6733041055898696,0.0,0.014444674903016597,0.7564896275169342,40
500.0,72.23183162567595,0.5096678691529313,0.6437523586497695,6,[[-0.01510707]],1195.75,2.3915,2.689038443384549,0,0.0,0.658859430686853,0.0,0.015107072037083502,0.7498575185808664,40
500.0,64.12548245432544,0.13181545987041687,0.6286806950514995,7,[[-0.01507166]],1192.65,2.3853,2.6791311856644873,0,0.0,0.6437523586497695,0.0,0.015071663598270058,0.7481227964960051,40
500.0,89.39664423232004,0.34175605447494206,0.6130317349857886,8,[[-0.01564896]],1253.8,2.5076,2.8342092794993103,0,0.0,0.6286806950514995,0.0,0.015648960065710926,0.7435881780571406,40
500.0,65.07657028455019,0.40879143403390117,0.597198560746263,9,[[-0.01583317]],1263.2,2.5264,2.869373283488922,0,0.0,0.6130317349857886,0.0,0.01583317423952557,0.7380943090414377,40
500.0,78.21302640864883,0.21802413215622352,0.5811965205276792,10,[[-0.01600204]],1317.85,2.6357,2.997279684981033,0,0.0,0.597198560746263,0.0,0.016002040218583757,0.7351333532880115,40
500.0,79.03442288016026,0.1353340570979178,0.5647685609050801,11,[[-0.01642796]],1314.4,2.6288,3.0022342613460395,0,0.0,0.5811965205276792,0.0,0.01642795962259913,0.733284664698964,40
500.0,71.15082571551787,0.1928484582065817,0.5487736826572653,12,[[-0.01599488]],1337.6,2.6752,3.068958285803181,0,0.0,0.5647685609050801,0.0,0.01599487824781476,0.7306361766140017,40
500.0,68.12275684380367,0.0781720799583141,0.5327227666438308,13,[[-0.01605092]],1376.3,2.7526,3.152331397553246,0,0.0,0.5487736826572653,0.0,0.016050916013434557,0.7317117531233229,40
500.0,103.45839743587757,0.33692495473051487,0.5160154534906033,14,[[-0.01670731]],1402.4,2.8048,3.2086596827959184,0,0.0,0.5327227666438308,0.0,0.016707313153227488,0.7363162902381921,40
500.0,97.73831132161021,0.39010089677736737,0.49898148442128853,15,[[-0.01703397]],1428.85,2.8577,3.2648661090464337,0,0.0,0.5160154534906033,0.0,0.01703396906931476,0.7415837635213016,40
500.0,90.54827441757242,0.4883027801061779,0.4818099751841101,16,[[-0.01717151]],1485.9,2.9718,3.3865623809402954,0,0.0,0.49898148442128853,0.0,0.017171509237178417,0.7480798799215143,40
500.0,85.37979854743159,0.6006711739625015,0.4646498566131619,17,[[-0.01716012]],1534.7,3.0694,3.469983233388888,0,0.0,0.4818099751841101,0.0,0.017160118570948235,0.755920956154533,40
500.0,98.162314561139,0.7205778980028796,0.44795900118445886,18,[[-0.01669086]],1578.6,3.1572,3.5347543280969327,0,0.0,0.4646498566131619,0.0,0.016690855428703022,0.7651069179015326,40
500.0,105.81813407918322,0.7774407784030792,0.43106527991465354,19,[[-0.01689372]],1628.15,3.2563,3.6300289682039732,0,0.0,0.44795900118445886,0.0,0.016893721269805317,0.7747458988460928,40
500.0,119.82669777641375,0.8579948630872885,0.4138307836890863,20,[[-0.0172345]],1661.75,3.3235,3.6872412112580863,0,0.0,0.43106527991465354,0.0,0.01723449622556722,0.7850539947136665,40
500.0,91.83158498033234,0.9053670828659186,0.3966585132739347,21,[[-0.01717227]],1752.4,3.5048,3.814443204453305,0,0.0,0.4138307836890863,0.0,0.017172270415151625,0.795555055669013,40
500.0,106.93156690145338,0.9407695198859933,0.3796943455043463,22,[[-0.01696417]],1819.2,3.6384,3.8980566234984324,0,0.0,0.3966585132739347,0.0,0.016964167769588423,0.8060577885462104,40
500.0,115.18306082059115,0.9898237562283825,0.36289624928620634,23,[[-0.0167981]],1875.25,3.7505,3.9631742013189375,0,0.0,0.3796943455043463,0.0,0.016798096218139935,0.8166603542821217,40
500.0,117.76203760125756,1.0114966243247565,0.3462401984838618,24,[[-0.01665605]],1959.95,3.9199,4.048182800961439,0,0.0,0.36289624928620634,0.0,0.016656050802344557,0.8270249685295469,40
500.0,124.10153101392424,1.0311088683855836,0.32975712400663126,25,[[-0.01648307]],2025.1,4.0502,4.119936887866124,0,0.0,0.3462401984838618,0.0,0.01648307447723052,0.8371079399779859,40
500.0,138.16363486822428,1.0557113119728676,0.3134371326030002,26,[[-0.01631999]],2114.1,4.2282,4.190313205477605,0,0.0,0.32975712400663126,0.0,0.01631999140363105,0.8469354873109988,40
500.0,130.17464230793954,1.0527847425383108,0.29731673890603,27,[[-0.01612039]],2219.75,4.4395,4.265142406766742,0,0.0,0.3134371326030002,0.0,0.016120393696970214,0.8562467090990592,40
500.0,122.06915048446925,1.0595885238097047,0.2816620529155443,28,[[-0.01565469]],2312.65,4.6253,4.31736029420756,0,0.0,0.29731673890603,0.0,0.015654685990485695,0.8651373200000513,40
500.0,137.61028304599915,1.0762814538919763,0.2663335849284674,29,[[-0.01532847]],2410.1,4.8202,4.365188651135252,0,0.0,0.2816620529155443,0.0,0.015328467987076877,0.8736882843001897,40
500.0,120.80960226736946,1.0939647837026527,0.2516647124671151,30,[[-0.01466887]],2438.8,4.8776,4.382353048306355,0,0.0,0.2663335849284674,0.0,0.014668872461352345,0.8819001519737945,40
500.0,142.63716205813967,1.0650234445422448,0.23736013819556734,31,[[-0.01430457]],2557.2,5.1144,4.419741241294562,0,0.0,0.2516647124671151,0.0,0.014304574271547743,0.8894465251232025,40
500.0,146.01886864374754,1.088082963141165,0.22357172920148713,32,[[-0.01378841]],2676.3,5.3526,4.448873255106286,0,0.0,0.23736013819556734,0.0,0.013788408994080209,0.8967168455692082,40
500.0,135.30446223240386,1.0847561591439003,0.2101582412916544,33,[[-0.01341349]],2763.95,5.5279,4.4559759413623405,0,0.0,0.22357172920148713,0.0,0.013413487909832739,0.9035405943840163,40
500.0,136.63593048682327,1.0872948485917462,0.19736025417845915,34,[[-0.01279799]],2896.35,5.7927,4.460092679530325,0,0.0,0.2101582412916544,0.0,0.012797987113195242,0.9099733377248892,40
500.0,135.09588261675484,1.089808444888483,0.1851371077264417,35,[[-0.01222315]],2959.55,5.9191,4.452780613279751,0,0.0,0.19736025417845915,0.0,0.012223146452017442,0.9160304995130067,40
500.0,136.85609230136598,1.0800331208620833,0.17353968235986567,36,[[-0.01159743]],3071.1,6.1422,4.432807142206844,0,0.0,0.1851371077264417,0.0,0.011597425366576042,0.9216657956539838,40
500.0,101.26302385372462,1.0712295520426665,0.1628255607318286,37,[[-0.01071412]],3186.0,6.372,4.398819841730279,0,0.0,0.17353968235986567,0.0,0.01071412162803706,0.9269113203393166,40
500.0,116.80410951674602,1.0824522704218396,0.15277535914110693,38,[[-0.0100502]],3299.0,6.598,4.354950745990131,0,0.0,0.1628255607318286,0.0,0.010050201590721675,0.9318814516296308,40
500.0,114.59384800241241,1.0644765947597747,0.14328376719922822,39,[[-0.00949159]],3342.5,6.685,4.3333099358342695,0,0.0,0.15277535914110693,0.0,0.009491591941878708,0.936461918626033,40
500.0,129.49208470018544,1.0582342217580418,0.13427876231434538,40,[[-0.009005]],3445.0,6.89,4.278773188660507,0,0.0,0.14328376719922822,0.0,0.009005004884882845,0.9407296055975957,40
500.0,137.07133179479945,1.0458176090323548,0.1257240581324363,41,[[-0.0085547]],3510.5,7.021,4.234850528649152,0,0.0,0.13427876231434538,0.0,0.008554704181909067,0.9446821590107172,40
500.0,129.4640394086327,1.0746184344903469,0.11772551385801965,42,[[-0.00799854]],3573.25,7.1465,4.187951498047703,0,0.0,0.1257240581324363,0.0,0.007998544274416666,0.9484841886970488,40
500.0,128.22698623924683,1.0704117345947708,0.11020243852465941,43,[[-0.00752308]],3682.2,7.3644,4.097708218016504,0,0.0,0.11772551385801965,0.0,0.007523075333360232,0.9520247219241372,40
500.0,123.47014821405212,1.0799660823336907,0.1032264630624022,44,[[-0.00697598]],3769.85,7.5397,4.018796326016037,0,0.0,0.11020243852465941,0.0,0.006975975462257214,0.9553619137894197,40
500.0,121.25830899365208,1.0758210194974538,0.09672716770630785,45,[[-0.0064993]],3812.35,7.6247,3.9743867338244776,0,0.0,0.1032264630624022,0.0,0.006499295356094351,0.9584655438272354,40
500.0,109.54194402145691,1.0740409153708512,0.09069405224027095,46,[[-0.00603312]],3881.75,7.7635,3.9002394477775337,0,0.0,0.09672716770630785,0.0,0.006033115466036895,0.9613574808625692,40
500.0,130.14982712243608,1.0728909184991409,0.08499813096741694,47,[[-0.00569592]],3955.15,7.9103,3.8132078241291807,0,0.0,0.09069405224027095,0.0,0.00569592127285401,0.964052821503566,40
500.0,126.33412049007187,1.0592097838065726,0.07964663715513662,48,[[-0.00535149]],4032.3,8.0646,3.7110950998323933,0,0.0,0.08499813096741694,0.0,0.005351493812280325,0.9665357368297118,40
500.0,111.53994800070511,1.0325830550836912,0.07463297041555114,49,[[-0.00501367]],4064.2,8.1284,3.664248004707105,0,0.0,0.07964663715513662,0.0,0.005013666739585476,0.9687963995592502,40
500.0,99.25401755092838,1.0082950634232404,0.06997720796417921,50,[[-0.00465576]],4120.8,8.2416,3.582293879625176,0,0.0,0.07463297041555114,0.0,0.004655762451371934,0.9708608817426555,40
500.0,114.25020787727259,0.9943450101651479,0.06561148439804255,51,[[-0.00436572]],4213.3,8.4266,3.433367507273289,0,0.0,0.06997720796417921,0.0,0.004365723566136653,0.9727667530827973,40
500.0,91.13834264457523,0.9807644259753516,0.061589642212213136,52,[[-0.00402184]],4254.55,8.5091,3.359377500371163,0,0.0,0.06561148439804255,0.0,0.004021842185829419,0.9745276490563404,40
500.0,109.4743691463897,0.9681435281855784,0.057837200470911,53,[[-0.00375244]],4282.25,8.5645,3.3094923704399144,0,0.0,0.061589642212213136,0.0,0.003752441741302133,0.9761569206327839,40
