NormDeltaOmega,DualBefore,ReturnsStd,Theta,Epsilon,LossReg,OmegaBefore,NormDeltaVar,ConfortViolation,ITERATIONS,RewardMean,Wins,DualReg,RewardStd,Eta,WeightMedian,DeltaOmega,TimestepsMean,WeightMax,TimestepsStd,WeightMin,ThetaBefore,Omega,ReturnsMean,WeightMean,Primal,DualAfter,Traj
0.15305417025598425,6.441747009798405,34.01482485989465,0.20406763621623522,0.01,0.0,0.1530541987661469,4.492671165211192,0,0,1.9548,0.0,0.0,1.6561270965719992,13.500301698102085,0.5528993232582471,[[-0.15305417]],500.0,1.0,0.0,0.4767685208913515,0.15768566100940729,2.8510162635004756e-08,975.7894736842105,0.4767685208913515,2.20705998573838,2.2070599719695077,20
5.142281535505367e-16,6.876732103635286,26.4803277213989,0.2096642277096129,0.01,0.0,2.8510162635004756e-08,0.4873167883052254,0,1,2.0308,0.0,0.0,1.8443024047048249,14.98261113113317,0.5862832046324651,[[-5.14228154e-16]],500.0,1.0,0.0,0.5130200235858243,0.20406763621623522,2.8510162120776602e-08,1016.9473684210526,0.5130200235858243,2.311305446496389,2.3113054414484306,20
5.239088798698163e-16,6.906045840663159,33.80635748042346,0.22158827225681,0.01,0.0,2.8510162120776602e-08,1.0073711595782555,0,2,2.0184,0.0,0.0,1.8790586579455153,15.220889130302236,0.5912043956141108,[[-5.2390888e-16]],500.0,1.0,0.0,0.5184084453560466,0.2096642277096129,2.8510161596867722e-08,1011.1578947368421,0.5184084453560466,2.3037424674013884,2.303742457239067,20
7.421010763803391e-16,6.997498497243313,44.41706143207121,0.2319869947990986,0.01,0.0,2.8510161596867722e-08,0.8472744731892341,0,3,2.0428,0.0,0.0,1.955650316390944,15.764249527243038,0.6020123150608185,[[-7.42101076e-16]],500.0,1.0,0.0,0.530281797035989,0.22158827225681,2.8510160854766646e-08,1019.578947368421,0.530281797035989,2.339010058024563,2.339010029317323,20
4.8436909072441e-16,7.1089384932139446,43.15969187529127,0.2451860535819047,0.01,0.0,2.8510160854766646e-08,1.0381626869937826,0,4,2.0772,0.0,0.0,2.053202415739861,16.452260394416854,0.6149247526342688,[[-4.84369091e-16]],500.0,1.0,0.0,0.5445370934104129,0.2319869947990986,2.8510160370397555e-08,1039.3684210526317,0.5445370934104129,2.3872085420612517,2.3872084983672694,20
5.100955426666096e-16,7.246346234199814,40.91258162448387,0.2595188240178687,0.01,0.0,2.8510160370397555e-08,1.0854713202788524,0,5,2.1338,0.0,0.0,2.1768090315872914,17.31878030647599,0.6300687782097659,[[-5.10095543e-16]],500.0,1.0,0.0,0.5613515801098865,0.2451860535819047,2.8510159860302012e-08,1064.9473684210527,0.5613515801098865,2.4612383057303706,2.461238248929929,20
7.182098238887619e-16,7.298822280775468,46.39538614944032,0.2679454975601323,0.01,0.0,2.8510159860302012e-08,0.6199942513901,0,6,2.152,0.0,0.0,2.2291020613691064,17.682153075156393,0.6360783125395298,[[-7.18209824e-16]],500.0,1.0,0.0,0.5680521859135174,0.2595188240178687,2.851015914209219e-08,1073.6842105263158,0.5680521859135174,2.4867766854768116,2.4867766408463803,20
4.795270698948226e-16,7.413772756573064,54.99312472766954,0.28272604272678137,0.01,0.0,2.851015914209219e-08,1.0584557367192886,0,7,2.2068,0.0,0.0,2.342569905040189,18.467930442240828,0.6484415883157064,[[-4.7952707e-16]],500.0,1.0,0.0,0.5818868947304365,0.2679454975601323,2.851015866256512e-08,1100.421052631579,0.5818868947304365,2.5574741798503315,2.5574741566797803,20
5.420721613910925e-16,7.508340744204334,47.97483181351057,0.301041616298831,0.01,0.0,2.851015866256512e-08,1.266239796512588,0,8,2.2458,0.0,0.0,2.4462179706641023,19.180734821057438,0.6589647950192691,[[-5.42072161e-16]],500.0,1.0,0.0,0.5937146515359009,0.28272604272678137,2.8510158120492957e-08,1125.6842105263158,0.5937146515359009,2.610941640230247,2.6109416298993393,20
4.612509774816065e-16,7.622324152264894,54.84281240073452,0.32154165567623594,0.01,0.0,2.8510158120492957e-08,1.3663815220888722,0,9,2.3064,0.0,0.0,2.573192383013754,20.049041287362687,0.6709762259469116,[[-4.61250977e-16]],500.0,1.0,0.0,0.60727292067557,0.301041616298831,2.851015765924198e-08,1156.9473684210527,0.60727292067557,2.6892158603879603,2.6892158574798124,20
