OmegaBefore,DualBefore,RewardMean,DeltaOmega,WeightMax,Wins,WeightMean,WeightMedian,Primal,LossReg,NormDeltaVar,TimestepsMean,DualReg,ReturnsMean,Epsilon,Traj,Eta,Omega,ConfortViolation,TimestepsStd,DualAfter,ReturnsStd,RewardStd,ITERATIONS,WeightMin,NormDeltaOmega
[[0.8]],6.523251544032341,2.327,[[-0.3104859]],1.0,0.0,0.7353225375291097,0.7819559737577352,2.5181489553610903,0.0,20.40348750609257,500.0,0.0,1164.0,0.0030001,20,32.52603186060388,[[0.4895141]],0,0.0,2.518148955151882,45.99771161355976,2.4147610647846713,0,0.7353225375291097,0.3104859033788827
[[0.4895141]],7.717714650016481,2.5458,[[-0.00996227]],1.0,0.0,0.7730540189934056,0.8138940505712091,2.7740264540200155,0.0,0.5698367645743724,500.0,0.0,1270.3157894736842,0.0030001,20,38.849080366244294,[[0.47955183]],0,0.0,2.7740264524127003,69.26155813222114,2.8818227495805497,1,0.7730540189934056,0.009962269690386216
[[0.47955183]],7.784673263876944,2.5856,[[-0.00477047]],1.0,0.0,0.7768392390152248,0.8170806454990818,2.818360980502013,0.0,0.2731701052708928,500.0,0.0,1290.5263157894738,0.0030001,20,39.600533637891715,[[0.47478136]],0,0.0,2.818360985709031,70.69531989352367,2.9406585384909967,2,0.7768392390152248,0.004770470788139358
[[0.47478136]],7.842027601415452,2.6494,[[-0.01003099]],1.0,0.0,0.7808667601056247,0.8204678141958529,2.887229385409098,0.0,0.5753223790058104,500.0,0.0,1329.0526315789473,0.0030001,20,40.42842072576894,[[0.46475037]],0,0.0,2.887229386476977,61.04827570668154,3.0073708850090304,3,0.7808667601056247,0.010030985682754567
[[0.46475037]],7.815739284237877,2.6306,[[0.00156727]],1.0,0.0,0.7799107260907537,0.8196641009264347,2.8672386175715583,0.0,0.0899861433369884,500.0,0.0,1317.4736842105262,0.0030001,20,40.22917441025175,[[0.46631764]],0,0.0,2.867237896900444,89.32929526023224,2.9920467309184864,4,0.7799107260907537,0.0015672735833649476
[[0.46631764]],7.824353240364285,2.6148,[[0.00422588]],1.0,0.0,0.7792754798983625,0.8191299567930311,2.850577658884285,0.0,0.24244711700434318,500.0,0.0,1304.7368421052631,0.0030001,20,40.09773214448356,[[0.47054353]],0,0.0,2.8505773644706762,81.85792705417506,2.9800035167764483,5,0.7792754798983625,0.004225884913108824
[[0.47054353]],7.852191303298033,2.6468,[[-0.0057862]],1.0,0.0,0.7815790210076401,0.8210664657357415,2.8855241833542684,0.0,0.3320334078281948,500.0,0.0,1324.2105263157894,0.0030001,20,40.57798968769467,[[0.46475733]],0,0.0,2.8855241861992305,48.83008018938674,3.0188822037303806,6,0.7815790210076401,0.005786195495272095
[[0.46475733]],7.867539209996626,2.6662,[[-0.00235111]],1.0,0.0,0.7823528364889918,0.8217167299275275,2.905925549270531,0.0,0.13506612793754602,500.0,0.0,1334.5263157894738,0.0030001,20,40.74158772763677,[[0.46240622]],0,0.0,2.905925556289053,80.65479945979828,3.032058304188757,7,0.7823528364889918,0.0023511127027884826
[[0.46240622]],7.879583057010652,2.6962,[[-0.0054082]],1.0,0.0,0.7835729531303929,0.8227417753532353,2.9375511793412326,0.0,0.3110639378689064,500.0,0.0,1351.3684210526317,0.0030001,20,41.00190455194653,[[0.45699802]],0,0.0,2.9375512024491,70.8327983250666,3.0538673121142637,8,0.7835729531303929,0.005408203225192365
[[0.45699802]],7.91873629717734,2.707,[[-0.00097974]],1.0,0.0,0.7852987978673224,0.8241911486011508,2.9505731184209028,0.0,0.0564122982192532,500.0,0.0,1349.0526315789473,0.0030001,20,41.375144399099945,[[0.45601827]],0,0.0,2.950573011784221,73.04899126376586,3.082296384191501,9,0.7852987978673224,0.000979742695531971
[[0.45601827]],7.8337598680692215,2.6132,[[0.01508764]],1.0,0.0,0.7795890563061528,0.8193936370978755,2.84935155200265,0.0,0.8668199745281326,500.0,0.0,1313.578947368421,0.0030001,20,40.162521817784295,[[0.47110591]],0,0.0,2.8493510807554214,58.051080763749226,2.9846248943543983,10,0.7795890563061528,0.015087638783783053
[[0.47110591]],7.8772761409282355,2.6864,[[-0.0123196]],1.0,0.0,0.7832402856558287,0.8224623261461439,2.9273009771292906,0.0,0.7074937169308237,500.0,0.0,1344.842105263158,0.0030001,20,40.930639653098524,[[0.45878631]],0,0.0,2.9273009942079797,67.15046980898843,3.0477623004427365,11,0.7832402856558287,0.012319601578660688
[[0.45878631]],7.9189152102696365,2.7166,[[-0.00384124]],1.0,0.0,0.7852987453327305,0.8241911044920337,2.960187677199096,0.0,0.2211521811911319,500.0,0.0,1353.8947368421052,0.0030001,20,41.3751329468882,[[0.45494507]],0,0.0,2.960187570465677,70.43765047102377,3.082674883927918,12,0.7852987453327305,0.0038412388272986986
[[0.45494507]],7.90231341707198,2.69,[[0.00391501]],1.0,0.0,0.784254392651999,0.8233141279535299,2.9321882151692176,0.0,0.22537683477897463,500.0,0.0,1345.4736842105262,0.0030001,20,41.148566634563316,[[0.45886008]],0,0.0,2.932188165857979,95.3836400079355,3.064098562383397,13,0.784254392651999,0.0039150098084103635
