ITERATIONS,TimestepsStd,ReturnsMean,RewardStd,WeightMean,Omega,Epsilon,TimestepsMean,Primal,WeightMin,LossReg,NormDeltaOmega,DualBefore,Eta,RewardMean,DualAfter,OmegaBefore,WeightMax,NormDeltaVar,WeightMedian,DeltaOmega,Wins,DualReg,ReturnsStd,ConfortViolation,Traj
0,0.0,1163.157894736842,2.425345426944377,0.7036167720277139,[[0.48462733]],0.0040001,500.0,2.55892590121499,0.7036167720277139,0.0,0.315372665930102,6.508504082207201,28.447767835105154,2.3366,2.5589260657795814,[[0.8]],1.0,20.6829201577898,0.7548644040369682,[[-0.31537267]],0.0,0.0,67.49133523949553,0,20
1,0.0,1281.0526315789473,2.9030632097837623,0.7456586470434231,[[0.4715934]],0.0040001,500.0,2.834219153742191,0.7456586470434231,0.0,0.01303393084207144,7.726275796123352,34.07301752107773,2.568,2.8342193813084773,[[0.48462733]],1.0,0.7462689513143813,0.7907369747509947,[[-0.01303393]],0.0,0.0,58.70665136189786,0,20
2,0.0,1348.7368421052631,3.0596860950104015,0.756176700097269,[[0.45318617]],0.0040001,500.0,2.9690594508359354,0.756176700097269,0.0,0.018407230038139488,7.887935057049298,35.78071006901442,2.689,2.9690594496353837,[[0.4715934]],1.0,1.057949935415729,0.7996475908057578,[[-0.01840723]],0.0,0.0,69.40411189491901,0,20
3,0.0,1351.8947368421052,3.078785468330003,0.7573565246128888,[[0.44936396]],0.0040001,500.0,2.9819165845115525,0.7573565246128888,0.0,0.0038222159293422875,7.896654042722561,35.98142647531561,2.7002,2.9819165836155603,[[0.45318617]],1.0,0.2205074996267964,0.8006455551411896,[[-0.00382222]],0.0,0.0,98.89169766484954,0,20
4,0.0,1383.2631578947369,3.145420315315586,0.7615246539995544,[[0.44054988]],0.0040001,500.0,3.0527982605707233,0.7615246539995544,0.0,0.008814079962720767,7.971079731556685,36.70630889826581,2.7652,3.052798260325506,[[0.44936396]],1.0,0.5098544794978026,0.8041687166183439,[[-0.00881408]],0.0,0.0,91.6772612025831,0,20
5,0.0,1374.842105263158,3.1554795451721755,0.7621981942664414,[[0.44078511]],0.0040001,500.0,3.050726811107562,0.7621981942664414,0.0,0.0002352344108308424,7.986289630778625,36.82581240798171,2.7622,3.0507268109176966,[[0.44054988]],1.0,0.013633940932043842,0.804737672194568,[[0.00023523]],0.0,0.0,81.00244515990647,0,20
6,0.0,1414.842105263158,3.1981646674303685,0.7646856786645537,[[0.4321338]],0.0040001,500.0,3.109625703724094,0.7646856786645537,0.0,0.008651313378299719,8.022355312975938,37.273043438894796,2.8174,3.109625451995753,[[0.44078511]],1.0,0.5024891799173146,0.8068380392421903,[[-0.00865131]],0.0,0.0,90.39169917519193,0,20
7,0.0,1416.5263157894738,3.240231473212986,0.7671942299603844,[[0.42676054]],0.0040001,500.0,3.1459506819928573,0.7671942299603844,0.0,0.0053732560450738265,8.067499247132414,37.73367383876028,2.85,3.1459505793842455,[[0.4321338]],1.0,0.31328426729962366,0.8089548112059939,[[-0.00537326]],0.0,0.0,89.82050429434112,0,20
8,0.0,1422.7368421052631,3.2408387803159853,0.7672275970907426,[[0.42586082]],0.0040001,500.0,3.138002487329286,0.7672275970907426,0.0,0.0008997181926448383,8.062684462956899,37.73986730174075,2.842,3.1380023861149633,[[0.42676054]],1.0,0.05255408828378805,0.8089829578027126,[[-0.00089972]],0.0,0.0,57.05107785804351,0,20
9,0.0,1427.3684210526317,3.24630891321205,0.7675378988265177,[[0.4256409]],0.0040001,500.0,3.152678033938934,0.7675378988265177,0.0,0.0002199221524952777,8.071929133547505,37.797548753743946,2.8562,3.1526779450376408,[[0.42586082]],1.0,0.01285055354804765,0.8092446988202312,[[-0.00021992]],0.0,0.0,111.31189491756263,0,20
10,0.0,1442.9473684210527,3.2954921392714627,0.7703069937527864,[[0.41576268]],0.0040001,500.0,3.2041647398429776,0.7703069937527864,0.0,0.009878225454599265,8.111316586504177,38.3191459292448,2.9034,3.2041647185191,[[0.4256409]],1.0,0.5790564724671183,0.8115795079314468,[[-0.00987823]],0.0,0.0,100.89571149626703,0,20
11,0.0,1475.3684210526317,3.3405218215123216,0.7727557078623992,[[0.40647931]],0.0040001,500.0,3.263266274598798,0.7727557078623992,0.0,0.00928336260809065,8.14845653103648,38.790916374261876,2.9586,3.2632662715062715,[[0.41576268]],1.0,0.5478069990697829,0.8136427842748767,[[-0.00928336]],0.0,0.0,98.67981744607727,0,20
12,0.0,1444.2105263157894,3.2886242655554314,0.7700234422667935,[[0.4209931]],0.0040001,500.0,3.1864423891423574,0.7700234422667935,0.0,0.014513782670336484,8.120015873101854,38.26516163795697,2.8862,3.186442363882427,[[0.40647931]],1.0,0.8548658949665384,0.8113405039504169,[[0.01451378]],0.0,0.0,67.30572740731843,0,20
