OmegaBefore,LossReg,Epsilon,ConfortViolation,Eta,RewardMean,DualAfter,DualBefore,WeightMedian,WeightMin,Omega,DualReg,WeightMean,Wins,ITERATIONS,DeltaOmega,ReturnsStd,Primal,WeightMax,NormDeltaOmega,Traj,TimestepsMean,ReturnsMean,TimestepsStd,NormDeltaVar,RewardStd
[[0.8]],0.0,0.0801,0,7.206461159494583,2.33804,3.4047993381006005,6.58545547411094,0.32952109278434105,0.24966290756945292,[[0.39376626]],0.0,0.24966290756945292,0.0,0,[[-0.40623374]],58.852205425632704,3.4047993177009674,1.0,0.40623374250153066,100,500.0,1168.4646464646464,0.0,25.968607261632485,2.4172813155278394
[[0.39376626]],0.0,0.0801,0,9.7449416592563,3.06056,4.539920098016522,8.326092177383446,0.4400184034354132,0.35837569742886605,[[0.29359408]],0.0,0.35837569742886605,0.0,1,[[-0.10017218]],85.45841861461638,4.539920098883118,1.0,0.10017218239636089,100,500.0,1530.1010101010102,0.0,6.37833961574617,3.447041120497404
[[0.29359408]],0.0,0.0801,0,10.59704582132642,3.7746,5.427635297974726,8.772134878933326,0.4700447498100459,0.3892010539976385,[[0.21626154]],0.0,0.3892010539976385,0.0,2,[[-0.07733254]],105.28380853075627,5.427635770054111,1.0,0.07733253741235374,100,500.0,1886.8080808080808,0.0,5.851356464234746,3.968414650713809
[[0.21626154]],0.0,0.0801,0,10.880017622516927,4.7506,6.5031694323537135,9.144567102828674,0.4793650196025575,0.3988714245135414,[[0.14547885]],0.0,0.3988714245135414,0.0,3,[[-0.07078269]],125.35665270951041,6.503169796758596,1.0,0.07078268941628882,100,500.0,2373.4949494949497,0.0,6.898909705803586,4.346975918957914
[[0.14547885]],0.0,0.0801,0,10.326785569054234,5.92308,7.65375319471771,9.454140997291969,1.0,0.37970693843985914,[[0.08818279]],0.0,0.37970693843985914,0.0,4,[[-0.05729606]],131.08927305641038,7.653750306686976,1.0,0.0572960560171476,100,500.0,2960.080808080808,0.0,8.078816325932248,4.451813485940308
[[0.08818279]],0.0,0.0801,0,8.590696449878115,7.26324,8.796056531229071,9.710704926036708,1.0,0.31221913672019086,[[0.04197008]],0.0,0.31221913672019086,0.0,5,[[-0.04621271]],135.00662009940942,8.796055605541218,1.0,0.046212708293508487,100,500.0,3632.020202020202,0.0,11.312774745210568,4.144546380775585
[[0.04197008]],0.0,0.0801,0,5.3421055878914245,8.58728,9.6980583203611,9.908205607418907,1.0,0.15382786392190984,[[0.01047375]],0.0,0.15382786392190984,0.0,6,[[-0.03149634]],105.81182944590225,9.698059971079047,1.0,0.03149633577437364,100,500.0,4293.575757575758,0.0,20.291891627136714,3.2898240380907913
[[0.01047375]],0.0,0.0801,0,0.013150556459138471,9.62516,10.000495689412993,10.037704289779112,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,7,[[-0.01047375]],57.210644562351064,10.000000000001796,1.0,0.010473746508682734,100,500.0,4813.151515151515,0.0,223.66092073759586,1.8127258409367921
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,8,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,9,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
