RewardMean,ReturnsMean,NormDeltaOmega,ConfortViolation,ITERATIONS,OmegaBefore,WeightMedian,Primal,Wins,TimestepsStd,DualBefore,Traj,NormDeltaVar,Epsilon,DualReg,DeltaOmega,Omega,Eta,DualAfter,TimestepsMean,WeightMin,RewardStd,LossReg,ReturnsStd,WeightMax,WeightMean
2.3534,1176.7676767676767,0.4241442260383896,0,0,[[0.8]],0.2964102642008076,3.565213623052883,0.0,0.0,6.623556421283947,100,27.049576347699368,0.1001,0.0,[[-0.42414423]],[[0.37585577]],6.578889172290173,3.565213618506238,500.0,0.21870894622597103,2.4369137120546553,0.0,55.50481429348365,1.0,0.21870894622597103
3.1302,1565.3535353535353,0.10473118557117966,0,1,[[0.37585577]],0.40690727285206857,4.818994815274816,0.0,0.0,8.399035870603019,100,6.882119714994986,0.1001,0.0,[[-0.10473119]],[[0.27112459]],8.89709447817805,4.818995192900492,500.0,0.3249894892615602,3.511513628052723,0.0,96.78668757397207,1.0,0.3249894892615602
4.07728,2039.3737373737374,0.08933706713699899,0,2,[[0.27112459]],0.4354656605822968,5.974974256072001,0.0,0.0,8.919188435006156,100,7.362273630790533,0.1001,0.0,[[-0.08933707]],[[0.18178752]],9.623025941571285,5.974974247657974,500.0,0.3537466958418587,4.111966415427052,0.0,111.94466398682408,1.0,0.3537466958418587
5.31236,2656.7070707070707,0.07405422887684328,0,3,[[0.18178752]],0.43094599160401037,7.274035436001773,0.0,0.0,9.326958150268759,100,8.711755889024396,0.1001,0.0,[[-0.07405423]],[[0.10773329]],9.503755397991839,7.274034881717619,500.0,0.3491632738522229,4.4415527949580875,0.0,121.50647424453742,1.0,0.3491632738522229
6.80272,3403.4545454545455,0.05712221020141049,0,4,[[0.10773329]],1.0,8.59847607467705,0.0,0.0,9.65045446063338,100,11.679164799152936,0.1001,0.0,[[-0.05712221]],[[0.05061108]],8.122236696976657,8.598476069838739,500.0,0.29194555302093295,4.301716006618754,0.0,121.88977242063004,1.0,0.29194555302093295
8.33216,4165.919191919192,0.038666570290361274,0,5,[[0.05061108]],1.0,9.660428489327494,0.0,0.0,9.893356202923433,100,21.197413946399223,0.1001,0.0,[[-0.03866657]],[[0.01194451]],5.093346686971096,9.660428460670397,500.0,0.14038794711071875,3.512319708454798,0.0,92.00962584334236,1.0,0.14038794711071875
9.56336,4781.030303030303,0.011944509972204349,0,6,[[0.01194451]],1.0,10.000000000001691,0.0,0.0,10.050489316939458,100,223.70469751369188,0.1001,0.0,[[-0.01194451]],[[1.91261242e-09]],0.013046889614465712,10.000658456713555,500.0,0.0,1.9491294237171632,0.0,61.42178315030197,1.0,0.0
9.98,4990.0,0.0,0,7,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,8,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,9,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,10,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,11,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,12,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,13,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,14,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,15,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,16,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,17,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,18,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
9.98,4990.0,0.0,0,19,[[1.91261242e-09]],1.0,9.999999999997792,0.0,0.0,10.098098088311145,100,0.0,0.1001,0.0,[[0.]],[[1.91261242e-09]],0.009551451959753056,10.00093697830884,500.0,0.0,0.4467661580737735,0.0,0.0,1.0,0.0
