Omega,Primal,Eta,Wins,ReturnsStd,ITERATIONS,TimestepsStd,DeltaOmega,WeightMedian,OmegaBefore,NormDeltaVar,WeightMin,NormDeltaOmega,DualBefore,Epsilon,WeightMean,ReturnsMean,TimestepsMean,RewardStd,ConfortViolation,LossReg,Traj,RewardMean,DualReg,DualAfter,WeightMax
[[0.37084936]],3.6263563033163164,6.3131364112182125,0.0,55.75064369146835,0,0.0,[[-0.42915064]],0.28161934039124964,[[0.8]],27.355273669656203,0.20515310583684424,0.4291506444077935,6.646249471434687,0.1101,0.20515310583684424,1175.1313131313132,500.0,2.433054612128548,0,0.0,100,2.35112,0.0,3.62635630082423,1.0
[[0.26097773]],4.966623923700265,8.571822455033976,0.0,101.67081687776178,1,0.0,[[-0.10987163]],0.3932575863720805,[[0.37084936]],7.3188311385764,0.3114199185243954,0.10987162514104493,8.446018825947714,0.1101,0.3114199185243954,1587.878787878788,500.0,3.550167734403545,0,0.0,100,3.17524,0.0,4.966622663727555,1.0
[[0.17027595]],6.161704981190599,9.213389298004657,0.0,124.05019867228592,2,0.0,[[-0.09070178]],0.41966373161413784,[[0.26097773]],7.753998088141911,0.33777445158372676,0.09070178360463038,8.967543748997443,0.1101,0.33777445158372676,2077.151515151515,500.0,4.156433300992571,0,0.0,100,4.15512,0.0,6.161705220440495,1.0
[[0.09573352]],7.548384895597391,8.907141265502519,0.0,117.27546782484116,3,0.0,[[-0.07454243]],0.40732017425511946,[[0.17027595]],9.45546777567506,0.325401762650974,0.07454242585752117,9.384994375884121,0.1101,0.325401762650974,2751.3333333333335,500.0,4.453101224270564,0,0.0,100,5.50308,0.0,7.548384889756179,1.0
[[0.03736761]],8.95104646184026,7.116803408336447,0.0,123.12206692109321,4,0.0,[[-0.05836591]],1.0,[[0.09573352]],14.333025374440552,0.2453363319567727,0.05836591256408802,9.722811343477394,0.1101,0.2453363319567727,3577.131313131313,500.0,4.1837896648851745,0,0.0,100,7.1602,0.0,8.951046465181376,1.0
[[0.00337698]],9.910904875907313,3.223191817167891,0.0,107.6850831591183,5,0.0,[[-0.03399062]],1.0,[[0.03736761]],34.836031661829715,0.04493605939609249,0.0339906244310455,9.961914988661336,0.1101,0.04493605939609249,4383.272727272727,500.0,3.1120443675500513,0,0.0,100,8.76612,0.0,9.910905018266206,1.0
[[2.18256739e-09]],10.00000000000156,0.009569630113251616,0.0,33.80943130456725,6,0.0,[[-0.00337698]],1.0,[[0.00337698]],203.64820530094235,0.0,0.003376981811309162,10.095232551684079,0.1101,0.0,4932.747474747474,500.0,1.1078939299409487,0,0.0,100,9.8652,0.0,10.000911315754468,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,7,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,8,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,9,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,10,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,11,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,12,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,13,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,14,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,15,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,16,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,17,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,18,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
[[2.18256739e-09]],9.999999999997792,0.009494735383404715,0.0,0.0,19,0.0,[[0.]],1.0,[[2.18256739e-09]],0.0,0.0,0.0,10.108098088311145,0.1101,0.0,4990.0,500.0,0.4467661580737735,0,0.0,100,9.98,0.0,10.001026361880118,1.0
