ITERATIONS,ConfortViolation,ReturnsMean,TimestepsMean,Wins,WeightMedian,DualAfter,TimestepsStd,DualReg,Omega,DualBefore,NormDeltaVar,Primal,NormDeltaOmega,RewardMean,WeightMean,ReturnsStd,OmegaBefore,Eta,DeltaOmega,WeightMax,Traj,Epsilon,WeightMin,LossReg,RewardStd
0,0,1176.1616161616162,500.0,0.0,0.174958569160914,4.259650973278624,0.0,0.0,[[0.31032395]],6.734992848845197,31.21285180279458,4.25965097573622,0.4896760547789586,2.35216,0.11315376863416658,59.68447458492812,[[0.8]],4.589245120465258,[[-0.48967605]],1.0,100,0.2301,0.11315376863416658,0.0,2.4288563840622612
1,0,1829.959595959596,500.0,0.0,0.2778230307494431,6.46901188708885,0.0,0.0,[[0.16553798]],8.86284465722063,11.699733416455702,6.469011306680484,0.14478596927323706,3.6604,0.20170204705990608,107.05496739657247,[[0.31032395]],6.246237871251685,[[-0.14478597]],1.0,100,0.2301,0.20170204705990608,0.0,3.8998707465760964
2,0,2772.8888888888887,500.0,0.0,0.24449637959853066,8.427746282844,0.0,0.0,[[0.06241454]],9.515288997706579,15.598901700545063,8.42774627869058,0.10312344023676258,5.54324,0.17192559689802572,125.17372888028756,[[0.16553798]],5.679580324127991,[[-0.10312344]],1.0,100,0.2301,0.17192559689802572,0.0,4.45524525726699
3,0,3981.313131313131,500.0,0.0,1.0,9.948103409641666,0.0,0.0,[[0.00214512]],9.97030364825978,49.04148915665656,9.948102114538669,0.06026941914482539,7.96288,0.011347020395788245,113.95344135771235,[[0.06241454]],2.232740868020847,[[-0.06026942]],1.0,100,0.2301,0.011347020395788245,0.0,3.778664063607666
4,0,4958.20202020202,500.0,0.0,1.0,10.001483270301327,0.0,0.0,[[2.77632112e-09]],10.220979983643437,193.71035939790107,9.999999999997879,0.0021451137898953073,9.91632,0.0,22.458032599540328,[[0.00214512]],0.006712282551579272,[[-0.00214511]],1.0,100,0.2301,0.0,0.0,0.879111857274147
5,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
6,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
7,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
8,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
9,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
10,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
11,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
12,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
13,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
14,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
15,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
16,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
17,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
18,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
19,0,4990.0,500.0,0.0,1.0,10.00115107259487,0.0,0.0,[[2.77632112e-09]],10.228098088311146,0.0,9.999999999997792,0.0,9.98,0.0,0.0,[[2.77632112e-09]],0.005046395007180257,[[0.]],1.0,100,0.2301,0.0,0.0,0.4467661580737735
