Omega,DeltaOmega,WeightMin,WeightMax,ConfortViolation,WeightMedian,ReturnsStd,DualReg,RewardMean,Wins,NormDeltaVar,Eta,DualAfter,Traj,Primal,Epsilon,ReturnsMean,OmegaBefore,DualBefore,ITERATIONS,RewardStd,WeightMean,LossReg,TimestepsMean,NormDeltaOmega,TimestepsStd
[[0.27892102]],[[-0.52107898]],0.08048625594529504,1.0,0,0.13322243898885974,51.111749906177,0.0,2.34296,0.0,33.373062819517756,3.9687755114489662,4.6251002602900915,100,4.625100262299859,0.3201,1171.2525252525252,[[0.8]],6.805688870451818,0,2.4164060996446772,0.08048625594529504,0.0,500.0,0.5210789844200849,0.0
[[0.1206178]],[[-0.15830321]],0.14823835366969035,1.0,0,0.2171543164795427,112.40604098169572,0.0,3.93372,0.0,14.811038230149784,5.238526335880469,7.317536761584595,100,7.317537446842168,0.3201,1966.5252525252524,[[0.27892102]],9.082970825652541,1,4.052259488433583,0.14823835366969035,0.0,500.0,0.15830321193724203,0.0
[[0.01739637]],[[-0.10322143]],0.057214702769334595,1.0,0,1.0,118.49923014149986,0.0,6.53456,0.0,29.247875995936504,3.4953493319048587,9.562386768970015,100,9.562384637740182,0.3201,3267.252525252525,[[0.1206178]],9.820234930541881,2,4.368835726643884,0.057214702769334595,0.0,500.0,0.10322142991352062,0.0
[[2.7690715e-09]],[[-0.01739637]],0.0,1.0,0,1.0,66.59829980858478,0.0,9.37152,0.0,223.8687105052888,0.004992304260649188,10.001236493087909,100,10.000000000001416,0.3201,4685.858585858586,[[0.01739637]],10.247717248619717,3,2.310093697147369,0.0,0.0,500.0,0.01739637096008095,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,4,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,5,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,6,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,7,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,8,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,9,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,10,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,11,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,12,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,13,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,14,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,15,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,16,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,17,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,18,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
[[2.7690715e-09]],[[0.]],0.0,1.0,0,1.0,0.0,0.0,9.98,0.0,0.0,0.004799816141306927,10.001526811902101,100,9.999999999997792,0.3201,4990.0,[[2.7690715e-09]],10.318098088311146,19,0.4467661580737735,0.0,0.0,500.0,0.0,0.0
