ITERATIONS,ReturnsMean,LossReg,TimestepsMean,Epsilon,ConfortViolation,DualBefore,DeltaOmega,WeightMedian,RewardStd,OmegaBefore,DualAfter,Primal,NormDeltaOmega,Wins,DualReg,WeightMean,TimestepsStd,NormDeltaVar,Eta,ReturnsStd,WeightMax,RewardMean,Omega,Traj,WeightMin
0,1172.3838383838383,0.0,500.0,0.6001,0,7.099537417089346,[[-0.5985267]],0.06958679638455294,2.4257752492759916,[[0.8]],5.593711115422529,5.593711108507794,0.5985266968418267,0.0,0.0,0.03574032964243004,0.0,39.47722685594381,3.001672941039086,55.593529721389075,1.0,2.3462,[[0.2014733]],100,0.03574032964243004
1,2500.5454545454545,0.0,500.0,0.6001,0,9.74012938199036,[[-0.17873305]],0.0598885902446282,4.398762829523775,[[0.2014733]],9.46634994026203,9.466347240069267,0.17873304992625205,0.0,0.0,0.02962648393715109,0.0,34.05006193298068,2.841646473889281,127.26551206099367,1.0,4.99764,[[0.02274025]],100,0.02962648393715109
2,4604.767676767677,0.0,500.0,0.6001,0,10.508145327558742,[[-0.02274025]],1.0,2.562149027671888,[[0.02274025]],10.002206803897725,10.000000000002759,0.022740251432889897,0.0,0.0,0.0,0.0,233.93430808261917,0.004343295451849605,77.15481331605251,1.0,9.2106,[[1.79903141e-09]],100,0.0
3,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
4,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
5,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
6,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
7,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
8,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
9,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
10,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
11,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
12,4990.0,0.0,500.0,0.6001,0,10.598098088311145,[[0.]],1.0,0.4467661580737735,[[1.79903141e-09]],10.001875078062353,9.999999999997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0031350682843362936,0.0,1.0,9.98,[[1.79903141e-09]],100,0.0
