DeltaOmega,WeightMin,WeightMedian,Primal,NormDeltaOmega,Wins,NormDeltaVar,DualReg,TimestepsMean,Omega,ReturnsStd,WeightMax,Epsilon,ReturnsMean,LossReg,WeightMean,Traj,RewardMean,Eta,TimestepsStd,DualAfter,RewardStd,DualBefore,ConfortViolation,OmegaBefore,ITERATIONS
[[0.06603379]],0.016875640858148442,0.03817756448966142,6.418043017909583,0.06603378645848024,0.0,6.857741866558889,0.0,500.0,[[0.86603379]],66.72014384069513,1.0,0.9001,1179.090909090909,0.0,0.016875640858148442,100,2.35756,2.4498490985791284,0.0,6.418045877564619,2.4307839983017825,7.4026291174553185,0,[[0.8]],0
[[0.03772719]],0.014433864101054525,0.03369039396997702,6.545824026343775,0.03772719457511298,0.0,5.334196487740652,0.0,500.0,[[0.90376098]],59.806674224604556,1.0,0.9001,1233.010101010101,0.0,0.014433864101054525,100,2.4672,2.3595043963437172,0.0,6.545826928850849,2.5467084952934833,7.288826198050713,0,[[0.86603379]],1
[[0.01989275]],0.01325999198694164,0.03147999170850961,6.663618130557371,0.019892746120880433,0.0,3.6189712505918337,0.0,500.0,[[0.92365373]],66.65576280587553,1.0,0.9001,1273.7171717171718,0.0,0.01325999198694164,100,2.5472,2.313206334004431,0.0,6.663621809884263,2.6379560572534184,7.280485060863873,0,[[0.90376098]],2
[[0.01494059]],0.01204167141825363,0.029144017427477718,6.816234393028149,0.01494059160011596,0.0,3.3403279669680472,0.0,500.0,[[0.93859432]],73.96959144903278,1.0,0.9001,1328.7878787878788,0.0,0.01204167141825363,100,2.6606,2.2627598021081217,0.0,6.816234302312183,2.733409526580311,7.323002351580059,0,[[0.92365373]],3
[[0.00583964]],0.011535555850817197,0.028159881374377433,6.8724874957619235,0.005839641119356642,0.0,1.516179243883471,0.0,500.0,[[0.94443396]],64.03261591109896,1.0,0.9001,1352.3838383838383,0.0,0.011535555850817197,100,2.70168,2.240986148481439,0.0,6.872487613730886,2.771679126017296,7.337461488231565,0,[[0.93859432]],4
[[0.00095834]],0.011362349604026451,0.027821114154845842,6.879690879148229,0.0009583400600124969,0.0,0.2630219382247958,0.0,500.0,[[0.9453923]],73.56948924645936,1.0,0.9001,1355.2929292929293,0.0,0.011362349604026451,100,2.71012,2.2334140806753195,0.0,6.879689456023899,2.7768128467003312,7.332205238740153,0,[[0.94443396]],5
[[0.00324849]],0.011132545596370932,0.027370049702303702,6.9174111807367265,0.0032484912335558613,0.0,0.9251555021683586,0.0,500.0,[[0.94864079]],78.05810168097182,1.0,0.9001,1368.3232323232323,0.0,0.011132545596370932,100,2.7354,2.223268430594224,0.0,6.917412573953797,2.8012402324684684,7.351521880307495,0,[[0.9453923]],6
[[0.00081679]],0.011176513420495908,0.027456493686835746,6.924395520530424,0.0008167936611602755,0.0,0.2413144429082834,0.0,500.0,[[0.94945758]],74.72754853158133,1.0,0.9001,1368.4444444444443,0.0,0.011176513420495908,100,2.73592,2.225218494489194,0.0,6.92439588789334,2.8074226175622368,7.359882505291097,0,[[0.94864079]],7
[[-0.00133918]],0.011201296400255915,0.027505188871138363,6.912328409500997,0.0013391770086663701,0.0,0.3937517354206861,0.0,500.0,[[0.94811841]],66.2900657647893,1.0,0.9001,1365.6363636363637,0.0,0.011201296400255915,100,2.73088,2.2263157949083463,0.0,6.91232841669977,2.7978660485448548,7.351374669267426,0,[[0.94945758]],8
[[-0.00236523]],0.011399790090284868,0.027894429502241094,6.8825999854352,0.0023652261632801652,0.0,0.6725437650516,0.0,500.0,[[0.94575318]],66.49515126934004,1.0,0.9001,1355.6363636363637,0.0,0.011399790090284868,100,2.7096,2.2350562445341806,0.0,6.882596421309031,2.7795517336433946,7.336818878149924,0,[[0.94811841]],9
