Epsilon,Omega,Eta,WeightMax,WeightMin,NormDeltaOmega,ITERATIONS,DeltaOmega,DualAfter,ConfortViolation,Traj,ReturnsStd,ReturnsMean,TimestepsStd,WeightMedian,Wins,DualReg,Primal,NormDeltaVar,OmegaBefore,LossReg,WeightMean,RewardMean,DualBefore,RewardStd,TimestepsMean
0.9201,[[0.86816022]],2.425366212978435,1.0,0.01619441759158717,0.06816021859755261,0,[[0.06816022]],6.4358281350246465,0,100,60.03835797321226,1167.959595959596,0.0,0.036939606695183425,0.0,0.0,6.435825732010721,7.1213501719711445,[[0.8]],0.0,0.01619441759158717,2.33532,7.410526535199931,2.415342728806825,500.0
0.9201,[[0.90466988]],2.334090872569789,1.0,0.013782944751902391,0.03650965643497672,1,[[0.03650966]],6.561096436277877,0,100,62.87077714579674,1221.8181818181818,0.0,0.03246935131778346,0.0,0.0,6.561094778763104,5.220505108953343,[[0.86816022]],0.0,0.013782944751902391,2.44492,7.295187579970255,2.5295466379570866,500.0
0.9201,[[0.9301086]],2.2703881214714046,1.0,0.012221809459574323,0.025438727602664857,2,[[0.02543873]],6.767596188246483,0,100,65.08572357376931,1293.8989898989898,0.0,0.029492283973531725,0.0,0.0,6.767596191868122,4.830493635833058,[[0.90466988]],0.0,0.012221809459574323,2.58888,7.3353393076981845,2.667601984104825,500.0
0.9201,[[0.94310569]],2.2273063528513806,1.0,0.01122369471283197,0.012997084293806749,3,[[0.01299708]],6.883172642803446,0,100,59.24076999593484,1335.6161616161617,0.0,0.02754917997386737,0.0,0.0,6.883172658768894,3.1374882309452232,[[0.9301086]],0.0,0.01122369471283197,2.67084,7.361571778055133,2.7481436815421425,500.0
0.9201,[[0.94763123]],2.2063431384869614,1.0,0.010754977959309645,0.004525545137972431,4,[[0.00452555]],6.91114491903358,0,100,73.46949542833428,1348.3636363636363,0.0,0.026624877590939636,0.0,0.0,6.911151032016238,1.2524583941334555,[[0.94310569]],0.0,0.010754977959309645,2.69344,7.3515275353948315,2.7729733079133667,500.0
0.9201,[[0.95136568]],2.185582220841087,1.0,0.010301766895810666,0.0037344520469280162,5,[[0.00373445]],6.969459060125775,0,100,79.83721321678905,1369.171717171717,0.0,0.025723459456176732,0.0,0.0,6.969459062433035,1.1130585076053023,[[0.94763123]],0.0,0.010301766895810666,2.74064,7.378260731908427,2.8054112693863624,500.0
0.9201,[[0.95058762]],2.1874584582978502,1.0,0.01034227528961854,0.0007780684898969215,6,[[-0.00077807]],6.955550694252448,0,100,71.23405350345298,1364.949494949495,0.0,0.025804347089530215,0.0,0.0,6.955550696258223,0.23842710126814382,[[0.95136568]],0.0,0.01034227528961854,2.73152,7.367213601500526,2.7977559739190982,500.0
0.9201,[[0.95072095]],2.190813457636898,1.0,0.010414933451714105,0.00013333288806449684,7,[[0.00013333]],6.958110114862526,0,100,70.58486408902027,1363.7171717171718,0.0,0.025949273259986055,0.0,0.0,6.95810925188615,0.04060386889639034,[[0.95058762]],0.0,0.010414933451714105,2.73012,7.374237363730216,2.799650832800405,500.0
0.9201,[[0.95301564]],2.184230114286743,1.0,0.010272630072028206,0.002294695652852674,8,[[0.0022947]],6.980927803035257,0,100,79.26394374674989,1371.2929292929293,0.0,0.025665239375172292,0.0,0.0,6.980927809854488,0.7156444168339888,[[0.95072095]],0.0,0.010272630072028206,2.74384,7.3852919305178295,2.816405875295675,500.0
0.9201,[[0.95423273]],2.172580813966991,1.0,0.010023522218723194,0.0012170834573118627,9,[[0.00121708]],7.0006923125980265,0,100,75.55336247019721,1380.949494949495,0.0,0.02516612132067432,0.0,0.0,7.000692334539986,0.3931672101370225,[[0.95301564]],0.0,0.010023522218723194,2.7636,7.389143982887838,2.8268065091194337,500.0
0.9201,[[0.95211131]],2.1840524267696084,1.0,0.01026880450126931,0.002121419427528526,10,[[-0.00212142]],6.964851899070055,0,100,76.93479417559614,1368.8686868686868,0.0,0.025657592815679683,0.0,0.0,6.964851910933657,0.6790825885444747,[[0.95423273]],0.0,0.01026880450126931,2.73532,7.369332831620923,2.8071666316056127,500.0
0.9201,[[0.95329615]],2.1812375586554813,1.0,0.01020830810780703,0.0011848454852436685,11,[[0.00118485]],6.988431287910384,0,100,74.01974989937348,1375.8383838383838,0.0,0.02553659657456849,0.0,0.0,6.988431298300105,0.37566485924067905,[[0.95211131]],0.0,0.01020830810780703,2.75084,7.388958417301961,2.819787100899641,500.0
0.9201,[[0.95273196]],2.18152521873457,1.0,0.010214481181167833,0.000564196351858337,12,[[-0.0005642]],6.983327616625713,0,100,61.04634684914537,1375.010101010101,0.0,0.025548949630692097,0.0,0.0,6.983327625971902,0.17999893694783964,[[0.95329615]],0.0,0.010214481181167833,2.74904,7.3850111774065965,2.8155672747068223,500.0
0.9201,[[0.95291249]],2.1858281506764508,1.0,0.010307071482646745,0.00018053107428261939,13,[[0.00018053]],6.9815170194953975,0,100,72.4079352758321,1372.6666666666667,0.0,0.025734055331702317,0.0,0.0,6.981517022848837,0.0573726723559318,[[0.95273196]],0.0,0.010307071482646745,2.74336,7.388289720567842,2.816362176709523,500.0
0.9201,[[0.95551505]],2.164625084236767,1.0,0.009855381280347414,0.0026025634638978667,14,[[0.00260256]],7.031371027735135,0,100,70.51410320742825,1392.6060606060605,0.0,0.024827828944372396,0.0,0.0,7.031371045079697,0.85120537179791,[[0.95291249]],0.0,0.009855381280347414,2.7882,7.410208451937216,2.841707367059459,500.0
0.9201,[[0.9535086]],2.1741711899326868,1.0,0.010057327285858765,0.00200644989588028,15,[[-0.00200645]],6.9919546277218485,0,100,66.89986761198692,1379.3939393939395,0.0,0.02523399813039661,0.0,0.0,6.991954649627635,0.6602641294022717,[[0.95551505]],0.0,0.010057327285858765,2.7586,7.383155686116439,2.820859096091118,500.0
0.9201,[[0.95417961]],2.1714862876426424,1.0,0.010000294324098415,0.0006710043478220795,16,[[0.000671]],7.009061451081013,0,100,76.07081906562442,1386.2424242424242,0.0,0.02511945576032248,0.0,0.0,7.009061470908764,0.21773588289292434,[[0.9535086]],0.0,0.010000294324098415,2.77112,7.3971714033369445,2.8291224691766175,500.0
0.9201,[[0.9524133]],2.1798129886969355,1.0,0.010177768397887935,0.0017663070245927948,17,[[-0.00176631]],6.97605812796122,0,100,65.8282262551622,1372.2424242424242,0.0,0.025475460971199716,0.0,0.0,6.9760581439883484,0.5668128311481269,[[0.95417961]],0.0,0.010177768397887935,2.74624,7.375444301615373,2.8115059776568145,500.0
0.9201,[[0.95097532]],2.1877000101454707,1.0,0.010347496948363948,0.0014379829988735437,18,[[-0.00143798]],6.954492086064224,0,100,76.23938906132737,1364.6666666666667,0.0,0.02581476914381558,0.0,0.0,6.954492089443334,0.44687952708817846,[[0.9524133]],0.0,0.010347496948363948,2.729,7.365482279321032,2.7991425472812206,500.0
0.9201,[[0.94958524]],2.195854815386957,1.0,0.010524650108432801,0.0013900756768308042,19,[[-0.00139008]],6.934453388109366,0,100,69.32883011440579,1356.4242424242425,0.0,0.026167735016049458,0.0,0.0,6.934453339719486,0.4203266139251909,[[0.95097532]],0.0,0.010524650108432801,2.71244,7.357821445450926,2.787577666433709,500.0
