Omega,NormDeltaOmega,TimestepsMean,TimestepsStd,WeightMedian,NormDeltaVar,Wins,ITERATIONS,Traj,ConfortViolation,Eta,ReturnsMean,LossReg,Epsilon,Primal,ReturnsStd,DualReg,RewardMean,WeightMean,RewardStd,DualAfter,WeightMax,DeltaOmega,OmegaBefore,WeightMin,DualBefore
[[0.8904804]],0.090480397020689,500.0,0.0,0.03128621637819946,10.133759600554974,0.0,0,100,0,2.3090837639676045,1176.6464646464647,0.0,1.0101,6.688507368083678,53.752766079883266,0.0,2.35408,0.013158043134020794,2.434499405134452,6.688507719268562,1.0,[[0.0904804]],[[0.8]],0.013158043134020794,7.537668069205965
[[0.93654144]],0.046061042205324365,500.0,0.0,0.02424320798711338,8.516416145010407,0.0,1,100,0,2.1507580386375422,1271.2323232323233,0.0,1.0101,6.908064101425393,58.5119910498933,0.0,2.54516,0.009566159312825468,2.62961605075722,6.908064518837881,1.0,[[0.04606104]],[[0.8904804]],0.009566159312825468,7.41161923191118
[[0.95725022]],0.020708780217021827,500.0,0.0,0.020412815761525212,5.955629915609435,0.0,2,100,0,2.055713773912034,1347.7171717171718,0.0,1.0101,7.107129369676713,75.81370580548356,0.0,2.69464,0.0077157588341443435,2.7729903119917316,7.107129392021017,1.0,[[0.02070878]],[[0.93654144]],0.0077157588341443435,7.452875153355512
[[0.96415508]],0.006904865030987639,500.0,0.0,0.01861625193660562,2.6192809946435602,0.0,3,100,0,2.0081731040117656,1387.6161616161617,0.0,1.0101,7.203841863359522,71.72544553212592,0.0,2.77424,0.006876466152154715,2.8343451487777562,7.203841500511826,1.0,[[0.00690487]],[[0.95725022]],0.006876466152154715,7.492072947716659
[[0.96769657]],0.0035414898701006114,500.0,0.0,0.01756357335414981,1.5384981827561859,0.0,4,100,0,1.9792533586699608,1407.5555555555557,0.0,1.0101,7.2519954787002785,80.64765894542896,0.0,2.81576,0.006393903812348068,2.866463957980285,7.251993295889342,1.0,[[0.00354149]],[[0.96415508]],0.006393903812348068,7.50931255704389
[[0.96843731]],0.0007407326670414438,500.0,0.0,0.017338430945684796,0.3423232481176939,0.0,5,100,0,1.972955807272068,1415.7171717171718,0.0,1.0101,7.269762306402456,70.54650166415995,0.0,2.83032,0.00629161648081125,2.8758318270719516,7.269761968159308,1.0,[[0.00074073]],[[0.96769657]],0.00629161648081125,7.521771047722984
[[0.96895222]],0.0005149161915788403,500.0,0.0,0.01714545499456382,0.24257390203573692,0.0,6,100,0,1.967524940659949,1417.919191919192,0.0,1.0101,7.276922365743369,76.780110635802,0.0,2.83732,0.0062042068412964824,2.8805442571847424,7.276921010663608,1.0,[[0.00051492]],[[0.96843731]],0.0062042068412964824,7.523588047450094
[[0.96913609]],0.00018386250608759536,500.0,0.0,0.017396395397149135,0.0875608835857804,0.0,7,100,0,1.9745810915775914,1410.7676767676767,0.0,1.0101,7.268976666995594,71.85490828118523,0.0,2.82376,0.006317919493207891,2.880440845148534,7.26897671846603,1.0,[[0.00018386]],[[0.96895222]],0.006317919493207891,7.5209591145019346
[[0.97077144]],0.0016353579240785399,500.0,0.0,0.016789917006991926,0.8018215254508334,0.0,8,100,0,1.9574371198035976,1425.7171717171718,0.0,1.0101,7.299595203887912,83.14621906939708,0.0,2.85192,0.006043808383684854,2.897970378316521,7.299595189322526,1.0,[[0.00163536]],[[0.96913609]],0.006043808383684854,7.536169460726828
[[0.96843633]],0.0023351151051973495,500.0,0.0,0.017384004703095878,1.1324136133581675,0.0,9,100,0,1.9742338956160137,1412.4040404040404,0.0,1.0101,7.264703680267997,81.95834359407976,0.0,2.82536,0.006312295020814857,2.874366168462188,7.264703687429118,1.0,[[-0.00233512]],[[0.97077144]],0.006312295020814857,7.517278953602227
