Epsilon,NormDeltaOmega,DeltaOmega,Omega,TimestepsMean,WeightMean,WeightMax,TimestepsStd,Traj,RewardStd,OmegaBefore,LossReg,ReturnsStd,DualAfter,WeightMin,ReturnsMean,DualReg,Wins,DualBefore,NormDeltaVar,RewardMean,ConfortViolation,ITERATIONS,WeightMedian,Primal,Eta
1.0601,0.09968543091417892,[[0.09968543]],[[0.89968543]],500.0,0.01152191824216054,1.0,0.0,100,2.4316590076735674,[[0.8]],0.0,50.50652119070834,6.795903406333798,0.01152191824216054,1178.020202020202,0.0,0.0,7.573702845993396,11.53485543408096,2.35552,0,0,0.028133245198727112,6.795903428194153,2.2403922396645806
1.0601,0.04504657765431386,[[0.04504658]],[[0.94473201]],500.0,0.007988895241895985,1.0,0.0,100,2.638601871901102,[[0.89968543]],0.0,68.84228406657132,7.018733562839461,0.007988895241895985,1272.949494949495,0.0,0.0,7.453157272053484,9.213901897031928,2.54796,0,1,0.02098888562977339,7.0187347969971166,2.070520779774277
1.0601,0.020066558191422335,[[0.02006656]],[[0.96479857]],500.0,0.005987347009728578,1.0,0.0,100,2.7977426329096104,[[0.94473201]],0.0,80.95241655155311,7.249189055095875,0.005987347009728578,1365.171717171717,0.0,0.0,7.522662352134593,6.7446452474748995,2.7296,0,2,0.016664317960107974,7.24919078894214,1.953847439600423
1.0601,0.007432778465883749,[[0.00743278]],[[0.97223135]],500.0,0.005077360422128065,1.0,0.0,100,2.866089923502052,[[0.96479857]],0.0,75.65456161119691,7.342943840142288,0.005077360422128065,1404.3232323232323,0.0,0.0,7.555273970660415,3.4979055080300867,2.80752,0,3,0.014605297063499844,7.342944333007194,1.8928768897418295
1.0601,0.0017471551468847268,[[0.00174716]],[[0.9739785]],500.0,0.004805426457277614,1.0,0.0,100,2.8862837182785754,[[0.97223135]],0.0,73.51232850759045,7.376990525765758,0.004805426457277614,1417.7575757575758,0.0,0.0,7.573884577116554,0.9540028230909812,2.83824,0,4,0.013976085477534617,7.376990701707316,1.873357479613779
1.0601,0.0012812975520041237,[[0.0012813]],[[0.9752598]],500.0,0.004572924996917914,1.0,0.0,100,2.9019876653080385,[[0.9739785]],0.0,75.75703164787767,7.406141611979358,0.004572924996917914,1433.2323232323233,0.0,0.0,7.590708655396533,0.7401176461051122,2.86648,0,5,0.013432450928208073,7.406142151210848,1.8561132694033475
1.0601,3.709701609178051e-05,[[3.70970161e-05]],[[0.97529689]],500.0,0.004572879949212633,1.0,0.0,100,2.901928489815006,[[0.9752598]],0.0,71.2059973009815,7.40493334891802,0.004572879949212633,1432.2222222222222,0.0,0.0,7.5892465441243075,0.02198036600549358,2.8652,0,6,0.013432345070064834,7.404933933378739,1.8561098755826746
1.0601,0.00014972869084162177,[[0.00014973]],[[0.97544662]],500.0,0.004646588815376106,1.0,0.0,100,2.9037781909780915,[[0.97529689]],0.0,70.47148053227906,7.403470557139364,0.004646588815376106,1429.1515151515152,0.0,0.0,7.5916726788454065,0.08904401321048283,2.85776,0,7,0.013605277182954708,7.403470927105593,1.8616351178673318
1.0601,0.0009626492230243588,[[0.00096265]],[[0.97640927]],500.0,0.004418133150428351,1.0,0.0,100,2.9165341359908683,[[0.97544662]],0.0,76.95923468755065,7.430357548899114,0.004418133150428351,1443.2323232323233,0.0,0.0,7.60701915102694,0.5854578805535198,2.88656,0,8,0.013067455810510956,7.4303583302975795,1.844324944440921
1.0601,0.0015225894794138606,[[-0.00152259]],[[0.97488668]],500.0,0.004677638304771637,1.0,0.0,100,2.8969148599156314,[[0.97640927]],0.0,81.04465370582133,7.3941239132386585,0.004677638304771637,1425.1919191919192,0.0,0.0,7.583940463681665,0.9157874916040996,2.85288,0,9,0.01367795938434655,7.394124281280213,1.8639461242141955
1.0601,0.00029538370907611355,[[0.00029538]],[[0.97518207]],500.0,0.004677227903263418,1.0,0.0,100,2.8991957039151393,[[0.97488668]],0.0,87.28523105339696,7.3941146697655125,0.004677227903263418,1426.4444444444443,0.0,0.0,7.583331672938558,0.17335288489037026,2.85052,0,10,0.013676999326463088,7.394115100420808,1.8639156409850024
1.0601,0.0005235657301262409,[[-0.00052357]],[[0.9746585]],500.0,0.004685276645343716,1.0,0.0,100,2.8941460187074184,[[0.97518207]],0.0,79.35969652479076,7.3908133899164685,0.004685276645343716,1425.090909090909,0.0,0.0,7.581077901518618,0.30591222525097095,2.85168,0,11,0.013695824786654077,7.390813761164644,1.8645131683223541
1.0601,0.0016683714456446896,[[0.00166837]],[[0.97632687]],500.0,0.004433952964090133,1.0,0.0,100,2.914425880752502,[[0.9746585]],0.0,86.9586097884808,7.424918759863449,0.004433952964090133,1441.7575757575758,0.0,0.0,7.601879744272579,0.9973295659743471,2.88184,0,12,0.01310487447467986,7.424919626945505,1.84554154344717
1.0601,0.0009159250675710995,[[-0.00091593]],[[0.97541095]],500.0,0.004627735550724092,1.0,0.0,100,2.903047380667425,[[0.97632687]],0.0,84.95163042752425,7.403152688744351,0.004627735550724092,1429.7373737373737,0.0,0.0,7.5902723646960855,0.5557050950635443,2.85916,0,13,0.013561097136758115,7.403153124712083,1.8602271413349323
1.0601,0.0019518593368705872,[[-0.00195186]],[[0.97345909]],500.0,0.004873789790634426,1.0,0.0,100,2.8794781835603476,[[0.97541095]],0.0,81.64277493890393,7.365037023685424,0.004873789790634426,1412.4848484848485,0.0,0.0,7.565450072439591,1.1198447274597285,2.82852,0,14,0.014134922612441076,7.365037156054111,1.878328120343225
1.0601,0.0018492162306489313,[[0.00184922]],[[0.9753083]],500.0,0.004656665329437711,1.0,0.0,100,2.9021088983013716,[[0.97345909]],0.0,77.64128125056386,7.401089585528377,0.004656665329437711,1426.5252525252524,0.0,0.0,7.5898184543715494,1.0588320207328579,2.85632,0,15,0.013628875408341496,7.40108994897421,1.8623861696761532
1.0601,0.0009122439127169368,[[0.00091224]],[[0.97622055]],500.0,0.00451391236905922,1.0,0.0,100,2.9128488540259,[[0.9753083]],0.0,73.8752219179557,7.418840270973662,0.00451391236905922,1434.8686868686868,0.0,0.0,7.59985581889794,0.5511435074002264,2.87244,0,16,0.013293596695747615,7.41884093184522,1.851649194360927
1.0601,0.001211076020961821,[[-0.00121108]],[[0.97500947]],500.0,0.004630400784646687,1.0,0.0,100,2.897963250560642,[[0.97622055]],0.0,80.32825218547677,7.396831021467724,0.004630400784646687,1428.909090909091,0.0,0.0,7.583980415557235,0.727376785496574,2.85728,0,17,0.013567344929373101,7.396831524545658,1.8604264013865819
1.0601,0.0010762739157038625,[[-0.00107627]],[[0.9739332]],500.0,0.00474986723316299,1.0,0.0,100,2.8856626541576196,[[0.97500947]],0.0,82.96898618215779,7.379070854753625,0.00474986723316299,1422.1616161616162,0.0,0.0,7.57301625571516,0.6181449270333772,2.84408,0,18,0.013846664719975843,7.379071130939593,1.8692851470604581
1.0601,0.000975651211081674,[[-0.00097565]],[[0.97295755]],500.0,0.005003695809894296,1.0,0.0,100,2.873659195102996,[[0.9739332]],0.0,71.9192373169758,7.352965152302174,0.005003695809894296,1407.3131313131314,0.0,0.0,7.560659068645142,0.5392526937739177,2.81452,0,19,0.014435529540009987,7.352965184326118,1.8876549053978975
