LossReg,Traj,DeltaOmega,WeightMedian,Eta,RewardStd,ReturnsMean,DualBefore,NormDeltaVar,Epsilon,TimestepsMean,WeightMean,WeightMin,ConfortViolation,NormDeltaOmega,Wins,WeightMax,ITERATIONS,OmegaBefore,DualAfter,DualReg,TimestepsStd,ReturnsStd,Omega,Primal,RewardMean
0.0,100,[[0.14299849]],0.013841454684349896,1.8691207855325294,2.3970129327978187,1161.111111111111,7.8812075093177825,20.28132115933995,1.4101,500.0,0.004747633318537878,0.004747633318537878,0,0.14299848567973983,0.0,1.0,0,[[0.8]],7.450070110380848,0.0,0.0,57.123097433363974,[[0.94299849]],7.450070139723246,2.323
0.0,100,[[0.04697008]],0.0032351755441528056,1.3952663976183965,2.792849662978657,1361.3737373737374,7.871940542913767,25.51375804071349,1.4101,500.0,0.000771564635565642,0.000771564635565642,0,0.046970083069657775,0.0,1.0,1,[[0.94299849]],7.829873445962202,0.0,0.0,74.43288426340477,[[0.98996857]],7.829877087943274,2.7226
0.0,100,[[0.00962463]],6.922961352881075e-05,0.8352403047777461,2.967201375033383,1475.79797979798,7.999248384216589,45.92612498377723,1.4101,500.0,6.314876827251636e-06,6.314876827251636e-06,0,0.00962462988551338,0.0,1.0,2,[[0.98996857]],7.997125944953265,0.0,0.0,68.60131927317283,[[0.9995932]],7.997122435183982,2.954
0.0,100,[[0.00040679]],3.299454781496755e-105,0.024939969749768753,2.9907019727147666,1494.2626262626263,8.019994817431693,154.06346426544116,1.4101,500.0,4.9119760554375255e-140,4.9119760554375255e-140,0,0.00040679293299894503,0.0,1.0,3,[[0.9995932]],8.00036521585639,0.0,0.0,77.40834735070496,[[0.99999999]],8.000000000000423,2.98652
0.0,100,[[0.]],4.652016686169773e-168,0.015572402798240372,3.004236813834755,1500.949494949495,8.031531222666095,0.0,1.4101,500.0,7.765838448675421e-224,7.765838448675421e-224,0,0.0,0.0,1.0,4,[[0.99999999]],8.000409282747226,0.0,0.0,74.18913500149584,[[0.99999999]],7.9999999999996625,3.00108
0.0,100,[[0.]],2.6030699410882e-98,0.026702668079815247,2.991105560424105,1489.0707070707072,8.017327787527766,0.0,1.4101,500.0,7.714618414776961e-131,7.714618414776961e-131,0,0.0,0.0,1.0,5,[[0.99999999]],8.00031978963425,0.0,0.0,90.93823550783151,[[0.99999999]],7.999999999999714,2.97792
0.0,100,[[0.]],1.2703597956335187e-176,0.014814241404802714,3.006796541171351,1506.5454545454545,8.036285279754894,0.0,1.4101,500.0,2.9641646317286366e-235,2.9641646317286366e-235,0,0.0,0.0,1.0,6,[[0.99999999]],8.000460119487956,0.0,0.0,90.29684745968169,[[0.99999999]],7.99999999999951,3.0116
0.0,100,[[0.]],2.808242225306748e-185,0.014119451575934335,3.01313898783312,1509.010101010101,8.041781904914894,0.0,1.4101,500.0,8.535836483283698e-247,8.535836483283698e-247,0,0.0,0.0,1.0,7,[[0.99999999]],8.000516819893008,0.0,0.0,79.72294132003077,[[0.99999999]],7.999999999999984,3.0188
0.0,100,[[0.]],7.94296490281373e-103,0.02552170860385365,2.9907671941493534,1490.909090909091,8.019026359351745,0.0,1.4101,500.0,7.356030558899445e-137,7.356030558899445e-137,0,0.0,0.0,1.0,8,[[0.99999999]],8.00034899639198,0.0,0.0,81.45409451534631,[[0.99999999]],7.9999999999995275,2.98352
0.0,100,[[0.]],3.5911916105926393e-96,0.02730130865845946,2.989634465683054,1489.1313131313132,8.016609478883327,0.0,1.4101,500.0,5.499435385802032e-128,5.499435385802032e-128,0,0.0,0.0,1.0,9,[[0.99999999]],8.000307060811599,0.0,0.0,87.23087286680084,[[0.99999999]],8.000000000000343,2.97796
0.0,100,[[0.]],1.9221355508537942e-113,0.023117941536293634,2.9966965211712715,1494.20202020202,8.023658190886817,0.0,1.4101,500.0,5.148871046284833e-151,5.148871046284833e-151,0,0.0,0.0,1.0,10,[[0.99999999]],8.000424232448687,0.0,0.0,79.9760039514353,[[0.99999999]],7.9999999999996065,2.9886
0.0,100,[[0.]],5.0715728881392554e-102,0.02572457240320772,2.9914773958029497,1491.8181818181818,8.018698850598154,0.0,1.4101,500.0,8.713451709898695e-136,8.713451709898695e-136,0,0.0,0.0,1.0,11,[[0.99999999]],8.000343453421692,0.0,0.0,69.75749677482825,[[0.99999999]],8.000000000000085,2.98148
0.0,100,[[0.]],4.2582674583512e-167,0.01566240835093084,3.0032780147032674,1501.1313131313132,8.031059048431718,0.0,1.4101,500.0,1.4869986726713093e-222,1.4869986726713093e-222,0,0.0,0.0,1.0,12,[[0.99999999]],8.000404147170784,0.0,0.0,78.83298372203167,[[0.99999999]],8.00000000000033,3.00108
0.0,100,[[0.]],7.679749517387511e-110,0.02388099875770662,2.992852475081256,1494.3030303030303,8.02199461566364,0.0,1.4101,500.0,3.2643451639701518e-146,3.2643451639701518e-146,0,0.0,0.0,1.0,13,[[0.99999999]],8.00039786151625,0.0,0.0,74.20711590826936,[[0.99999999]],7.999999999999566,2.98932
0.0,100,[[0.]],1.8277224737945858e-79,0.0330941085789441,2.981768602692033,1487.7373737373737,8.012038569658067,0.0,1.4101,500.0,1.0372425781533778e-105,1.0372425781533778e-105,0,0.0,0.0,1.0,14,[[0.99999999]],8.000219042870773,0.0,0.0,79.53991258552429,[[0.99999999]],8.000000000000444,2.976
0.0,100,[[0.]],3.225448380931486e-175,0.014933496685325169,3.0081408807434538,1504.1616161616162,8.035403904606095,0.0,1.4101,500.0,2.212008516030467e-233,2.212008516030467e-233,0,0.0,0.0,1.0,15,[[0.99999999]],8.00045077126876,0.0,0.0,73.90339135624073,[[0.99999999]],7.999999999999682,3.00696
0.0,100,[[0.]],9.24908228148273e-111,0.02368149142477277,2.994982340114879,1493.5757575757575,8.022383106650778,0.0,1.4101,500.0,1.9414737547267103e-147,1.9414737547267103e-147,0,0.0,0.0,1.0,16,[[0.99999999]],8.00040407629386,0.0,0.0,74.2435374066208,[[0.99999999]],7.999999999999439,2.98732
0.0,100,[[0.]],3.5578918985739805e-115,0.022767968963574893,2.9971836996754133,1495.7171717171718,8.02453832392303,0.0,1.4101,500.0,2.5211015033561693e-153,2.5211015033561693e-153,0,0.0,0.0,1.0,17,[[0.99999999]],8.000437946672605,0.0,0.0,76.57623657612349,[[0.99999999]],7.999999999999493,2.99052
0.0,100,[[0.]],2.70305616523877e-155,0.016858369443427786,2.997059848851871,1496.4646464646464,8.025742314490412,0.0,1.4101,500.0,8.112226966584294e-207,8.112226966584294e-207,0,0.0,0.0,1.0,18,[[0.99999999]],8.000344584757922,0.0,0.0,78.09594114200053,[[0.99999999]],7.999999999999394,2.99432
0.0,100,[[0.]],4.339419873906278e-183,0.014288935033841236,3.012200879357152,1507.7777777777778,8.040288033444721,0.0,1.4101,500.0,7.077972944429379e-244,7.077972944429379e-244,0,0.0,0.0,1.0,19,[[0.99999999]],8.000501564462294,0.0,0.0,79.17192078967375,[[0.99999999]],7.999999999999385,3.01568
